gene,train_std,hdr90_coverage
WASH7P,0.6110333857032888,0.92
ENSG00000241860,0.5448310152478163,0.88
CICP27,0.8816261128954329,0.9
ENSG00000308579,0.8466684421480484,0.96
ENSG00000268903,0.8479437730705636,0.9
ENSG00000269981,0.8703409591010808,0.96
WASH9P,0.5576079549844002,0.88
ENSG00000292994,0.7317649808841346,0.9
ENSG00000290385,0.9293389145877787,0.9
ENSG00000250575,0.4924122023316609,0.92
LINC00115,0.6674556703428074,0.9
MTND1P23,1.7388183459509754,0.88
MTND2P28,1.07487139092561,0.96
MTCO1P12,1.2655666151777722,0.88
MTCO2P12,0.6964479125231224,0.92
MTATP6P1,0.9261153151332625,0.88
MTCO3P12,0.7943611173929374,0.9
LINC01128,0.8078163209301001,0.9
NOC2L,0.7474345172534022,0.9
KLHL17,0.8211750835476016,0.9
PLEKHN1,0.4345733484190922,0.88
HES4,1.15654465029782,0.84
ISG15,1.360427908600585,0.84
AGRN,0.8449070256426284,0.86
C1orf159,0.8463309368742259,0.92
TNFRSF18,1.431430324319789,0.86
TNFRSF4,1.3974950789498823,0.88
SDF4,0.4602019382448247,0.96
B3GALT6,0.8572752777722008,0.9
C1QTNF12,0.352550879475176,1.0
UBE2J2,0.6034246724157893,0.84
LINC01786,0.439119980167376,0.86
SCNN1D,0.9149071312255947,0.88
ACAP3,0.6774267567664354,0.98
PUSL1,0.5322519290557035,0.94
INTS11,0.5634100702599457,0.98
ENSG00000240731,0.40107401216383737,0.82
CPTP,0.7679746564131037,0.9
TAS1R3,0.5572285677722366,0.94
DVL1,0.7064346343290502,0.94
MXRA8,0.6932271645126657,0.9
AURKAIP1,0.5177254448193285,0.88
CCNL2,0.5734224276021612,0.9
MRPL20-AS1,0.6570470690571016,0.96
MRPL20,0.4815268558058318,0.94
MRPL20-DT,0.6096812892382788,0.9
VWA1,0.3773413565146116,0.92
ATAD3C,0.3820391833925382,0.88
ATAD3B,0.9494350235886083,0.84
ATAD3A,0.7672800787138844,0.94
TMEM240,0.36069263018063036,0.92
SSU72,0.49850110157454464,0.9
FNDC10,0.6199937631746495,0.9
ENSG00000286989,0.3714502821044366,0.9
ENSG00000272106,0.500319533872577,0.84
MIB2,0.8013084214223934,0.94
MMP23B,0.5815139989414134,0.92
CDK11B,0.4913369725706259,0.92
SLC35E2B,0.6182957001781039,0.84
ENSG00000293187,0.6521960552984966,0.82
ENSG00000310190,0.6399805935006786,0.94
CDK11A,0.5762591968095597,0.88
ENSG00000293188,0.9709448834218524,0.86
ENSG00000290854,0.4800515600821906,0.88
NADK,0.7429962360290336,0.92
GNB1,0.2980309644793649,0.9
PRKCZ,0.7264755238206604,0.92
ENSG00000271806,0.4776747247266219,0.84
PRKCZ-AS1,0.7468641899405727,0.92
FAAP20,0.5070146166591701,0.92
SKI,0.8106596961991738,0.9
ENSG00000287356,0.3670510427392978,0.92
MORN1,0.35839651889245483,0.84
ENSG00000292993,0.3673074568649532,0.94
RER1,0.685703872911104,0.84
PEX10,0.47148133356042404,0.92
PLCH2,1.5898520651432793,0.9
PANK4,0.5894341071432426,0.96
ENSG00000272449,0.5892472960151085,0.92
TNFRSF14-AS1,0.7136392467738274,0.82
TNFRSF14,0.5607278264557325,0.9
ENSG00000228037,0.4194601231991111,0.84
PRXL2B,0.6892433656355738,0.94
TTC34,0.487641401700268,0.92
MEGF6,0.8247545709456293,0.88
ENSG00000238260,0.7836391092315613,0.92
TPRG1L,0.4676516953933135,0.86
WRAP73,0.5887403475083615,0.86
TP73,0.4690168866140336,0.96
GFOD3P,0.6270581335940975,0.88
SMIM1,1.5227797833029972,0.92
