k_sd,holdout,size,genes
2.0,0,1,ENSG00000000003
2.0,1,5,ENSG00000012817;ENSG00000067048;ENSG00000114374;ENSG00000183878;ENSG00000233864
2.0,2,26,ENSG00000071082;ENSG00000105698;ENSG00000119705;ENSG00000125995;ENSG00000147065;ENSG00000152082;ENSG00000155368;ENSG00000160813;ENSG00000161970;ENSG00000166595;ENSG00000169020;ENSG00000169105;ENSG00000171858;ENSG00000173660;ENSG00000175334;ENSG00000176986;ENSG00000177272;ENSG00000179085;ENSG00000182774;ENSG00000182899;ENSG00000185359;ENSG00000197111;ENSG00000198258;ENSG00000198840;ENSG00000211450;ENSG00000232112
1.0,0,1,ENSG00000000003
1.0,1,4,ENSG00000012817;ENSG00000114374;ENSG00000183878;ENSG00000233864
1.0,2,43,ENSG00000008988;ENSG00000061938;ENSG00000065135;ENSG00000090470;ENSG00000105258;ENSG00000105755;ENSG00000110713;ENSG00000125149;ENSG00000125971;ENSG00000130479;ENSG00000130703;ENSG00000141337;ENSG00000142252;ENSG00000143815;ENSG00000144320;ENSG00000144848;ENSG00000145592;ENSG00000148841;ENSG00000149806;ENSG00000156504;ENSG00000162614;ENSG00000163219;ENSG00000164897;ENSG00000166272;ENSG00000167258;ENSG00000167414;ENSG00000171421;ENSG00000172809;ENSG00000173272;ENSG00000174125
0.5,0,2,ENSG00000119777;ENSG00000136830
0.5,1,4,ENSG00000085449;ENSG00000107242;ENSG00000160766;ENSG00000230387
0.5,2,50,ENSG00000067066;ENSG00000071127;ENSG00000095370;ENSG00000105677;ENSG00000107099;ENSG00000112640;ENSG00000112679;ENSG00000117859;ENSG00000123636;ENSG00000125995;ENSG00000126249;ENSG00000130332;ENSG00000131473;ENSG00000134419;ENSG00000136167;ENSG00000137563;ENSG00000137802;ENSG00000138032;ENSG00000152443;ENSG00000155368;ENSG00000156232;ENSG00000156515;ENSG00000164167;ENSG00000164713;ENSG00000165119;ENSG00000166478;ENSG00000166595;ENSG00000167118;ENSG00000167283;ENSG00000169442
0.25,0,3,ENSG00000146143;ENSG00000162627;ENSG00000225978
0.25,1,8,ENSG00000087095;ENSG00000166938;ENSG00000182481;ENSG00000211679;ENSG00000227383;ENSG00000232454;ENSG00000262655;ENSG00000278828
0.25,2,59,ENSG00000020426;ENSG00000066379;ENSG00000071082;ENSG00000075151;ENSG00000088986;ENSG00000092841;ENSG00000101158;ENSG00000101901;ENSG00000103145;ENSG00000103254;ENSG00000104529;ENSG00000105393;ENSG00000108424;ENSG00000108523;ENSG00000111647;ENSG00000113356;ENSG00000114391;ENSG00000114573;ENSG00000122026;ENSG00000127540;ENSG00000130479;ENSG00000130921;ENSG00000138326;ENSG00000142534;ENSG00000145649;ENSG00000145912;ENSG00000149806;ENSG00000153975;ENSG00000156411;ENSG00000162065
0.1,0,7,ENSG00000011143;ENSG00000078124;ENSG00000132570;ENSG00000170085;ENSG00000180875;ENSG00000205336;ENSG00000221817
0.1,1,14,ENSG00000010610;ENSG00000101557;ENSG00000102054;ENSG00000107485;ENSG00000114126;ENSG00000116106;ENSG00000116199;ENSG00000164691;ENSG00000183688;ENSG00000185627;ENSG00000213613;ENSG00000229456;ENSG00000233916;ENSG00000261801
0.1,2,41,ENSG00000064115;ENSG00000078070;ENSG00000088986;ENSG00000101901;ENSG00000103254;ENSG00000104529;ENSG00000108424;ENSG00000111647;ENSG00000113356;ENSG00000114573;ENSG00000124201;ENSG00000130770;ENSG00000130921;ENSG00000134594;ENSG00000135387;ENSG00000140691;ENSG00000143761;ENSG00000145649;ENSG00000156411;ENSG00000158201;ENSG00000158863;ENSG00000160888;ENSG00000164897;ENSG00000167065;ENSG00000168040;ENSG00000169105;ENSG00000169567;ENSG00000173436;ENSG00000177590;ENSG00000179889
