holdout,K,set_size,tuple_first5,genes_first10
0,1,74,"(569,)",PTAFR;MED8;CYB5RL;BCL2L15;LDAH;FOSL2;DYNC2LI1;MSH2;ENSG00000305620;ENSG00000228655
0,1,71,"(688,)",GPR157;EMC1;UTP11;CPT2;LAMTOR5-AS1;IKBKE-AS1;GEN1;TEX261;IL1RL1;CCNYL1
0,1,65,"(247,)",NBL1;HMGN2;TACSTD2;DYNLT5;ENSG00000302070;COX7A2L;ENSG00000307956;NIT2;DZIP1L;LMLN
0,1,62,"(377,)",S1PR1;SLAMF9;RABIF;IL24;HHAT;ENSG00000298780;ENSG00000300661;QPCT;ENSG00000289463;MARCO
0,1,60,"(629,)",PDIK1L;CDC7;PSMD4;EPRS1;PELI1;IGKV1-27;SGO2;VHL;PLXNB1;IL17RB
1,1,72,"(358,)",CPTP;UQCRHL;SELENON;PALMD;HMGCS2;H2BC18;MRPL24;PFDN2;COA6;SDC1
1,1,72,"(546,)",GPR157;SDHB;TCEA3;ELOA-AS1;ZMPSTE24-DT;TMED5;HJV;H2AC20;MPC2;SH3YL1
1,1,62,"(231,)",LINC01128;VWA1;EFHD2-AS1;ECE1-AS1;LIX1L;TTC24;FMO3;EIF2B4;ZNF638;DGUOK-AS1
1,1,61,"(587,)",PARK7;AGMAT;AKR7A3;CAMK2N1;CCDC163;APCS;FAHD2A;HGD;EHHADH;RPL9
1,1,59,"(442,)",ZMPSTE24;GPBP1L1;CTBS;RFX5;XPR1;KIF21B;CAD;STRN;POLE4;IMMT
2,1,94,"(234,)",FCN3;TMEM54;ENSG00000291138;ENSG00000232811;MAGI3;ANKRD34A;HJV;C1orf115;DNAH14;COA6
2,1,90,"(160,)",RERE-AS1;TXNDC12;BSND;NAP1L4P1;EFNA1;SLAMF9;ADAMTS4;ENSG00000293219;SYT2;LINC01736
2,1,89,"(381,)",ENSG00000287356;GPR157;CENPS;LINC02795;ENSG00000301450;ENSG00000287218;NFASC;CR2;LINC00570;PFN4
2,1,64,"(227,)",ENSG00000233030;TTC24;ARPC5;ENSG00000238201;IGKJ4;IGKJ3;IGKV2-29;FAHD2A;FASTKD1;MYO1B
2,1,61,"(2,)",CRNN;SPRR3;S100A14;PKLR;ENSG00000287338;ENSG00000299361;ARV1;FH;CYP1B1-AS1;ENSG00000289463
3,1,142,"(251,)",ENSG00000250575;SNORA73B;SPOCD1;LRRC41;CMPK1;ENSG00000235105;BSND;DDAH1;ARHGAP29;CDC14A
3,1,127,"(363,)",ENSG00000300565;ENSG00000289554;MAGI3;ENSG00000294554;RGS2;ENSG00000308739;RDH14;KHK;MSH6;DGUOK-AS1
3,1,91,"(408,)",NOC2L;AKIRIN1;CTBS;IL6R;CYB5R1;CD46;TBCE;ADAM17;ENSG00000223522;CALM2
3,1,89,"(686,)",BSDC1;AGO4;SRSF11;ZRANB2;DPYD;GNAI3;LAMTOR5;ZBTB37;PFKFB2;G0S2
3,1,77,"(217,)",MANEAL;TTC39A;HJV;ADAMTS4;MIR181A1HG;UTP25;ENAH;ENSG00000269934;MIR4432HG;SPC25
4,1,90,"(409,)",ENSG00000241860;ENSG00000292993;ATP13A2;IQCC;DLGAP3;DPH2;LINC02777;PALMD;WARS2-AS1;ENSG00000285280
4,1,76,"(544,)",ENSG00000279179;TPI1P1;GPSM2;ENSG00000290999;SLAMF9;FCRLA;PXDN;PAIP2B;IGKV1D-39;METAP1D
4,1,68,"(452,)",FAM167B;LINC02988;CYB5R1;ENSG00000260698;ENSG00000299074;CCL20;LINC00852;CCDC51;CEP15;HNRNPA3P6
4,1,67,"(749,)",SLC25A34;ENSG00000291077;FCN3;MANEAL;ENSG00000287064;PARP1;EDARADD;POMC;ENSG00000270574;RAB17
4,1,53,"(262,)",MORN1;H6PD;PLA2G2A;CD52;TAGLN2;EPHX1;CMPK2;CD8A;C2orf76;RPS15P4
5,1,145,"(749,)",TP73;ENSG00000226396;ENSG00000289554;SNIP1;PTGFR;FCER1A;ENSG00000301529;ENSG00000310285;MAP3K21;OPN3
5,1,110,"(452,)",CRYBG2;FGGY;GNG12-AS1;MTF2;GNAT2;GSTM1;ENSG00000289062;ENSG00000287839;OR6N1;DNM3
5,1,98,"(339,)",PARK7;ZSCAN20;ZNF684;KDM4A-AS1;ALG14;RNASEH1-DT;C2orf74-AS1;GORASP2;LNPK;ORC2
5,1,92,"(544,)",ENSG00000285646;ENSG00000289576;SPATA6;DOCK7;NOTCH2NLB;HORMAD1;SLAMF9;COP1-DT;PKP1;ENSG00000272750
5,1,86,"(409,)",FBXO2;EEF1A1P11;PIAS3;ENSG00000290578;C1orf226;ENSG00000302070;ENSG00000285280;PHLDA3;DTL;EPHX1
6,1,107,"(479,)",ENSG00000240731;KAZN;ENSG00000233478;SSBP3-AS1;DNAJC6;ANKRD13C;NAP1L4P1;PTGFRN;PIGR;LINC02608
6,1,107,"(43,)",SRM;ENSG00000305789;IFNLR1;COL16A1;ZSCAN20;CLSPN;ADPRS;COL8A2;KCNA2;WNT2B
6,1,88,"(276,)",VWA1;ENSG00000297367;LINC00853;FRRS1;CD58;PIGM;ENSG00000288670;ENSG00000289341;LINC03108;EIPR1
6,1,72,"(2,)",ENSG00000284735;BSND;CLCA4-AS1;ENSG00000227193;FLG;CRNN;SPRR3;ENSG00000287338;ENSG00000299361;YWHAQ
6,1,72,"(173,)",MROH7;TMEM167B-DT;ENSG00000301450;IFI16;SELL;SOWAHC;LINC01191;INHBB;XRCC5;ENSG00000289018
7,1,112,"(545,)",RPL11;ENSG00000233478;FCN3;ORC1;OVGP1;CD160;ENSG00000238279;S100A1;ATP1A2;VAMP4
7,1,86,"(3,)",MRPL37;ANGPTL3;H3-7;APH1A;CD1C;APCS;CRP;SLAMF9;FMO3;GLUL
7,1,72,"(460,)",ZSCAN20;RPL5P4;AKR1A1;MAST2;CIMAP2;ZZZ3;CCT3;OR10Z1;IL24;CHML
7,1,68,"(610,)",DDI2;TINAGL1;MROH7;CRYZ;VCAM1;CRNN;GJC2;TARBP1;ATRAID;ENSG00000309281
7,1,67,"(372,)",CPTP;EIF3I;IL12RB2;GON4L;SCCPDH;MRPL19;ENSG00000290104;SLC20A1;COBLL1;RETREG2
8,1,83,"(588,)",CASZ1;AUNIP;ADPRS;DEPDC1;WARS2;RNF115;FMO3;IGKJ4;IGKV1D-16;GCC2-AS1
8,1,71,"(178,)",MTCO3P12;ENSG00000284735;GPATCH3;VAV3-AS1;LIX1L-AS1;H3C13;NPR1;KCNN3;ENSG00000230325;ENSG00000298739
8,1,65,"(438,)",GCLM;PHGDH;RPS27P8;LINC01291;ZNF892;ENSG00000308748;CCDC141;ENSG00000301477;IL17RE;ENSG00000296625
8,1,61,"(92,)",FNDC10;DHRS3;GALE;RNF19B;ENSG00000235105;NAP1L4P1;ARHGEF2;CD5L;NCSTN;DUSP2
8,1,59,"(345,)",AKR7A3;ENSG00000305448;DENND2C;APOA2;SLC19A2;ENSG00000289191;RHOQ-AS1;IGKC;IGKV1D-39;IGKV3D-11
9,1,90,"(2,)",BSND;PTGFR;ENSG00000227193;HORMAD1;FLG;TNNT2;PM20D1-AS1;ENSG00000287338;ENSG00000299361;LINC01819
9,1,83,"(602,)",TMCO4;ARHGEF11;MRPL33;CRIM1;PRELID1P6;TEX261;DGUOK-AS1;MOB1A;TXNDC9;UGGT1
9,1,73,"(44,)",LINC02596;S100PBP;KIF2C;TM2D1;GNG12-AS1;ALG14;PHGDH;RORC;THBS3;ENSG00000309597
9,1,72,"(619,)",RSRP1;ST3GAL3;STXBP3;CD46;DUSP10;NBAS;SPAST;CLASP1;RPL12P16;CAB39
9,1,70,"(285,)",NOL9;RBP7;PINK1-AS;SELENOF;RHOC;CFAP45;FCGR2A;PPP1CB;HK2;CCDC141
10,1,283,"(444,)",ICMT;NBPF1;ZMYM6;ZMYM4;EXO5;BTF3L4;IFT25;MYSM1;ANKRD13C;RABGGTB
10,1,220,"(749,)",SRRM1;PUM1;RRAGC;RLF;ENSG00000296912;SRSF11;ZRANB2;ODF2L;CCDC18;VAV3
10,1,196,"(68,)",FAM76A;KHDRBS1;MEAF6;GADD45A;ZNF326;DIPK1A;MTF2;ATP1A1-AS1;KCNN3;PIGM
10,1,189,"(658,)",ENSG00000304862;SLC9A1;SYTL1;ZNF684;EPS15;PLPP3;TGFBR3;TRIM33;SLAMF7;LINC02803
10,1,185,"(456,)",CCNL2;PEX10;C1orf174;EXOSC10-AS1;CLCN6;HNRNPR;CTPS1;KCNA3;NBPF11;KLHL20
11,1,86,"(3,)",ENSG00000269981;SLC45A1;ENSG00000233478;ENSG00000269967;H3-7;ENSG00000290074;ENSG00000289062;CD5L;APCS;SLAMF9
11,1,79,"(390,)",LINC01134;CDC42-AS1;USP21;FCER1G;ILDR2;AKT3;CPSF3;MRPL33;ENSG00000235192;ENSG00000309937
11,1,73,"(147,)",ELOA;ZSCAN20;DYNLT4;ARNT;MSTO1;CRP;IKBKE-AS1;ENSG00000224114;ENSG00000276517;SERTAD2
11,1,71,"(11,)",VWA1;ADGRB2;ZFYVE9;CYB561D1;GSTM5;SHE;XCL1;LGR6;BTG2-DT;RAB7B
11,1,71,"(482,)",TP73;NCMAP-DT;FCN3;ENSG00000284719;ENSG00000272906;C4BPA;ENSG00000310285;EPAS1;CD8A;ENSG00000309294
12,1,120,"(694,)",FNDC10;CPLANE2;PPIE;KTI12;GCLM;PI4KB;ILF2;LY9;TADA1;GLRX2
12,1,106,"(283,)",AGMAT;RNF19B;ZMYM1;AKR1A1;RBM8A;CTSS;CRNN;TPM3;CD1A;RRP15
12,1,89,"(443,)",GMEB1;S100PBP;GPBP1L1;CMPK1;PRKAB2;KHDC4;SELL;ATP2B4;DTNB;ENSG00000233230
