n_train,holdout,set_size,genes_first10
100,0,11,CENPF;CDCA2;KIF11;MKI67;RACGAP1;ESPL1;DIAPH3;KIF23;TOP2A;KIF18B
100,0,8,KIF2C;ORC1;KIF20A;TYMS;SPC24;AURKA;KIF4A;HMGB3
100,0,8,SPC25;NCAPG;CCNA2;CDC25C;HMMR;TTK;CDK1;SKA1
100,1,19,AKR7A3;FMO3;RAB17;AGXT;ITIH1;ADH1A;BHMT2;CDO1;AZGP1;MAT1A
100,1,14,APOA2;AHSG;KNG1;GC;ADH4;ADH6;ADH1C;BAAT;ALDOB;A1CF
100,1,6,APCS;BPHL;RBP4;PEBP1;SLC10A1;APOC2
100,3,13,ZBTB37;CD46;KIDINS220;BAZ2B;PIK3CA;BOD1L1;GALNT7;SERINC1;RRM2B;HIPK3
100,3,12,ZRANB2;USP33;MFSD14A;XPR1;SEPTIN2;TTC14;FAM91A1;EFR3A;PTAR1;TNKS2
100,3,10,MIER1;PKN2;SLMAP;TBL1XR1;PNISR;MTPN;TWF1;WASHC4;SPATA13;ARID4A
100,5,9,ACADM;TSN;MTREX;SLC30A5;RNGTT;GTPBP10;CAND1;ATMIN;DDX52
100,5,6,PRDM2;RETSAT;VOPP1;B4GALT1;UBR7;FBXL12
100,5,6,SELENON;TMEM69;MAPKAPK3;NUDT3;ZNF747;KATNB1
100,6,6,ENSG00000228863;XPC;MAML1;TRMO;DNAJC14;GLYR1
100,6,5,PRAP1;SAA4;GLYATL1;MT1G;APOC1
100,6,4,TRAPPC12;KCNQ1;SLC39A13;ZNFX1
100,7,8,LSG1;DROSHA;HMGXB3;XPO5;CUL1;TAF3;SF3B3;ELAVL1
100,7,5,KDM1A;SEC31A;VDAC1;GEMIN5;SRP68
100,7,4,NOC2L;DFFA;ACAD9;ABCF2
100,9,7,ZBTB37;KIDINS220;ZNF638;BOD1L1;SERINC1;RRM2B;HEATR5A
100,9,7,PGM2;EXOC1;AP3B1;VIRMA;INTS8;SLF2;ZSCAN30
100,9,6,APOA2;HRG;KNG1;GC;BAAT;APOH
100,10,35,PRKACB;CDC14A;ID2;ATF2;CAPN7;NKTR;CPOX;DLG1;CNOT6L;LARP1B
100,10,34,SRSF11;ZNF644;MTF2;ACBD3;PMS1;SATB1;EOGT;USP53;BDP1;MTX3
100,10,28,ZRANB2;USP33;MFSD14A;PRKAB2;XPR1;ERO1B;ENSG00000290683;CCNT2;SEPTIN2;TMF1
100,12,10,TRMT13;PNPT1;ST3GAL5;GLS;SYNCRIP;MTAP;CARNMT1;ZW10;CAND1;RPS6KB1
100,12,7,TYW3;ABCE1;RMND1;MTERF3;C11orf58;CD3G;EIF3J
100,12,7,PHAX;LTV1;NCBP1;GPALPP1;VPS36;NIP7;SMARCE1
100,13,7,HSPB7;ACTN2;TNNC1;FLNC;NRAP;MYL2;SRL
100,13,3,NCBP1;ZDHHC6;ZNF41
100,14,3,FTH1P2;FTH1P23;FTH1P16
100,15,3,PPOX;SH3GLB2;BABAM1
