gene,mean_n_neighbors,mean_neighbor_popularity,specificity,any_neighbor
WASH7P,273.58,5248.891227458849,0.6790650426500244,True
ENSG00000241860,247.9,5314.131822951874,0.6750760120481887,True
CICP27,159.66,5505.381956432693,0.6633823322266772,True
ENSG00000308579,205.04,5519.084101795834,0.6625445367290839,True
ENSG00000268903,179.7,5458.958160755206,0.6662208400638823,True
ENSG00000269981,208.4,5416.325623227496,0.6688275375586978,True
WASH9P,270.86,5224.737594359948,0.6805418774466556,True
ENSG00000292994,198.62,5505.028695077485,0.6634039318203921,True
ENSG00000290385,174.18,5363.74061479079,0.6720427627764727,True
ENSG00000250575,282.98,5295.731076937259,0.676201095876658,True
LINC00115,253.46,5232.153341035794,0.6800884536205567,True
MTND1P23,230.6,5138.698463108176,0.6858026008493932,True
MTND2P28,181.34,5571.155608678932,0.659360708732563,True
MTCO1P12,181.38,5381.615543926257,0.6709498291699018,True
MTCO2P12,251.24,5143.8764331895645,0.6854860022507145,True
MTATP6P1,193.0,5630.380929652954,0.6557394723538396,True
MTCO3P12,219.2,5269.481223800477,0.677806100654205,True
LINC01128,197.94,5937.465625588707,0.6369632757206538,True
NOC2L,221.96,6145.854458658345,0.6242216778564142,True
KLHL17,188.1,6221.871847863076,0.6195737176482374,True
PLEKHN1,276.3,5536.741794192464,0.6614648857112526,True
HES4,121.7,5799.1833259803625,0.6454183230828271,True
ISG15,131.72,5625.855996748378,0.6560161420514596,True
AGRN,166.9,5900.088427873283,0.639248643969839,True
C1orf159,188.56,6141.894048188818,0.6244638307435758,True
TNFRSF18,110.14,5889.700180365184,0.6398838165475278,True
TNFRSF4,107.88,6009.392025931866,0.6325654524040436,True
SDF4,406.64,5533.557336666756,0.6616595942117545,True
B3GALT6,194.04,5809.382745995195,0.6447946960565456,True
C1QTNF12,349.78,5198.17842931019,0.6821657946004164,True
UBE2J2,276.06,5956.772355103738,0.6357827969976314,True
LINC01786,250.6,5914.253905726806,0.6383825187571504,True
SCNN1D,162.0,6131.589584664915,0.625093880485178,True
ACAP3,263.66,5663.192817387502,0.6537332425932435,True
PUSL1,333.54,5406.603475953117,0.6694219825158596,True
INTS11,304.98,5873.960218299548,0.6408462110486366,True
ENSG00000240731,299.92,5831.328985957683,0.6434528287399766,True
CPTP,217.08,5821.861743270682,0.6440316879687751,True
TAS1R3,283.8,5239.520913424964,0.6796379753332336,True
DVL1,236.78,6153.726859489525,0.6237403326512061,True
MXRA8,204.34,5821.610635417257,0.6440470415519868,True
AURKAIP1,313.52,5559.58739392644,0.6600680284973133,True
CCNL2,295.24,5972.760067373477,0.6348052542113435,True
MRPL20-AS1,268.64,5764.38818029468,0.6475458159404048,True
MRPL20,360.32,5502.030710123146,0.6635872387573742,True
MRPL20-DT,212.0,5876.54340073767,0.6406882665400385,True
VWA1,309.66,5339.469484476542,0.673526781750135,True
ATAD3C,288.96,5436.5646582957415,0.6675900545218134,True
ATAD3B,166.14,6164.477346768357,0.623083011509119,True
ATAD3A,216.46,6037.55352920026,0.630843562873723,True
TMEM240,276.76,5504.566783456608,0.6634321746587215,True
SSU72,341.4,5660.365296459836,0.6539061267832568,True
FNDC10,259.2,5417.116597851022,0.6687791746957492,True
ENSG00000286989,306.94,5464.931086661079,0.665855635178167,True
ENSG00000272106,298.96,5573.509428866853,0.6592167882074684,True
MIB2,219.3,5753.408920726614,0.6482171249937869,True
MMP23B,185.52,5926.402333718429,0.6376397227931256,True
CDK11B,336.42,5743.152314130532,0.6488442486010069,True
SLC35E2B,265.64,5506.854489097197,0.6632922966005994,True
ENSG00000293187,196.64,5545.9075558150125,0.6609044600541112,True
ENSG00000310190,228.58,5756.17342663256,0.64804809375527,True
CDK11A,292.06,5446.650628639434,0.6669733641920248,True
ENSG00000293188,163.54,5371.717697137631,0.6715550169894448,True
ENSG00000290854,281.22,5501.471263642103,0.6636214452068419,True
NADK,234.32,5828.377473651514,0.6436332941821147,True
GNB1,540.06,5268.280963472149,0.677879488629034,True
PRKCZ,234.94,5704.180985786824,0.6512270873869261,True
ENSG00000271806,232.86,5552.526278724,0.6604997689560379,True
PRKCZ-AS1,213.38,5649.966620354161,0.6545419370006627,True
FAAP20,340.66,5349.2691982259985,0.6729275941164171,True
SKI,231.68,5500.5285435814085,0.663679086298905,True
ENSG00000287356,306.26,5400.196230199483,0.6698137431856017,True
MORN1,317.4,5521.307360393187,0.6624085991810953,True
ENSG00000292993,296.38,5457.849708325774,0.6662886145933491,True
RER1,259.14,6045.321389432923,0.6303686096341838,True
PEX10,328.56,5454.2612804879855,0.6665080232046479,True
PLCH2,105.5,6192.536088298215,0.6213674051789535,True
PANK4,292.72,5919.764905458749,0.6380455575995874,True
ENSG00000272449,262.56,5494.186140304304,0.664066882280385,True
