gene,mean_n_neighbors,mean_neighbor_popularity,median_neighbor_popularity,specificity
NRAP,149.3,4999.745527722172,4749.39,0.6942986531505857
KRT6A,138.36,5064.825404124713,4785.07,0.6903194494573701
SNAP25,164.74,5071.803532153872,4827.57,0.6898927831150186
IGFBP2,161.86,5079.060821127426,4818.7,0.6894490479286197
CLEC4G,252.28,5082.710712734295,4797.94,0.6892258812146563
LCN10,157.7,5090.468621395958,4812.93,0.6887515364478167
NPPA,178.18,5094.79281984263,4849.71,0.6884871403336821
TPM1,257.94,5102.316597286663,4839.21,0.6880271111411396
MB,104.32,5102.631077952333,4834.07,0.6880078827299093
P4HA2,261.36,5106.88196219205,4864.66,0.6877479692942801
MUC7,311.86,5107.187414216531,4822.62,0.6877292929247001
MYH2,142.2,5114.178913997048,4865.99,0.6873018089882575
TNNT2,175.6,5117.773734624829,4833.67,0.6870820095001633
HP,134.4,5119.945042154488,4850.5,0.6869492484161119
MAP1LC3B2,241.5,5120.532104664281,4865.69,0.6869133534292705
GP2,209.46,5122.999136721945,4825.0,0.6867625107476646
CPA1,172.3,5123.95136451906,4834.47,0.6867042883204488
VLDLR,165.5,5124.718185721127,4932.94,0.6866574022793563
TRDV2,187.48,5125.839655424959,4893.23,0.6865888318297182
RPS3AP18,308.76,5126.521699132832,4863.9,0.6865471293712729
SBSN,238.24,5126.97058916698,4838.36,0.6865196827167851
DYNLT5,175.42,5127.6941140136605,4872.55,0.6864754439612559
NT5M,174.66,5128.31486334788,4867.57,0.686437489248066
HSPB7,154.5,5132.366484160046,4855.23,0.6861897594521524
CPLX2,204.52,5136.313427171741,4871.52,0.6859484300108993
HDAC4-AS1,297.58,5136.3565163587,4850.67,0.6859457953923143
MYL7,196.26,5137.79998977744,4889.05,0.6858575365467784
MTND1P23,230.6,5138.698463108176,4885.33,0.6858026008493932
THNSL2,174.12,5141.04472302342,4883.85,0.685659142584933
REG1A,178.14,5143.2640391301975,4886.35,0.6855234460941487
MTCO2P12,251.24,5143.8764331895645,4911.71,0.6854860022507145
SFTPB,168.48,5145.036008756216,4861.71,0.6854151018797789
CLPS,229.06,5145.0818872568625,4852.78,0.6854122967131236
SFTPC,172.68,5145.343264597456,4911.31,0.6853963152187431
FLNC,140.22,5145.570014297905,4851.49,0.685382450975365
REG1B,236.9,5146.379827672772,4877.3,0.6853329362474612
PVALB,198.84,5146.486400575179,4884.94,0.6853264200198607
CRNN,184.56,5147.637613411171,4887.7,0.6852560309745539
CTRB1,232.96,5147.842311663346,4875.06,0.6852435150312843
TNNI3,217.54,5148.686528060982,4855.77,0.6851918967862438
PIGC,310.24,5149.495841989424,4857.69,0.6851424125961831
XIRP1,204.84,5149.632265581087,4913.01,0.6851340711965095
SFTPA2,196.1,5149.901478339819,4901.08,0.6851176106181707
CYP11B1,216.98,5150.531930625486,4905.33,0.6850790626337214
ENSG00000281383,266.84,5150.550124000898,4923.61,0.6850779502292328
DES,123.82,5151.011892760547,4914.63,0.6850497161259219
ACTC1,180.0,5151.298241400765,4852.76,0.6850322078018487
CPA2,234.36,5152.61100389667,4863.57,0.6849519410640985
MAPK8IP1P2,307.72,5153.158521045458,4895.84,0.6849184640143406
FLG2,206.32,5153.286414401653,4884.54,0.6849106441821062
SPACDR,262.4,5154.71240434657,4906.11,0.6848234543352754
RN7SL1,222.76,5155.767444230863,4892.92,0.6847589456294183
IGLV1-41,263.62,5155.821320640648,4872.97,0.6847556514435555
CTDSPL,202.68,5156.559691959226,4902.17,0.6847105049245352
PRM2,309.22,5157.3759762405125,4898.69,0.6846605945435333
SPACA6,250.08,5158.581024532218,4869.89,0.6845869138164342
MYL2,118.46,5158.693022481283,4886.57,0.6845800658831377
PDGFA-DT,245.68,5158.737144453079,4898.7,0.6845773681165956
GPS2P1,238.48,5159.145875410994,4891.22,0.6845523769238158
KRT4,136.22,5159.16315272953,4892.7,0.6845513205301419
PPP1R3B-DT,218.58,5159.448075343598,4899.22,0.6845338993981291
CPB1,166.14,5159.776240873497,4908.63,0.6845138342480284
PLP1,128.54,5160.187475231545,4918.2,0.6844886899888998
TNC,262.0,5160.475235740616,4883.97,0.684471095338391
BAMBI,270.58,5162.038916417354,4890.5,0.6843754866146528
TAGLN2P1,286.98,5162.32918448772,4879.63,0.6843577386433677
STAR,287.04,5162.661512290836,4864.91,0.6843374189978089
ENSG00000272950,309.12,5163.046558412799,4890.65,0.684313875975983
TNNI1,150.68,5163.6055712361685,4908.64,0.6842796960418118
AIG1,328.64,5163.793021245138,4867.42,0.684268234714452
CTTN,209.36,5163.906587524974,4869.11,0.6842612908881092
MIR124-1HG,237.68,5164.283070665753,4878.74,0.6842382714359063
H2BC11,212.82,5164.52292978942,4882.35,0.6842236056380666
ENSG00000288743,330.8,5164.738080248243,4843.2,0.6842104506115412
MAP2,253.02,5164.989176710777,4926.5,0.6841950977248072
SPDYC,215.58,5165.049718372919,4880.94,0.6841913960028787
MYH6,133.82,5166.060281532052,4879.63,0.6841296067543838
NFASC,339.32,5166.305657041587,4918.95,0.6841146036660601
ACTN2,147.3,5166.938968705609,4907.16,0.6840758808495501
PKP1,216.74,5167.000702875883,4888.37,0.6840721062136421
MUC5B,273.32,5167.180548756727,4899.82,0.6840611098283872
ANKRD1,199.44,5167.361353582074,4886.15,0.684050054810023
CAMSAP3,274.44,5167.602611165657,4895.08,0.6840353035056156
CABP5,189.64,5168.961439412293,4868.77,0.6839522201521069
RHCG,172.26,5169.035722309977,4933.09,0.6839476782445749
TRDN,215.14,5169.1850249854515,4924.25,0.6839385493741699
PDGFA,301.6,5169.21902037117,4898.9,0.6839364707813409
FAM3B,255.84,5169.266816803052,4899.91,0.6839335483458849
ENSG00000294153,204.86,5169.556703553931,4908.57,0.6839158236897627
SDCBP2,309.58,5169.67704179373,4886.3,0.6839084658028902
PDGFRA,302.66,5169.864076449601,4903.46,0.6838970298716233
KIF1A,196.9,5169.873919587979,4946.48,0.683896428028861
ICA1,265.16,5170.031561553465,4890.97,0.6838867892660676
SPRR3,145.86,5170.186736241967,4922.15,0.6838773013609314
SYNE3-AS1,308.48,5170.318639807076,4885.27,0.6838692363309644
CTRB2,229.7,5170.591433400294,4904.89,0.6838525568082976
ENSG00000226266,352.38,5170.712781106413,4929.31,0.6838451371992411
KRT13,107.26,5170.897669677035,4912.11,0.6838338324868827
CKM,96.52,5171.29761648553,4916.97,0.6838093783866994
H3C10,195.06,5171.306932505558,4946.75,0.6838088087737354
CEL,192.64,5171.6950013480955,4885.41,0.683785080932553
VEPH1,214.68,5172.025066013187,4910.01,0.6837648996629051
ACTG2,180.28,5172.4707860920535,4926.62,0.6837376468302016
IGHV2-70D,217.2,5172.655492432717,4902.43,0.6837263532599989
UQCRFS1P1,264.9,5173.746505871397,4918.23,0.6836596450093918
CARMN,253.1,5173.770963764717,4900.07,0.6836581495710965
PGC,167.5,5174.048244590045,4914.59,0.6836411956838859
VSTM1,165.16,5174.078021168184,4910.67,0.6836393750432171
GPRC5C,304.08,5174.555713511345,4892.35,0.683610167318169
CPE,216.32,5174.835496341785,4948.55,0.6835930604499061
PNLIP,218.32,5175.052280307254,4941.71,0.6835798055452611
ENSG00000285618,270.62,5175.14344935375,4893.73,0.683574231161495
CLEC2L,207.2,5175.750400919153,4902.43,0.683537120090544
ZNF385D,283.56,5175.833627063196,4909.14,0.6835320313626905
C1R,305.0,5176.36695748281,4896.86,0.6834994217375231
SRL,240.96,5177.391519718582,4907.12,0.6834367765381485
ITGA8,262.72,5177.395160333131,4916.88,0.6834365539386652
UCHL1,226.08,5177.695588707338,4927.56,0.6834181847320491
CELA3A,199.7,5178.917288552296,4917.34,0.6833434858726815
DRC7,218.12,5179.1014027924875,4897.08,0.6833322285055037
NEBL,193.46,5179.306969719663,4933.36,0.6833196594485074
MYOZ1,195.6,5179.413340333671,4962.23,0.6833131555895035
ATP1A4,216.68,5179.41437444799,4921.06,0.6833130923602575
MTURN,270.92,5179.557208731954,4893.55,0.6833043589891804
