gene,train_mean_count,train_obs_sd,predicted_sd_tech,obs_sd_over_tech_sd,n_merged_intervals,total_band_width,frac_holdouts_outside
PARP15,1198.8783855793238,1157.4555476989158,171.37719305789005,6.753848204923832,2,9345.193899223219,0.04
ACSM3,113.94514241184525,94.64718150859511,19.194313058957256,4.931001240725667,1,769.3234317348075,0.04
TRDV2,37.42200475715521,81.40076943471487,8.054189653964471,10.10663678557003,1,1026.9507476230535,0.04
ENSG00000304862,121.2929856697944,78.86587938447968,20.239761801329983,3.896581400444016,1,592.7014239173137,0.04
HORMAD1,22.149385807475095,23.862351374943625,5.636049460728971,4.233878985841485,1,202.13311994886055,0.04
SNHG1,1254.0430167857405,911.0154786127849,179.10184594411007,5.086577828444456,1,9286.276860385839,0.04
LCN10,193.5454991815532,196.43686605061197,30.459132623055943,6.449194351053835,1,1853.980372776992,0.04
NRAP,148.5482551115444,846.1871777141721,24.10504725999433,35.10414929235742,2,13709.148178089645,0.04
CDC7,126.1341708838148,102.4573003115296,20.927656833696023,4.895784612951084,1,1022.4602816779536,0.04
FAM136A,421.7115556984131,199.57406648407186,62.509103540253236,3.192720022861223,1,1614.2064791097184,0.04
LINC02967,1395.7366687301135,1089.1183717881647,198.94250751941294,5.474538274239294,2,8857.524135896096,0.02
PDK1,1553.892967994955,1215.868630652067,221.08759970944706,5.49948813162728,1,10498.863776541062,0.02
ATR,403.90124925282197,245.0734927035002,60.01142511683447,4.083780583886716,1,2147.8911094245645,0.02
STIP1,4535.1291085848925,5195.629691709287,638.4795151973565,8.13750412979702,1,91895.00915313234,0.02
SLX4IP,168.25497267560812,82.89931927857742,26.890998399928794,3.0827906813157573,1,551.4216874448497,0.02
NUDC,2542.545846155068,1595.0770820262806,359.5101079110888,4.436807330103671,1,20293.51451138714,0.02
GEN1,174.2937536831513,125.34408225553177,27.74362413444261,4.517941911558774,2,1889.8617471301964,0.02
IGHV3-30,499.2759415883427,1148.4786906776678,73.38320429244894,15.650429846327182,1,16184.997679710748,0.02
IGHV3-33,302.0221607570039,544.3462370984466,45.71523726601736,11.90732608322453,1,7860.759971622701,0.02
CREB1,1579.1944192755695,570.0094975567272,224.63025773735203,2.5375454905242925,1,4660.435777710349,0.02
SNAP25,30.771583365307478,50.5210870645404,7.023577014908117,7.193070846565114,1,721.7266459486033,0.02
UVRAG,1074.1630116329013,462.5310140414003,153.91281965000215,3.005149376726358,1,3132.804383325063,0.02
ENSG00000301612,283.1122740563478,209.70842063380948,43.059289875646314,4.87022478167754,1,1571.166956747992,0.02
CCNE2,28.41042084223666,17.812725403282073,6.6506090161671185,2.678360035897571,1,142.4463066489986,0.02
PDE6B,100.18562315963317,62.708973514456474,17.231190942072462,3.639271001364356,1,406.1726551841731,0.02
HIP1R,1606.1672619700375,1398.6449632000454,228.40692507252678,6.123478798884618,1,9663.192250647879,0.02
HNRNPA2B1,18069.554430719552,6192.340965343734,2533.3065313924326,2.444370978643517,1,63952.00292751236,0.02
ZNF557,145.91324438418445,87.29916849215068,23.732055793038068,3.678533762665449,1,655.5151226119428,0.02
TIMM23B,106.1977513956912,87.01931299614213,18.089936828665586,4.810371303135234,1,617.5586752129512,0.02
ZBTB5,323.9608241069981,229.55462090311684,48.795418729695015,4.704429778023787,1,2144.151514343245,0.02
SCAMP1,400.0907378054776,214.81320021507844,59.477001168258425,3.611701935129163,1,1553.2779900562095,0.02
SGMS1-AS1,105.02547953357093,65.27370176560154,17.922621627937104,3.6419728720855975,1,599.2383689010189,0.02
ZFP36L1,28208.970874331193,22779.788911304986,3952.8257375624466,5.762912514669162,1,230232.165048589,0.02
SASH1,138.195023332633,122.64349964158006,22.63875365432492,5.417413940460021,1,1093.7777238395456,0.02
ELANE,8576.015908574673,15704.977309984695,1204.2083597307578,13.041744132631734,2,255410.08119030006,0.02
PPP1R16B,2523.326888496764,3066.273435442985,356.81932007421864,8.593350367926261,1,27245.51917685767,0.02
CEP95,500.14161405126043,293.96856384360024,73.50454164556731,3.9993251745054312,1,3308.5548818802386,0.02
CCDC85C,823.7961669913274,662.7617943095029,118.8492432120775,5.576491497946306,1,5549.987572826103,0.02
ENSG00000280143,265.8654792632411,229.37420014819634,40.635954022455905,5.644612158519558,1,2128.219744181782,0.02
CBLN3,92.81503051530318,75.74718496863746,16.175962918806835,4.682700210728765,1,728.9568813659645,0.02
TRIAP1,202.2178008167411,114.82060712980413,31.681252572666082,3.6242445549286435,1,1542.9119316029896,0.02
SLC38A1,2805.5194256525465,2395.926790776462,396.32805689333037,6.045312082009155,1,19669.693206953478,0.02
ENSG00000288730,30.832502476293516,30.019183012294167,7.033143633662417,4.268245407162554,1,275.7212574129256,0.02
PPFIA4,110.42854350753268,98.2764853817072,18.693314918519814,5.257306465443583,2,1591.0094436499262,0.02
MYH2,368.5001715079203,3107.9354108063167,55.04571508278104,56.46098712919648,2,63673.09799014749,0.02
LDAH,202.2958808246501,116.72589427702799,31.692252987719613,3.683104963293646,1,1185.0255784985918,0.02
MRI1,290.62809120434855,179.53779112082918,44.11503104597319,4.069764587351851,1,1753.920116061046,0.02
ICA1,180.7270102738235,105.5661304596629,28.651477348072508,3.684491699230467,1,1146.9325923020376,0.02
RAD51D,394.271998684976,219.72767665704032,58.66088998683085,3.745726952086277,1,1784.7662412216987,0.02
CIITA,1799.396316320121,1390.8724174332563,255.46194929729552,5.444538496864828,1,12616.702622275818,0.02
WWP1,629.5656708465424,458.1024188385367,91.64105616726764,4.998877555518198,1,5013.6007541467725,0.02
ENSG00000285618,22.08327969284037,19.536782482548684,5.625089869138786,3.4731502850708784,1,150.43565424004174,0.02
CLEC4G,67.87947897358937,64.39406289221796,12.577316996156938,5.11985687503097,1,734.2334258705716,0.02
CHROMR,152.09373853938166,106.46991804516126,24.606723521752,4.326862857261079,1,967.0438894306135,0.02
FCER2,749.3849841060689,762.006810479853,108.42652318698444,7.027863552958826,1,8557.417531072966,0.02
CD79B,1820.5419644160895,1504.2079949593945,258.4226260038698,5.820728696321154,2,22029.216886005455,0.02
PPP1R12B,2162.9176340558565,1431.3872598958396,306.35908080480925,4.672253409742472,1,15087.129797163596,0.02
SPINDOC,319.3119657511521,228.60201450278527,48.14281402867624,4.748414049220692,1,2329.969300092443,0.02
