gene,mean_train,max_train,uncov_k0.1,hin_rate_k0.1,n_intervals_k0.1
CD1A,63.79089724958189,26340.69480924462,0.9800369773658033,0.98,15
DEFB1,44.5179982129552,19628.169816941154,0.9748107632938416,0.82,19
LAMP5,47.66183274830134,9959.259987225134,0.9695319466282062,0.96,12
EPOP,52.66089998900008,11378.564768630704,0.9684715608832055,1.0,16
IGHV3-73,132.12313489371695,40875.386381138575,0.9668805739782965,1.0,28
SAA2,729.2461432589453,286319.08070000226,0.9622143156535184,0.76,51
ANKRD13B,87.35759231476322,12189.71492213037,0.9578436766694711,0.98,14
STAR,34.14493064301032,7845.3275803219985,0.9567586573056571,0.92,27
IGKV2-29,87.06917006260653,21793.428424715326,0.9560066771193383,0.92,28
CRNN,61.93082336897466,15416.712621578457,0.9555155166600073,0.7,15
SAA1,594.7431720969968,200614.6693940604,0.9554557783623352,0.9,49
KCNE5,107.56356339836695,15532.48550342438,0.953844311980794,1.0,14
MUC5B,31.91629753589727,6408.074955026386,0.9533862955185965,0.98,17
CYP2U1,81.2103888948825,8779.24345029294,0.9520456247733066,0.94,12
RHCG,56.28319158398754,12983.25013729473,0.9512855139777224,0.74,19
SPRR3,93.70622041968574,20704.93206404676,0.9512270965718191,0.7,17
SYNPO2,142.71867918816528,22961.72336475576,0.951067392735201,0.98,28
PTK7,62.70689916497919,5993.39370103993,0.9497806462786547,0.96,13
IGLV2-18,119.30379832939747,26050.15316092308,0.9481890125783293,0.92,23
XIRP2,60.39162959266857,13591.590949372781,0.9470106460467336,0.76,22
PRL,163.45802714339345,30669.813082915607,0.9466164842319796,0.8,23
CYP11B1,50.65635084843108,11877.704665527557,0.9456084785797835,0.62,31
KLHL41,105.23857254603661,22238.829956019887,0.9388819312905604,0.8,27
RNASE2CP,322.32207279483725,27361.966562513357,0.9385061455604583,0.96,25
TUBB4A,82.40821094889867,8294.68132693375,0.9371575540552358,0.92,12
SFTPB,180.96256825608035,40125.89667675258,0.9364706311078119,0.94,26
TNNI3,32.625062261043574,4756.490118394963,0.9347429502653745,0.9,17
HAMP,156.12835505591136,36400.999669807345,0.9318962004178756,0.84,39
BAAT,117.85430637341716,27498.83562964722,0.9314347638110556,0.72,41
IGHV3-74,550.2688394533795,94029.87719519078,0.9312016374435672,0.96,45
S100A14,27.098719401384432,3832.652160377783,0.9305437264394207,0.84,16
CYP2C8,67.41982722320064,13364.082338276205,0.930314008826849,0.88,30
KRT6A,107.14989718898269,17786.622168193444,0.9299802155828585,0.86,26
KRT13,273.08408753609416,42501.539589661406,0.929584984192476,0.92,20
GRIN2D,38.92253581873761,2727.128413509647,0.928434221979292,0.98,19
NAT14,109.67248226871699,4840.219396746851,0.9270248349772199,1.0,12
PRR4,32.96254909372562,1970.0543617930477,0.9255610126249102,0.96,13
ADPRHL1,64.73224668933418,6529.937981390967,0.9249508023551657,0.94,24
CLC,2926.7611869408934,309197.04202518257,0.9249466099462442,0.94,35
CCL23,39.61705690603868,5683.922588256685,0.9243254222474903,0.86,18
CRP,340.81116573244424,73696.30661358198,0.9239704740983592,0.58,45
ZG16B,67.3499670210181,7701.121596100095,0.9237165430374663,0.94,24
AZGP1,97.53987410809842,16866.796533040546,0.9230946316327036,0.92,35
CYP3A4,212.68274008209636,44038.174867761496,0.922334583458835,0.66,57
SAA4,70.46143557752858,14848.723228397286,0.9220596340611142,0.6,39
CD209,54.10531279637951,5996.899225448866,0.9216639893804823,0.92,25
FABP1,327.7981602724664,61307.048324866664,0.9202327812858107,0.66,52
SULF1,37.95331517120017,5977.3497284696705,0.9197683512919628,0.84,32
CIB2,51.419644676847874,3080.072242057865,0.9195079658174102,0.98,11
