gene	n_intervals	min_lower	max_upper	total_width	intervals
WASH7P	1	2.7875182594899934	1384.8602214800699	1382.0727032205798	2.8-1384.9
ENSG00000241860	2	0.0	715.0706159170977	710.0639197895682	0.0-387.4; 392.4-715.1
CICP27	1	0.0	925.5195106021004	925.5195106021004	0.0-925.5
ENSG00000308579	1	117.201193592362	9582.41575461457	9465.214561022209	117.2-9582.4
ENSG00000268903	1	0.0	1941.00378043583	1941.00378043583	0.0-1941.0
ENSG00000269981	1	137.35597686065012	10437.128460807546	10299.772483946896	137.4-10437.1
WASH9P	1	6.332989229339208	944.2934718559583	937.9604826266191	6.3-944.3
ENSG00000292994	1	0.0	697.6889769111981	697.6889769111981	0.0-697.7
ENSG00000290385	1	21.17315517385285	3692.634082369493	3671.46092719564	21.2-3692.6
ENSG00000250575	1	0.0	957.7482805067098	957.7482805067098	0.0-957.7
LINC00115	1	27.408144425864528	4035.9798567848743	4008.57171235901	27.4-4036.0
MTND1P23	2	0.0	14801.724607279479	14245.257663655419	0.0-328.4; 884.9-14801.7
MTND2P28	2	15.581226794538788	26021.143253567774	25994.88932868798	15.6-46.6; 57.3-26021.1
MTCO1P12	1	37.87589675618486	34613.47637053135	34575.600473775165	37.9-34613.5
MTCO2P12	2	0.0	5101.633285255711	4744.508665102657	0.0-588.2; 945.3-5101.6
MTATP6P1	4	80.32849027915039	157206.6871516024	117379.25113679658	80.3-174.4; 183.3-584.9; 1088.8-49177.7; 88412.1-157206.7
MTCO3P12	2	0.5610502565429808	5283.438851258092	5210.316000204273	0.6-772.7; 845.2-5283.4
LINC01128	1	25.835475397929432	2464.8937304304927	2439.0582550325635	25.8-2464.9
NOC2L	1	176.61716141527648	5913.899379035774	5737.282217620497	176.6-5913.9
KLHL17	1	21.522528438876282	2741.2348447155064	2719.71231627663	21.5-2741.2
PLEKHN1	2	0.0	552.0377820864309	527.614691986262	0.0-276.2; 300.6-552.0
HES4	1	0.0	8130.126566442124	8130.126566442124	0.0-8130.1
ISG15	1	17.82782195064116	35720.01395824264	35702.186136292	17.8-35720.0
AGRN	1	4.594223415571486	2052.6309155657214	2048.03669215015	4.6-2052.6
C1orf159	1	37.25593619855289	2357.408704009213	2320.1527678106604	37.3-2357.4
TNFRSF18	1	2.1631180492934456	4576.00151662694	4573.838398577647	2.2-4576.0
TNFRSF4	1	0.3403152129253865	3321.6490419969646	3321.308726784039	0.3-3321.6
SDF4	1	575.4649942174744	9267.32179472076	8691.856800503285	575.5-9267.3
B3GALT6	1	7.521865355036481	1619.4831506438234	1611.961285288787	7.5-1619.5
C1QTNF12	1	0.0	272.1327153088209	272.1327153088209	0.0-272.1
UBE2J2	1	265.8063245263841	4435.4038079229895	4169.597483396606	265.8-4435.4
LINC01786	1	0.0	234.24104778243085	234.24104778243085	0.0-234.2
SCNN1D	1	7.4502538722389	1638.0087479840395	1630.5584941118007	7.5-1638.0
ACAP3	2	317.099568726824	16446.844710040277	14464.18852513299	317.1-7576.5; 9242.1-16446.8
PUSL1	1	18.2418446485859	1012.8153200049986	994.5734753564127	18.2-1012.8
INTS11	1	645.4307084041546	10557.170140784481	9911.739432380327	645.4-10557.2
ENSG00000240731	1	0.0	255.08604378370347	255.08604378370347	0.0-255.1
CPTP	1	115.672358490854	4731.874759090348	4616.202400599494	115.7-4731.9
TAS1R3	1	0.0	613.907477367097	613.907477367097	0.0-613.9
DVL1	1	133.43364996237474	4551.490740208436	4418.057090246061	133.4-4551.5
MXRA8	1	3.0177678568810293	887.7567447969598	884.7389769400787	3.0-887.8
AURKAIP1	1	527.0589440299814	10154.360064085646	9627.301120055665	527.1-10154.4
CCNL2	1	622.1090344498186	25917.537449786207	25295.428415336388	622.1-25917.5
MRPL20-AS1	1	31.471830745496653	1704.7480983445048	1673.2762675990082	31.5-1704.7
