gene	n_merged_intervals	total_band_width	frac_holdouts_outside
WASH7P	1	1382.0727032205798	0.0
ENSG00000241860	2	710.0639197895682	0.0
CICP27	1	925.5195106021004	0.020000000000000018
ENSG00000308579	1	9465.214561022209	0.0
ENSG00000268903	1	1941.00378043583	0.0
ENSG00000269981	1	10299.772483946896	0.0
WASH9P	1	937.9604826266191	0.0
ENSG00000292994	1	697.6889769111981	0.0
ENSG00000290385	1	3671.46092719564	0.0
ENSG00000250575	1	957.7482805067098	0.0
LINC00115	1	4008.57171235901	0.0
MTND1P23	2	14245.257663655419	0.020000000000000018
MTND2P28	2	25994.88932868798	0.0
MTCO1P12	1	34575.600473775165	0.0
MTCO2P12	2	4744.508665102657	0.020000000000000018
MTATP6P1	4	117379.25113679658	0.0
MTCO3P12	2	5210.316000204273	0.0
LINC01128	1	2439.0582550325635	0.0
NOC2L	1	5737.282217620497	0.0
KLHL17	1	2719.71231627663	0.0
PLEKHN1	2	527.614691986262	0.0
HES4	1	8130.126566442124	0.0
ISG15	1	35702.186136292	0.0
AGRN	1	2048.03669215015	0.0
C1orf159	1	2320.1527678106604	0.0
TNFRSF18	1	4573.838398577647	0.0
TNFRSF4	1	3321.308726784039	0.0
SDF4	1	8691.856800503285	0.0
B3GALT6	1	1611.961285288787	0.0
C1QTNF12	1	272.1327153088209	0.0
UBE2J2	1	4169.597483396606	0.0
LINC01786	1	234.24104778243085	0.0
SCNN1D	1	1630.5584941118007	0.0
ACAP3	2	14464.18852513299	0.0
PUSL1	1	994.5734753564127	0.0
INTS11	1	9911.739432380327	0.0
ENSG00000240731	1	255.08604378370347	0.0
CPTP	1	4616.202400599494	0.0
TAS1R3	1	613.907477367097	0.0
DVL1	1	4418.057090246061	0.0
MXRA8	1	884.7389769400787	0.0
AURKAIP1	1	9627.301120055665	0.0
CCNL2	1	25295.428415336388	0.0
MRPL20-AS1	1	1673.2762675990082	0.0
MRPL20	1	3009.15897378653	0.0
MRPL20-DT	1	657.4903906291496	0.0
VWA1	1	259.9668090761834	0.0
ATAD3C	1	421.47859305136313	0.0
ATAD3B	1	3343.8367113724767	0.0
ATAD3A	1	2548.645682229658	0.0
TMEM240	1	146.8509542722185	0.0
SSU72	1	13154.877099630397	0.0
FNDC10	1	1007.9298362490017	0.0
ENSG00000286989	1	205.00875292703265	0.0
ENSG00000272106	1	575.8199368629622	0.0
MIB2	1	10161.847220024049	0.0
MMP23B	1	273.86060153219904	0.0
CDK11B	1	6143.371473995418	0.0
SLC35E2B	1	10918.806220314935	0.0
ENSG00000293187	1	1232.5266227147054	0.0
ENSG00000310190	1	428.7535346817751	0.0
CDK11A	3	5197.267076502598	0.0
ENSG00000293188	1	3078.4532129325175	0.0
ENSG00000290854	1	420.5051328697554	0.0
NADK	1	52734.65357022459	0.0
GNB1	1	29307.58962009645	0.0
PRKCZ	1	3751.914812740297	0.0
ENSG00000271806	1	274.3593160067612	0.0
PRKCZ-AS1	1	1761.7089487396445	0.0
FAAP20	1	4440.898992494081	0.0
SKI	1	10483.054105089603	0.0
ENSG00000287356	1	215.27699607044656	0.0
MORN1	1	193.71799300039345	0.0
ENSG00000292993	1	181.87967504669226	0.0
RER1	1	8227.911518948475	0.0
PEX10	1	541.1544282022732	0.0
PLCH2	1	12336.895564000251	0.0
PANK4	1	4042.3187647500613	0.0
ENSG00000272449	1	1197.2150993992834	0.0
TNFRSF14-AS1	1	1350.6049922845843	0.0
TNFRSF14	1	18095.402499487565	0.0
ENSG00000228037	1	224.77761044349316	0.0
PRXL2B	1	2384.161349111773	0.0
TTC34	1	515.5265932394477	0.0
MEGF6	1	11981.260390420715	0.0
ENSG00000238260	1	792.1078211239601	0.0
TPRG1L	1	8804.064488282085	0.0
WRAP73	1	2502.600339186424	0.0
TP73	1	339.5472386311174	0.0
GFOD3P	1	1877.2324817537763	0.0
SMIM1	1	23394.0077441483	0.0
LRRC47	1	2529.0338779592553	0.0
CEP104	1	2567.034493300502	0.0
DFFB	1	1198.2285996909882	0.0
C1orf174	1	3065.145005944384	0.0
LINC01134	1	381.64979278654596	0.0
ENSG00000300565	1	1255.1186382391488	0.0
ENSG00000287586	1	1048.635997370493	0.0
NPHP4	1	1573.8841317956899	0.0
KCNAB2	1	53449.638256563994	0.0
RPL22	1	21032.502428193136	0.0
RNF207	2	809.7314564763878	0.0
ICMT	1	3198.799811661207	0.0
GPR153	1	1877.9313571208697	0.0
ACOT7	1	3073.210144879162	0.0
ESPN	1	9040.773235763329	0.0
TNFRSF25	1	4915.196413220247	0.0
PLEKHG5	2	1517.1457082605496	0.0
NOL9	1	2109.6750149235236	0.0
ZBTB48	1	6049.999543345452	0.0
KLHL21	1	20391.647833290564	0.0
PHF13	2	6043.977974536501	0.0
THAP3	1	1568.737974594516	0.0
DNAJC11	1	1471.6387206419784	0.0
CAMTA1	1	1549.0095963218996	0.0
VAMP3	1	11345.767233544206	0.0
ENSG00000269925	1	162.79918939450133	0.0
PER3	1	573.70596051241	0.0
UTS2	1	1513.8446205044245	0.0
TNFRSF9	1	2721.837219980142	0.0
PARK7	1	10666.28787568696	0.0
ENSG00000284747	1	180.18340831798074	0.0
ERRFI1	2	11790.57404874128	0.0
SLC45A1	1	281.7288731701549	0.0
RERE	1	23440.089124878727	0.0
RERE-AS1	1	1039.4256202202423	0.0
ENO1	1	218979.20632775995	0.0
ENSG00000310107	2	564.7529830660384	0.0
SLC2A5	1	7300.914871764085	0.020000000000000018
GPR157	1	924.7549886653626	0.0
H6PD	1	12470.685619850881	0.0
SPSB1	1	1725.8924443719393	0.0
SLC25A33	2	821.817124141739	0.0
TMEM201	1	982.5600424137784	0.0
PIK3CD	1	57444.43065922548	0.0
PIK3CD-AS1	1	1383.399750737789	0.0
CLSTN1	2	14368.531332332286	0.0
CTNNBIP1	1	1535.486742147248	0.0
LZIC	1	1658.1360767343022	0.0
NMNAT1	1	1926.971769715757	0.0
RBP7	1	3858.76837489845	0.0
UBE4B	1	4773.022814334857	0.0
KIF1B	1	15270.363413926625	0.0
ENSG00000284735	1	469.0982743597129	0.0
ENSG00000284642	1	437.3331114481762	0.0
PGD	1	227442.23024228678	0.0
CENPS	1	328.5909210474974	0.0
DFFA	1	1946.9870751028793	0.0
PEX14	1	2811.740558943597	0.0
CASZ1	1	1661.3089541824174	0.0
ENSG00000272078	1	881.1350952664798	0.0
TARDBP	1	10241.315581920673	0.0
MASP2	2	2244.844421778992	0.0
SRM	1	8834.493738999217	0.0
EXOSC10-AS1	1	958.0517464477673	0.0
EXOSC10	1	4449.537360412487	0.0
MTOR	1	4158.050237334871	0.0
UBIAD1	1	2159.6145263246526	0.0
FBXO2	1	1880.4199394629663	0.0
FBXO44	1	5653.069848888982	0.0
MAD2L2	1	5737.559403946539	0.0
FBXO6	1	5523.371851987457	0.0
DRAXIN	1	2263.5757121771185	0.0
ENSG00000305789	1	761.1338453035833	0.0
AGTRAP	1	53515.91053302209	0.0
MTHFR	1	6162.811673617923	0.0
CLCN6	1	3304.605670554044	0.020000000000000018
NPPA	2	3533.4479551640034	0.020000000000000018
ENSG00000285646	1	180.05829625132827	0.0
KIAA2013	1	21504.897245865624	0.0
PLOD1	1	20294.900201488832	0.0
MFN2	1	24901.04746351189	0.0
MIIP	1	15196.88209212013	0.0
TNFRSF8	1	3256.9528448020333	0.0
