k_sd,mean_n_neighbors,obs_n_ge2,null_n_ge2,fold_n_ge2,obs_n_ge5,null_n_ge5,fold_n_ge5,obs_max,null_max
10.0,668.6135677162948,131.7,7.7,17.1038961038961,32.9,1.4,23.5,827.5,194.1
5.0,537.0029654539896,1.6,0.0,1600000000.0,0.4,0.0,400000000.0,4.1,1.0
3.0,366.9584041577499,0.1,0.0,100000000.0,0.0,0.0,0.0,1.1,1.0
2.0,253.90726994802813,0.3,0.0,300000000.0,0.0,0.0,0.0,1.1,1.0
1.0,129.704775298074,0.4,0.0,400000000.0,0.0,0.0,0.0,1.3,1.0
0.5,65.58433506572912,1.7,0.0,1699999999.9999998,0.0,0.0,0.0,1.7,1.0
0.25,33.367263833690004,8.2,0.3,27.333333333333332,0.1,0.0,100000000.0,2.6,1.3
0.1,13.989202078874962,56.6,22.7,2.493392070484582,2.6,0.0,2600000000.0,5.0,3.1
0.05,7.544989299908286,226.5,281.8,0.8037615330021292,33.8,10.3,3.281553398058252,10.2,6.2
0.025,4.316196881687558,581.8,739.4,0.7868542061130646,204.2,310.1,0.6584972589487261,17.0,13.2
0.01,2.3790094772240904,778.3,803.0,0.9692403486924034,491.7,631.6,0.7784990500316655,33.1,27.5
