geneid	chrm_probe	s1	s2
A1BG	19	58858172	58864865
A1BG-AS1	19	58863336	58866549
A1CF	10	52559169	52645435
A2LD1	13	101182418	101241046
A2M	12	9220304	9268558
A2ML1	12	8975150	9029377
A4GALT	22	43088127	43116876
A4GNT	3	137842560	137851229
AAA1	7	34386124	34873943
AAAS	12	53701240	53715412
AACS	12	125549925	125627871
AACSP1	5	178191864	178203277
AADAC	3	151531861	151546276
AADAT	4	170981373	171011372
AAGAB	15	67493367	67547074
AAK1	2	69685127	69870977
AAMP	2	219128852	219134893
AANAT	17	74449433	74466199
AARS	16	70286297	70323412
AARS2	6	44266463	44281063
AARSD1	17	41102543	41132545
AASDH	4	57204457	57253638
AASDHPPT	11	105948292	105969419
AASS	7	121713598	121784344
AATF	17	35306175	35414171
AATK	17	79091096	79139872
ABAT	16	8768444	8878432
ABCA1	9	107543284	107690527
ABCA10+ABCA5	17	67144148	67323323
ABCA12	2	215796266	216003151
ABCA13	7	48211057	48687091
ABCA17P	16	2390923	2476700
ABCA2	9	139901686	139923374
ABCA3	16	2325879	2390747
ABCA4	1	94458394	94586705
ABCA6	17	67074847	67138015
ABCA7	19	1040102	1065570
ABCA8	17	66863431	66951533
ABCA9	17	66970773	67057136
ABCB1	7	87132948	87342564
ABCB10	1	229652329	229694442
ABCB11	2	169779449	169887833
ABCB4	7	87031361	87105019
ABCB5	7	20655245	20796637
ABCB6	2	220074488	220083712
ABCB8	7	150725510	150744869
ABCB9	12	123413539	123459752
ABCC1	16	16043434	16236930
ABCC10	6	43395292	43418163
ABCC11	16	48200822	48269088
ABCC12	16	48116884	48180681
ABCC13	21	15646120	15673692
ABCC2	10	101542463	101611662
ABCC3	17	48712218	48769063
ABCC4	13	95672083	95953687
ABCC5	3	183637724	183735727
ABCC6	16	16243422	16317328
ABCC6P1	16	18582570	18609607
ABCC6P2	16	14916289	14918559
ABCC8	11	17414432	17498449
ABCC9	12	21950324	22089628
ABCD2	12	39945022	40013843
ABCD3	1	94883933	94984219
ABCD4	14	74751980	74769767
ABCE1	4	146019156	146050676
ABCF1	6	30539170	30559309
ABCF2	7	150904923	150924317
ABCF3	3	183903863	183911795
ABCG1	21	43619799	43717354
ABCG2	4	89011416	89080011
ABCG4	11	119019750	119033374
ABCG5	2	44039611	44065958
ABCG8	2	44066103	44105605
ABHD1	2	27346657	27353680
ABHD10	3	111697828	111712210
ABHD11	7	73150425	73153190
ABHD12	20	25275379	25371477
ABHD12B	14	51338878	51371688
ABHD13	13	108870763	108886603
ABHD14A-ACY1+ABHD14A+ACY1	3	52009042	52023218
ABHD14B	3	52002526	52008646
ABHD15	17	27887689	27894042
ABHD16A	6	31654726	31671137
ABHD16B	20	62492566	62494341
ABHD2	15	89631381	89745591
ABHD3	18	19230858	19284766
ABHD4	14	23067147	23081265
ABHD5	3	43732375	43764217
ABHD6	3	58223259	58280461
ABHD8	19	17402940	17414282
ABI1	10	27035525	27150016
ABI2	2	204193003	204296892
ABI3	17	47287589	47300587
ABI3BP	3	100468179	100712334
ABL1	9	133589268	133763062
ABL2	1	179068462	179198819
ABLIM1	10	116190869	116444414
ABLIM2	4	7967037	8160559
ABLIM3	5	148521054	148639999
ABO	9	136130563	136150630
ABP1	7	150549573	150558379
ABR	17	906759	1090616
ABRA	8	107771711	107782472
ABT1	6	26597180	26600277
ABTB1	3	127391781	127399769
ABTB2	11	34172534	34379555
ACAA1	3	38164201	38178733
ACAA2	18	47309874	47340251
ACACA	17	35441927	35766902
ACACB	12	109577202	109706030
ACAD10	12	112123857	112194911
ACAD11	3	132276982	132378975
ACAD8	11	134123434	134135746
ACAD9	3	128598333	128631957
ACADL	2	211052716	211090215
ACADM	1	76190043	76229355
ACADS	12	121163571	121177811
ACADSB	10	124768429	124817806
ACADVL	17	7123153	7128585
ACAN	15	89346674	89418585
ACAP1	17	7239848	7254793
ACAP2	3	194995465	195163817
ACAP3	1	1227764	1243269
ACAT1	11	107992258	108018891
ACAT2	6	160182989	160200087
ACBD3	1	226332380	226374423
ACBD4	17	43209967	43221543
ACBD5	10	27484143	27531068
ACBD6	1	180257352	180472022
ACBD7	10	15117474	15130775
ACCN1	17	31340106	32483825
ACCN2	12	50451487	50477394
ACCN3	7	150745605	150749843
ACCN4	2	220378892	220403494
ACCS	11	44087729	44105569
ACCSL	11	44069531	44081527
ACD	16	67691415	67694718
ACE	17	61554422	61575741
ACER1	19	6306510	6333640
ACER2	9	19408925	19452500
ACER3	11	76571917	76734850
ACHE	7	100487615	100493541
ACIN1	14	23527774	23564823
ACLY	17	40023179	40075272
ACMSD	2	135596186	135659602
ACN9	7	96745905	96811075
ACO1	9	32384601	32450832
ACO2	22	41865129	41924993
ACOT1	14	74003928	74010498
ACOT11	1	55013807	55100417
ACOT12	5	80625947	80689988
ACOT13	6	24667263	24705295
ACOT2	14	74035772	74042359
ACOT4	14	74058410	74062470
ACOT6	14	74083548	74086592
ACOT7	1	6324332	6453826
ACOT8	20	44470360	44486048
ACOX1	17	73937589	73975515
ACOX2	3	58490863	58522929
ACOX3	4	8368009	8442452
ACOXL	2	111490150	111875799
ACP1	2	264869	278282
ACP2	11	47260853	47270457
ACP5	19	11685475	11689801
ACP6	1	147119168	147142634
ACPL2	3	140950682	141013486
ACPP	3	132036211	132087146
ACPT	19	51293672	51298481
ACR	22	51176652	51183727
ACRBP	12	6747242	6756580
ACRV1	11	125542229	125550942
ACSBG1	15	78463187	78527049
ACSBG2	19	6135710	6193112
ACSF2	17	48503519	48552200
ACSF3	16	89160254	89222169
