gene,expression
A1BG,25
A1CF,411
A2M,144
A2ML1,0
A4GALT,95
A4GNT,0
AA06,0
AAAS,425
AACS,393
AACSP1,0
AADAC,139
AADACL2,0
AADACL3,0
AADACP1,4
AADAT,63
AAED1,308
AAGAB,427
AAK1,628
AAMDC,206
AAMP,589
AANAT,0
AAR2,240
AARD,15
AARS,1356
AARS2,50
AARSD1,26
AASDH,145
AASDHPPT,336
AASS,31
AATBC,0
AATF,484
AATK,98
ABAT,386
ABCA1,73
ABCA10,21
ABCA11P,10
ABCA12,1
ABCA13,2
ABCA17P,19
ABCA2,387
ABCA3,264
ABCA4,15
ABCA5,472
ABCA6,9
ABCA7,119
ABCA8,23
ABCA9,2
ABCB1,263
ABCB10,140
ABCB11,0
ABCB4,15
ABCB5,0
ABCB6,24
ABCB7,105
ABCB8,118
ABCB9,55
ABCC1,123
ABCC10,90
ABCC11,2
ABCC12,0
ABCC13,19
ABCC2,1
ABCC3,188
ABCC4,43
ABCC5,202
ABCC6,2
ABCC6P1,2
ABCC6P2,34
ABCC8,4058
ABCC9,7
ABCD1,56
ABCD2,2
ABCD3,804
ABCD4,139
ABCE1,412
ABCF1,563
ABCF2,331
ABCF3,320
ABCG1,228
ABCG2,13
ABCG4,2
ABCG5,0
ABCG8,0
ABHD1,5
ABHD10,102
ABHD11,171
ABHD12,888
ABHD12B,0
ABHD13,318
ABHD14A,251
ABHD14A-ACY1,123
ABHD14B,605
ABHD15,425
ABHD16A,162
ABHD16B,0
ABHD17A,786
ABHD17B,156
ABHD17C,89
ABHD2,890
ABHD3,752
ABHD4,355
ABHD5,233
ABHD6,78
ABHD8,235
ABI1,306
ABI2,1026
ABI3,101
ABI3BP,26
ABL1,449
ABL2,297
ABLIM1,3
ABLIM2,138
ABLIM3,52
ABO,14
ABR,677
ABRA,0
ABRACL,423
ABT1,416
ABTB1,99
ABTB2,49
ACAA1,515
ACAA2,1189
ACACA,218
ACACB,174
ACAD10,84
ACAD11,11
ACAD8,174
ACAD9,510
ACADL,8
ACADM,478
ACADS,159
ACADSB,160
ACADVL,1911
ACAN,2
ACAP1,152
ACAP2,281
ACAP3,220
ACAT1,736
ACAT2,283
ACBD3,723
ACBD4,63
ACBD5,344
ACBD6,378
ACBD7,0
ACCS,21
ACCSL,0
ACD,173
ACE,137
ACE2,7
ACER1,0
ACER2,1
ACER3,115
ACHE,99
ACIN1,604
ACKR1,0
ACKR2,0
ACKR3,210
ACKR4,16
ACLY,2023
ACMSD,3
ACO1,350
ACO2,819
ACOT1,3
ACOT11,36
ACOT12,2
ACOT13,537
ACOT2,212
ACOT4,32
ACOT6,0
ACOT7,60
ACOT8,305
ACOT9,145
ACOX1,345
ACOX2,8
ACOX3,90
ACOXL,7
ACP1,1224
ACP2,401
ACP5,574
ACP6,271
ACPP,108
ACPT,0
ACR,0
ACRBP,82
ACRC,20
ACRV1,0
ACSBG1,2
ACSBG2,0
ACSF2,37
ACSF3,49
ACSL1,1327
ACSL3,529
ACSL4,180
ACSL5,63
ACSL6,44
ACSM1,9
ACSM2A,0
ACSM2B,0
ACSM3,33
ACSM5,1
ACSM6,0
ACSS1,85
ACSS2,220
ACSS3,20
ACTA1,264
ACTA2,168
ACTB,23746
ACTBL2,1
ACTC1,68
ACTG1,32214
ACTG1P17,0
ACTG2,3
ACTL10,24
ACTL6A,423
ACTL6B,118
ACTL7A,0
ACTL7B,0
ACTL8,0
ACTL9,0
ACTN1,2337
ACTN2,2
ACTN3,0
ACTN4,3909
ACTR10,1195
ACTR1A,1164
ACTR1B,646
ACTR2,1644
ACTR3,1395
ACTR3B,288
ACTR3C,71
ACTR5,46
ACTR6,174
ACTR8,150
ACTRT1,0
ACTRT2,0
ACTRT3,15
ACVR1,566
ACVR1B,412
ACVR1C,170
ACVR2A,67
ACVR2B,77
ACVRL1,463
ACY1,2
ACY3,11
ACYP1,314
ACYP2,255
ADA,53
ADAD1,0
ADAD2,1
ADAL,95
ADAM10,431
ADAM11,1
ADAM12,47
ADAM15,330
ADAM17,304
ADAM18,0
ADAM19,40
ADAM2,0
ADAM20,1
ADAM20P1,2
ADAM22,56
ADAM23,17
ADAM28,11
ADAM29,2
ADAM30,0
ADAM32,8
ADAM33,0
ADAM3A,0
ADAM5,0
ADAM6,0
ADAM7,0
ADAM8,23
ADAM9,504
ADAMDEC1,41
ADAMTS1,424
ADAMTS10,18
ADAMTS12,282
ADAMTS13,15
ADAMTS14,16
ADAMTS15,6
ADAMTS16,0
ADAMTS17,2
ADAMTS18,11
ADAMTS19,0
ADAMTS2,107
ADAMTS20,0
ADAMTS3,2
ADAMTS4,798
ADAMTS5,160
ADAMTS6,12
ADAMTS7,54
ADAMTS8,4
ADAMTS9,260
ADAMTSL1,44
ADAMTSL2,196
ADAMTSL3,12
ADAMTSL4,17
ADAMTSL5,1
ADAP1,44
ADAP2,116
ADAR,1025
ADARB1,47
ADARB2,4
ADAT1,5
ADAT2,20
ADAT3,91
ADCK1,105
ADCK2,315
ADCK3,203
ADCK4,168
ADCK5,44
ADCY1,95
ADCY10,1
ADCY10P1,22
ADCY2,101
ADCY3,486
ADCY4,16
ADCY5,24
ADCY6,239
ADCY7,67
ADCY8,0
ADCY9,159
ADCYAP1,2200
ADCYAP1R1,5
ADD1,898
ADD2,9
ADD3,453
ADGB,1
ADGRA1,64
ADGRA2,171
ADGRA3,108
ADGRB1,3
ADGRB2,6
ADGRB3,9
ADGRD1,8
ADGRD2,0
ADGRE1,0
ADGRE2,10
ADGRE3,1
ADGRE4P,0
ADGRE5,81
ADGRF1,81
ADGRF2,0
ADGRF3,11
ADGRF4,6
ADGRF5,303
ADGRF5P1,0
ADGRG1,1115
ADGRG2,84
ADGRG3,39
ADGRG4,0
ADGRG5,1
ADGRG6,41
ADGRG7,0
ADGRL1,374
ADGRL2,253
ADGRL3,0
ADGRL4,211
ADGRV1,59
ADH1A,2
ADH1B,4
ADH1C,42
ADH4,0
ADH5,341
ADH6,7
ADH7,0
ADHFE1,12
ADI1,315
ADIG,0
ADIPOQ,0
ADIPOR1,1693
ADIPOR2,559
ADIRF,548
ADK,500
ADM,462
ADM2,4
ADM5,4
ADNP,456
ADNP2,187
ADO,268
ADORA1,20
ADORA2A,3
ADORA2B,4
ADORA3,23
ADPGK,274
ADPRH,60
ADPRHL1,48
ADPRHL2,382
ADPRM,72
ADRA1A,0
ADRA1B,0
ADRA1D,1
ADRA2A,85
ADRA2B,1
ADRA2C,77
ADRB1,6
ADRB2,32
ADRB3,0
ADRBK1,428
ADRBK2,369
ADRM1,967
ADSL,445
ADSS,466
ADSSL1,115
ADTRP,21
AEBP1,339
AEBP2,225
AEN,621
AES,4263
AFAP1,164
AFAP1L1,68
AFAP1L2,21
AFF1,546
AFF2,5
AFF3,0
AFF4,1096
AFG3L1P,86
AFG3L2,568
AFM,0
AFMID,4
AFP,1
AFTPH,884
AGA,120
AGAP1,287
AGAP11,0
AGAP2,9
AGAP3,717
AGAP4,52
AGAP5,62
AGAP6,80
AGAP9,8
AGBL1,0
AGBL2,4
AGBL3,14
AGBL4,20
AGBL5,139
AGER,47
AGFG1,457
AGFG2,155
AGGF1,332
AGK,44
AGL,140
AGMAT,13
AGMO,3
AGO1,208
AGO2,804
AGO3,235
AGO4,103
AGPAT1,407
AGPAT2,550
AGPAT3,442
AGPAT4,135
AGPAT5,308
AGPAT6,717
AGPAT9,175
AGPS,278
AGR2,54
AGR3,22
AGRN,439
AGRP,1
AGT,626
AGTPBP1,111
AGTR1,64
AGTR2,0
AGTRAP,468
AGXT,0
AGXT2,0
AHCTF1,331
AHCY,620
AHCYL1,5019
AHCYL2,169
AHI1,929
AHNAK,685
AHNAK2,20
AHR,269
AHRR,112
AHSA1,1110
AHSA2,179
AHSG,0
AHSP,6
AICDA,0
AIDA,1087
AIF1,32
AIF1L,24
AIFM1,321
AIFM2,218
AIFM3,12
AIG1,813
AIM1,55
AIM1L,10
AIM2,0
AIMP1,525
AIMP2,335
AIP,851
AIPL1,0
AIRE,2
AJAP1,36
AJUBA,47
AK1,504
AK2,1506
AK3,1416
AK4,194
AK5,62
AK6,382
AK7,41
AK8,10
AK9,36
AKAP1,329
AKAP10,141
AKAP11,477
AKAP12,269
AKAP13,472
AKAP14,0
AKAP17A,298
AKAP2,38
AKAP3,37
AKAP4,0
AKAP5,4
AKAP6,59
AKAP7,129
AKAP8,183
AKAP8L,318
AKAP9,896
AKIP1,475
AKIRIN1,935
AKIRIN2,249
AKNA,57
AKNAD1,0
AKR1A1,1266
AKR1B1,1160
AKR1B10,247
AKR1B15,0
AKR1C1,875
AKR1C2,939
AKR1C3,869
AKR1C4,2
AKR1C8P,0
AKR1D1,0
AKR1E2,9
AKR7A2,1335
AKR7A3,134
AKR7L,4
AKT1,1559
AKT1S1,663
AKT2,434
AKT3,865
AKTIP,459
ALAD,129
ALAS1,401
ALAS2,0
ALB,471
ALCAM,1940
ALDH16A1,183
ALDH18A1,912
ALDH1A1,5858
ALDH1A2,12
ALDH1A3,528
ALDH1B1,60
ALDH1L1,13
ALDH1L2,55
ALDH2,457
ALDH3A1,2
ALDH3A2,670
ALDH3B1,30
ALDH3B2,0
ALDH4A1,92
ALDH5A1,105
ALDH6A1,197
ALDH7A1,179
ALDH8A1,1
ALDH9A1,1080
ALDOA,1657
ALDOB,1343
ALDOC,517
ALG1,202
ALG10,10
ALG10B,94
ALG11,103
ALG12,221
ALG13,357
ALG14,164
ALG1L,1
ALG1L9P,4
ALG2,692
ALG3,527
ALG5,941
ALG6,54
ALG8,149
ALG9,41
ALK,20
ALKBH1,129
ALKBH2,137
ALKBH3,284
ALKBH4,23
ALKBH5,2144
ALKBH6,178
ALKBH7,1066
ALKBH8,9
ALLC,0
ALMS1,76
ALMS1-IT1,0
ALMS1P,5
ALOX12,0
ALOX12B,8
ALOX12P2,22
ALOX15,1
ALOX15B,0
ALOX5,210
ALOX5AP,68
ALOXE3,10
ALPI,0
ALPK1,17
ALPK2,5
ALPK3,812
