ensembl_id,symbol
ENSG00000012817,KDM5D
ENSG00000049247,UTS2
ENSG00000057294,PKP2
ENSG00000060140,STYK1
ENSG00000066382,MPPED2
ENSG00000067048,DDX3Y
ENSG00000067646,ZFY
ENSG00000070915,SLC12A3
ENSG00000075702,WDR62
ENSG00000076706,MCAM
ENSG00000076864,RAP1GAP
ENSG00000089685,BIRC5
ENSG00000091651,ORC6
ENSG00000095539,SEMA4G
ENSG00000095637,SORBS1
ENSG00000095970,TREM2
ENSG00000096696,DSP
ENSG00000099725,PRKY
ENSG00000101977,MCF2
ENSG00000104327,CALB1
ENSG00000105641,SLC5A5
ENSG00000111254,AKAP3
ENSG00000112232,KHDRBS2
ENSG00000112874,NUDT12
ENSG00000114374,USP9Y
ENSG00000117399,CDC20
ENSG00000120279,MYCT1
ENSG00000129824,RPS4Y1
ENSG00000130147,SH3BP4
ENSG00000131002,TXLNGY
ENSG00000132874,SLC14A2
ENSG00000134184,GSTM1
ENSG00000136449,MYCBPAP
ENSG00000137338,PGBD1
ENSG00000139438,FAM222A
ENSG00000139547,RDH16
ENSG00000141449,GREB1L
ENSG00000142731,PLK4
ENSG00000144115,THNSL2
ENSG00000145700,ANKRD31
ENSG00000147036,LANCL3
ENSG00000148600,CDHR1
ENSG00000151376,ME3
ENSG00000151640,DPYSL4
ENSG00000157456,CCNB2
ENSG00000158525,CPA5
ENSG00000158528,PPP1R9A
ENSG00000158859,ADAMTS4
ENSG00000158966,CACHD1
ENSG00000160221,GATD3
ENSG00000160323,ADAMTS13
ENSG00000161911,TREML1
ENSG00000162461,SLC25A34
ENSG00000162643,DNAI3
ENSG00000162877,PM20D1
ENSG00000163293,NIPAL1
ENSG00000164237,CMBL
ENSG00000164684,ZNF704
ENSG00000164904,ALDH7A1
ENSG00000164976,MYORG
ENSG00000165568,AKR1E2
ENSG00000165730,STOX1
ENSG00000166035,LIPC
ENSG00000167419,LPO
ENSG00000167693,NXN
ENSG00000168903,BTNL3
ENSG00000168939,SPRY3
ENSG00000169330,MINAR1
ENSG00000169860,P2RY1
ENSG00000173567,ADGRF3
ENSG00000175894,TSPEAR
ENSG00000176720,BOK
ENSG00000177301,KCNA2
ENSG00000177483,RBM44
ENSG00000179447,SLC24A3-AS1
ENSG00000179455,MKRN3
ENSG00000179869,ABCA13
ENSG00000181126,HLA-V
ENSG00000183844,FAM3B
ENSG00000183878,UTY
ENSG00000184454,NCMAP
ENSG00000184905,TCEAL2
ENSG00000186628,FSD2
ENSG00000186638,KIF24
ENSG00000186871,ERCC6L
ENSG00000188672,RHCE
ENSG00000196188,CTSE
ENSG00000196368,NUDT11
ENSG00000196557,CACNA1H
ENSG00000197763,TXNRD3
ENSG00000198452,OR14L1
ENSG00000198680,TUSC1
ENSG00000198692,EIF1AY
ENSG00000198722,UNC13B
ENSG00000198939,ZFP2
ENSG00000204644,ZFP57
ENSG00000206052,DOK6
ENSG00000211639,IGLV4-60
ENSG00000213058,
ENSG00000215580,BCORP1
ENSG00000215912,TTC34
ENSG00000222078,RN7SKP110
ENSG00000223553,SMPD4P1
ENSG00000226278,PSPHP1
ENSG00000226498,RPSAP21
ENSG00000228196,PTPN2P1
ENSG00000228203,GRASLND
ENSG00000231535,LINC00278
ENSG00000233864,
ENSG00000233974,
ENSG00000234449,
ENSG00000235253,EEF1A1P50
ENSG00000235621,LINC00494
ENSG00000238198,LRIG2-DT
ENSG00000242170,RN7SL329P
ENSG00000247498,GPRC5D-AS1
ENSG00000248318,SNTB1-AS2
ENSG00000250539,KRT8P33
ENSG00000251432,LINC02615
ENSG00000256590,TRDV3
ENSG00000257279,LOC100506551
ENSG00000257743,MGAM2
ENSG00000257800,FNBP1P1
ENSG00000258917,ZMYND19P1
ENSG00000259315,ACTG1P17
ENSG00000259845,HERC2P10
ENSG00000260000,
ENSG00000260806,PAPOLA-DT
ENSG00000260816,
ENSG00000261188,TFIP11-DT
ENSG00000261662,
ENSG00000262539,
ENSG00000262943,ALOX12P2
ENSG00000265261,
ENSG00000266677,
ENSG00000266946,MRPL37P1
ENSG00000270557,
ENSG00000271862,
ENSG00000272556,GTF2IP13
ENSG00000273891,
ENSG00000278997,
ENSG00000279377,
ENSG00000279880,
ENSG00000279977,
ENSG00000280007,
ENSG00000280381,
ENSG00000282122,IGHV7-4-1
