ensembl_id,symbol
ENSG00000076924,XAB2
ENSG00000100228,RAB36
ENSG00000106804,C5
ENSG00000110400,NECTIN1
ENSG00000130513,GDF15
ENSG00000134317,GRHL1
ENSG00000141232,TOB1
ENSG00000143674,MAP3K21
ENSG00000153363,LINC00467
ENSG00000162367,TAL1
ENSG00000163995,ABLIM2
ENSG00000164308,ERAP2
ENSG00000170954,ZNF415
ENSG00000172322,CLEC12A
ENSG00000185728,YTHDF3
ENSG00000185905,C16orf54
ENSG00000197582,GPX1P1
ENSG00000197766,CFD
ENSG00000198804,MT-CO1
ENSG00000215030,RPL13P12
ENSG00000224114,RPS14P1
ENSG00000227097,RPS28P7
ENSG00000228668,TRGV5P
ENSG00000230076,RPL10P6
ENSG00000237550,nan
ENSG00000257246,PHB1P19
ENSG00000259205,PRKXP1
ENSG00000259354,SLC30A4-AS1
ENSG00000267940,nan
ENSG00000270194,GOLGA4-AS1
ENSG00000274349,ZNF658
ENSG00000274602,PI4KAP1
ENSG00000280122,nan
