ensembl_id,symbol
ENSG00000023839,ABCC2
ENSG00000036549,ZZZ3
ENSG00000049247,UTS2
ENSG00000070018,LRP6
ENSG00000076924,XAB2
ENSG00000100650,SRSF5
ENSG00000103472,RRN3P2
ENSG00000104936,DMPK
ENSG00000105649,RAB3A
ENSG00000118369,USP35
ENSG00000123870,ZNF137P
ENSG00000129473,BCL2L2
ENSG00000129595,EPB41L4A
ENSG00000130513,GDF15
ENSG00000132535,DLG4
ENSG00000133028,SCO1
ENSG00000134489,HRH4
ENSG00000138161,CUZD1
ENSG00000147437,GNRH1
ENSG00000151914,DST
ENSG00000152413,HOMER1
ENSG00000160613,PCSK7
ENSG00000163995,ABLIM2
ENSG00000164308,ERAP2
ENSG00000167601,AXL
ENSG00000170089,nan
ENSG00000172322,CLEC12A
ENSG00000172748,ZNF596
ENSG00000175309,PHYKPL
ENSG00000180385,EMC3-AS1
ENSG00000183723,CMTM4
ENSG00000185728,YTHDF3
ENSG00000185905,C16orf54
ENSG00000188158,NHS
ENSG00000196218,RYR1
ENSG00000197582,GPX1P1
ENSG00000198408,OGA
ENSG00000199643,RNU4-90P
ENSG00000207034,Y_RNA
ENSG00000213949,ITGA1
ENSG00000221978,CCNL2
ENSG00000224114,RPS14P1
ENSG00000225234,TRAPPC12-AS1
ENSG00000227097,RPS28P7
ENSG00000228013,IL6R-AS1
ENSG00000228486,C2orf92
ENSG00000229989,MIR181A1HG
ENSG00000230076,RPL10P6
ENSG00000230590,FTX
ENSG00000238072,CDC26P1
ENSG00000241170,RPL31P46
ENSG00000241945,PWP2
ENSG00000250170,RASA2-IT1
ENSG00000258227,CLEC5A
ENSG00000259343,LOC105370921
ENSG00000260261,nan
ENSG00000262999,LOC101927131
ENSG00000263982,nan
ENSG00000269313,MAGIX
ENSG00000279133,nan
ENSG00000279433,nan
ENSG00000282420,TRBJ1-2
