lib,cluster
lib73163,0
lib73168,0
lib73183,0
lib73188,1
lib73196,1
lib73200,1
lib73211,0
lib73220,1
lib73224,1
lib73228,1
lib73236,0
lib73240,1
lib73244,0
lib73264,0
lib73268,1
lib73273,0
lib73285,0
lib73309,0
lib73315,0
lib73340,1
lib73348,1
lib73359,0
lib73369,1
lib73374,0
lib73378,1
lib73388,0
lib73392,1
lib73397,1
lib73408,1
lib73417,0
lib73422,1
lib73426,1
lib73430,0
lib73434,0
lib73438,1
lib73448,0
lib73456,1
lib73461,0
lib73466,0
lib73470,0
lib73490,0
lib73494,0
lib73511,1
lib73520,0
lib73525,0
lib73530,1
lib73544,1
lib73549,0
lib73581,0
lib73585,1
lib73605,0
lib73609,1
lib73624,0
lib73634,0
lib73639,0
lib73644,1
lib73652,0
lib73656,1
lib73664,0
lib73672,0
lib73678,0
lib73687,1
lib73697,1
lib73740,0
lib73744,1
lib73749,1
lib73764,0
lib73772,0
lib73776,0
lib73844,1
lib73848,0
lib73869,0
lib73879,0
lib73884,0
lib73893,0
lib73911,1
lib73920,1
lib73933,0
lib73946,0
lib73951,0
lib73960,0
lib73965,1
lib74017,0
lib74026,1
lib74036,0
lib74048,1
lib74058,1
lib74063,0
lib74068,0
lib74072,0
lib74076,1
lib74110,1
lib74115,1
lib74120,1
lib74125,1
lib74140,0
lib74160,0
lib74174,0
lib74192,0
lib74202,1
lib74225,0
lib74250,1
lib74254,0
lib74262,0
lib74305,0
lib74315,1
lib74346,0
lib74354,1
lib74358,0
lib74369,0
lib74390,1
lib74418,0
lib74424,1
lib74433,0
lib74437,1
lib74441,0
lib74452,1
lib74462,1
