rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,rRNA Base Methylation (GO:0070475),0.10571846058951152,4.192222222222222,9.419821674275651,NSUN5P1;NSUN5P2,0.9999959795793427,0,0
2,Protein C-linked Glycosylation Via 2'-alpha-mannosyl-L-tryptophan (GO:0018406),0.25175812830548683,4.189387211367674,5.778365059240754,DPY19L2P2,0.9999959795793427,0,0
3,Protein C-linked Glycosylation Via Tryptophan (GO:0018317),0.25175812830548683,4.189387211367674,5.778365059240754,DPY19L2P2,0.9999959795793427,0,0
4,Regulation Of Apoptotic DNA Fragmentation (GO:1902510),0.25175812830548683,4.189387211367674,5.778365059240754,ST20,0.9999959795793427,0,0
5,Superoxide Anion Generation (GO:0042554),0.2908795640356987,1.9718692810457517,2.4349548286995883,NCF1B;NCF1C,0.9999959795793427,0,0
6,Transcription Initiation At RNA Polymerase I Promoter (GO:0006361),0.33373085159326427,2.7926287744227354,3.0646879107185,RRN3P2,0.9999959795793427,0,0
7,Response To UV-C (GO:0010225),0.33373085159326427,2.7926287744227354,3.0646879107185,ST20,0.9999959795793427,0,0
8,rRNA Methylation (GO:0031167),0.35415464914150924,1.6758222222222223,1.7395396631917721,NSUN5P1;NSUN5P2,0.9999959795793427,0,0
9,Nucleotide-Sugar Metabolic Process (GO:0009225),0.5296277202698788,1.3958703374777974,0.8871885725994706,CMAHP,0.9999959795793427,0,0
10,Superoxide Metabolic Process (GO:0006801),0.5784578449679069,1.0467222222222223,0.5729648632949325,NCF1B;NCF1C,0.9999959795793427,0,0
11,Transcription By RNA Polymerase I (GO:0006360),0.6270844237241886,1.046680728241563,0.48845878717996316,RRN3P2,0.9999959795793427,0,0
12,Ribosomal Small Subunit Assembly (GO:0000028),0.6270844237241886,1.046680728241563,0.48845878717996316,RRP7BP,0.9999959795793427,0,0
13,Protein Mannosylation (GO:0035268),0.7043630910995353,0.8371669626998224,0.29339462321755544,DPY19L2P2,0.9999959795793427,0,0
14,Negative Regulation Of TORC1 Signaling (GO:1904262),0.7656385715991333,0.6974911190053286,0.18626155719126106,CASTOR3P,0.9999959795793427,0,0
15,Cellular Response To Amino Acid Stimulus (GO:0071230),0.8688963376859232,0.492085466513426,0.06915348414852698,CASTOR3P,0.9999959795793427,0,0
16,Positive Regulation Of ATP-dependent Activity (GO:0032781),0.8960868590236396,0.44019351219968217,0.048297120883617754,AHSA2P,0.9999959795793427,0,0
17,SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),0.9176419982557182,0.39818573965998477,0.03422324586782563,FBXL9P,0.9999959795793427,0,0
18,Ribosome Assembly (GO:0042255),0.9451761929112543,0.3411751912132526,0.019236795145358972,RRP7BP,0.9999959795793427,0,0
19,Regulation Of TORC1 Signaling (GO:1903432),0.9451761929112543,0.3411751912132526,0.019236795145358972,CASTOR3P,0.9999959795793427,0,0
20,Spermatid Development (GO:0007286),0.9539524758493592,0.3214407705970761,0.01515317580103795,DPY19L2P2,0.9999959795793427,0,0
21,Negative Regulation Of TOR Signaling (GO:0032007),0.9565540272461831,0.31535909380341165,0.014007622556910796,CASTOR3P,0.9999959795793427,0,0
22,DNA-templated Transcription Initiation (GO:0006352),0.9675176422031535,0.28809640472836406,0.009513409830085053,RRN3P2,0.9999959795793427,0,0
23,Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),0.9796059719366437,0.25306797997739383,0.0052144296959995805,ST20,0.9999959795793427,0,0
24,Regulation Of Immune Response (GO:0050776),0.9886047670067432,0.2196527063662709,0.0025173641386792814,FCGR1BP,0.9999959795793427,0,0
25,Cellular Response To UV (GO:0034644),0.9898572614337455,0.21399781390900396,0.002181606410184204,ST20,0.9999959795793427,0,0
26,Ribosomal Small Subunit Biogenesis (GO:0042274),0.9924191143913206,0.20105287936827237,0.0015299654815821705,RRP7BP,0.9999959795793427,0,0
27,rRNA Metabolic Process (GO:0016072),0.9949571054434281,0.18534635879218472,0.000937046848903303,RRP7BP,0.9999959795793427,0,0
28,T Cell Receptor Signaling Pathway (GO:0050852),0.9960051268252296,0.17742148822795814,0.0007101958615411434,BTN2A3P,0.9999959795793427,0,0
29,ncRNA Processing (GO:0034470),0.9970144293041576,0.16841595349588245,0.0005035698317486174,RRP7BP,0.9999959795793427,0,0
30,rRNA Processing (GO:0006364),0.9971833532661201,0.16672291296625222,0.00047026214077142353,RRP7BP,0.9999959795793427,0,0
