rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,NADPH Oxidase Complex (GO:0043020),0.24819747720423685,2.2350222222222222,3.1145717927035705,NCF1B;NCF1C,0.9999960002226872,0,0
2,Nuclear Inner Membrane (GO:0005637),0.8345987665457438,0.5578152753108349,0.100855338310697,DPY19L2P2,0.9999960002226872,0,0
3,SCF Ubiquitin Ligase Complex (GO:0019005),0.9710853203964275,0.2784635879218472,0.008170385086609255,FBXL9P,0.9999960002226872,0,0
4,Clathrin-Coated Endocytic Vesicle Membrane (GO:0030669),0.9807589034331219,0.24927759073195302,0.004843118524279172,FCGR1BP,0.9999960002226872,0,0
5,Clathrin-Coated Endocytic Vesicle (GO:0045334),0.992847951013783,0.19864882009642224,0.0014258510704736758,FCGR1BP,0.9999960002226872,0,0
6,Clathrin-Coated Vesicle Membrane (GO:0030665),0.9946546875764994,0.1874388807950985,0.001004606745032483,FCGR1BP,0.9999960002226872,0,0
7,Early Endosome Membrane (GO:0031901),0.9988240049505803,0.14486060699667927,0.00017045560381320074,FCGR1BP,0.9999960002226872,0,0
8,Endocytic Vesicle Membrane (GO:0030666),0.9999016687559326,0.10519481979450053,1.034444609930594e-05,FCGR1BP,0.9999960002226872,0,0
9,cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.9999571621814501,0.09599687881805768,4.112384959589792e-06,FBXL9P,0.9999960002226872,0,0
10,Intracellular Membrane-Bounded Organelle (GO:0043231),0.9999918324489686,0.014190132659723124,1.1589910594706581e-07,MIR9-1HG;RRN3P2;NFE4;ESRG;LINC-PINT;CMAHP,0.9999960002226872,0,0
11,Nucleus (GO:0005634),0.9999920207418741,0.017190632029257837,1.3716903756313332e-07,MIR9-1HG;RRN3P2;NFE4;ESRG;LINC-PINT;CMAHP,0.9999960002226872,0,0
12,Intracellular Non-Membrane-Bounded Organelle (GO:0043232),0.9999940435352977,0.03959000095536077,2.358171455716115e-07,NSUN5P1;NSUN5P2;CMAHP,0.9999960002226872,0,0
13,Nuclear Membrane (GO:0031965),0.9999946367591589,0.0732760653263962,3.9299824010707514e-07,DPY19L2P2,0.9999960002226872,0,0
14,Nuclear Lumen (GO:0031981),0.999994694519489,0.041348186232504996,2.1937257816201333e-07,NSUN5P1;NSUN5P2,0.9999960002226872,0,0
15,Nucleolus (GO:0005730),0.9999947118141342,0.04185291142898425,2.2132655986814355e-07,NSUN5P1;NSUN5P2,0.9999960002226872,0,0
16,Cytoskeleton (GO:0005856),0.9999950843015887,0.027140497929748066,1.3341483046958146e-07,CMAHP,0.9999960002226872,0,0
17,Organelle Inner Membrane (GO:0019866),0.9999956642892638,0.04133129913069156,1.792009458646283e-07,DPY19L2P2,0.9999960002226872,0,0
18,Endosome Membrane (GO:0010008),0.9999957975325497,0.04567051509769094,1.9192925642288337e-07,FCGR1BP,0.9999960002226872,0,0
19,Early Endosome (GO:0005769),0.9999960002226872,0.05388674119736705,2.1553539594914174e-07,FCGR1BP,0.9999960002226872,0,0
