rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Superoxide-Generating NADPH Oxidase Activator Activity (GO:0016176),0.08775192229270198,4.79136507936508,11.658548402623568,NCF1B;NCF1C,0.999996058669805,0,0
2,"Oxidoreductase Activity, Acting On Paired Donors, With Incorporation Or Reduction Of Molecular Oxygen, Another Compound As One Donor, And Incorporation Of One Atom Of Oxygen (GO:0016716)",0.25175812830548683,4.189387211367674,5.778365059240754,CMAHP,0.999996058669805,0,0
3,Carbonate Dehydratase Activity (GO:0004089),0.5296277202698788,1.3958703374777974,0.8871885725994706,CA5BP1,0.999996058669805,0,0
4,Cysteine-Type Endopeptidase Activator Activity Involved In Apoptotic Process (GO:0008656),0.6866905044097535,0.8812751238665046,0.33124628318904054,ST20,0.999996058669805,0,0
5,Peptidase Activator Activity Involved In Apoptotic Process (GO:0016505),0.7210396637699271,0.7972595787871098,0.2607526195759605,ST20,0.999996058669805,0,0
6,Mannosyltransferase Activity (GO:0000030),0.7367763099942483,0.7609801388664621,0.23245732375701195,DPY19L2P2,0.999996058669805,0,0
7,RNA Polymerase Core Enzyme Binding (GO:0043175),0.8527418488727451,0.5228963143872114,0.08329655480526135,RRN3P2,0.999996058669805,0,0
8,Hydro-Lyase Activity (GO:0016836),0.9308218334141072,0.37158081705150975,0.02663765940087883,CA5BP1,0.999996058669805,0,0
9,Hexosyltransferase Activity (GO:0016758),0.9962311570289489,0.17554454519958868,0.0006628496995823446,DPY19L2P2,0.999996058669805,0,0
10,Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987),0.9999941745169962,0.014390935394609228,8.383439373770179e-08,NFE4,0.999996058669805,0,0
11,Protein Homodimerization Activity (GO:0042803),0.9999949379325921,0.02446908849555144,1.238644888801233e-07,NFE4,0.999996058669805,0,0
12,Transcription Cis-Regulatory Region Binding (GO:0000976),0.9999954199855675,0.034547632548376075,1.5822901802569016e-07,NFE4,0.999996058669805,0,0
13,DNA-binding Transcription Factor Binding (GO:0140297),0.999996058669805,0.058759947662180866,2.3159281236914377e-07,NFE4,0.999996058669805,0,0
