lncRNA,pc,r,direction
ENSG00000287255,TLR5,0.9209740380005498,pos
ENSG00000287255,HAUS4,0.8971371586332534,pos
ENSG00000287255,GAS7,0.8840257142486303,pos
ENSG00000287255,GLT1D1,0.8825196683380483,pos
ENSG00000287255,ARHGEF40,0.879356086551664,pos
ENSG00000287255,CSF2RA,0.8787727547437802,pos
ENSG00000287255,CLEC4E,0.878584105499737,pos
ENSG00000287255,SULT1B1,0.8780300282169644,pos
ENSG00000287255,HRH2,0.8764704201536592,pos
ENSG00000287255,IMPA2,0.8761160019439107,pos
ENSG00000287255,SLC5A9,0.8749876838433709,pos
ENSG00000287255,GRB10,0.8738500762490427,pos
ENSG00000287255,YIPF1,0.8734824972512061,pos
ENSG00000287255,MAK,0.8730477001556152,pos
ENSG00000287255,NSFL1C,0.8703268223730001,pos
ENSG00000287255,ALPK1,0.8678982001531936,pos
ENSG00000287255,NRDC,0.8658495005501043,pos
ENSG00000287255,NLRC4,0.8656294667213815,pos
ENSG00000287255,SIRPB2,0.8655804118134452,pos
ENSG00000287255,OLAH,0.8651282490106589,pos
ENSG00000287255,SLC22A4,0.8644628201350278,pos
ENSG00000287255,PEAK3,0.8638358161568696,pos
ENSG00000287255,ABTB1,0.8629312264724868,pos
ENSG00000287255,NUDT16,0.8620855211783311,pos
ENSG00000287255,THOC5,0.8614110470328153,pos
ENSG00000287255,IMPDH1,0.8599280117408634,pos
ENSG00000287255,SLC12A9,0.8586744309826548,pos
ENSG00000287255,TLR8,0.8568468803574903,pos
ENSG00000287255,P2RY13,0.8565639188081441,pos
ENSG00000287255,ARL11,0.8565344034661462,pos
ENSG00000287255,SPTLC2,0.854548794211463,pos
ENSG00000287255,AQP9,0.8532226786501862,pos
ENSG00000287255,IL1R2,0.8519093125786674,pos
ENSG00000287255,MANSC1,0.8511712832683643,pos
ENSG00000287255,CEACAM4,0.8510723511690189,pos
ENSG00000287255,IRAG1,0.8498544763478807,pos
ENSG00000287255,MMP25,0.8459601090288699,pos
ENSG00000287255,RNF135,0.8457297015538289,pos
ENSG00000287255,ATP6V0E1,0.8455836560782392,pos
ENSG00000287255,SH3GLB1,0.845180262109492,pos
ENSG00000287255,TLR4,0.845038766193699,pos
ENSG00000287255,RTN3,0.8438383008535766,pos
ENSG00000287255,ZNF438,0.843659935942583,pos
ENSG00000287255,MSRB1,0.8431698290808736,pos
ENSG00000287255,CARD6,0.8423316697175052,pos
ENSG00000287255,NRBF2,0.842049597460294,pos
ENSG00000287255,KCNH7,0.8410356604083452,pos
ENSG00000287255,TALDO1,0.8401745409089456,pos
ENSG00000287255,FLOT2,0.8381635898024297,pos
ENSG00000287255,CEBPD,0.8372655647038946,pos
ENSG00000287255,DUSP5,-0.8659171248718909,neg
ENSG00000287255,EZR,-0.8504766193365014,neg
ENSG00000287255,BTG3,-0.8429782275580957,neg
ENSG00000287255,CD83,-0.8405204854793207,neg
ENSG00000287255,TSPYL2,-0.8404407701472658,neg
ENSG00000287255,NR4A1,-0.8382528522168005,neg
ENSG00000287255,USP36,-0.8382262798719409,neg
ENSG00000287255,TRAF4,-0.8362444407851879,neg
ENSG00000287255,FGFRL1,-0.8358626340952325,neg
ENSG00000287255,SH2D2A,-0.8335528658216226,neg
ENSG00000287255,ARL4C,-0.8300995696325556,neg
ENSG00000287255,DUSP8,-0.8300366586342623,neg
ENSG00000287255,PPT2,-0.826711041656726,neg
ENSG00000287255,ATF3,-0.8246395049134386,neg
ENSG00000287255,KIF22,-0.822786374871196,neg
ENSG00000287255,RUNX3,-0.8209172773419118,neg
ENSG00000287255,NAB2,-0.8192250768046656,neg
ENSG00000287255,B3GNT7,-0.8181829072034352,neg
ENSG00000287255,AUTS2,-0.8181348328796452,neg
ENSG00000287255,ARHGEF39,-0.8172206395805552,neg
ENSG00000287255,PHF1,-0.8170096406806673,neg
ENSG00000287255,RFTN1,-0.815571854496001,neg
ENSG00000287255,JUN,-0.8120773528139291,neg
ENSG00000287255,MTFP1,-0.8113850579321985,neg
ENSG00000287255,SETBP1,-0.8111035507339871,neg
ENSG00000287255,CSNK1E,-0.8110081848031739,neg
ENSG00000287255,GNL1,-0.8095577501673644,neg
ENSG00000287255,DUSP4,-0.8091432348502668,neg
ENSG00000287255,DUSP2,-0.8088333050985594,neg
ENSG00000287255,ZNF331,-0.8086039079565571,neg
ENSG00000287255,TIGIT,-0.808419549874858,neg
ENSG00000287255,TNFSF9,-0.8075193304564072,neg
ENSG00000287255,TFDP2,-0.806893165634171,neg
ENSG00000287255,CCL3,-0.806797019054303,neg
ENSG00000287255,RMDN3,-0.80636025977087,neg
ENSG00000287255,PRR29,-0.8060549688560583,neg
ENSG00000287255,HEG1,-0.8054635135932257,neg
ENSG00000287255,GIPR,-0.8046908993751334,neg
ENSG00000287255,TUBB,-0.8042719252984032,neg
ENSG00000287255,TAMALIN,-0.8035140142663607,neg
ENSG00000287255,NXT1,-0.8030861280529521,neg
ENSG00000287255,DDX24,-0.8026376514370664,neg
ENSG00000287255,TKTL1,-0.801877907099376,neg
ENSG00000287255,RNF126,-0.8014213130381741,neg
ENSG00000287255,EMD,-0.8009432105350531,neg
ENSG00000287255,SRRT,-0.8004867498833989,neg
ENSG00000287255,LAG3,-0.8002093384661989,neg
ENSG00000287255,TESK1,-0.8000561218171056,neg
ENSG00000287255,RALGDS,-0.7998117553872385,neg
ENSG00000287255,POLR3E,-0.7996070217237955,neg
ENSG00000288853,MCEMP1,0.8821405752535423,pos
ENSG00000288853,RAB32,0.8776274251775094,pos
ENSG00000288853,ALPL,0.8769930016808593,pos
ENSG00000288853,TLR5,0.8750155047855732,pos
ENSG00000288853,NLRC4,0.8743187660168831,pos
ENSG00000288853,ZNF438,0.8731054665715108,pos
ENSG00000288853,YIPF1,0.8695429607594785,pos
ENSG00000288853,LRG1,0.8634743038206446,pos
ENSG00000288853,SH3GLB1,0.8602313962337756,pos
ENSG00000288853,ATP6V0E1,0.856133173065146,pos
ENSG00000288853,MAP2K6,0.8556346198775634,pos
ENSG00000288853,GAS7,0.8553715271583142,pos
ENSG00000288853,OLAH,0.8549913379259951,pos
ENSG00000288853,GALNT14,0.8544947355704006,pos
ENSG00000288853,IL1R2,0.8527527894065817,pos
ENSG00000288853,SLC22A4,0.8515602379175324,pos
ENSG00000288853,NCF4,0.8476046781679939,pos
ENSG00000288853,PYGL,0.8472947773337509,pos
ENSG00000288853,GRB10,0.8451029203373946,pos
ENSG00000288853,ROPN1L,0.8440517197393682,pos
ENSG00000288853,CARD6,0.8433766159706542,pos
ENSG00000288853,TDRD9,0.8431750486302517,pos
ENSG00000288853,PGD,0.8422328398810249,pos
ENSG00000288853,CDK5RAP2,0.8414422900916835,pos
ENSG00000288853,MANSC1,0.8394753578778632,pos
ENSG00000288853,AGTRAP,0.8378975967456049,pos
ENSG00000288853,NQO2,0.837055145461841,pos
ENSG00000288853,FCER1G,0.8370534685095606,pos
ENSG00000288853,ANXA3,0.8345205740026231,pos
ENSG00000288853,HTATIP2,0.8336961250519869,pos
ENSG00000288853,S100A11,0.8333262110891088,pos
ENSG00000288853,ARL11,0.8326584261715768,pos
ENSG00000288853,SULT1B1,0.8318212870042855,pos
ENSG00000288853,CLEC4E,0.8315521817524089,pos
ENSG00000288853,ATP6V1C1,0.8310879331407015,pos
ENSG00000288853,MSRB1,0.8309206050516583,pos
ENSG00000288853,FLOT1,0.8293642728415416,pos
ENSG00000288853,NRDC,0.8289978409785945,pos
ENSG00000288853,HAUS4,0.8288031782228473,pos
ENSG00000288853,MYL12A,0.8278299390239044,pos
ENSG00000288853,PEAK3,0.8277813402630517,pos
ENSG00000288853,DYSF,0.8271824259773161,pos
ENSG00000288853,GYG1,0.8268964636218777,pos
ENSG00000288853,IMPA2,0.8266668413571581,pos
ENSG00000288853,GLT1D1,0.8243205677021086,pos
ENSG00000288853,CA4,0.8242024954186509,pos
ENSG00000288853,RTN3,0.8228134674699522,pos
ENSG00000288853,NSFL1C,0.8197634959295613,pos
ENSG00000288853,NFE2,0.8188940662965655,pos
ENSG00000288853,CKLF,0.8183565870198662,pos
ENSG00000288853,USP36,-0.8406715172080816,neg
ENSG00000288853,FGFRL1,-0.8402404689915014,neg
ENSG00000288853,DUSP5,-0.8291607111957839,neg
ENSG00000288853,TRAF4,-0.8204740109795721,neg
ENSG00000288853,CD83,-0.8182566464545807,neg
ENSG00000288853,ARL4C,-0.815568485122119,neg
ENSG00000288853,NR4A1,-0.8153564062673331,neg
ENSG00000288853,GSE1,-0.8141084163441036,neg
ENSG00000288853,RFTN1,-0.8137412000712345,neg
ENSG00000288853,PHF1,-0.8128570769343958,neg
ENSG00000288853,TSPYL2,-0.8125974870737748,neg
ENSG00000288853,RUNX3,-0.8115853964001307,neg
ENSG00000288853,AUTS2,-0.8103772804358365,neg
ENSG00000288853,EZR,-0.8068393572157245,neg
ENSG00000288853,HLA-DPB1,-0.8061553182578611,neg
ENSG00000288853,DIS3L2,-0.8038516708525532,neg
ENSG00000288853,CSNK1E,-0.803342305237878,neg
ENSG00000288853,POLR3E,-0.8031178889485696,neg
ENSG00000288853,ZNF331,-0.8028889876858559,neg
ENSG00000288853,DUSP8,-0.8007090706791927,neg
ENSG00000288853,HLA-DPA1,-0.800618156301717,neg
ENSG00000288853,B3GNT7,-0.8000960042265138,neg
ENSG00000288853,ZBTB4,-0.7989973201644957,neg
ENSG00000288853,NAB2,-0.7975729079637328,neg
ENSG00000288853,SETBP1,-0.7963467149173908,neg
ENSG00000288853,IL2RB,-0.7934401455424372,neg
ENSG00000288853,HNRNPA1,-0.7932913183364706,neg
ENSG00000288853,CD96,-0.7930076371608956,neg
ENSG00000288853,IL18BP,-0.7928470065041874,neg
ENSG00000288853,TSEN54,-0.7923739504066596,neg
ENSG00000288853,PPP1R16B,-0.7922874605409986,neg
ENSG00000288853,UBAP2,-0.7919215693251379,neg
ENSG00000288853,SH2D2A,-0.7917957606099538,neg
ENSG00000288853,DDX24,-0.7910376243171447,neg
ENSG00000288853,CD74,-0.7905495658380095,neg
ENSG00000288853,LGR6,-0.7896959145347592,neg
ENSG00000288853,ASXL1,-0.7892529625774322,neg
ENSG00000288853,SMAD3,-0.7890616172552197,neg
ENSG00000288853,SRRT,-0.7890530908553062,neg
ENSG00000288853,TIGIT,-0.788855243310692,neg
ENSG00000288853,JMY,-0.7886169171155125,neg
ENSG00000288853,KMT2A,-0.7875259200871201,neg
ENSG00000288853,EMD,-0.7860804602902431,neg
ENSG00000288853,GATA3,-0.7858830694515636,neg
ENSG00000288853,PPT2,-0.7858751019802187,neg
ENSG00000288853,GIPR,-0.7847495859916493,neg
ENSG00000288853,RMDN3,-0.7843732661279769,neg
ENSG00000288853,PRKCQ,-0.784366916894061,neg
ENSG00000288853,GNL1,-0.7843258938218955,neg
ENSG00000288853,NR4A2,-0.7843177455171385,neg
CCL3-AS1,CCL3,0.9824324914476794,pos
CCL3-AS1,CCL4,0.9513052570535986,pos
CCL3-AS1,DUSP2,0.9363947264519162,pos
CCL3-AS1,RGS1,0.9289121396805334,pos
CCL3-AS1,JUN,0.9246509535325762,pos
CCL3-AS1,SH2D2A,0.9103231509850017,pos
CCL3-AS1,EOMES,0.908338984171155,pos
CCL3-AS1,ATF3,0.9047880681843392,pos
CCL3-AS1,CD69,0.903616205872563,pos
CCL3-AS1,DUSP10,0.903170238714748,pos
CCL3-AS1,LGR6,0.9028236790313084,pos
CCL3-AS1,PRF1,0.898437549332973,pos
CCL3-AS1,KIR2DL3,0.8978380417023912,pos
CCL3-AS1,H1-3,0.8974305925069244,pos
CCL3-AS1,SETBP1,0.8972062078325547,pos
CCL3-AS1,AUTS2,0.8954317548925516,pos
CCL3-AS1,IL12RB2,0.8952367846178402,pos
CCL3-AS1,YES1,0.893531819794309,pos
CCL3-AS1,NCAM1,0.8929168845169776,pos
CCL3-AS1,GZMB,0.8916700631890118,pos
CCL3-AS1,RUNX3,0.8905667776138746,pos
CCL3-AS1,C1orf21,0.8900333735069549,pos
CCL3-AS1,TKTL1,0.8899037857308059,pos
CCL3-AS1,MAFF,0.8897507334565496,pos
CCL3-AS1,H1-4,0.8891589211118449,pos
CCL3-AS1,ARHGEF39,0.8890648630282649,pos
CCL3-AS1,S1PR5,0.8883160592240676,pos
CCL3-AS1,CXCL8,0.8876091097548543,pos
CCL3-AS1,NR4A1,0.8853194628204358,pos
CCL3-AS1,HILPDA,0.8851134644487115,pos
CCL3-AS1,IL2RB,0.8850859986029366,pos
CCL3-AS1,DDIT4,0.8842187363735804,pos
CCL3-AS1,B3GNT7,0.8830492298732082,pos
CCL3-AS1,SYTL2,0.8824080366178194,pos
CCL3-AS1,PYHIN1,0.88212844991713,pos
CCL3-AS1,KIR3DL2,0.8821155466383385,pos
CCL3-AS1,CCSER2,0.8814477192647512,pos
CCL3-AS1,KIR2DL1,0.8810525674590914,pos
CCL3-AS1,PDGFRB,0.8810017019635451,pos
CCL3-AS1,BTG3,0.8805525848380834,pos
CCL3-AS1,RALGDS,0.8802833896289609,pos
CCL3-AS1,SH2D1B,0.8772943402593224,pos
CCL3-AS1,ARL4C,0.8755274067585217,pos
CCL3-AS1,CBLB,0.8749046679411939,pos
CCL3-AS1,PDE4A,0.8748644380854869,pos
CCL3-AS1,CCL4L2,0.8744384611774486,pos
CCL3-AS1,DTHD1,0.8725509280626228,pos
CCL3-AS1,NR4A2,0.8720466454500787,pos
CCL3-AS1,VEGFA,0.8719819268394918,pos
CCL3-AS1,HEG1,0.8718505357563474,pos
CCL3-AS1,PTAFR,-0.8644617707825768,neg
CCL3-AS1,MNDA,-0.8621152886002055,neg
CCL3-AS1,NFAM1,-0.8586065633572117,neg
CCL3-AS1,P2RY13,-0.8569705610150888,neg
CCL3-AS1,IMPA2,-0.8567957864748709,neg
CCL3-AS1,FLOT2,-0.8560818802521907,neg
CCL3-AS1,FRAT1,-0.8559670415307818,neg
CCL3-AS1,TNFAIP8L2,-0.8538623032445789,neg
CCL3-AS1,KCTD21,-0.8531468395510369,neg
CCL3-AS1,SLC22A4,-0.8525413433925199,neg
CCL3-AS1,IGSF6,-0.8508229898715532,neg
CCL3-AS1,NLRP12,-0.8498239215756144,neg
CCL3-AS1,MED18,-0.8453121446084911,neg
CCL3-AS1,TALDO1,-0.8447712722373583,neg
CCL3-AS1,B9D2,-0.8434991801705077,neg
CCL3-AS1,CARD6,-0.8397173789978704,neg
CCL3-AS1,IMPDH1,-0.8380173972280389,neg
CCL3-AS1,TNFSF10,-0.8375970405541069,neg
CCL3-AS1,S1PR4,-0.8368009817911041,neg
CCL3-AS1,NLRC4,-0.8356549738720307,neg
CCL3-AS1,MANSC1,-0.8348492285484438,neg
CCL3-AS1,FUT7,-0.8346334365197675,neg
CCL3-AS1,RAB3D,-0.8338266267194908,neg
CCL3-AS1,ABTB1,-0.8330942777534428,neg
CCL3-AS1,MSRB1,-0.832322574441086,neg
CCL3-AS1,MINDY1,-0.829732414912377,neg
CCL3-AS1,DHRS7B,-0.828803723147666,neg
CCL3-AS1,ROPN1L,-0.8285102343620082,neg
CCL3-AS1,GLT1D1,-0.8270431088714247,neg
CCL3-AS1,LAMTOR1,-0.8255409359790732,neg
CCL3-AS1,CKLF,-0.8237998382264143,neg
CCL3-AS1,LRRC4,-0.8224314276100348,neg
CCL3-AS1,KCNH7,-0.8202813904732147,neg
CCL3-AS1,KREMEN1,-0.8180791490924413,neg
CCL3-AS1,LRP10,-0.8161493531733701,neg
CCL3-AS1,PEAK3,-0.8160565173692409,neg
