rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cytoplasmic Translation (GO:0002181),3.877229033810768e-11,7.4810352521195895,179.34521680200902,RPL32;RPL10;RPLP1;RPL12;RPL23A;RPL8;RPS15;RPL7A;RPS25;RPS28;RPL27A;RPL37A;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPL28;UBA52;RPL19,1.20620595241853e-07,0,0
2,Macromolecule Biosynthetic Process (GO:0009059),1.94775798474716e-09,4.455621301775148,89.36455573119544,ALAS2;RPL32;RPL10;RPLP1;RPL12;RPL8;RPS4Y1;MRPL55;RPS15;RPL7A;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;ST3GAL2;ABCF1;RPL19;RPL23A;GTPBP1;RPS25;RPS28;RPL27A;RPL37A;RPS6KB2;RPL28,3.0297375452742076e-06,0,0
3,Peptide Biosynthetic Process (GO:0043043),3.9468629047895146e-08,4.367198608003977,74.45095235239482,RPL32;RPL10;RPLP1;RPL12;RPL23A;RPL8;RPS4Y1;MRPL55;RPS15;RPS25;RPL7A;RPS28;RPL27A;RPL37A;RPS6KB2;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPL28;RPL19,4.092896832266727e-05,0,0
4,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),3.0969394825802327e-07,3.381909746222968,50.68698543069698,NLRX1;CANT1;TFRC;OTUD7B;HSPB1;TRIM8;SHARPIN;TNFSF10;FADD;TRIM21;CD74;RIOK3;NR1D1;RHOC;TNFRSF1A;FKBP1A;PER1;NLRP12;TRAF4;CARD19;S100A4;UBE2V1;OPTN;CARD11;MYD88;LTF;TRIM34,0.00022911666358805754,0,0
5,Translation (GO:0006412),3.682363606365438e-07,3.348882239042422,49.61215263372771,RPL32;RPL10;RPLP1;RPL12;RPL8;RPS4Y1;MRPL55;RPS15;RPL7A;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPL19;ABCF1;RPL23A;GTPBP1;RPS25;RPS28;RPL27A;RPL37A;RPS6KB2;AURKAIP1;RPL28;UBA52,0.00022911666358805754,0,0
6,Gene Expression (GO:0010467),4.5072715729259316e-07,3.010557845421264,43.99148645877604,NXT1;RPL32;RPL10;RPLP1;RPL12;RPL8;RPS4Y1;DEDD2;MRPL55;RPS15;RPL7A;HHEX;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPL19;ABCF1;GZMB;RPL23A;RPS25;RPS28;DDX19B;RPL27A;RPL37A;RPS6KB2;SRSF3;STUB1;RPL28,0.00023370203105620954,0,0
7,Regulation Of Cold-Induced Thermogenesis (GO:0120161),3.3282595317968033e-06,3.816059207552327,48.13218776951361,SYK;CXCR4;G0S2;PCTP;NR1D1;ADIPOR1;GADD45G;VEGFA;CPT2;DDIT3;HSF1;GRB10;GNAS;ALPL;SLC25A44;TLR4;ATF4;MAP2K6;CCR2,0.0014791736290599793,0,0
8,Response To Unfolded Protein (GO:0006986),4.985681319189284e-06,7.449169641471364,90.94646885286242,DNAJB2;DNAJB1;HSP90AB1;HSPH1;DDIT3;HSF1;SERPINH1;HSPB1;HSPE1;OPTN,0.0018367570059681694,0,0
9,Positive Regulation Of Defense Response (GO:0031349),5.313665398172139e-06,4.046007192901676,49.139682593471775,RIOK3;OSM;NKG7;NLRC4;EREG;TNFRSF1A;NLRP12;IFNG;HYAL2;CCL5;CCL3;TLR8;FADD;S100A9;TLR4;OPTN;CCR2,0.0018367570059681694,0,0
10,Positive Regulation Of Response To External Stimulus (GO:0032103),8.083899261879185e-06,3.561847168774052,41.76492417199914,RIOK3;OSM;NKG7;NLRC4;PPM1F;EREG;TNFRSF1A;NLRP12;IFNG;PLAU;HYAL2;CCL5;CCL3;TLR8;FADD;S100A9;TLR4;OPTN;CCR2,0.002267060476175071,0,0
11,Extrinsic Apoptotic Signaling Pathway (GO:0097191),8.115884098189686e-06,5.534487734487734,64.87353523555434,GSK3A;SMAD3;IFNG;BAG3;BAD;SORT1;G0S2;CIB1;FADD;GABARAP;TNFRSF1A;DEDD2,0.002267060476175071,0,0
12,Cellular Response To Cytokine Stimulus (GO:0071345),8.744688432690728e-06,2.665798497436718,31.048725919160827,GSK3A;CXCL8;CXCR4;CIB1;GATA3;LILRA2;CSF2RA;YBX3;ZFP36;HYAL2;CCL5;CCL4;CCL3;IL21R;SIRPA;GBP4;CCR2;HLA-DPA1;IL12RB2;NR1D1;EREG;TNFRSF1A;HCK;NLRP12;CDC34;IL2RB;XCL2;MNDA;TLR4,0.002267060476175071,0,0
13,Inflammatory Response (GO:0006954),1.4483961757587443e-05,2.8940961655508217,32.247375668510934,CD96;CXCL8;NFAM1;TUSC2;FPR1;CXCR4;GATA3;FOS;NLRC4;TNFRSF1A;PRDX5;FUT7;IFNG;CCL5;CCL4;XCL2;CCL3;OLR1;ACKR1;TLR5;TLR4;TNFRSF4;S100A9;CCR2,0.003466123463681118,0,0
14,Regulation Of Interleukin-1 Beta Production (GO:0032651),1.800394583622862e-05,4.646823990299413,50.76617854033855,SERPINB1;HSPB1;NLRC4;LILRA2;NLRP12;IFNG;CPTP;CCL3;SIRPA;TLR8;MNDA;TLR4;MYD88,0.0035061350170179297,0,0
15,Positive Regulation Of Interleukin-8 Production (GO:0032757),1.8028309650592342e-05,5.574689564068692,60.89549650255926,CD74;SYK;HYAL2;DDIT3;TLR8;FADD;TLR5;LILRA2;TLR4;HSPA1B;MYD88,0.0035061350170179297,0,0
16,Positive Regulation Of Cytokine Production (GO:0001819),1.8067041199137836e-05,2.5542504266469503,27.896044779670582,HILPDA;GATA3;LILRA2;PQBP1;HYAL2;CYP1B1;FADD;TIGIT;CCR2;HLA-DPA1;IL12RB2;CD74;SYK;NFAM1;PDE4D;RFTN1;OSM;EREG;SLC7A5;IFNG;DDIT3;TLR8;PRKCQ;TLR5;TLR4;HSPA1B;CARD11;MYD88;ATF4,0.0035061350170179297,0,0
17,Regulation Of Inflammatory Response (GO:0050727),1.9159207743267376e-05,2.839904420549582,30.84910681216185,OSM;GPS2;SPATA2;NKG7;GATA3;NR1D1;NLRC4;TNFRSF1A;HCK;NLRP12;SHARPIN;MAPK7;IFNG;HYAL2;ALOX5;CCL5;CCL3;SIRPA;TNFAIP8L2;TLR4;EXTL3;S100A9;MYD88;CCR2,0.0035061350170179297,0,0
18,Positive Regulation Of Cell Adhesion Mediated By Integrin (GO:0033630),2.7054932328337765e-05,13.758768790264853,144.70979387687223,SFRP2;SYK;CCL5;LIF;PIEZO1;CIB1,0.004675994137414377,0,0
19,Negative Regulation Of Intracellular Signal Transduction (GO:1902532),3.041611443547211e-05,2.8236448115642747,29.36742518907672,DUSP4;DUSP5;DUSP2;GSK3A;NLRX1;RIOK3;PDCD6;PDE4D;NPRL3;PLAUR;OTUD7B;CIB1;NR1D1;DUSP8;ADIPOR1;PER1;NLRP12;CDC34;NUAK2;DDIT3;HYAL2;CARD19;DDIT4,0.004980238526776512,0,0
20,Regulation Of Interleukin-17 Production (GO:0032660),3.406106434421809e-05,7.775708502024291,79.99147866758784,SLC7A5;IFNG;DDIT3;RFTN1;OSM;PRKCQ;TLR4;MYD88,0.005298198558743124,0,0
21,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),5.5286025574686126e-05,5.385111996856229,52.79020111901396,NLRP12;IFNG;CCL3;HSPB1;TLR8;MNDA;NLRC4;LILRA2;TLR4;MYD88,0.007982321406217036,0,0
22,Regulation Of Interleukin-8 Production (GO:0032677),5.8567906787161266e-05,4.408327582240625,42.96057916385652,CD74;SYK;HYAL2;DDIT3;OTUD7B;TLR8;FADD;TLR5;LILRA2;TLR4;HSPA1B;MYD88,0.007982321406217036,0,0
23,Regulation Of Autophagy (GO:0010506),5.90142694770144e-05,2.6927036512530016,26.2208245934673,SH3GLB1;USP36;OSBPL7;GSK3A;ATP6V0E1;BAD;NPRL3;HSPB1;HDAC6;RMC1;TRIM8;DRAM1;CAPNS1;IFNG;DDIT3;CPTP;FKBP8;PIP4K2A;TRIM21;ATP6V0C;OPTN;ATP6V1C1;TRIM34,0.007982321406217036,0,0
24,Protein-Containing Complex Assembly (GO:0065003),7.23676226304878e-05,2.38781981981982,22.76488093180797,CDC123;HSP90AB1;KMT2A;PDCD6;CUL3;WAS;LIN7A;TMEM70;ADD2;HSF1;AP2S1;RPL38;ELOB;FADD;AP2M1;CD74;MKKS;SMAD3;TRAPPC1;BAD;TRAPPC5;TBCC;FKBP1A;CSNK2B;IL2RB;CHMP2A;CHMP3;NDUFAF1,0.009380653083476981,0,0
25,Negative Regulation Of DNA Metabolic Process (GO:0051053),8.955311310205625e-05,5.689328063241106,53.028398704176674,TSPYL2;H1-4;CDKN1A;KMT2A;H1-0;H1-10;S100A11;H1-3;H1-2,0.010758928768385592,0,0
26,Negative Regulation Of Inflammatory Response (GO:0050728),8.991711603279504e-05,3.662801826683803,34.12494097722418,YES1;SYK;GPS2;GATA3;NR1D1;TNFRSF1A;HCK;NLRP12;SHARPIN;MAPK7;ALOX5;SIRPA;TNFAIP8L2;EXTL3,0.010758928768385592,0,0
27,Immunoglobulin Mediated Immune Response (GO:0016064),0.00011251995859654219,7.682283037193624,69.85023619851233,CD74;IL2RB;IL21R;TLR8;HLA-DQA1;HLA-DPA1;GAPT,0.012866723683506037,0,0
28,Regulation Of T Cell Activation (GO:0050863),0.00011580464903187689,4.866044245991476,44.103907077544875,IL4I1;CCL5;SIRPA;TNFSF9;PRKCQ;TNFAIP8L2;TIGIT;HLA-DQA1;CCR2;HLA-DPA1,0.012866723683506037,0,0
29,Leukocyte Cell-Cell Adhesion (GO:0007159),0.00014055822629774258,7.361804643013579,65.29838805755126,LRG1;SYK;SELL;CCL5;OLR1;GFUS;EZR,0.015078504896975075,0,0
30,Positive Regulation Of Interleukin-1 Production (GO:0032732),0.00015226119747959677,4.685331769764487,41.18365913563925,NLRP12;IFNG;CCL3;HSPB1;TLR8;MNDA;NLRC4;LILRA2;TLR4;MYD88,0.015789486178634186,0,0
