rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cytosolic Large Ribosomal Subunit (GO:0022625),6.053883652526277e-10,10.334338322386131,219.34789073500565,RPL32;RPLP1;RPL12;RPL23A;RPL8;RPL7A;RPL27A;RPL37A;RPL36;RPL14;RPLP2;RPL38;RPL28;UBA52;RPL19,8.596514786587312e-08,0,0
2,Large Ribosomal Subunit (GO:0015934),6.053883652526277e-10,10.334338322386131,219.34789073500565,RPL32;RPLP1;RPL12;RPL23A;RPL8;RPL7A;RPL27A;RPL37A;RPL36;RPL14;RPLP2;RPL38;RPL28;UBA52;RPL19,8.596514786587312e-08,0,0
3,Ficolin-1-Rich Granule (GO:0101002),2.2011984815909025e-09,4.427009463885092,88.24917476625015,GPI;HSP90AB1;CANT1;GMFG;FPR1;HBB;SLC2A3;PRCP;PYGL;FTH1;ALOX5;SIRPA;PGM2;GYG1;DYNLT1;IDH1;PRG2;CLEC4D;LRG1;IMPDH1;CSNK2B;ALDOC;MNDA;LAMTOR1;ATP6V0C;ACTR10;HSPA1B,2.0838012292393878e-07,0,0
4,Intracellular Membrane-Bounded Organelle (GO:0043231),1.0133059002566354e-08,1.56474424291828,28.802971113941595,RAMAC;TFRC;TESK1;NUDT5;RPS15;FRAT1;FRAT2;PSMD4;FTH1;BSG;CYP1B1;TRIM21;GLUL;TSPYL2;TALDO1;CSNK1E;RUNX3;SND1;JMJD6;RNF126;CDC34;CLDN9;DDIT3;CSNK2B;TRIB1;AURKAIP1;UBA52;OPTN;ATF3;ATF4;SP140;SUPT4H1;C9ORF78;GATA3;RPS4Y1;OAZ1;ZBTB4;OAZ2;ZBTB3;PRDX5;HSPH1;HIVEP3;RALGDS;S100A11;SERF2;LHPP;BTF3;NFE2;CDT1;JUN;JUND;WDR59;GADD45B;MAD2L1BP;NR1D1;SNF8;H1-0;H1-3;H1-2;EIF1;GADD45G;FOSL1;H1-4;TPX2;RPS25;H2AC20;SNAI1;NDUFAF3;GRB2;PPT2;ANP32B;CALM2;SLC2A4RG;GAPT;GPI;BTG3;CSRNP1;CDKN1A;UBXN1;PHF1;FAF1;ARPC1A;CCDC124;OTUD7B;ECSIT;MED16;MED18;PQBP1;TRIM8;TUBA1A;PEA15;NCS1;TSPO;OLR1;HLA-DPA1;HTATIP2;DUSP4;DUSP5;DUSP2;TPI1;SYK;RMI1;PRMT1;AGTRAP;FOS;KIF22;ZFY;GNL1;RHOB;SLC7A5;HCK;SCNM1;SDE2;SF3B3;RPL10;KARS1;WAS;GPS2;CXCR4;CCNDBP1;NFIL3;SERTAD1;HSF1;AP2S1;RPS2;SCAND1;CD74;H2BC8;PCGF5;YIPF3;USP9Y;WDR13;PSMB8;RAB11A;PER1;NLRP12;LRG1;DHRS9;NMNAT1;PSMC1;FOSB;UBAP2;LAMTOR4;HSPA1B;MSRB1;PDCD6;NAB2;ZBTB21;ATN1;ZBTB20;CIB1;MSI2;YARS1;FBL;ZFP36;RGS2;PTTG1;NUDT16;PPP1R16B;DGAT2;MAP2K2;DYRK1B;FOXP4;TMEM250;LGALS9C;TLE5;BRMS1;MAK;CARD19;S100A6;S100A4;UBE2V1;TNIK;S100A9;KMT2A;CUL3;CREM;CORO1A;NDRG1;PMF1;BAG6;MYG1;ORC1;UBB;BAG3;MED31;BAG1;SMYD3;OSBPL7;SMAD3;HSPA5;HMGA1;CLK3;NR4A2;NR4A1;NR4A3;TMEM115;ARPC3;UBE2S;BHLHE40;MAFF;TADA3;ALB;JMY;NFKBID;MYD88;UBE2M;DDX3Y;USP36;USP37;GSK3A;NXT1;HSP90AB1;KDM5D;HSPB1;YBX1;CHTF18;YBX3;H1-10;HK2;IRF2BPL;RPL7A;HHEX;DUSP10;H2BC26;ZNF408;FLOT2;PDE4A;MKKS;PDE4D;RAD23A;H2BC18;ARL4C;DDX19B;TFDP2;TRAF4;CTDSP1;RPL37A;LTF;TSSC4;PPM1M;WBP2;PRCP;NLRC4;HDAC6;DNAJB2;TFPT;DNAJB1;RAB20;MAPK7;SAP30L;ASCC2;IGF2BP2;HNRNPA1;GBP4;CIZ1;KDM4C;TAF10;GZMB;RPL23A;MCOLN1;YY1AP1;GZMH;FMNL3;IMPDH1;MNDA;STUB1;SSBP3,7.194471891822111e-07,0,0
5,Ficolin-1-Rich Granule Lumen (GO:1904813),4.6214346936470703e-08,4.965733866362079,83.87112357733325,GPI;HSP90AB1;CANT1;DYNLT1;GMFG;IDH1;PRG2;HBB;PYGL;LRG1;IMPDH1;FTH1;ALOX5;CSNK2B;PGM2;ALDOC;MNDA;GYG1;ACTR10;HSPA1B,2.6249749059915357e-06,0,0
6,Nucleus (GO:0005634),8.942436717036989e-08,1.543341514383766,25.04823620069187,RAMAC;TESK1;NUDT5;RPS15;FRAT1;FRAT2;PSMD4;FTH1;TRIM21;GLUL;TSPYL2;TALDO1;CSNK1E;RUNX3;SND1;JMJD6;RNF126;CDC34;DDIT3;CSNK2B;TRIB1;AURKAIP1;UBA52;OPTN;ATF3;ATF4;SP140;SUPT4H1;C9ORF78;GATA3;RPS4Y1;OAZ1;ZBTB4;OAZ2;ZBTB3;PRDX5;HSPH1;HIVEP3;RALGDS;S100A11;SERF2;LHPP;BTF3;NFE2;CDT1;JUN;JUND;GADD45B;MAD2L1BP;NR1D1;SNF8;H1-0;H1-3;H1-2;EIF1;GADD45G;FOSL1;H1-4;TPX2;RPS25;H2AC20;SNAI1;NDUFAF3;GRB2;ANP32B;CALM2;SLC2A4RG;GPI;BTG3;CSRNP1;CDKN1A;UBXN1;PHF1;FAF1;ARPC1A;CCDC124;OTUD7B;ECSIT;MED16;MED18;PQBP1;TRIM8;TUBA1A;HTATIP2;DUSP4;DUSP5;DUSP2;TPI1;SYK;RMI1;PRMT1;FOS;KIF22;ZFY;GNL1;RHOB;SCNM1;SDE2;SF3B3;RPL10;KARS1;WAS;GPS2;CXCR4;CCNDBP1;NFIL3;SERTAD1;HSF1;RPS2;SCAND1;CD74;H2BC8;PCGF5;USP9Y;WDR13;PSMB8;PER1;NLRP12;NMNAT1;PSMC1;FOSB;UBAP2;HSPA1B;MSRB1;PDCD6;NAB2;ZBTB21;ATN1;ZBTB20;CIB1;YARS1;FBL;ZFP36;RGS2;PTTG1;NUDT16;PPP1R16B;MAP2K2;DYRK1B;FOXP4;TMEM250;LGALS9C;TLE5;BRMS1;MAK;CARD19;S100A6;S100A4;UBE2V1;TNIK;S100A9;KMT2A;CUL3;CREM;CORO1A;NDRG1;BAG6;MYG1;ORC1;UBB;BAG3;MED31;BAG1;SMYD3;SMAD3;HSPA5;HMGA1;CLK3;NR4A2;NR4A1;NR4A3;TMEM115;ARPC3;UBE2S;BHLHE40;MAFF;TADA3;ALB;JMY;NFKBID;MYD88;UBE2M;DDX3Y;USP36;USP37;GSK3A;NXT1;HSP90AB1;KDM5D;HSPB1;YBX1;CHTF18;YBX3;H1-10;IRF2BPL;RPL7A;HHEX;DUSP10;H2BC26;ZNF408;PDE4A;MKKS;PDE4D;RAD23A;H2BC18;ARL4C;DDX19B;TFDP2;TRAF4;CTDSP1;RPL37A;LTF;TSSC4;PPM1M;WBP2;HDAC6;DNAJB2;TFPT;DNAJB1;MAPK7;SAP30L;ASCC2;IGF2BP2;HNRNPA1;GBP4;CIZ1;KDM4C;TAF10;GZMB;RPL23A;YY1AP1;IMPDH1;STUB1;SSBP3,4.232753379397508e-06,0,0
7,Focal Adhesion (GO:0005925),9.869571202740723e-07,2.645509317640465,36.58379396754233,ARPC1B;RPLP1;RPL12;CXCR4;HSPB1;RPL8;RPS15;RPL7A;LASP1;PLAU;BSG;CAPN5;RPLP2;FLOT2;RPL38;ITGB7;CD59;RPS2;RPS11;CD99;PDLIM7;RPL19;MAP2K2;YES1;HSPA5;HMGA1;PLAUR;RHOB;RAB10;HCK;PEAK3;ARPC3;RPL37A;EZR;ATP6V0C;HSPA1B,4.004226030826236e-05,0,0
8,Cell-Substrate Junction (GO:0030055),1.5954863256909081e-06,2.585460523311567,34.511585339324746,ARPC1B;RPLP1;RPL12;CXCR4;HSPB1;RPL8;RPS15;RPL7A;LASP1;PLAU;BSG;CAPN5;RPLP2;FLOT2;RPL38;ITGB7;CD59;RPS2;RPS11;CD99;PDLIM7;RPL19;MAP2K2;YES1;HSPA5;HMGA1;PLAUR;RHOB;RAB10;HCK;PEAK3;ARPC3;RPL37A;EZR;ATP6V0C;HSPA1B,5.663976456202724e-05,0,0
9,Secretory Granule Lumen (GO:0034774),5.213726319052211e-06,2.692876229461595,32.75672739868754,TOR4A;GPI;HSP90AB1;CANT1;GMFG;CTSW;PYGL;EPX;ALOX5;PGM2;GYG1;S100A11;SERPINB1;TRAPPC1;GCA;DYNLT1;IDH1;VEGFB;VEGFA;LRG1;IMPDH1;TOLLIP;CSNK2B;ALB;ALDOC;MNDA;ACTR10;S100A9;FTL;LTF,0.00016452203051231423,0,0
10,Cytoplasmic Vesicle Lumen (GO:0060205),8.247386494571347e-06,4.11197077154524,48.133143438345705,GPI;SERPINB1;HSP90AB1;DYNLT1;GMFG;IDH1;PYGL;EPX;IMPDH1;ALOX5;CSNK2B;PGM2;ALDOC;GYG1;S100A9;S100A11,0.00023422577644582624,0,0
