rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Polyubiquitin Modification-Dependent Protein Binding (GO:0031593),4.346916849327442e-06,6.639303013147135,81.96912536644494,BAG6;UBXN1;SHARPIN;PSMD4;MINDY1;OTUD7B;RAD23A;ASCC2;OPTN;HDAC6;UBL7,0.0010792071789339085,0,0
2,Ubiquitin Protein Ligase Binding (GO:0031625),6.312163761425403e-06,2.835534612066105,33.949946733286716,GPI;CDKN1A;UBXN1;TSG101;HSP90AB1;FAF1;CUL3;CXCR4;GABARAP;HDAC6;BAG6;UBB;BAG1;ELOB;GABARAPL1;JUN;TPI1;SMAD3;HSPA5;PER1;TRAF4;STUB1;TRIB1;EIF4E2;UBA52;ATP6V0C;HSPA1B,0.0010792071789339085,0,0
3,MAP Kinase Tyrosine Phosphatase Activity (GO:0033550),9.130348383535605e-06,31.50065530799476,365.5306653710899,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.0010792071789339085,0,0
4,MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017),9.130348383535605e-06,31.50065530799476,365.5306653710899,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.0010792071789339085,0,0
5,Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330),9.130348383535605e-06,31.50065530799476,365.5306653710899,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.0010792071789339085,0,0
6,Protein Homodimerization Activity (GO:0042803),1.9610193302903012e-05,2.021498371335505,21.91195287983582,HSP90AB1;CANT1;TSG101;TFRC;KMT2A;KARS1;PDCD6;ODC1;HSPB1;NLRC4;NUDT5;CORO1A;ZBTB4;ADD2;TRIM8;HHEX;IMPA2;GLIPR2;CCL5;PIP4K2A;PSMF1;NUDT16;GYG1;TRIM21;S100A11;ST3GAL2;GBP4;LHPP;SH3GLB1;NQO2;ACOT7;SDS;TPI1;DGAT2;SMAD3;GCA;IDH1;SNF8;VEGFA;NR4A3;DDIT3;BHLHE40;S100A6;STUB1;MVD;ATF3;MAP3K11;TRIM34,0.0017174409591807131,0,0
7,Ubiquitin-Like Protein Ligase Binding (GO:0044389),2.0341940294864622e-05,2.6382235683159747,28.500269574126744,GPI;CDKN1A;UBXN1;TSG101;HSP90AB1;FAF1;CUL3;CXCR4;GABARAP;HDAC6;BAG6;UBB;BAG1;ELOB;GABARAPL1;JUN;TPI1;SMAD3;HSPA5;PER1;TRAF4;STUB1;TRIB1;EIF4E2;UBA52;ATP6V0C;HSPA1B,0.0017174409591807131,0,0
8,Ubiquitin Binding (GO:0043130),5.1669658822587776e-05,4.473389355742297,44.15521509931524,DNAJB2;UBXN1;TSG101;SHARPIN;SMAD3;FAF1;TOLLIP;CKS2;HSPB1;CXCR4;RAD23A;VPS28,0.003817096045518672,0,0
9,RNA Binding (GO:0003723),6.47669935685954e-05,1.6335766423357665,15.755380235891248,DDX3Y;USP36;RAMAC;DAZAP1;HSP90AB1;TFRC;RPL32;CCDC124;HSPB1;MSI2;YBX1;RPL8;NUDT5;YARS1;YBX3;H1-10;RPS15;RPL7A;FBL;ZFP36;PSMD4;RPL36;RPL38;NUDT16;RPS11;C11ORF68;PRMT1;CSNK1E;GTPBP1;SND1;JMJD6;ATXN2L;DDX19B;DDIT3;RPL37A;UNC50;SDE2;SRSF3;TLR8;S100A4;FAM32A;EIF4E2;EZR;RPL28;AARS1;RPL10;DDX24;KARS1;RPL12;SRRT;TWF2;SLC3A2;RPS4Y1;CORO1A;C7ORF50;RPL14;SERPINH1;RPS2;IGF2BP2;HNRNPA1;RPL19;ABCF1;BTF3;JUN;RFTN1;HMGA1;BCDIN3D;RPL23A;HSPE1;H1-0;H1-3;CLK3;H1-2;EIF1;H1-4;RPS25;RPS28;CCDC9;PSMC1;RPL27A;UBAP2;GRB2;HSPA1B,0.004253032577671098,0,0
10,MAP Kinase Phosphatase Activity (GO:0033549),0.00012354025493487212,13.996650648026796,125.9550684284563,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.007169859722864339,0,0
11,Nuclear Glucocorticoid Receptor Binding (GO:0035259),0.00013344916573859177,25.167539267015705,224.53949848654213,NR4A2;NR4A1;NR4A3;SMAD3,0.007169859722864339,0,0
12,Protein Tyrosine/Serine/Threonine Phosphatase Activity (GO:0008138),0.00018115157139275207,8.899953682260305,76.68357146666479,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8;PPM1F,0.008921714891093039,0,0
13,Kinase Binding (GO:0019900),0.0002199897245153923,2.044888769492523,17.221909500760507,PPP1R15A;CDKN1A;USP37;HSP90AB1;TFRC;FAF1;WAS;HSPB1;ADIPOR1;ZBTB4;ADD2;ZFP36;HSF1;TRIM21;MAP2K6;SMAD3;BAD;SH2D1A;RAD23A;ARHGAP33;TPX2;PER1;NR4A3;TOLLIP;SNAI1;CKS2;JTB;STUB1;GRB2;UBE2V1;CALM2;STX1A;ATF4;TRIM34,0.010001071322199758,0,0
