rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Coronavirus disease,3.652457975037225e-10,4.137391304347826,89.90737723272593,CXCL8;RPL32;RPL10;RPLP1;RPL12;RPL8;RPS4Y1;RPS15;RPL7A;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPS12;RPL19;JUN;SYK;RPL23A;FOS;TNFRSF1A;RPS25;RPS28;RPL27A;RPL37A;TLR8;RPL28;UBA52;TLR4;MYD88;HBEGF,1.0665177287108698e-07,0,0
2,Ribosome,3.9468629047895146e-08,4.367198608003977,74.45095235239482,RPL32;RPL10;RPLP1;RPL12;RPL23A;RPL8;RPS4Y1;RPS15;RPS25;RPL7A;RPS28;RPL27A;RPL37A;RPL36;RPL14;RPLP2;RPL38;RPS2;RPS11;RPL28;UBA52;RPS12;RPL19,5.762419840992691e-06,0,0
3,MAPK signaling pathway,3.5274820444698816e-06,2.8087063088824777,35.26310054736302,HSPB1;ECSIT;AREG;RASGRP4;DUSP10;MAPK7;MAP2K6;DUSP4;DUSP5;JUN;DUSP2;JUND;MAP2K2;GADD45B;VEGFB;FLT3LG;FOS;DUSP8;EREG;GADD45G;VEGFA;TNFRSF1A;NR4A1;DDIT3;GRB2;HSPA1B;MAP3K11;MYD88;ATF4,0.00034334158566173514,0,0
4,Toll-like receptor signaling pathway,1.0074695520741377e-05,4.284659116343614,49.29707550255426,JUN;MAP2K2;CXCL8;CCL4L2;FOS;TOLLIP;CCL5;CCL4;CCL3;TLR8;FADD;TLR5;TLR4;MYD88;MAP2K6,0.000587244608353816,0,0
5,Rheumatoid arthritis,1.1989296157641203e-05,4.501594869556459,51.009805577401295,JUN;CXCL8;ATP6V0E1;FOS;VEGFA;IFNG;CCL5;CCL3;HLA-DPB1;ATP6V0C;TLR4;ATP6V1C1;HLA-DQA1;HLA-DPA1,0.000587244608353816,0,0
6,Salmonella infection,1.2066670034667453e-05,2.8552201499711596,32.33554935838617,CXCL8;HSP90AB1;ARPC1B;ARPC1A;NLRC4;KLC3;TUBA1A;KLC2;TNFSF10;FADD;RILP;MAP2K6;JUN;MAP2K2;DYNLT1;TUBB;FOS;RHOB;TNFRSF1A;ARPC3;DYNLRB1;TLR5;TLR4;ACTR10;MYD88,0.000587244608353816,0,0
7,Malaria,1.6759839043626413e-05,6.329815303430079,69.60597265085569,CXCL8;IFNG;GYPC;KLRB1;HBB;HBA2;HBA1;ACKR1;TLR4;MYD88,0.0006991247143912732,0,0
8,Colorectal cancer,2.3334974897673495e-05,4.51904200308446,48.198101218484894,CDKN1A;JUN;MAP2K2;SMAD3;GADD45B;BAD;FOS;AREG;EREG;GADD45G;RPS6KB2;GRB2;RALGDS,0.0008018521676740878,0,0
9,Graft-versus-host disease,2.4714621606393116e-05,6.898670499461013,73.18189360376427,IFNG;PRF1;HLA-DPB1;GZMB;KIR2DL1;KIR3DL2;KIR2DL3;HLA-DQA1;HLA-DPA1,0.0008018521676740878,0,0
10,Inflammatory bowel disease,3.3568660427118546e-05,5.160673222760409,53.164830567888366,JUN;SMAD3;IFNG;IL21R;HLA-DPB1;GATA3;TLR5;TLR4;HLA-DQA1;HLA-DPA1;IL12RB2,0.0009802048844718616,0,0
