rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cytoplasmic Translation (GO:0002181),1.0359625074730963e-21,10.806451612903226,522.1564599934114,RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPL11;RPL10A;RPL8;RPS4X;RPL7A;RPS14;RPS16;RPS19;RPL36;RPL14;RPS3;RPL13;RPL38;RPL37;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS8;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS28;RPL27A;RPL37A;RPS20;RPL29;RPS23,3.708745776753685e-18,0,0
2,Peptide Biosynthetic Process (GO:0043043),1.2535327799858421e-14,5.351605445671718,171.30609717188605,RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPL11;RPL10A;RPL8;MRPL55;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL36;RPL14;RPS3;RPL13;RPL38;RPL37;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS8;RPL22;RPS6;RPL13A;RPL23A;HARS2;RPS25;RPS28;RPL27A;RPL37A;RPS20;RPL29;RPS23,2.2155777974315615e-11,0,0
3,Macromolecule Biosynthetic Process (GO:0009059),1.8566294391884595e-14,4.871073517904386,154.01081909706235,RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPL11;RPL10A;RPL8;MRPL55;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL36;RPL14;RPS3;RPL13;RPL38;RPL37;RPS2;RPL18;RPS27A;RPS13;ST3GAL2;RPL19;RPS8;RPL22;RPS6;RPL13A;RPL23A;GTPBP1;HARS2;EEF1G;RPS25;RPS28;RPL27A;RPL37A;RPS20;RPL29;RPS23,2.2155777974315615e-11,0,0
4,Gene Expression (GO:0010467),1.375881173810862e-12,3.4964374674158605,95.49444394842546,RPL4;RPL5;SMG1;RPL3;NXT1;RPL32;RPL8;RPL10A;RPS4X;RPS14;RPL7A;HHEX;RPS16;RPS19;CASP4;RPL36;CASP1;RPL38;RPL37;RPS13;NUP214;RPS8;RPL22;RPS6;RPL13A;THOC5;XRN2;RPL37A;SRSF3;RPL29;RNASEL;RPL10;RPL12;RPL11;MRPL55;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;CHTOP;GZMB;RPL23A;HARS2;SORL1;RPS25;RPS28;RPL27A;RPS20;RPS23,1.2314136505607217e-09,0,0
5,Positive Regulation Of Cytokine Production (GO:0001819),2.90419022149007e-10,3.028610621203214,66.50736954905398,DDX3X;HILPDA;HYAL2;CASP1;FLOT1;TRIM27;IL6R;FCER1G;SYK;IL1R1;NFAM1;TIRAP;EREG;IL17RA;TLR1;SLC7A5;IFNG;DDIT3;TLR9;TLR8;XCL1;PRKCQ;PRKD2;TLR6;TLR5;TLR4;CARD11;ATF4;PTGER4;LILRA2;PTGS2;AGER;AGPAT2;RELA;G3BP1;RPS3;RIPK1;FADD;ZBTB7B;IL12RB2;RFTN1;OSM;MAPK14;ALOX15B;SORL1;LEP;HSPA1B;IL18R1;MYD88;HSPA1A,2.07940019858689e-07,0,0
6,Translation (GO:0006412),3.5337298270543986e-10,3.4612260255032887,75.32838225206741,RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPL11;RPL8;RPL10A;MRPL55;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL36;RPL14;RPS3;RPL13;RPL38;RPL37;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS8;RPL22;RPS6;RPL13A;RPL23A;GTPBP1;HARS2;EEF1G;RPS25;RPS28;RPL27A;RPL37A;RPS20;RPL29;RPS23,2.1084587968091244e-07,0,0
7,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),9.47737397146006e-10,3.3916083916083917,70.46725646677886,NLRX1;CANT1;TFRC;HSPB1;SUMO4;FASLG;RELA;PIDD1;TNFSF10;CASP1;TRIM25;RIPK1;FADD;TRIM21;BRD4;MAP3K3;CARD8;MUL1;IRAK4;CFLAR;ZDHHC17;ESR1;TIRAP;TNFRSF1A;FKBP1A;PER1;NLRP12;PPM1B;TRAF4;TRIM39;CARD19;TRIM13;REL;TLR9;TAB3;TLR6;ALPK1;CARD11;MYD88;TRIM34,4.846999831118144e-07,0,0
8,Positive Regulation Of Interleukin-8 Production (GO:0032757),8.083649063790657e-09,6.739678487374845,125.58327642943877,SYK;LILRA2;TIRAP;RELA;TLR1;HYAL2;DDIT3;LEP;TLR9;TLR8;PRKD2;RIPK1;FADD;TLR5;TLR4;HSPA1B;MYD88;HSPA1A,3.617432956046319e-06,0,0
9,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),1.7563098675795878e-08,6.837874892887746,122.10711705899922,CARD8;PYHIN1;HSPB1;NLRC4;LILRA2;NLRP12;AIM2;IFNG;CASP1;CCL3;NLRP2;TLR8;USP50;MNDA;TLR6;TLR4;MYD88,6.986210362149916e-06,0,0
10,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),5.380398779768175e-08,2.966438448113841,49.65200423786634,CRTC2;TFRC;NLRC4;AGER;RELA;PIDD1;IL18RAP;RPS3;FLOT1;TRIM25;FLOT2;RIPK1;TRIM27;TRIM21;TAF12;ANXA3;NFAM1;IRAK3;CFLAR;ESR1;TIRAP;VEGFA;AIM2;DDIT3;JMY;TRIM13;TLR9;HCLS1;PRKCQ;PRKD2;TLR6;TLR4;HSPA1B;IL18R1;CARD11;MYD88;HSPA1A;TRIM34,1.926182763157007e-05,0,0
