rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cytosolic Large Ribosomal Subunit (GO:0022625),3.961215513542994e-14,11.855765920826162,365.86467269736505,RPL4;RPL5;RPL3;RPL32;RPL12;RPL22;RPL11;RPL13A;RPL23A;RPL10A;RPL8;RPL7A;RPL27A;RPL37A;RPL36;RPL14;RPL13;RPL38;RPL37;RPL29;RPL18;RPL19,6.021047580585351e-12,0,0
2,Large Ribosomal Subunit (GO:0015934),3.961215513542994e-14,11.855765920826162,365.86467269736505,RPL4;RPL5;RPL3;RPL32;RPL12;RPL22;RPL11;RPL13A;RPL23A;RPL10A;RPL8;RPL7A;RPL27A;RPL37A;RPL36;RPL14;RPL13;RPL38;RPL37;RPL29;RPL18;RPL19,6.021047580585351e-12,0,0
3,Ficolin-1-Rich Granule (GO:0101002),1.009481803862075e-08,3.543966950707994,65.2488388761435,GPI;DDX3X;HSP90AB1;CANT1;GMFG;SLC2A3;PRCP;PYGL;HK3;PSMD6;FTH1;ALOX5;SIRPA;PGM2;OSTF1;GYG1;MGAM;FCER1G;DYNLT1;IDH1;ATAD3B;MAPK14;DERA;DYNC1LI1;LRG1;CRISPLD2;IMPDH1;QPCT;ALDOC;MNDA;LAMTOR1;HSPA1B;HSPA1A,1.0229415612469026e-06,0,0
4,Cytosolic Small Ribosomal Subunit (GO:0022627),4.68908532908099e-08,8.32687559354226,140.51971616471874,RPS8;RPS6;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS19;RPS3;RPS20;RPS2;RPS27A;RPS13;RPS23,2.730482970959758e-06,0,0
5,Ficolin-1-Rich Granule Lumen (GO:1904813),4.856276300295033e-08,4.11993097497843,69.3813218178725,GPI;DDX3X;HSP90AB1;CANT1;GMFG;PYGL;HK3;PSMD6;FTH1;ALOX5;PGM2;OSTF1;GYG1;DYNLT1;IDH1;MAPK14;DERA;LRG1;CRISPLD2;IMPDH1;QPCT;ALDOC;MNDA;HSPA1B;HSPA1A,2.730482970959758e-06,0,0
6,Ribosome (GO:0005840),5.38911112689426e-08,6.214925605671107,104.01486118018471,RPL32;RPL11;RPL13A;RPL10A;RPL8;RPS4X;RPL7A;RPS25;RPS28;RPS19;RPL36;RPS3;RPL38;RPL18;RPS13;RPL19;RPS23,2.730482970959758e-06,0,0
7,Small Ribosomal Subunit (GO:0015935),6.651796310148625e-08,8.029059829059829,132.6865871744929,RPS8;RPS6;RPS4X;RPS14;RPS25;RPS28;RPS16;RPS19;RPS3;RPS20;RPS2;RPS27A;RPS13;RPS23,2.8887801118359742e-06,0,0
8,Intracellular Membrane-Bounded Organelle (GO:0043231),2.4237191913079104e-07,1.393549820420782,21.227655161788224,RPL4;JPT1;RPL5;RAMAC;CHIC2;JRK;PANK2;RPL3;ZNF174;TFRC;AQP9;TESK1;SLA2;NUDT5;GOLGA2;FRAT1;RASSF2;FRAT2;ZMIZ2;FTH1;ADNP2;KAT8;UBAP2L;TRIM27;TRIM21;ATXN7L3;GLUL;RPS13;TSPYL2;SLC35C2;RPL22;DNTTIP1;SOX13;TALDO1;CSNK1E;CRNKL1;RUNX3;JMJD6;SRRM1;RNF126;ZFYVE16;XRN1;CLDN9;DDIT3;XRN2;TCEANC2;ATF7;PRKD2;NSMF;TRIB1;VPS25;ATF3;ATF4;ZNF398;LLGL2;SP140;PEX11B;SUPT4H1;BAZ2A;COPS7A;UBE2J2;OAZ2;ZBTB3;SNX1;HSPH1;RAB11FIP1;PPCS;RAB11FIP2;GTF2IRD2B;RALGDS;S100A11;CTC1;NFE2;JUN;JUND;GADD45B;XRCC5;NCAPH2;BRAF;PHC3;H1-3;H1-2;FOSL2;GADD45G;H1-4;RPS25;ZBTB6;CDAN1;H2AC20;SNAI1;REL;ARMC12;GRB2;CALM1;CALM2;EZH1;SLC2A4RG;ITM2B;INKA2;PSME3IP1;CDK16;CSRNP1;GPI;BTG3;CDKN1A;SMG1;CLIC3;PHF1;ARPC1A;CHM;MED15;PRSS23;MED18;MED17;MECP2;ING4;TUBA1A;ZMYM2;TSPO;ARIH1;HTATIP2;DUSP4;DUSP5;PRMT5;DUSP2;CNOT6L;TPI1;PARP4;SYK;DUSP1;RMI1;SIRT5;AGTRAP;FOS;KIF22;GNL1;ZDHHC17;RHOB;SLC7A5;MED22;KIN;ITPKC;HCK;SDE2;HCLS1;DNASE1L2;SFI1;VAMP2;PLIN5;C11ORF54;ZNF350;MYCBP;RPL10;CXCR4;PRKX;RELA;ARVCF;BTAF1;RNF138;UBN2;SPOP;RPS3;RPL13;GPBP1L1;RPS2;RPS27A;RPL18;SRSF11;BRD4;TSNAX;MBD4;H2BC8;YTHDF2;NFYA;YIPF3;CARD8;YIPF4;GINS4;ZNF76;GATAD2B;PSMB8;PPP1CA;ZNF33A;PER1;NLRP12;LRG1;NMNAT1;PSMC1;UBAP2;CEP43;HSPA1B;HSPA1A;MSRB1;OTUD5;CRTC2;UBXN2B;PDCD6;NAB2;SPPL2A;ZBTB21;UBE2D1;ZBTB20;ARID4B;RPL10A;PPP1CB;FBL;ZFP36;SLC39A9;NUDT16;SNRNP35;PDGFRB;H2AC8;DGAT2;ANAPC7;LIG1;RPS8;RPS6;ACOT13;TMEM250;PGD;THOC5;ZNF91;KIAA1614;DMTF1;MAK;CARD19;MSH5;ZNF438;SRSF2;ERF;PHIP;WDFY2;DENND6A;STAMBP;STAM2;KMT2A;KLHL15;CUL3;CREM;KLHL12;PSEN1;CORO1A;NDRG1;TOR1AIP1;UBB;BAG3;NACC2;MED31;STK38;NLRP2;PMAIP1;ZNF425;IP6K1;CHTOP;OSBPL7;OSBPL5;HSPA5;TDRD9;SUPT5H;ESR1;BLTP1;CLK3;NR4A2;NSFL1C;NR4A1;ARHGAP30;EIF2S3;NR4A3;UBLCP1;P4HA1;TMEM115;UBE2S;BHLHE40;MAFF;TADA3;JMY;UBA3;PHF13;LHX4;NFKBID;MYD88;UBE2M;GSK3B;KDM5B;USP36;KDM5C;USP37;NXT1;HSP90AB1;DDX3X;WNT2B;LRRK2;CHD7;CHD6;SUMO4;HSPB1;FASLG;CHD2;CHTF18;MYSM1;H1-10;HK2;IRF2BPL;PIDD1;RPL7A;HHEX;H2BC26;DUSP10;ZNF408;H2BC21;FLOT2;CASP2;PDE4A;PHACTR1;HIF1AN;INSL3;MYBL1;DACT1;KDM6A;MKKS;RBM15;MSL3;RPL13A;IRAK3;IRAK4;GLRX2;OXSR1;SMC1A;H2BC18;MSL1;ARL4C;EEF1G;PPM1B;NPC1;TRAF4;CTDSP1;RPL37A;ATP6V1B2;TMBIM6;CREB5;NFAT5;PRKAA1;ACSS3;KDM3A;RNF34;ZBTB47;CEBPD;RGS14;PPM1M;HDAC1;VPS4B;SRSF1;PRCP;NLRC4;HDAC6;MLLT6;DNAJB1;TBX21;MKNK1;SAP30L;ERBB2;ZNF746;VHL;MAPK6;HNRNPA3;KDM4C;TAF12;BNIP3;B3GAT1;GZMB;RPL23A;MCOLN1;MAPK14;YY1AP1;REC8;GZMH;TRIM39;IMPDH1;MNDA;NRDE2;BNIPL;CUL4B,8.511411031389106e-06,0,0
9,Polysomal Ribosome (GO:0042788),2.5198256342928275e-07,10.370041622787223,157.56143705790365,RPL7A;RPS28;RPL32;RPL11;RPL36;RPL38;RPL10A;RPL8;RPL18;RPL19;RPS23,8.511411031389106e-06,0,0
10,Focal Adhesion (GO:0005925),1.0004965352803472e-06,2.3030038638913126,31.816030957759484,RPL4;RPL5;RPL3;AVIL;ARPC1B;RPL12;CXCR4;HSPB1;RPL8;RPL10A;TRIOBP;PPP1CB;RPS4X;RPL7A;RPS14;LASP1;RPS16;RPS19;PLAU;G3BP1;RPS3;FLOT1;FLOT2;RPL38;CD59;RPS2;RPL18;RPS13;MPZL1;RPL19;PDGFRB;GIT2;YES1;HSPA5;RPS8;RPL22;PLAUR;RPL13A;ALOX15B;RHOB;RAB10;HCK;PEAK3;FES;RPL37A;EZR;HSPA1B;HSPA1A,2.9582217191216823e-05,0,0
11,Bounding Membrane Of Organelle (GO:0098588),1.0704091746821876e-06,1.8518737906251235,25.45857859584783,SLC35B3;GALNT14;SIGLEC9;ST6GALNAC2;CSF3R;RAB3A;PLEKHF1;TFRC;PITPNB;NCF4;SPPL2A;SLC2A3;SLA2;AREG;GOLGA2;C1GALT1C1;GLIPR2;HYAL2;CA4;VPS39;SLC36A1;ATP6V0E1;CHPF2;IRAG1;IRAK4;ATAD3B;ZDHHC17;TNFRSF1A;RAB33B;RHOB;TPST1;DYNC1LI1;RER1;RAB36;B3GNT7;SLC9A8;RAB35;TLR9;TLR8;ST6GALNAC3;VPS25;TLR4;VAMP2;HBEGF;RAB7A;VPS4B;SH2D2A;PTAFR;LY96;TGFA;SGMS2;SNX1;APH1B;FUT7;UBB;CXCR2;ERBB2;CD59;ST3GAL6;RIPK1;NCAM1;RPS27A;RNF175;YKT6;ST3GAL2;TRAPPC3;GALNT3;SORT1;B3GAT2;C1GALT1;B3GAT1;B3GALT4;BBIP1;MCOLN1;SORL1;RAB10;PIKFYVE;FCGR2A;TMEM115;C6ORF89;TAB3;MYD88;ITM2B,2.9582217191216823e-05,0,0
12,Nucleus (GO:0005634),1.3711625475234283e-06,1.3811517447823993,18.645343595960522,RPL4;JPT1;RPL5;RAMAC;JRK;PANK2;RPL3;ZNF174;TESK1;NUDT5;FRAT1;RASSF2;FRAT2;ZMIZ2;FTH1;ADNP2;KAT8;UBAP2L;TRIM27;TRIM21;ATXN7L3;GLUL;RPS13;TSPYL2;RPL22;DNTTIP1;SOX13;TALDO1;CSNK1E;CRNKL1;RUNX3;JMJD6;SRRM1;RNF126;XRN1;DDIT3;XRN2;TCEANC2;ATF7;PRKD2;NSMF;TRIB1;VPS25;ATF3;ATF4;ZNF398;SP140;SUPT4H1;BAZ2A;COPS7A;UBE2J2;OAZ2;ZBTB3;HSPH1;PPCS;GTF2IRD2B;RALGDS;S100A11;CTC1;NFE2;JUN;JUND;GADD45B;XRCC5;NCAPH2;PHC3;H1-3;H1-2;FOSL2;GADD45G;H1-4;RPS25;ZBTB6;CDAN1;H2AC20;SNAI1;REL;ARMC12;GRB2;CALM1;CALM2;EZH1;SLC2A4RG;INKA2;PSME3IP1;CDK16;CSRNP1;GPI;BTG3;CDKN1A;SMG1;CLIC3;PHF1;ARPC1A;CHM;MED15;PRSS23;MED18;MED17;MECP2;ING4;TUBA1A;ZMYM2;ARIH1;HTATIP2;DUSP4;DUSP5;PRMT5;DUSP2;CNOT6L;TPI1;PARP4;SYK;DUSP1;RMI1;SIRT5;FOS;KIF22;GNL1;RHOB;MED22;KIN;ITPKC;SDE2;HCLS1;DNASE1L2;SFI1;C11ORF54;ZNF350;MYCBP;RPL10;CXCR4;PRKX;RELA;ARVCF;RNF138;UBN2;SPOP;RPS3;RPL13;GPBP1L1;RPS2;RPS27A;RPL18;SRSF11;BRD4;TSNAX;MBD4;H2BC8;YTHDF2;NFYA;CARD8;GINS4;ZNF76;GATAD2B;PSMB8;PPP1CA;ZNF33A;PER1;NLRP12;NMNAT1;PSMC1;UBAP2;CEP43;HSPA1B;HSPA1A;MSRB1;OTUD5;CRTC2;UBXN2B;PDCD6;NAB2;ZBTB21;UBE2D1;ZBTB20;ARID4B;RPL10A;PPP1CB;FBL;ZFP36;SLC39A9;NUDT16;SNRNP35;PDGFRB;H2AC8;ANAPC7;LIG1;RPS8;RPS6;ACOT13;TMEM250;PGD;THOC5;ZNF91;KIAA1614;DMTF1;MAK;CARD19;MSH5;ZNF438;SRSF2;ERF;PHIP;STAMBP;KMT2A;KLHL15;CUL3;CREM;PSEN1;CORO1A;NDRG1;TOR1AIP1;UBB;BAG3;NACC2;MED31;STK38;PMAIP1;ZNF425;IP6K1;CHTOP;HSPA5;TDRD9;SUPT5H;ESR1;BLTP1;CLK3;NR4A2;NSFL1C;NR4A1;EIF2S3;NR4A3;UBLCP1;TMEM115;UBE2S;BHLHE40;MAFF;TADA3;JMY;UBA3;PHF13;LHX4;NFKBID;MYD88;UBE2M;GSK3B;KDM5B;USP36;KDM5C;USP37;NXT1;HSP90AB1;DDX3X;CHD7;CHD6;SUMO4;HSPB1;FASLG;CHD2;CHTF18;MYSM1;H1-10;IRF2BPL;PIDD1;RPL7A;HHEX;H2BC26;DUSP10;ZNF408;H2BC21;CASP2;PDE4A;PHACTR1;HIF1AN;INSL3;MYBL1;DACT1;KDM6A;MKKS;RBM15;MSL3;RPL13A;IRAK3;IRAK4;GLRX2;OXSR1;SMC1A;H2BC18;MSL1;ARL4C;EEF1G;PPM1B;NPC1;TRAF4;CTDSP1;RPL37A;TMBIM6;CREB5;NFAT5;PRKAA1;KDM3A;RNF34;ZBTB47;CEBPD;RGS14;PPM1M;HDAC1;VPS4B;SRSF1;HDAC6;MLLT6;DNAJB1;TBX21;MKNK1;SAP30L;ERBB2;ZNF746;VHL;MAPK6;HNRNPA3;KDM4C;TAF12;BNIP3;GZMB;RPL23A;MAPK14;YY1AP1;REC8;TRIM39;IMPDH1;NRDE2;BNIPL;CUL4B,3.4736117870593515e-05,0,0
13,Cell-Substrate Junction (GO:0030055),1.7977273122016448e-06,2.2489345293664003,29.751126316614492,RPL4;RPL5;RPL3;AVIL;ARPC1B;RPL12;CXCR4;HSPB1;RPL8;RPL10A;TRIOBP;PPP1CB;RPS4X;RPL7A;RPS14;LASP1;RPS16;RPS19;PLAU;G3BP1;RPS3;FLOT1;FLOT2;RPL38;CD59;RPS2;RPL18;RPS13;MPZL1;RPL19;PDGFRB;GIT2;YES1;HSPA5;RPS8;RPL22;PLAUR;RPL13A;ALOX15B;RHOB;RAB10;HCK;PEAK3;FES;RPL37A;EZR;HSPA1B;HSPA1A,4.203916176225384e-05,0,0
