rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),1.3265605765244035e-07,1.7043684710351377,26.989537304336817,RPL4;RPL5;RAMAC;DHFR2;RPL3;TFRC;RPL32;NUDT5;RPL8;RPL10A;C14ORF93;RPS14;FBL;ZFP36;RPS16;RPS19;RPL36;TRIM25;LUC7L;RPL38;UBAP2L;NUDT16;RPL37;SNRNP35;RPS13;C11ORF68;EIF1AX;RPS8;RPL22;RPS6;CSNK1E;THOC5;GTPBP1;CRNKL1;JMJD6;SRRM1;ATXN2L;DYNC1LI1;XRN1;DDIT3;UNC50;XRN2;SRSF2;SRSF3;KCTD12;RPL29;EZR;TWF2;BAZ2A;CORO1A;SUPT6H;NLRP6;G3BP1;SERPINH1;LLPH;JUN;CHTOP;XRCC5;TDRD9;BCDIN3D;PRRC2C;SUPT5H;HARS2;H1-3;CLK3;H1-2;H1-4;RPS25;RPS28;EIF2S3;AGO4;RPL27A;GRB2;RPS20;NOL12;RPS23;USP36;SMG1;HSP90AB1;DDX3X;HSPB1;CHD2;H1-10;MECP2;RPS4X;RPL7A;PCF11;ZC3H10;DDX59;RBM15;SECISBP2L;RBM19;RPL13A;SMC1A;PATL1;KIN;RPL37A;SDE2;TLR8;FAM32A;EIF4E2;RNASEL;RPL10;RPL12;SRRT;SRSF1;RPL11;SLC3A2;RPL14;RPS3;RPL13;ZNF106;RPS2;RPS27A;RPP14;RPL18;SRSF11;RPL19;TSNAX;HNRNPA3;YTHDF2;RFTN1;SAMD4B;RPL23A;HSPE1;TPD52L2;CCDC9;PSMC1;UBAP2;HSPA1B;HSPA1A,9.246127218375093e-05,0,0
2,Ubiquitin Protein Ligase Binding (GO:0031625),1.8157473722154589e-06,2.5616211745244004,33.86210463093779,RPL5;GPI;GSK3B;CDKN1A;HSP90AB1;RALB;RNF34;CUL3;RPL11;CXCR4;UBE2D1;UBE2J2;TRIOBP;RELA;HDAC6;UBB;SPOP;ZNF746;RIPK1;ARIH1;RPS27A;GABARAPL1;JUN;TPI1;HSPA5;XRCC5;PYHIN1;MUL1;PER1;TRAF4;JKAMP;TMBIM6;TRIB1;EIF4E2;HSPA1B;HSPA1A;CUL4B,0.0006327879592170874,0,0
3,Ubiquitin-Like Protein Ligase Binding (GO:0044389),3.3191781723462026e-06,2.4525632200691128,30.94103074780231,RPL5;GPI;GSK3B;CDKN1A;HSP90AB1;RALB;RNF34;CUL3;RPL11;CXCR4;UBE2D1;SUMO4;UBE2J2;TRIOBP;RELA;HDAC6;UBB;SPOP;ZNF746;RIPK1;ARIH1;RPS27A;GABARAPL1;JUN;TPI1;HSPA5;XRCC5;PYHIN1;MUL1;PER1;TRAF4;JKAMP;TMBIM6;TRIB1;EIF4E2;HSPA1B;HSPA1A;CUL4B,0.0007711557287084345,0,0
4,Cadherin Binding (GO:0045296),7.248979721081977e-05,2.1201098146877144,20.209023997074862,DDX3X;HSP90AB1;TWF2;PTPRJ;SLC3A2;PSEN1;NDRG1;H1-10;GOLGA2;RPL7A;DNAJB1;SNX1;ARVCF;LASP1;BAG3;STK38;RPL14;EFHD2;TRIM25;RPS2;EMD;YKT6;TBC1D10A;S100A11;SH3GLB1;HSPA5;IDH1;RPL23A;PPP1CA;ATXN2L;EEF1G;RAB10;EIF2S3;UBAP2;EZR;RPL29;HSPA1A,0.004828051910072129,0,0
5,"ATPase Activity, Coupled To Transmembrane Movement Of Ions, Rotational Mechanism (GO:0044769)",7.433096880258242e-05,19.94486853265479,189.61552379367487,ATP6V0E1;ATP6V1B2;ATP6V1E2;ATP6V1C1;ATP6V1C2,0.004828051910072129,0,0
6,MAP Kinase Tyrosine Phosphatase Activity (GO:0033550),7.433096880258242e-05,19.94486853265479,189.61552379367487,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.004828051910072129,0,0
7,MAP Kinase Tyrosine/Serine/Threonine Phosphatase Activity (GO:0017017),7.433096880258242e-05,19.94486853265479,189.61552379367487,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.004828051910072129,0,0
8,Protein Tyrosine/Threonine Phosphatase Activity (GO:0008330),7.433096880258242e-05,19.94486853265479,189.61552379367487,DUSP4;DUSP5;DUSP2;DUSP10;DUSP8,0.004828051910072129,0,0
9,"Proton-Transporting ATPase Activity, Rotational Mechanism (GO:0046961)",7.433096880258242e-05,19.94486853265479,189.61552379367487,ATP6V0E1;ATP6V1B2;ATP6V1E2;ATP6V1C1;ATP6V1C2,0.004828051910072129,0,0
10,Pyrophosphate Hydrolysis-Driven Proton Transmembrane Transporter Activity (GO:0009678),7.433096880258242e-05,19.94486853265479,189.61552379367487,ATP6V0E1;ATP6V1B2;ATP6V1E2;ATP6V1C1;ATP6V1C2,0.004828051910072129,0,0
