rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Coronavirus disease,4.133679696322912e-17,4.755948174322732,179.4170919235208,RPL4;RPL5;RPL3;CXCL8;RPL32;RPL8;RPL10A;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL36;CASP1;RPL38;RPL37;IL6R;RPS13;SYK;RPS8;RPL22;RPS6;RPL13A;FOS;IRAK4;TNFRSF1A;RPL37A;TLR8;RPL29;TLR4;HBEGF;RPL10;RPL12;RPL11;RELA;RPL14;RPS3;RPL13;RPS2;RPL18;RPS27A;RPL19;JUN;RPL23A;MAPK14;RPS25;RPS28;FCGR2A;RPL27A;RPS20;MYD88;RPS23,1.1822323931483529e-14,0,0
2,Ribosome,3.4572312273432474e-13,4.984004265529192,143.00672299837098,RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPL11;RPL10A;RPL8;RPS4X;RPS14;RPL7A;RPS16;RPS19;RPL36;RPL14;RPS3;RPL13;RPL38;RPL37;RPS2;RPL18;RPS27A;RPS13;RPL19;RPS8;RPL22;RPS6;RPL13A;RPL23A;RPS25;RPS28;RPL27A;RPL37A;RPS20;RPL29;RPS23,4.9438406551008435e-11,0,0
3,NF-kappa B signaling pathway,1.2838976626113256e-09,5.115988248271644,104.74149646600468,CXCL8;CCL4L2;LY96;PTGS2;RELA;PIDD1;PLAU;CCL4;TRIM25;RIPK1;GADD45B;TNFSF14;SYK;IL1R1;IRAK4;CFLAR;TIRAP;GADD45G;TNFRSF1A;ZAP70;TAB3;PRKCQ;TLR4;CARD11;MYD88,1.0226448568842822e-07,0,0
4,MAPK signaling pathway,1.4302725271108841e-09,3.026418731220591,61.63423054809104,TGFA;HSPB1;FASLG;AREG;RELA;RASGRP4;PPP3CC;DUSP10;MKNK1;RPS6KA1;ERBB2;MAP3K5;MAP2K6;DUSP4;MAP4K1;PDGFRB;DUSP5;MAP3K3;JUN;DUSP2;JUND;GADD45B;IL1R1;DUSP1;CACNA2D2;BRAF;FOS;IRAK4;DUSP8;MAPK14;EREG;GADD45G;VEGFA;TNFRSF1A;CACNB1;NR4A1;PPM1B;DDIT3;RASA2;GRB2;PTPN7;HSPA1B;MAP3K11;MYD88;ATF4;HSPA1A,1.0226448568842822e-07,0,0
5,Toll-like receptor signaling pathway,1.458945761968579e-07,4.325469123882288,68.08453442252942,JUN;CXCL8;CCL4L2;LY96;FOS;IRAK4;MAPK14;TIRAP;RELA;TLR1;CCL5;CCL4;TLR9;CCL3;TLR8;RIPK1;FADD;TLR6;TLR5;TLR4;MYD88;MAP2K6,8.345169758460272e-06,0,0
6,Salmonella infection,6.301478281725426e-07,2.7388231830004415,39.10303144554976,CXCL8;HSP90AB1;ARPC1B;ARPC1A;LY96;NLRC4;MYL12A;RELA;TUBA1A;CASP5;CASP4;TNFSF10;RPS3;CASP1;RIPK1;FADD;VPS39;MAP2K6;JUN;DYNLT1;EXOC7;FOS;IRAK4;MAPK14;TIRAP;RHOB;TNFRSF1A;DYNC1LI1;DYNC1LI2;TLR9;TAB3;TLR6;TLR5;TLR4;MYD88;RAB7A,3.0037046476224528e-05,0,0
7,Pathogenic Escherichia coli infection,1.7960921523869915e-06,2.9030500524081817,38.40705399092161,CXCL8;WIPF2;ARPC1B;ARPC1A;FASLG;RELA;TUBA1A;CASP4;TNFSF10;RPS3;CASP1;RIPK1;FADD;ARHGEF11;JUN;IL1R1;FOS;IRAK4;MAPK14;TIRAP;TNFRSF1A;FCGR2A;CLDN9;HCLS1;TAB3;TMBIM6;EZR;TLR5;TLR4;MYD88,7.33831936546685e-05,0,0
8,Lipid and atherosclerosis,3.934207430649096e-06,2.722538557260832,33.88417340265375,GSK3B;CXCL8;HSP90AB1;NCF4;LY96;FASLG;AGER;RELA;PPP3CC;CCL5;TNFSF10;CASP1;CCL3;MAP3K5;MAP2K6;JUN;HSPA5;FOS;IRAK4;MAPK14;TIRAP;TNFRSF1A;DDIT3;TLR6;CALM1;CALM2;TLR4;HSPA1B;MYD88;ATF4;HSPA1A,0.00014064791564570518,0,0
9,Neurotrophin signaling pathway,6.136146820163445e-06,3.4488392089423905,41.39060078702223,GSK3B;MAP3K3;JUN;KIDINS220;SORT1;MATK;BRAF;FASLG;IRAK3;PSEN1;IRAK4;MAPK14;RELA;ARHGDIA;ARHGDIB;RPS6KA1;GRB2;CALM1;CALM2;MAP3K5;ATF4,0.0001949931100629717,0,0
10,Apoptosis,9.989402195700039e-06,3.112580432689872,35.83820692627188,JUN;PARP4;GADD45B;PRF1;GZMB;CSF2RB;CTSW;FASLG;FOS;CFLAR;RELA;GADD45G;TNFRSF1A;PIDD1;TUBA1A;DDIT3;TNFSF10;PMAIP1;CASP2;RIPK1;FADD;MAP3K5;ATF4,0.0002628943750191665,0,0
