rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Positive Regulation Of Intracellular Signal Transduction (GO:1902533),3.597669534958607e-11,2.4108729045615442,57.9770326093769,HSP90AB1;HIP1;TFRC;FLT3;SECTM1;PTPRJ;IFI35;LITAF;IGF1R;RPS15;TNFSF10;TRIM25;TNFAIP8L3;TRIM21;TGM2;HSP90AA1;HGF;SHISA5;MMP8;RUNDC3A;RHOA;PPM1A;RRAGA;DOK3;DOK4;DDIT3;NOS1AP;PELI1;RAPGEF2;TRIM58;PRKD2;PPARG;S100A4;SMCR8;RAF1;S100A9;GAPDH;TLR4;S100A8;BIRC2;HBEGF;AVPI1;TLR2;LTF;NFAT5;ROCK1;MAZ;DDX21;IQGAP1;TXN;CBL;THBS1;RELA;SHARPIN;PDGFC;CCL4;CCL3;S100A12;FLNA;NLRP3;BRD4;LYN;FIS1;LAPTM5;IGF2;LIF;OSM;BMP6;VEGFA;SOD1;BST2;PINK1;NLRP12;PTPRC;CLEC6A;LEP;NEDD4;CASS4;TAB3;LAMTOR2;TAB2;LAMTOR1;TMEM9B;LAMTOR5,1.4984293613102597e-07,0,0
2,Regulation Of Erythrocyte Differentiation (GO:0045646),1.660946046577973e-10,11.069446892515952,249.26693672566267,LYN;STAT5B;SPI1;PRKDC;STAT3;HMGB2;ACVR1B;FOXO3;MAPK14;GATA1;HIF1A;ZFP36L1;FAM210B;ZFP36;TAL1;HSPA1B;HSPA1A,3.4589201419986286e-07,0,0
3,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),6.045847657643482e-10,2.604567526279417,55.285798502605985,GSK3A;RNF11;UBXN2B;RNF14;ZFAND2B;UBE2D3;UBE2D1;ARRB2;TNFSF13B;PSMD4;PSMD2;TRIM25;FBXO7;FBXO9;SKP1;UBL7;FBXW4;KCTD2;RAD23A;FBXO11;RNF40;PJA2;RBX1;PSMA6;RNF144B;CDC34;UBE2R2;DDIT3;PELI1;BIRC2;WDR26;KLHL15;NEDD4L;CBL;BAG6;SHARPIN;RMND5A;PSMB3;HECTD3;KCTD21;FEM1C;PSMF1;ZRANB1;UBE2H;SIAH2;RNF26;NTAN1;RNF146;COPS3;PINK1;GID4;RNF149;UBE2S;TOLLIP;NEDD4;PSMC1;KLHL8;CHMP2A;UBAP1;TRIP12;STUB1;KBTBD7;RNF187,8.3936518313617e-07,0,0
4,Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944),1.6926080981910042e-09,1.903772532067582,38.45048477627553,CCNK;CRTC2;SPI1;PRDM5;ETS2;DCAF6;IL4I1;NAMPT;JUNB;IER2;MEF2A;SLC11A1;HGF;RNF40;JMJD6;SFRP2;TFR2;DDIT3;PRKD2;MAML3;ATF3;NOTCH1;PRKDC;STXBP2;PIK3R2;FOXO4;FOXO3;GATA1;SUPT6H;HIF1A;GLIS2;PCBP1;NHLH1;MED31;HIVEP1;NLRP3;EGR1;STAT5B;AKIRIN2;CREBBP;JUN;JUND;AUTS2;FZD5;IGF2;LIF;MICAL2;RFXANK;ELL2;PBX1;BMP6;FOSL2;NR4A2;NR4A1;RGCC;NR4A3;AGO2;BCL3;MAFF;CSRNP1;RNF10;RARG;ELL;PTPRN;AKAP8L;HMGB2;YBX1;LITAF;MED18;PTMS;HTATIP2;NCOA1;KDM6B;ACTR2;PPP1R12A;TFE3;TET2;FOS;OXSR1;KAT2B;TFDP1;TFDP2;TAL1;RARA;PPARG;TLR4;TLR2;HDAC5;NFAT5;CEBPB;NFIX;WBP2;WAS;DDX21;GPS2;MOSPD1;RELA;ATAD2B;RXRA;MAPK7;PLAGL1;NRIP1;E2F2;E2F3;E2F4;BRD4;MAPK3;PCGF5;STAT3;OSM;USF3;KLF2;VEGFA;HIPK2;SKI;PER1;KLF7;KLF6;KLF5;TNIP1;LPIN2;SSBP3,1.4695234391707638e-06,0,0
5,Positive Regulation Of Myeloid Cell Differentiation (GO:0045639),1.7641337805171234e-09,9.890227576974565,199.34353071654058,STAT5B;PRKDC;FAXDC2;TESC;STAT3;HMGB2;ACVR1B;FOXO3;MAPK14;GATA1;HIF1A;FAM210B;PITHD1;TAL1;HSPA1B;HSPA1A,1.4695234391707638e-06,0,0
6,Inflammatory Response (GO:0006954),2.1308228869473476e-09,3.026315789473684,60.42571378926749,HDAC5;ORM1;PXK;CEBPB;CXCL8;TUSC2;C5AR1;FPR1;HP;CXCR4;ADM;FPR2;NLRC4;MEFV;AIF1;THBS1;RELA;PRDX5;FUT7;CXCR2;CCRL2;CCL4;CCL3;NLRP3;CCL24;PARP4;IL10RB;SLC11A1;NFAM1;STAT3;AZU1;FOS;PJA2;TMIGD3;TPST1;VNN1;MAPKAPK2;XCL1;TAB2;ACKR1;TLR5;TLR4;S100A9;NAIP;S100A8;TLR2,1.4791462206892838e-06,0,0
7,Positive Regulation Of Erythrocyte Differentiation (GO:0045648),1.0078516691824935e-08,12.342685370741483,227.26413453061588,STAT5B;PRKDC;STAT3;HMGB2;ACVR1B;FOXO3;MAPK14;GATA1;HIF1A;FAM210B;TAL1;HSPA1B;HSPA1A,5.996717431635836e-06,0,0
8,Positive Regulation Of DNA-templated Transcription (GO:0045893),1.2969813846331928e-08,1.726215141579332,31.349173805307103,CCNK;CRTC2;SPI1;PRDM5;ETS2;DCAF6;IL4I1;NAMPT;JUNB;IER2;MEF2A;KCNH2;MAP2K3;MAP2K2;SLC11A1;HGF;RNF40;JMJD6;SFRP2;TFR2;DDIT3;KAT6A;PRKD2;MAML3;ATF3;KMT2E;NOTCH1;PRKDC;MAZ;STXBP2;PIK3R2;FOXO4;FOXO3;GATA1;HIF1A;GLIS2;ATXN7;PCBP1;NHLH1;HIVEP1;NLRP3;EGR1;STAT5B;NFE2;AKIRIN2;CREBBP;JUN;JUND;AUTS2;FZD5;IGF2;LIF;MICAL2;RFXANK;PBX1;BMP6;FOSL2;FOSL1;NR4A2;NR4A1;RGCC;NR4A3;AGO2;BCL3;MAFF;TADA3;SNAI1;RNF187;CSRNP1;RNF10;RARG;ELL;RNF14;PTPRN;AKAP8L;HMGB2;YBX1;LITAF;PTMS;LYL1;HTATIP2;NCOA1;ARHGEF11;KDM6B;ACTR2;PPP1R12A;TESC;TFE3;TET2;RHOG;FOS;OXSR1;DNM2;PPM1A;KAT2B;TFDP1;TFDP2;TAL1;RARA;WAC;PPARG;TLR4;CREB5;TLR2;HDAC5;NFAT5;CEBPB;NFIX;WBP2;WAS;DDX21;GPS2;MOSPD1;RELA;CAMKK2;ATAD2B;SCAF8;RXRA;MAPK7;NFIL3;PLAGL1;NRIP1;E2F2;E2F3;E2F4;BRD4;MAPK3;MBD3;PCGF5;STAT3;OSM;USF3;GATAD2B;KLF2;VEGFA;HIPK2;KLF1;SKI;PER1;KLF7;KLF6;RYBP;KLF5;TNIP1;PITHD1;CARM1;LPIN2;SSBP3,6.75240933374656e-06,0,0
9,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),1.696982034290417e-08,6.187793427230047,110.71094401903902,EGR1;ORM1;FZD5;STAT3;HSPB1;NLRC4;AZU1;LILRA2;MEFV;NLRP12;TYROBP;STMP1;CCL3;TLR8;NLRP3;MNDA;LCP1;TLR4;NAIP,7.853255747577319e-06,0,0
10,Mitochondrion Disassembly (GO:0061726),2.6295650232271903e-08,8.422620857403466,147.00726466580235,FIS1;GABARAPL2;GABARAPL1;ATG9A;CISD2;WIPI1;WDR45;GABARAP;FUNDC2;MAP1LC3B;PINK1;MAP1LC3A;RB1CC1;ATG2A;FBXO7,1.0952138321741247e-05,0,0
