rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Tertiary Granule (GO:0070820),1.0051440046035607e-17,5.454337858055762,213.47632452736315,CDA;ORM1;HP;HBB;SLC2A3;FCAR;LGALS3;PLAU;FTH1;ADGRE3;CLEC5A;SIRPA;QSOX1;CD177;CR1;FCER1G;CD300A;SLC11A1;MCEMP1;ATP11A;DYNLL1;MMP8;MMP9;RHOA;OSCAR;CEACAM1;CLEC4D;DOK3;ALDOC;ALDOA;ATP6V0C;ARL8A;LTF;STXBP2;PTAFR;FPR1;FPR2;GPR84;CFP;STOM;CD59;CD55;MGAM;PRG3;LRG1;QPCT;CYSTM1;LAMTOR2;LAMTOR1,3.4677468158822847e-15,0,0
2,Ficolin-1-Rich Granule (GO:0101002),2.617206889536071e-17,4.960177910795195,189.3887139275503,CDA;GPI;HSP90AB1;SERPINA1;GMFG;HBB;SLC2A3;PYGL;APEH;FCAR;LGALS3;HK3;PNP;FTH1;PSMD2;ADGRE3;COTL1;SIRPA;GYG1;CTSB;ACTR2;HSP90AA1;CR1;FCER1G;APAF1;CD300A;SLC11A1;KRT1;DYNLL1;MMP9;RHOA;CLEC4D;DOK3;ALDOC;ALDOA;ATP6V0C;ARL8A;CAB39;FPR1;FPR2;ALOX5;CD55;MGAM;PRG2;ARPC5;MAPK14;LRG1;QPCT;MNDA;LAMTOR1;HSPA1B;HSPA1A,4.514681884449723e-15,0,0
3,Secretory Granule Membrane (GO:0030667),1.339047979925282e-16,3.8416065711606247,140.40842515859862,RAB3A;RAB3D;PTPRJ;SLC2A3;FCAR;SIRPB1;LGALS3;PLAU;ADGRE3;CLEC5A;CA4;TOM1;SIRPA;CD177;FCER1G;CR1;CD300A;SLC11A1;NFAM1;RHOG;PLAUR;NDUFC2;MCEMP1;ATP11B;ATP11A;DYNLL1;TNFRSF1B;RHOA;CEACAM1;CLEC4D;DOK3;RAB31;TYROBP;DNAJC5;ATP6V0C;ARL8A;TLR2;BRI3;PTAFR;C5AR1;FPR1;FPR2;IQGAP1;GPR84;ADGRG3;CXCR1;CXCR2;STOM;CD59;RAB6A;ATP6V1D;CD55;SNCA;MGAM;CMTM6;AZU1;LILRB3;BST2;VNN1;PTPRC;FCGR2A;SELL;CYSTM1;LAMTOR2;LAMTOR1,1.5399051769140742e-14,0,0
4,Intracellular Membrane-Bounded Organelle (GO:0043231),2.3495212946294203e-14,1.5510586733810359,48.67529179988389,RAMAC;POP7;SPI1;TFRC;ZNF292;ITSN1;ENO1;SLA2;TMEM91;DCAF6;PPP4R2;PSMD4;PSMD2;JUNB;IER2;MEF2A;CHID1;PRKCD;RBP7;ZFYVE16;DDIT3;PRKD2;MAML3;VPS25;UBA52;OPTN;ATF3;ASF1A;RABL6;PRKDC;BAZ2A;IQGAP1;C9ORF78;MEFV;GATA1;OAZ1;HIF1A;SAMSN1;OAZ2;PRDX5;LDHA;HSPH1;PPP4C;PIP5K1A;S100A12;S100A11;SERF2;VTI1B;LHPP;LYN;BTF3;NFE2;PLK3;CREBBP;JUN;PHC2;JUND;IRF2BP1;MAD2L1BP;BRAF;AZU1;PA2G4;H1-0;PRDX6;H1-3;PBX1;H1-2;FOSL2;FOSL1;H1-4;H2AC20;AGO2;SNAI1;PPT2;CPEB4;LIN54;GPI;BTG3;CDKN1A;RARG;SERPINA1;MRPL36;SNX10;FMN1;ECSIT;OSBPL11;LITAF;MED18;MECP2;TUBA1A;CSRP1;TSPO;PHF24;RIOK2;BATF2;SLC2A14;DUSP2;TPI1;DUSP1;ARG1;TESC;TET2;FOS;DYNLL1;SLC7A5;PSMA6;KAT2B;ZEB1;TAL1;RARA;PPARG;ERGIC1;PLIN5;WDR26;CTDP1;NFIX;CIPC;GPS2;CCNDBP1;SCAF8;BTAF1;PSMB3;PLAGL1;AP2S1;FLNA;NCDN;MBNL3;BRD4;MBD3;CDKN2D;MBD5;SF3A1;TRMT10C;UTP3;PCGF5;STAT3;APEX2;GATAD2B;PSMB8;HIPK2;SKI;RNF146;LRG1;RYBP;DHRS9;PSMC1;SNX15;SRRD;ZYX;UBAP1;FOSB;HSPA1B;HSPA1A;MSRB1;DGKD;UBE2D3;UBE2D1;CASC3;ZFP36;MPC2;CFL1;PIM1;CHP1;NUDT16;MAF1;BNIP3L;TLE3;DGAT2;MAP2K2;IPMK;ATP11A;CYB561A3;PGD;FBXO11;RNF40;THOC7;RBX1;KIAA1614;MAK;KAT6A;MAPKAPK2;S100A6;ZNF438;ERF;S100A4;S100A9;S100A8;OSBP2;KMT2E;NOTCH1;MAZ;CREM;FOXO4;ABHD5;FOXO3;GLIS2;BAG6;ATXN7;BAG3;MED31;BAG1;ZNF425;SLC15A3;PLTP;AKIRIN2;TCEANC;RFXANK;ARPC5;COPS3;CDK8;RGCC;STK24;BCL6;CDK5;P4HA1;MAFF;TADA3;ALB;BCL3;PIN4;ZNF777;RAB5A;RNF187;RNF10;HSP90AB1;RNF14;AKAP8L;PTEN;SUMO4;ARRB2;TNFSF13B;FUNDC2;DUSP10;ZNF408;PHACTR1;LBR;ACTR2;HSP90AA1;RAD23A;REXO2;PTBP3;PPM1A;ARL4A;TFDP1;TFDP2;DNAJC6;DNAJC5;NOS1AP;BMP2K;GAPDH;BIRC2;NFAT5;HDAC5;MTPN;CEBPB;MGRN1;WBP2;RNF38;NLRC4;DPCD;DNAJB2;DNAJB1;RAB20;ATXN1L;SAP18;E2F3;ASCC2;IGF2BP2;PCDH1;POLR2J;JAZF1;CIZ1;SMOX;GZMB;PTPN12;MCOLN1;PNRC1;KLF1;KLF7;PINK1;KLF6;KLF5;STUB1;MNDA;TPT1;JPT1;CCNK;CMAS;CCNI;EIF4A3;AQP9;NUDT1;IFI35;RPS15;LGALS3;FRAT1;RASSF2;FTH1;BSG;FAM53C;SOX6;FBXO7;TRIM21;GLUL;AGFG1;SKP1;SPACDR;KRT1;TALDO1;CSNK1D;GCAT;JMJD6;RRAGA;POR;MARF1;CDC34;BCORL1;TRIB1;PXT1;TSHZ3;STXBP2;DCUN1D1;GSKIP;PIK3R2;TXN;UBE2J1;RAB11FIP1;PCBP1;HIVEP1;HIVEP2;RALGDS;EGR1;STAT5B;ZRANB1;XRCC4;GADD45B;IQSEC1;GADD45A;SIAH2;MICAL2;NTAN1;GADD45G;ATOSB;BST2;MSRA;ID1;NDUFAF3;ARMC12;CALM3;ANP32B;CCNJL;INKA1;CSRNP1;CLIC3;HIP1;PTPRN;CCDC124;HEPACAM2;PTMS;BABAM1;MAP1LC3B;MAP1LC3A;ZMYM2;CTSL;XPO6;NCS1;QSOX1;CTSE;CLIC2;CLIC1;H3-3A;HTATIP2;NCOA1;PARP4;STRADB;NCOA4;TFE3;TUBG1;MLF2;RHOB;HCK;WAC;ALDOA;ZDHHC20;WAS;NEDD9;CXCR4;CAPG;TRAK1;AIF1;RELA;PTPA;EXOSC4;RXRA;ATP5F1B;NFIL3;SERTAD2;SHOC2;RANBP2;SVIL;H2BC8;H2BC5;YIPF3;PPP1CA;PER1;NLRP12;CCNG2;NEDD4;HDGF;TRIP12;OTUD5;CRTC2;MIDN;UBXN2B;PRDM5;ETS2;IGF1R;PTTG1;BASP1;TGM2;H2AC8;H2AC7;ATG9A;ARID5A;TMEM250;RUNDC3A;ADAM19;SLFN14;CARD19;ISCU;KLHL15;NDRG1;ZFP36L2;ZFP36L1;SDCBP;MYG1;ZMAT2;UBB;PACSIN2;TBC1D14;NLRP3;UBE2F;UBE2H;HSPA5;TDRD9;BLTP1;CLK3;IFT20;NR4A2;NR4A1;NR4A3;TMEM115;UBE2S;BHLHE40;UBE2O;NFKBID;UBE2M;KDM5B;DYRK3;GSK3A;DDX49;USP38;USP34;HMGB2;HSPB1;YBX1;CHD2;CHD1;YBX3;HK2;H2BC26;H2BC21;TRPS1;FLOT2;PDE4A;POLL;CNPPD1;CFAP45;KDM6B;PPP2R5B;IRAK3;OXSR1;SAFB;TENT5C;H2BC18;ATP6V1B2;BLVRB;CREB5;LTF;RBM47;USP15;MOSPD1;CLCN3;TOB1;ATAD2B;RMND5A;MAPK7;MKNK1;MXI1;NRIP1;MAPK6;SNCA;MAPK3;KDM4B;LIMK2;MAPK14;YY1AP1;SOD1;RPIA;PITHD1;CARM1;RGS10;CHPT1;S100P;LPIN2;SSBP3;CSNK1A1L;FAM50A,2.026462116617875e-12,0,0
5,Bounding Membrane Of Organelle (GO:0098588),4.0035997033110184e-14,2.2907180748907368,70.66635598147164,GALNT14;CSF3R;RAB3A;TFRC;NCF4;SLA2;ZDHHC2;LGALS3;BSG;TOM1;CHP1;AP2M1;CD177;GABARAPL2;ATG9A;CSGALNACT2;CSNK1D;TPST1;ADAM17;DOK3;TYROBP;RAB31;RAB36;ATP6V0D1;UBA52;VPS25;OPTN;NOTCH1;SH2D2A;C5AR1;FPR1;LY96;TGFA;IQGAP1;SNX3;UGCG;FUT7;MAN2A2;UBB;PDGFC;NLRP3;RAB6A;RNF175;SLC15A3;LYN;CD163;B3GALT4;B3GALT6;IFT20;PTPRC;SELL;TMEM115;TAB3;TAB2;CNIH3;RAB5A;CNIH4;SLC48A1;B4GALT3;ARF1;SERPINA1;FLT3;ATP2A2;ECE1;AP2A1;SLC2A3;AREG;SIRPB1;ADGRE3;CA4;MRC1;QSOX1;MAN1A1;PSENEN;CR1;ATP6AP1;RHOG;WIPI1;RAB33A;RHOA;F5;RAB33B;RHOB;DNM2;B3GNT7;B3GNT5;NOS1AP;B3GNT2;TLR8;RHOU;ST6GALNAC3;ST6GALNAC4;ATP6V0C;TLR4;HBEGF;TLR2;B4GALT5;MARCHF2;ZDHHC20;PTAFR;FURIN;CLCN3;AGPAT3;ZDHHC19;CXCR1;CHSY1;CXCR2;AP2S1;STX5;CD59;CD55;DMTN;SORT1;AP2B1;NMNAT2;MCOLN1;LILRB3;SORL1;RGP1;FCGR2A;FKBP1B;UBAP1;CHPT1;LAMTOR2,2.7624837952846027e-12,0,0
6,Secretory Granule Lumen (GO:0034774),7.761110141211928e-14,3.2686830532541116,98.67195079532785,CDA;GPI;ORM1;SERPINA1;HSP90AB1;GMFG;HP;CTSW;PYGL;EPX;HK3;PNP;PSMD2;COTL1;QSOX1;TIMP1;GYG1;ACTR2;SERPINB1;HSP90AA1;APAF1;ARG1;ACTN1;HGF;PRKCD;FGG;MMP8;F5;OSCAR;SLPI;ALDOC;ALDOA;S100A9;S100A8;FTL;LTF;TOR4A;CAB39;ROCK1;RETN;CFP;THBS1;SDCBP;CYB5R3;ALOX5;CREG1;S100A12;S100A11;VTI1B;TRAPPC1;GCA;IGF2;AZU1;PA2G4;PRG3;ARPC5;MAPK14;PRDX6;VEGFA;LRG1;TOLLIP;QPCT;ALB;MNDA;S100P,4.4626383311968586e-12,0,0
7,Specific Granule (GO:0042581),1.6955183455974397e-12,4.345467342017515,117.77534309044397,ORM1;STXBP2;HP;PTPRJ;SLC2A3;FPR2;GPR84;RETN;CFP;CLCN3;FCAR;ADGRG3;PLAU;CLEC5A;TOM1;STOM;QSOX1;CD59;ATP6V1D;CD177;ANXA3;ARG1;CMTM6;PLAUR;ANXA11;MCEMP1;ATP11A;PRG3;MMP8;TNFRSF1B;OSCAR;CEACAM1;CLEC4D;LRG1;SLPI;TOLLIP;DNAJC5;QPCT;LAMTOR2;LAMTOR1;LTF,8.356483274730238e-11,0,0
8,Nucleus (GO:0005634),6.383534898395666e-12,1.5093068570141683,38.90585430609787,RAMAC;POP7;SPI1;ZNF292;ENO1;DCAF6;PPP4R2;PSMD4;PSMD2;JUNB;IER2;MEF2A;CHID1;PRKCD;RBP7;DDIT3;PRKD2;NUP98;MAML3;VPS25;UBA52;OPTN;ATF3;ASF1A;RABL6;PRKDC;BAZ2A;IQGAP1;C9ORF78;MEFV;GATA1;OAZ1;HIF1A;SAMSN1;OAZ2;PRDX5;LDHA;HSPH1;PPP4C;PIP5K1A;S100A12;S100A11;SERF2;LHPP;LYN;BTF3;NFE2;PLK3;CREBBP;JUN;PHC2;JUND;IRF2BP1;MAD2L1BP;PA2G4;H1-0;PRDX6;H1-3;PBX1;H1-2;FOSL2;FOSL1;H1-4;H2AC20;AGO2;SNAI1;CPEB4;LIN54;GPI;BTG3;CDKN1A;RARG;MRPL36;SNX10;FMN1;ECSIT;LITAF;MED18;MECP2;TUBA1A;CSRP1;PHF24;RIOK2;BATF2;SLC2A14;DUSP2;TPI1;DUSP1;ARG1;TESC;TET2;FOS;DYNLL1;PSMA6;KAT2B;ZEB1;TAL1;RARA;PPARG;WDR26;CTDP1;NFIX;CIPC;GPS2;CCNDBP1;SCAF8;PSMB3;FLNA;NCDN;MBNL3;BRD4;MBD3;CDKN2D;MBD5;SF3A1;TRMT10C;UTP3;PCGF5;STAT3;APEX2;GATAD2B;PSMB8;HIPK2;SKI;RNF146;RYBP;PSMC1;SRRD;ZYX;FOSB;HSPA1B;HSPA1A;MSRB1;DGKD;UBE2D3;UBE2D1;CASC3;ZFP36;MPC2;CFL1;PIM1;CHP1;NUDT16;MAF1;BNIP3L;TLE3;MAP2K2;IPMK;PGD;FBXO11;RNF40;THOC7;RBX1;KIAA1614;MAK;KAT6A;MAPKAPK2;S100A6;ZNF438;ERF;S100A4;S100A9;S100A8;KMT2E;NOTCH1;MAZ;CREM;FOXO4;FOXO3;GLIS2;BAG6;ATXN7;BAG3;MED31;BAG1;ZNF425;PLTP;AKIRIN2;TCEANC;RFXANK;ARPC5;COPS3;CDK8;RGCC;STK24;BCL6;CDK5;MAFF;TADA3;ALB;BCL3;PIN4;ZNF777;RNF187;RNF10;HSP90AB1;RNF14;AKAP8L;PTEN;SUMO4;ARRB2;TNFSF13B;FUNDC2;DUSP10;ZNF408;PHACTR1;LBR;ACTR2;HSP90AA1;RAD23A;REXO2;PTBP3;PPM1A;ARL4A;TFDP1;TFDP2;NOS1AP;BMP2K;GAPDH;BIRC2;NFAT5;HDAC5;MTPN;CEBPB;MGRN1;WBP2;RNF38;DPCD;DNAJB2;DNAJB1;ATXN1L;SAP18;E2F3;ASCC2;IGF2BP2;POLR2J;JAZF1;CIZ1;GZMB;PTPN12;PNRC1;KLF1;KLF7;PINK1;KLF6;STUB1;TPT1;JPT1;CCNK;CMAS;CCNI;EIF4A3;NUDT1;IFI35;RPS15;LGALS3;FRAT1;RASSF2;FTH1;FAM53C;SOX6;FBXO7;TRIM21;GLUL;SKP1;SPACDR;KRT1;TALDO1;CSNK1D;GCAT;JMJD6;RRAGA;CDC34;BCORL1;TRIB1;PXT1;TSHZ3;STXBP2;DCUN1D1;GSKIP;PIK3R2;TXN;UBE2J1;PCBP1;HIVEP1;HIVEP2;RALGDS;EGR1;STAT5B;ZRANB1;XRCC4;GADD45B;GADD45A;MICAL2;NTAN1;GADD45G;ATOSB;ID1;NDUFAF3;ARMC12;CALM3;ANP32B;CCNJL;INKA1;CSRNP1;CLIC3;HIP1;PTPRN;CCDC124;PTMS;BABAM1;ZMYM2;CTSL;XPO6;CLIC2;CLIC1;H3-3A;HTATIP2;NCOA1;PARP4;STRADB;NCOA4;TFE3;TUBG1;MLF2;RHOB;WAC;ALDOA;WAS;NEDD9;CXCR4;CAPG;TRAK1;AIF1;RELA;PTPA;EXOSC4;RXRA;ATP5F1B;NFIL3;SERTAD2;SHOC2;RANBP2;SVIL;H2BC8;H2BC5;PPP1CA;PER1;NLRP12;CCNG2;NEDD4;HDGF;TRIP12;OTUD5;CRTC2;MIDN;UBXN2B;PRDM5;ETS2;PTTG1;BASP1;TGM2;H2AC8;H2AC7;ARID5A;TMEM250;ADAM19;SLFN14;CARD19;ISCU;KLHL15;NDRG1;ZFP36L2;ZFP36L1;SDCBP;MYG1;ZMAT2;UBB;NLRP3;UBE2F;UBE2H;HSPA5;TDRD9;BLTP1;CLK3;NR4A2;NR4A1;NR4A3;TMEM115;UBE2S;BHLHE40;UBE2O;NFKBID;UBE2M;KDM5B;DYRK3;GSK3A;DDX49;USP38;USP34;HMGB2;HSPB1;YBX1;CHD2;CHD1;YBX3;H2BC26;H2BC21;TRPS1;PDE4A;POLL;CNPPD1;CFAP45;KDM6B;PPP2R5B;IRAK3;OXSR1;SAFB;TENT5C;H2BC18;CREB5;LTF;RBM47;USP15;MOSPD1;TOB1;ATAD2B;RMND5A;MAPK7;MKNK1;MXI1;NRIP1;MAPK6;SNCA;MAPK3;KDM4B;LIMK2;MAPK14;YY1AP1;SOD1;PITHD1;CARM1;RGS10;S100P;LPIN2;SSBP3;CSNK1A1L;FAM50A,2.752899424933131e-10,0,0
9,Cytoplasmic Vesicle Membrane (GO:0030659),7.248533070053952e-12,2.7690047021943576,71.02558533780397,SLC48A1;CSF3R;RAB3A;TFRC;FLT3;NCF4;DYSF;ECE1;AP2A1;SLC2A3;SLA2;SIRPB1;LGALS3;ADGRE3;MRC1;CA4;TOM1;KIF1B;AP2M1;CD177;PSENEN;CR1;ATP6AP1;RHOG;WIPI1;RHOA;RHOB;DNM2;RAB31;DOK3;TYROBP;TLR8;RHOU;ATP6V0D1;UBA52;VPS25;ATP6V0C;TLR4;HBEGF;TLR2;PTAFR;C5AR1;FPR1;LY96;IQGAP1;CLCN3;SNX3;CXCR1;UBB;CXCR2;AP2S1;SH3BP5;RAB6A;SLC15A3;CD55;LYN;CD163;SORT1;AP2B1;MCOLN1;LILRB3;SORL1;PTPRC;FCGR2A;SELL;UBAP1;TAB3;LAMTOR2;TAB2;RAB5A,2.7786043435206817e-10,0,0
10,Focal Adhesion (GO:0005925),1.1803071676717647e-10,2.636412855162855,60.26859879993792,ARF1;AVIL;ARPC1B;RPLP1;HSPB1;DCAF6;TNFSF13B;RPS15;CSRP1;PLAU;CFL1;BSG;CAPN5;RAC2;FLOT1;RPLP2;CHP1;FLOT2;RPL38;RPS11;TNS1;TGM2;ACTR2;MAP2K2;PPP1R12A;TPM4;ACTN1;RHOG;PLAUR;DYNLL1;REXO2;RHOA;RHOB;DNM2;HCK;ADAM17;PEAK3;NUMB;CDC42EP1;LCP1;EZR;ATP6V0C;RPL12;PXN;CXCR4;NEDD9;IQGAP1;GNA12;PACSIN2;PIP5K1A;FLNA;CD59;RSU1;PDLIM7;MAP4K4;MAPK3;SVIL;HSPA5;ARPC5;ALOX15B;ARHGAP24;PTPRC;GNB2;ZYX;CASS4;HSPA1B;HSPA1A,4.072059728467588e-09,0,0
