rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Ubiquitin Protein Ligase Binding (GO:0031625),3.4766205401407756e-10,2.9755278701668013,64.80637279748932,GPI;CDKN1A;HSP90AB1;UBE2D3;UBE2D1;CASC3;ARRB2;MAP1LC3B;MAP1LC3A;ELOB;FBXO7;KCNH2;GABARAPL2;GABARAPL1;HSP90AA1;TPI1;YOD1;TNFRSF1B;RNF40;RBX1;RRAGA;PRKAR1A;TXNIP;TRIB1;EIF4E2;UBA52;ATP6V0C;RALB;RPL11;CXCR4;ACVR1B;HIF1A;GABARAP;RELA;UBE2J1;HSPD1;BAG6;UBB;BAG1;MFN2;JUN;FZD5;HSPA5;LAPTM5;PA2G4;PRDX6;SKI;PER1;PINK1;STUB1;HSPA1B;HSPA1A,1.7691460138747602e-07,0,0
2,Ubiquitin-Like Protein Ligase Binding (GO:0044389),4.433949909460552e-10,2.8810205751695115,62.04727281179114,GPI;CDKN1A;HSP90AB1;PTPRN;UBE2D3;UBE2D1;SUMO4;CASC3;ARRB2;MAP1LC3B;MAP1LC3A;ELOB;FBXO7;KCNH2;GABARAPL2;GABARAPL1;HSP90AA1;TPI1;YOD1;TNFRSF1B;RNF40;RBX1;RRAGA;PRKAR1A;TXNIP;TRIB1;EIF4E2;UBA52;ATP6V0C;RALB;RPL11;CXCR4;ACVR1B;HIF1A;GABARAP;RELA;UBE2J1;HSPD1;BAG6;UBB;BAG1;MFN2;JUN;FZD5;HSPA5;LAPTM5;PA2G4;PRDX6;SKI;PER1;PINK1;STUB1;HSPA1B;HSPA1A,1.7691460138747602e-07,0,0
3,Protein Kinase Binding (GO:0019901),1.7104761040932671e-09,2.271481930664327,45.85325655013048,ERRFI1;CDKN1A;CCNK;GSK3A;TFRC;HSPB1;AP2A1;PTPRJ;WDR45;SPRED2;ZFP36;DUSP10;RB1CC1;SIRPA;FBXO7;TRIM21;MAP2K3;HSP90AA1;PPP1R12A;DUSP1;PRKCD;RHOG;IRAK3;OXSR1;TUBA4A;SYN1;PJA2;KAT2B;CEACAM1;PRKAR1A;MAPKAPK2;CEACAM4;CKS2;RARA;JTB;TRIM58;PRKD2;SMCR8;EZR;TRIB1;NAIP;PFKFB2;PPP1R15A;HDAC5;TWF2;WAS;GSKIP;NEDD9;IQGAP1;FOXO3;ADIPOR1;HIF1A;RELA;ADD2;FAM83F;MAPK7;PDCD10;TBC1D14;SFN;FAM83D;MAP2K6;FAM83A;CDKN2D;PTPN1;FZD5;STAT3;MICAL2;SKI;PINK1;PTPRC;RGCC;NR4A3;TNIP1;WNK1;CASS4;CALM3;BCL2L1;INKA1,4.5498664368880907e-07,0,0
4,Kinase Binding (GO:0019900),2.4459516406569246e-09,2.335976370388426,46.319682001481,ERRFI1;CDKN1A;CCNK;MIDN;DGKD;HSP90AB1;TFRC;HSPB1;AP2A1;PTPRJ;WDR45;SPRED2;ZFP36;RB1CC1;CHP1;FBXO7;TRIM21;MAP2K3;PPP1R12A;PRKCD;RHOG;RAD23A;IRAK3;OXSR1;TUBA4A;SYN1;KAT2B;CEACAM1;CKS2;TAX1BP1;JTB;TRIM58;SMCR8;PFKFB2;PPP1R15A;CAB39;WAS;GSKIP;IQGAP1;FOXO3;ADIPOR1;HIF1A;RELA;ADD2;FAM83F;WDCP;PDCD10;UBQLN1;PIP5K1A;FLNA;TBC1D14;SFN;FAM83D;MAP2K6;FAM83A;CDKN2D;PTPN1;FZD5;GADD45A;STAT3;SKI;PER1;PTPRC;RGCC;NR4A3;WNK1;TOLLIP;SNAI1;STUB1;CALM3;BCL2L1;INKA1,4.879673523110564e-07,0,0
5,Protein Homodimerization Activity (GO:0042803),3.249090833862916e-08,1.9853984044124888,34.23284588799812,CDA;ACHE;DGKD;HSP90AB1;HIP1;TFRC;CISD2;HSPB1;SLC4A1;ECE1;ENO1;ZDHHC2;GIMAP7;IMPA2;PIP4K2A;NUDT16;SOX6;GYG1;TRIM21;IL6R;PDK2;KCNH2;SH3GLB1;BNIP3L;HSP90AA1;ACOT7;SDS;TPI1;DGAT2;FCER1G;TPM4;TESC;ACTN1;SLC11A1;ACSL6;IRAK3;SLC51A;RNF40;TPST1;RRAGA;CEACAM1;TYROBP;ACOX1;DDIT3;DPYD;S100A6;TRIM58;XCL1;LCP1;VPS25;ATF3;ISCU;ABCG2;MTMR1;CEBPB;BLTP3B;FECH;BCL2A1;SMIM1;ODC1;NLRC4;TXN;CST7;THBS1;RAP1GAP;RELA;ADD2;PTPA;PDCD10;PDGFC;UCP2;FLNA;PSMF1;S100A11;LHPP;STAT5B;GCA;TXNRD2;GADD45A;STAT3;INHBB;VEGFA;BST2;NR4A3;TP53I3;BHLHE40;STUB1;S100P;COL9A2;BCL2L1,5.185548970845214e-06,0,0
6,Ubiquitin-Like Protein Transferase Activity (GO:0019787),1.0752238483927025e-05,2.3371717606543263,26.738171850193726,MARCHF2;RNF14;MGRN1;UBE2D3;NEDD4L;UBE2D1;CBL;TNFSF13B;SHARPIN;RMND5A;HECTD3;MARCHF8;TRIM25;FBXO7;TRIM21;FBXO9;RANBP2;UBE2F;UBE2H;SIAH2;RNF208;FBXO11;RNF40;PJA2;RBX1;RNF146;RNF123;RNF144B;CDC34;UBE2R2;UBE2S;TSPAN17;UBE2O;STUB1;RNF141;BIRC2;RNF187;UBE2M,0.0014300477183622944,0,0
7,Purine Ribonucleoside Triphosphate Binding (GO:0035639),1.748359911360365e-05,1.869498492006299,20.47894882707837,GPI;ARF1;DYRK3;HSP90AB1;EIF4A3;PYGL;GIMAP7;TUBA1A;GUK1;TUBB1;PIM1;RAC2;PDK2;TGM2;ARL11;HSP90AA1;RHOG;LMTK2;IRAK3;OXSR1;TUBG1;SYN2;TUBA4A;RAB33A;RHOA;SYN1;RAB33B;RHOB;DNM2;RAB32;PSMA6;ARL4A;RRAGA;RAP2A;RAB31;SIK3;RHOU;TRIB1;ARL8A;NAIP;RABL6;PXK;RALB;TWF2;ATP1A3;NLRC4;ACVR1B;NT5C2;PTPA;MKNK1;NLRP3;RAB6A;MAP4K4;HSPA5;MTHFS;BCKDK;PINK1;WNK1;RAB13;RAB5A;HSPA1B;HSPA1A,0.001993130298950816,0,0
8,Protein Serine/Threonine Kinase Activity (GO:0004674),4.7354138841160615e-05,1.9814520893914294,19.73101523613744,GPI;CCNK;DYRK3;GSK3A;ROCK1;PRKDC;MAST3;ACVR1B;CAMKK2;MAPK7;MKNK1;PIM1;MAPK6;MARK3;HTATIP2;BRD4;MAP4K4;MAP2K6;MAPK3;PLK3;MAP2K2;RIOK3;PDPK1;LIMK2;PRKCD;LMTK2;CSNK1D;BRAF;IRAK3;OXSR1;MAPK14;CLK3;HIPK2;BCKDK;CDK8;PINK1;CDK5;STK24;WNK1;MAK;MAPKAPK2;SIK3;BMP2K;PRKD2;FAM20A;RAF1;CSNK1A1L,0.0047235753494057715,0,0
9,GABA Receptor Binding (GO:0050811),6.081424077896931e-05,14.748670212765957,143.17546779525074,GABARAPL2;GABARAPL1;PLCL2;TRAK1;GABARAP;SHISA7,0.0053921960157352795,0,0
10,Protein Kinase Inhibitor Activity (GO:0004860),9.049870636781865e-05,4.480398106566331,41.71329044914369,SOCS3;SPRED2;CDKN1A;ITPRIP;SH3BP5L;GMFG;SH3BP5;GSKIP;SMCR8;TRIB1;SNCA;INKA1,0.0067739093784214225,0,0
11,Ubiquitin-Protein Transferase Activity (GO:0004842),9.63568972888088e-05,1.8371458122635322,16.988916944118284,RNF10;RNF11;RNF14;UBE2D3;UBE2D1;TNFSF13B;TRIM25;FBXO7;TRIM21;FBXO9;RNF208;FBXO11;RNF40;PJA2;RBX1;RNF123;RNF144B;CDC34;UBE2R2;PELI1;TRIM58;TRIM10;BIRC2;MARCHF2;MGRN1;RNF38;NEDD4L;MEFV;CBL;NT5C2;UBE2J1;SHARPIN;RMND5A;HECTD3;MARCHF8;RNF175;UBE2H;RNF26;SIAH2;IRF2BP1;RNF146;GID4;RNF149;UBE2S;NEDD4;TSPAN17;MKRN1;UBE2O;STUB1;TRIP12;RNF141;RNF187;UBE2M,0.0067739093784214225,0,0
13,Nuclear Glucocorticoid Receptor Binding (GO:0035259),0.00011246291067101137,20.472868217054263,186.1574787703998,NR4A2;NR4A1;STAT5B;NR4A3;NRIP1,0.0067739093784214225,0,0
12,RAGE Receptor Binding (GO:0050786),0.00011246291067101137,20.472868217054263,186.1574787703998,HMGB2;S100A12;S100A4;S100A9;S100A8,0.0067739093784214225,0,0
14,Polyubiquitin Modification-Dependent Protein Binding (GO:0031593),0.00011884051541090214,4.005511022044089,36.20071980063111,ZRANB1;ZFAND2B;RAD23A;BAG6;SHARPIN;PSMD4;TOM1;UBQLN1;TAB3;ASCC2;TAB2;OPTN;UBL7,0.0067739093784214225,0,0
15,Chromatin DNA Binding (GO:0031490),0.0001308603424622808,3.1785504069496033,28.42062669286096,KDM6B;MBD3;CREBBP;WBP2;STAT3;JMJD1C;FOXO3;GATA1;H1-0;RELA;GATAD2B;H1-3;H1-2;H1-4;PER1;RARA;H3-3A,0.006961770218993338,0,0
16,Kinase Inhibitor Activity (GO:0019210),0.0001425952546300742,5.129444444444444,45.423796960372755,SOCS3;CDKN1A;ITPRIP;SH3BP5L;GMFG;SH3BP5;GSKIP;SMCR8;TRIB1;SNCA,0.00711193832467495,0,0
17,C3HC4-type RING Finger Domain Binding (GO:0055131),0.00015210942538745263,49.10756972111554,431.7002449999707,KCNH2;PINK1;HSPA1B;HSPA1A,0.007140195379952188,0,0
18,Mitogen-Activated Protein Kinase Binding (GO:0051019),0.00018165308781888865,6.5601420328450954,56.50520480006675,DUSP10;MAPK7;TNIP1;DUSP1;MAPKAPK2;MICAL2;PTPRJ;MAPK14,0.008053286893304064,0,0
19,GTPase Activity (GO:0003924),0.00021060068470713476,2.011928157120568,17.032071785330626,RGS18;ARF1;RAB3A;RALB;RAB3D;GIMAP7;GSPT1;RAP1GAP;GNAI2;GNG10;RAB20;RGS1;ARHGDIB;GNA12;RAC2;MFN2;RAB6A;RGS6;RHOG;TMEM250;GTPBP1;RAB33A;RHOA;RAB33B;RHOB;DNM2;RAB32;RRAGA;RAP2A;RAB31;GNB2;RAB13;GNAS;RGS10;RHOU;RAB5A;ARL8A,0.00884522875769966,0,0
20,Protein Kinase Regulator Activity (GO:0019887),0.0002316469858242922,2.7922615055411835,23.372055193378465,CDKN1A;ITPRIP;CCNI;CAB39;GMFG;RPLP1;GSKIP;SOCS3;RGCC;SH3BP5L;PRKAR1A;WNK1;CCNG2;SH3BP5;SMCR8;TRIB1;CNPPD1;CCNJL;SNCA,0.009242714734389259,0,0
