rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Shigellosis,2.778783571790903e-11,3.2795381451995573,79.71384059868076,ARF1;GSK3A;CXCL8;ARPC1B;UBE2D3;UBE2D1;HK2;HK1;HK3;CAPNS1;CASP4;H3-3A;SKP1;GABARAPL2;ACTR2;GABARAPL1;ACTN1;PRKCD;WIPI1;RHOA;RBX1;RRAGA;AKT1S1;ELMO2;TLR5;UBA52;TLR4;NAIP;ROCK1;PXN;PIK3R2;FOXO4;NLRC4;FOXO3;GABARAP;MYL12A;RELA;SHARPIN;H3C13;UBB;NLRP3;H3C4;WASF2;MAPK3;JUN;ARPC5;MAPK14;TNIP1;TAB3;TAB2;BCL2L1,8.391926386808527e-09,0,0
2,Salmonella infection,1.4387653131470047e-10,3.147759344668548,71.33472877943802,ARF1;CXCL8;HSP90AB1;ARPC1B;TUBA1A;CASP5;TUBB1;CASP4;TNFSF10;SKP1;MAP2K3;ACTR2;HSP90AA1;MAP2K2;RHOG;FOS;DYNLL1;RHOA;TUBA4A;RHOB;DNM2;DYNC1LI2;ELMO2;TLR5;RAF1;TLR4;GAPDH;NAIP;ARL8A;BIRC2;TLR2;LY96;TXN;NLRC4;MYL12A;RELA;KLC3;FLNA;NLRP3;RILP;MAP2K6;MAPK3;JUN;ARPC5;MAPK14;PTPRC;TAB3;TAB2;DYNLRB1;RAB5A,2.172535622851977e-08,0,0
3,HIF-1 signaling pathway,1.3516081717241634e-09,4.50616137744767,92.02469568794596,CDKN1A;PFKFB3;TFRC;PIK3R2;ENO1;HIF1A;HK2;RELA;IGF1R;HK1;HK3;LDHA;MKNK1;ELOB;TIMP1;IL6R;PDK1;MAPK3;CREBBP;MAP2K2;IFNGR2;STAT3;RBX1;VEGFA;ALDOC;ALDOA;EIF4E2;GAPDH;TLR4,1.3606188928689912e-07,0,0
4,Yersinia infection,6.5671217391027856e-09,3.7909659127521103,71.42630977317515,CXCL8;ROCK1;ARPC1B;PXN;WAS;PIK3R2;NLRC4;MEFV;RELA;RAC2;NLRP3;PIP5K1A;PIP5K1B;WASF2;MAP2K6;MAPK3;MAP2K3;ACTR2;JUN;MAP2K2;FYB1;ARHGEF12;RHOG;ARPC5;FOS;MAPK14;RHOA;FCGR2A;ELMO2;TAB2;TLR4;SKAP2,4.958176913022603e-07,0,0
5,Osteoclast differentiation,5.654563919235762e-08,3.6749025065799445,61.327573245527546,LILRA6;SPI1;NCF4;PIK3R2;LILRA2;SIRPB1;RELA;LILRA5;SOCS3;SIRPA;FCGR1A;JUNB;MAP2K6;MAPK3;JUN;JUND;IFNGR2;FOS;GAB2;LILRB3;MAPK14;OSCAR;FOSL2;FOSL1;TYROBP;FCGR2A;FOSB;TAB2;PPARG,3.4153566072184e-06,0,0
6,Fc gamma R-mediated phagocytosis,1.571454239411464e-07,4.074632644407161,63.83357880987945,LYN;ACTR2;MYO10;ARPC1B;LIMK2;PRKCD;WAS;PIK3R2;ASAP1;ARPC5;GAB2;DNM2;HCK;PTPRC;FCGR2A;CFL1;RAC2;PIP5K1A;AMPH;PIP5K1B;RAF1;FCGR1A;WASF2;MAPK3,7.909653005037703e-06,0,0
7,Neutrophil extracellular trap formation,2.121339616992233e-07,2.9271290605794555,44.97840525783321,HDAC5;AQP9;NCF4;C5AR1;H2AC19;FPR1;PIK3R2;FPR2;CLCN3;H2AC16;RELA;H3C13;H2BC21;CASP4;RAC2;FCGR1A;H3C4;H3-3A;MAPK3;H2AC8;MAP2K2;CR1;H2BC8;H2BC5;H2AC7;FGG;AZU1;MAPK14;H2BC18;FCGR2A;CR1L;H2AC20;TLR8;RAF1;TLR4;TLR2,9.15206520473792e-06,0,0
8,Autophagy,3.1988925814248e-07,3.332820666716683,49.84330281942053,MTMR3;PTEN;PIK3R2;HIF1A;GABARAP;IGF1R;CAMKK2;CTSL;RB1CC1;NRBF2;CTSB;MAPK3;SH3GLB1;GABARAPL2;GABARAPL1;MAP2K2;PDPK1;ATG9A;PRKCD;WIPI1;RAB33B;RRAGA;DDIT4;AKT1S1;ATG2A;ATG4C;SMCR8;RAF1;BCL2L1,1.2075819494878619e-05,0,0
9,Mitophagy,4.0023045246106346e-07,4.795836241941444,70.64854429985327,BNIP3L;GABARAPL2;FIS1;GABARAPL1;USP15;JUN;ATG9A;TFE3;FOXO3;HIF1A;GABARAP;RELA;PINK1;UBB;TAX1BP1;MFN2;UBA52;OPTN;BCL2L1,1.2441846645592357e-05,0,0
10,FoxO signaling pathway,4.1198167700636943e-07,3.372744782044731,49.58706163477592,CDKN1A;PTEN;PIK3R2;FOXO4;FOXO3;GABARAP;IGF1R;TNFSF10;S1PR4;MAPK3;CDKN2D;GABARAPL2;PLK3;GABARAPL1;CREBBP;MAP2K2;GADD45B;GADD45A;PDPK1;STAT3;BRAF;MAPK14;SOD2;KLF2;GADD45G;BCL6;CCNG2;RAF1,1.2441846645592357e-05,0,0
11,Transcriptional misregulation in cancer,9.213427412627584e-07,2.7708301846054195,38.507428866439675,CDKN1A;CEBPB;SPI1;CXCL8;BCL2A1;HPGD;FLT3;JMJD1C;AFF1;RELA;IGF1R;LYL1;RXRA;H3C13;PLAU;FCGR1A;H3C4;H3-3A;GADD45B;GADD45A;IL1R2;TFE3;GZMB;MMP9;PBX1;GADD45G;NR4A3;ZEB1;BCL6;DDIT3;BMP2K;RARA;PPARG;BIRC2;BCL2L1,2.5295046169213913e-05,0,0
12,Non-small cell lung cancer,1.0507907387853736e-06,4.432924591574605,61.02349626833591,STAT5B;CDKN1A;MAP2K2;GADD45B;PDPK1;GADD45A;HGF;STAT3;TGFA;PIK3R2;BRAF;FOXO3;GADD45G;EML4;RXRA;E2F2;E2F3;RAF1;MAPK3,2.6444900259431906e-05,0,0
13,Proteoglycans in cancer,1.6247458113830445e-06,2.6476921471180943,35.294157775907536,CDKN1A;SDC4;ROCK1;SDC2;PXN;PIK3R2;IQGAP1;CBL;HIF1A;THBS1;IGF1R;CTSL;PLAU;FLNA;MAPK3;MAP2K2;ARHGEF12;PPP1R12A;FZD5;PDPK1;HGF;STAT3;IGF2;PLAUR;BRAF;MAPK14;ANK1;MMP9;RHOA;PPP1CA;VEGFA;EZR;RAF1;TLR4;HBEGF;TLR2,3.693656855188439e-05,0,0
14,Pathways in cancer,1.7122912573721239e-06,1.9339063963501224,25.677786737280385,CDKN1A;SPI1;CSF3R;HSP90AB1;CXCL8;FLT3;PTEN;IGF1R;FRAT1;EDNRB;PIM1;RAC2;ELOB;IL6R;SKP1;NCOA1;ARHGEF11;HSP90AA1;MAP2K2;IL4R;ARHGEF12;APAF1;IFNGR2;HGF;NCOA4;FOS;MMP9;RHOA;RBX1;EML4;CKS2;RARA;PPARG;RAF1;BIRC2;NOTCH1;RALB;ROCK1;TGFA;CXCR4;PIK3R2;CSF2RB;CBL;HIF1A;RELA;GNAI2;GNG10;RXRA;GNA12;E2F2;E2F3;RALGDS;MAPK3;STAT5B;CREBBP;JUN;FZD5;GADD45B;LAMB3;TXNRD2;GADD45A;STAT3;IGF2;BRAF;GADD45G;VEGFA;CXCL12;GNB2;GNAS;CALM3;BCL2L1,3.693656855188439e-05,0,0
15,Malaria,2.475507331215761e-06,5.290492116579073,68.29530767639235,GYPA;CXCL8;CR1;GYPC;GYPB;HGF;SDC2;HBB;HBA2;HBA1;THBS1;CR1L;ACKR1;TLR4;TLR2,4.684702007281551e-05,0,0
16,Prostate cancer,2.4819613283610864e-06,3.6301971326164875,46.85299935578689,CREBBP;CDKN1A;HSP90AA1;MAP2K2;HSP90AB1;PDPK1;IL1R2;PTEN;TGFA;PIK3R2;BRAF;MMP9;RELA;IGF1R;ZEB1;PLAU;PDGFC;E2F2;E2F3;RAF1;CREB5;MAPK3,4.684702007281551e-05,0,0
17,Ferroptosis,5.840143236473425e-06,5.725880332092757,69.00118238484046,TFRC;ACSL1;NCOA4;SLC40A1;ACSL6;SLC3A2;ACSL4;SAT1;MAP1LC3B;MAP1LC3A;FTH1;PCBP1;FTL,0.00010052716986148037,0,0
18,Endocytosis,5.991685620882936e-06,2.346040302913618,28.21145787903214,ARF1;TFRC;ARPC1B;NEDD4L;CXCR4;AP2A1;ASAP1;ARRB2;CBL;IGF1R;SNX3;RAB11FIP1;CXCR1;CAPZB;CXCR2;AP2S1;PIP5K1A;PIP5K1B;AP2M1;SH3GLB1;ACTR2;IQSEC1;AP2B1;ARPC5;RHOA;EPN1;DNM2;ZFYVE16;RAB31;DNAJC6;NEDD4;CAPZA2;CHMP2A;AMPH;SMAP2;VPS25;RAB5A;SMAP1;HSPA1B;HSPA1A,0.00010052716986148037,0,0
19,Chemokine signaling pathway,6.989830393405208e-06,2.5758613201159926,30.578189513275696,GSK3A;CXCL8;ROCK1;CCL4L2;PXN;WAS;CXCR4;PIK3R2;ARRB2;FOXO3;RELA;CXCL16;GNAI2;PREX1;GNG10;CXCR1;CCL4;CXCR2;RAC2;CCL3;MAPK3;LYN;STAT5B;CCL24;PRKCD;STAT3;BRAF;RHOA;HCK;CXCL12;GNB2;XCL1;RAF1,0.00011110151467412488,0,0
20,Pancreatic cancer,1.0539430179736956e-05,3.833965055006009,43.93872357755988,CDKN1A;RALB;GADD45B;GADD45A;STAT3;TGFA;PIK3R2;BRAF;RELA;GADD45G;VEGFA;RAC2;E2F2;E2F3;RAF1;RALGDS;MAPK3;BCL2L1,0.00015914539571402803,0,0
21,mTOR signaling pathway,1.1529275270721266e-05,2.753636227320438,31.31055413749341,PRR5;CAB39;NPRL3;PTEN;PIK3R2;SLC3A2;IGF1R;SESN2;GRB10;ATP6V1D;MAPK3;MAP2K2;FZD5;PDPK1;STRADB;BRAF;RHOA;SLC7A5;RRAGA;DDIT4;AKT1S1;ATP6V1B2;LAMTOR2;LAMTOR1;RAF1;EIF4E2;LPIN2;LAMTOR5,0.0001658019586551344,0,0
22,Lipid and atherosclerosis,1.2817472924012313e-05,2.4137476459510356,27.19014611418446,CXCL8;HSP90AB1;NCF4;LY96;PIK3R2;RELA;HSPD1;RXRA;TNFSF10;CCL3;NLRP3;MAP2K6;MAPK3;LYN;MAP2K3;JUN;HSP90AA1;HSPA5;APAF1;PDPK1;STAT3;FOS;MAPK14;SOD2;MMP9;RHOA;DDIT3;CALM3;PPARG;TAB2;TLR4;HSPA1B;TLR2;HSPA1A;BCL2L1,0.00017594894650235085,0,0
23,NOD-like receptor signaling pathway,1.4087459573344196e-05,2.562722560288483,28.626189016101407,CXCL8;HSP90AB1;TXN;NLRC4;MEFV;GABARAP;RELA;SHARPIN;CASP5;NAMPT;CASP4;NLRP3;MFN2;CTSB;MAPK3;GABARAPL2;GABARAPL1;JUN;HSP90AA1;PRKCD;CARD6;MAPK14;RHOA;NLRP12;TXNIP;TAB3;TAB2;TLR4;NAIP;BIRC2;BCL2L1,0.00018497446918043248,0,0
24,Apoptosis,2.0568883135569492e-05,2.775141741797565,29.948583584964982,BCL2A1;CSF2RB;PIK3R2;CTSW;RELA;SPTA1;TUBA1A;CTSL;TNFSF10;CTSB;MAPK3;JUN;MAP2K2;PARP4;GADD45B;APAF1;GADD45A;PDPK1;GZMB;FOS;TUBA4A;GADD45G;DDIT3;RAF1;BIRC2;BCL2L1,0.0002588251127892495,0,0
25,MAPK signaling pathway,2.2151906801367538e-05,2.129931534937279,22.827726485724714,FLT3;TGFA;HSPB1;IL1RAP;ARRB2;ECSIT;AREG;RELA;IGF1R;DUSP10;MAPK7;MKNK1;PDGFC;GNA12;RAC2;FLNA;MAP4K4;MAP2K6;MAPK3;MAP2K3;JUN;DUSP2;JUND;MAP2K2;GADD45B;GADD45A;DUSP1;HGF;IGF2;BRAF;FOS;MAPK14;GADD45G;VEGFA;NR4A1;PPM1A;DDIT3;MAPKAPK2;RAPGEF2;TAB2;RAF1;HSPA1B;HSPA1A,0.0002675950341605199,0,0
26,Tuberculosis,3.2919065645384454e-05,2.4783783783783786,25.580479741173004,CEBPB;LSP1;RELA;HSPD1;MRC1;FCGR1A;MAPK3;PLK3;CREBBP;ARHGEF12;CR1;FCER1G;APAF1;ATP6AP1;VDR;IL10RB;IFNGR2;RFXANK;MAPK14;RHOA;FCGR2A;CR1L;CALM3;ATP6V0D1;CLEC4E;RAF1;RAB5A;ATP6V0C;TLR4;TLR2,0.00036877064711123475,0,0
27,Bladder cancer,3.2969561165573965e-05,5.099488973804153,52.626347884090706,CDKN1A;CXCL8;MAP2K2;E2F2;E2F3;BRAF;RAF1;THBS1;MMP9;MAPK3;VEGFA;HBEGF,0.00036877064711123475,0,0
28,"Parathyroid hormone synthesis, secretion and action",3.7563102028170905e-05,3.0538063445660333,31.11672407468779,MEF2A;ARHGEF11;EGR1;KL;CDKN1A;JUND;VDR;BRAF;ARRB2;FOS;RHOA;GNAI2;NR4A2;RXRA;GNA12;GNAS;PDE4A;RAF1;CREB5;HBEGF;MAPK3,0.0004051448861609862,0,0
29,Parkinson disease,5.729886275786827e-05,2.1656675505001983,21.152572596286273,COX7B;MAOA;NDUFB3;NDUFB1;UQCR11;TXN;COX6A1;UBE2J1;GNAI2;KLC3;TUBA1A;ATP5F1B;PSMD4;UBB;PSMB3;PSMD2;TUBB1;MFN2;SNCA;HSPA5;APAF1;DUSP1;NDUFA4;NDUFA2;NDUFA1;NDUFC2;ATP5F1E;TUBA4A;COX6B1;PSMA6;PINK1;DDIT3;PSMC1;GNAS;CALM3;UBA52;BCL2L1,0.000587946545224352,0,0
30,Pathways of neurodegeneration,5.8405285949438946e-05,1.8022434565849605,17.568456935375163,COX7B;HIP1;ATP2A2;COX6A1;FRAT1;TUBA1A;PSMD4;PSMD2;RB1CC1;TUBB1;MAP2K3;GABARAPL2;GABARAPL1;MAP2K2;GPX1;APAF1;NDUFC2;WIPI1;TNFRSF1B;TUBA4A;COX6B1;PSMA6;DDIT3;SMCR8;RAF1;UBA52;OPTN;NDUFB3;NDUFB1;UQCR11;GABARAP;RELA;UBE2J1;KLC3;ATP5F1B;UBB;PSMB3;ATXN1L;MFN2;NRBF2;MAP2K6;MAPK3;SNCA;FZD5;HSPA5;NDUFA4;NDUFA2;NDUFA1;BRAF;MAPK14;ATP5F1E;SOD1;PINK1;CDK5;PSMC1;ATG2A;CALM3;RAB5A;CSNK1A1L;BCL2L1,0.000587946545224352,0,0
