rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Gene Expression (GO:0010467),2.578414192265296e-18,2.9746796173200543,120.47261213377001,RPL4;RPL5;RPL32;RPL8;RPL6;GLE1;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPL39;RPS10;RPS13;DDX17;NUP214;RPS8;RPS5;RPS6;THOC1;RPSA;THOC5;PRPF4;DDX39A;DDX39B;HNRNPUL1;DKC1;RPL24;SRSF3;RPL27;RPL29;ZNF830;RPL28;MRPL10;DEDD2;MRPL11;NLRP3;HARS1;RPL41;CHTOP;MRPL27;MRPL28;HARS2;MRPL24;COPS5;MPHOSPH10;RPS20;RPS21;HBS1L;MRPS15;SMG1;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;CELF2;DIS3L;RPLP0;MRPL36;ADAR;SMG7;NXT2;MRPL35;SMG6;MRPL41;DUSP11;RBM4;HHEX;CASP8;CASP10;CASP3;CASP4;RPLP2;RBM5;RBM6;UPF1;NCBP1;NUP133;DIS3;NCBP2;DHPS;MRPS21;RPL13A;MRPS7;MRPL43;MRPS5;MRPL52;RPL37A;NCBP3;HNRNPH3;RNASEL;MRPS33;RPL12;NOL9;LMF2;LMF1;EXOSC7;EXOSC6;NXF1;RBM15B;PABPN1;EXOSC9;RPL13;RPL15;RPS2;EXOSC3;RPL18;RPS27A;EXOSC2;RAE1;EXOSC1;RPL19;MBTPS1;RBM39;RPL23A;GOLPH3;MCM3AP;SNRNP40;FAU,6.746144205156054e-15,0,0
2,"mRNA Splicing, Via Spliceosome (GO:0000398)",2.9388561120261615e-18,3.548916058109737,143.26445780218418,DBR1;CWC25;EFTUD2;PNN;SNRPD2;RBMX2;SNIP1;MTREX;SNRPD3;SNRNP35;TXNL4A;DDX17;SRRM2;IK;METTL3;CRNKL1;CDC40;SRRM1;WDR77;PRPF4;DDX39A;PRPF6;DDX39B;PRPF3;SNRPG;SRSF3;GEMIN6;PPIH;SRSF5;SNRNP200;SNRPA;SNRPB;DDX5;DDX1;RNPC3;DHX38;RBM10;DNAJC17;SRPK1;SMU1;HNRNPM;LSM8;LSM7;LSM6;CWF19L1;RSRP1;PIN1;RNPS1;HNRNPC;CDK13;ISY1;PPWD1;DDX41;USP39;PQBP1;COIL;RBM4;METTL14;SART3;SNRNP70;DHX16;RBM5;RBM6;RBM17;RBM14;PRMT7;USP49;NCBP1;NCBP2;CENATAC;PLRG1;SFPQ;SCNM1;SYF2;SNRPA1;HNRNPH3;CACTIN;SLU7;RBM22;SF3B5;SF3B2;TSSC4;SRSF1;RBM4B;RNF113A;PUF60;TRA2A;RALY;SF3A2;GPKOW;CDC5L;XAB2;SNRNP40;PHF5A;RBM42;PRPF31;RBMX,6.746144205156054e-15,0,0
3,Mitochondrial Respiratory Chain Complex Assembly (GO:0033108),4.1094520906599966e-17,6.217054263565892,234.57354117664306,NDUFA13;NDUFA11;NDUFA10;TMEM186;TMEM223;CHCHD7;COA8;COA5;NDUFC2;BCS1L;OXA1L;SCO1;SDHAF2;NDUFS5;NDUFS3;TMEM126A;NDUFS2;NDUFS1;SMIM20;COX19;NDUFB9;NDUFB8;NDUFB7;DMAC1;NDUFB10;NDUFB6;TAFAZZIN;DMAC2;NDUFB11;NDUFB5;COX18;COX17;NDUFB2;OMA1;SAMM50;COX14;NDUFA8;SURF1;COA1;NDUFA6;PET100;UQCC3;UQCC2;NDUFA3;UQCC1;NDUFA2;NDUFA1;UQCC5;UQCC4;NDUFAF8;NDUFAF6;NDUFAF4;LYRM7;NDUFAB1,6.012984579102709e-14,0,0
4,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),5.238932327686961e-17,7.933556816228297,297.4118201586914,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;NDUFB6;TAFAZZIN;COX15;NDUFB5;COX4I1;NDUFA10;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA7;NDUFA6;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;COX6C;SDHB;COX6B1;SDHAF2;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2,6.012984579102709e-14,0,0
5,Aerobic Electron Transport Chain (GO:0019646),7.617660733624485e-17,8.096943407646524,300.50572494345295,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB5;COX4I1;NDUFA10;NDUFB2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX7C;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA7;NDUFA6;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;COX6C;SDHB;COX6B1;SDHAF2;NDUFS6;UQCRQ;NDUFS5;NDUFAB1;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2,6.994536085614002e-14,0,0
6,Translation (GO:0006412),1.2875781322560104e-16,3.166908246289278,115.87273415445807,RPL4;RPL5;RPL32;RPL8;RPL6;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPS11;RPL39;RPS10;CHCHD1;RPS13;RARS2;RARS1;RPS8;RPS5;RPS6;RPSA;GTPBP1;RPL24;RPL27;AURKAIP1;RPL29;RPL28;MRPL10;MRPL11;MRPL20;HARS1;RPL41;MRPL27;MRPL28;HARS2;MRPL24;MRPL21;MRPL22;MRPL30;COPS5;RPS20;RPS21;HBS1L;MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;RPLP1;RPLP0;MRPL38;MRPL36;MRPL35;MRPL41;MRPL2;MRPL40;QARS1;MTG1;RACK1;RPLP2;MRPS28;TSFM;MRPS27;MRPS24;MRPS25;MRPS23;DHPS;MARS1;MRPS21;RPL13A;MRPL48;MRPL45;MRPS7;MRPL43;MRPS5;MRPL44;MRPL52;MRPS9;RPL37A;MRPS33;RPL12;MRPS30;MRPL57;MRPL54;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;GADD45GIP1;PTCD3;NDUFA7;GATC;GATB;RPL23A;DRG2;FAU,9.852118675312238e-14,0,0
7,RNA Processing (GO:0006396),1.6456210948333727e-16,3.609916485479318,131.1960742424432,TUT7;PDCD7;CELF1;FASTKD2;CELF2;TUT4;AKAP8L;DIS3L;ADAR;USP39;TENT4B;CCAR2;DUSP11;RBM4;SNRPD2;PPP2R1A;FASTK;DHX16;SNRPD3;SNRNP35;RBM5;RBM6;DDX17;NCBP1;DIS3;NCBP2;PRMT1;METTL3;THOC1;ZCRB1;SRRM1;PRPF4;KIN;SFPQ;PRPF6;PRPF18;SCNM1;DDX39B;HNRNPUL1;DKC1;PRPF3;SNRPG;FASTKD5;LUC7L3;SNRPA1;SNRNP25;SRSF5;HNRNPH3;ZNF830;SLU7;YJU2B;SNRPB;RNASEL;SF3B2;CSTF3;SRSF1;NOL9;RNPC3;DEDD2;TBRG4;EXOSC7;EXOSC6;PABPN1;EXOSC9;EXOSC3;EXOSC2;EXOSC1;HNRNPA0;RBM39;SF3A2;FUS;LSM1;USB1;SRPK1;SMU1;NUDT21;SNRNP40;LSM6;MPHOSPH10;RNPS1;SNRNP48;CDK12;HNRNPC;NRDE2;TARDBP,1.0792923494828592e-13,0,0
8,mRNA Processing (GO:0006397),3.7534958907728956e-16,3.2634116623150566,115.91205445458421,ISY1;RAMAC;DBR1;CELF1;PPWD1;CWC25;DDX41;USP39;EFTUD2;PNN;RBM4;METTL14;SART3;SNRPD2;RBMX2;SNRNP70;PAPOLA;DHX16;SNIP1;MTREX;SNRPD3;SNRNP35;TXNL4A;RBM5;RBM6;SRRM2;IK;RBM14;USP49;NCBP1;NCBP2;METTL3;CENATAC;PLRG1;CRNKL1;CDC40;SRRM1;ERN1;KIN;PRPF4;SFPQ;DDX39A;PRPF18;PRPF6;DDX39B;SYF2;PRPF3;SNRPG;SRSF3;GEMIN6;PPIH;SNRPA1;HNRNPH3;SRSF5;CACTIN;SNRNP200;SLU7;SNRPA;SNRPB;RBM22;SF3B5;SF3B2;DDX5;SRSF1;RBM4B;RNPC3;TBRG4;RNF113A;TRA2A;DHX38;RALY;RBM10;HNRNPA0;HEXIM1;CPSF7;SF3A2;GPKOW;CDC5L;SMU1;HNRNPM;NUDT21;XAB2;LSM8;LSM7;SNRNP40;PHF5A;LSM6;CWF19L1;PIN1;RBM42;RNPS1;PRPF31;HNRNPC;RBMX,2.1540374543172956e-13,0,0
9,Intracellular Protein Transport (GO:0006886),6.93197575765203e-16,2.646859891876444,92.38921787079799,VPS29;CSE1L;PDCD6;HIKESHI;PHB2;IPO4;EIF4ENIF1;IPO8;IPO9;LAMP2;FAM53C;KPNA6;AKT1;ARFIP2;FAM53B;CHP1;EIF2D;KPNA5;SIL1;VPS36;KPNA1;NUP214;ARL11;COG7;STX8;VPS33A;PAM16;TSC2;BCS1L;OXA1L;HGS;RAB35;RABL3;PREB;NUP98;VPS25;STAM2;KPNB1;POM121;RAB5B;TSG101;SAR1A;SAR1B;COX18;VPS26C;VPS26B;STK4;TIMM50;GRPEL1;POM121C;TBC1D13;AP4S1;SEC31B;ACD;NUP155;SMURF1;SYNRG;SEC16A;SURF4;ASPSCR1;HPS4;RABL2A;RABL2B;SNF8;AP4B1;BCL3;IFT27;TECPR2;ARF1;PPP1R10;PTPN23;NXT2;PKD1;RAB22A;ARL5B;XPO4;XPO6;KIF13A;TMED1;TNPO2;TNPO3;APPL1;TMED4;TMED9;ATP6AP1;NUP133;STRADA;VPS37B;NUP50;ARHGEF2;SLU7;ARF5;ARF6;RAB7A;RAB1A;STX16;UNC93B1;RAB1B;KATNB1;NAPG;HDAC6;STX10;TRAK2;ARFRP1;GGA1;GGA3;SNX27;RAB24;STX6;MVB12A;STX4;ROMO1;STX3;RAB28;RANBP3;STAT3;AP3D1;LAPTM5;XPO7;SEPTIN9;SEC23IP;SNX17;APEX1;RAB18;RAB3GAP2;VIPAS39,3.5360778559311633e-13,0,0
10,Cellular Respiration (GO:0045333),1.86498144592168e-15,5.915259237406889,200.619124265734,COX7B;NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;COX7C;CHCHD5;COX8A;NDUFC2;SDHB;COX6B1;OXA1L;NDUFS6;NDUFS5;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB11;NDUFB5;NDUFB2;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;LYRM7;NDUFAB1,8.562129818226434e-13,0,0
