rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),6.582341161943636e-50,2.481670325123089,281.0364188782196,RPL4;POP5;RPL5;RAMAC;RPL32;POP4;RPL8;GPATCH8;RPL6;RRP8;LSM10;ENDOV;ZC3H12A;RPL36;LUC7L;RPL35;MTERF1;RPL38;RPL39;DDX17;TYW5;NGDN;RC3H1;WDR75;GTPBP1;RC3H2;DYNC1LI1;DDX39A;DDX39B;UNC50;RPL24;RPL27;NUP98;RPL29;DUS3L;RPL28;PRKRIP1;MEPCE;BAZ2A;AKAP17A;SAMSN1;GIGYF2;MRPL10;MRPL11;MTDH;MRPL20;HEXIM1;RPL41;MTERF4;MRPL27;LARP7;MRPL28;PRRC2C;PA2G4;MCAT;MEX3C;MRPL21;SNUPN;PRRC2B;MRPL22;PRRC2A;CS;HNRNPM;TBL3;EIF5;TBL2;AGO3;LAS1L;AGO4;AGO1;HNRNPC;CDK13;ARF1;SMG1;TUT7;TUT4;RPLP0;C1ORF35;TCF20;SMG7;SPOUT1;SMG6;MRPL41;MRPL40;FASTK;RACK1;ANXA7;NELFE;LRRC47;UPF1;ZC3H10;NSUN5;NSUN2;NSUN6;SIRT6;MRPL45;NUDT16L1;MRPL43;MRPL44;WDR33;PSMA1;TUT1;CACTIN;SF3B5;RNASEL;SF3B2;RPL12;SRRT;NOC4L;MRPL54;SCAF8;UNK;PPP1R8;RPL13;ZNF106;RPL15;RPS2;RPS27A;RPL18;ZNF346;SRSF11;RPL19;TRMT10A;TRMT10B;UTP6;YTHDF1;SF3A2;YTHDF2;YTHDF3;UTP3;MCRS1;STAT3;YLPM1;ELP1;SAMD4B;TRMT1;ELP5;TARBP2;NUDT21;PHF5A;APEX1;PKN2;C1ORF131;VIRMA;EDC3;YY1;EIF4ENIF1;PPP1CC;ZFP36;ZNF207;FBRSL1;MTREX;SNRNP35;SLC16A3;C11ORF68;RARS2;PNISR;KHNYN;RPS8;RPS5;RPS6;RPSA;ZCRB1;LARP4B;POLRMT;THOC5;ILF2;EBNA1BP2;LTB4R2;SNRPG;SRSF3;S100A4;ERH;SRSF5;SNRNP200;KPNB1;SNRPA;SNRPB;KHDRBS1;PEF1;KMT2C;ISG20L2;CORO1A;GTF2E2;RCC1L;ATXN2;G3BP1;SAFB2;KHDC4;TIA1;CHTOP;API5;FUS;LSM1;PYM1;BCDIN3D;CHERP;LSM8;LSM7;GNL3L;LSM6;WRAP53;ISY1;DIDO1;CELF1;ZC3H4;CELF2;AKAP8L;PTEN;ZC3H8;CELF6;MTO1;H1-10;DUSP11;PTBP1;MRPL2;METTL14;SART3;SNRNP70;SUMO2;UBTF;DGCR8;METTL16;SECISBP2L;RPL13A;EDF1;PATL1;PTBP2;REXO4;TSN;PATL2;DALRD3;PKM;SARS2;NEMF;SYF2;NOA1;ZNF638;C1D;RPL37A;SNRPA1;EIF4E2;SLC25A11;TRIM56;NUFIP2;SRF;SRSF1;GTPBP10;MTHFSD;REPIN1;PUF60;SAP18;RBBP6;EIF4B;HNRNPA0;NOP56;PTPN1;GPKOW;CDC5L;RPL23A;TPD52L2;SNRNP40;EIF3I;EIF3G;DRG2;EIF3D;NOP53;TNRC6A;TNRC6B;EIF4A2;EIF4A1;RTCA;FCF1;CISD2;C14ORF93;CCAR2;NUDT4;UBE2L3;RPS15;TIAL1;PNN;LGALS1;SNRPD2;TRIM28;RPL18A;RPS19;RPS18;TRIM25;ARL6IP4;UBAP2L;SNRPD3;RPS11;RPS10;RPS13;SRRM2;METTL3;CIRBP;HLA-A;CRNKL1;CDC40;JMJD6;SRRM1;TFAM;DXO;SUCLG1;MACF1;CSTF3;TWF2;TRMT2A;DHX34;PCBP4;ERI3;DHX38;SURF6;RBM10;ZRANB2;RCC2;CCDC9B;HARS2;PUM2;SRPK1;AIMP1;MPHOSPH10;GRB2;RNPS1;RPS20;NOL11;NOL12;RPS21;SUGP2;SUGP1;MRPS15;DAZAP1;MRPS14;PPP1R10;FASTKD2;MRPS11;TFB1M;PCF11;DHX16;SEC61B;MRPS28;MRPS27;MRPS24;NCOA5;PRMT1;MRPS23;MRPS21;PPHLN1;MRPS7;MRPS5;NME1;RPUSD4;KIN;CTU1;MRPS9;SLTM;NFX1;RBM12B;FASTKD5;ARHGEF1;FAM32A;HNRNPH3;ALDOA;DCP2;HEATR1;AKAP8;NOL8;MRPS30;EXOSC7;PURB;EXOSC6;ATP5F1A;RBM15B;EXOSC9;EXOSC3;EXOSC2;RAE1;EXOSC1;TEFM;ATP5F1C;APTX;SEC23IP;PRPF31;FAU;TARDBP;SRP19;DBR1;RPP30;SPPL2B;BCCIP;EFTUD2;RBMX2;SNIP1;CHCHD1;RPP38;PCID2;PUS1;NOSIP;TRNT1;WBP11;RPP25L;PRPF6;HNRNPUL1;DKC1;PSPC1;PRPF3;RPL7L1;RPP21;PPIA;DDX6;UTP25;DDX5;RPS19BP1;DDX1;NOP2;ZCCHC9;ZFP36L2;RNASEH1;TASOR;NLRP1;ZC3H14;MARK2;FDPS;CPSF4;CPSF7;CCDC137;NONO;EIF2S2;CLK3;TDRD3;SRPRA;LSM14B;GRSF1;ZCCHC3;YWHAE;RBM28;RBM25;RBM26;NVL;DDX42;HMGB2;PSIP1;ADAR;CHD3;DDX41;HMGB1;CHD2;TENT4B;ELAVL1;RBM4;ZC3H7B;BUD23;ZNF385A;RBM5;RBM33;RBM6;TSFM;RBM14;RBM15;GLRX3;NCBP1;NCBP2;DDX55;DDX56;DDX51;DDX52;TRNAU1AP;YWHAZ;SFPQ;LUC7L3;NCBP3;RBM22;DDX28;POLDIP3;USP10;PARN;CSTF2T;RBM4B;MTIF2;TBRG4;NXF1;PABPN1;TRA2A;FAM120A;DROSHA;RALY;RPP14;PTCD3;SPEN;RBM39;PTCD1;PTCD2;NIFK;PDAP1;U2SURP;NAP1L4;ACIN1;RBM42;FAM98A;SSBP1;RBM45;RBMX;FAM50A;R3HDM2;SNTB2,6.049171527826202e-47,0,0
2,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),5.311486096250921e-13,7.605730061847857,214.96633549171045,NDUFB9;COX7B;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB5;COX4I1;NDUFA10;NDUFB2;UQCR10;COX5B;COX7C;COX5A;UQCRH;CYB561D2;NDUFV2;NDUFV1;COX8A;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;CYB561A3;COX6B1;NDUFS6;NDUFS5;NDUFS3;UQCRC1;NDUFS2;NDUFS1,2.440627861227298e-10,0,0
3,Ubiquitin-Like Protein Transferase Activity (GO:0019787),4.75615293737762e-10,2.4033258328302507,51.5907820048679,LRSAM1;RNF14;FBXO25;TNFAIP3;TNFAIP1;FBXO21;FBXO22;UBE2L3;CDC23;MAEA;TRIM28;FBXO4;ARIH2;FBXO3;TRIM25;TRIM69;ARIH1;MYLIP;TRIM62;AREL1;FBXW11;RC3H1;MUL1;ZFP91;TRAF2;FBXW2;RNF40;DDB2;PIAS1;RNF41;RNF167;RNF169;TRAF6;KCTD13;TRIM13;UFC1;ANAPC4;BIRC6;RBCK1;TRIM56;HDAC4;RNF31;MGRN1;CUL3;CUL2;XIAP;RNF6;CBL;RNF4;MALT1;ANAPC11;RMND5B;COP1;ZBED1;RBBP6;VHL;MARCHF6;ATG5;BRAP;UBL4A;HACE1;SMURF2;UBE2B;FANCL;SMURF1;RNF25;AMFR;MIB2;KLHL21;UBE2G1;WWP2;UBE2G2;CHFR;KLHL20;KLHL9;UBE2W;ITCH;ATG16L1;ZNF738;MDM2;UBA3;RNF181;FBXL3;MDM4;FBXL5;FBXL6;RNF220;LNX2,1.4569681831500108e-07,0,0
4,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),5.245216588145301e-09,8.234238851870835,156.99358048817143,NDUFB9;NDUFA8;NDUFB8;NDUFA7;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFB5;NDUFA4;NDUFA3;NDUFA10;NDUFA2;NDUFB2;NDUFC2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;NDUFV2;NDUFV1,1.2050885111263829e-06,0,0
5,NADH Dehydrogenase (Quinone) Activity (GO:0050136),1.2098265627679502e-08,7.547582436357423,137.59396549261734,NDUFB9;NDUFA8;NDUFB8;NDUFA7;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFB5;NDUFA4;NDUFA3;NDUFA10;NDUFA2;NDUFB2;NDUFC2;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;NDUFV2;NDUFV1,2.2236612223674926e-06,0,0
6,snRNA Binding (GO:0017069),2.850008055618402e-08,5.720127668063036,99.37783106346025,CCNT2;CCNT1;MEPCE;RNPC3;COIL;EFTUD2;LSM10;SART3;SNRNP70;SNRPD3;SNRNP35;HEXIM1;NCBP2;LARP7;CDK9;LSM8;PRPF4;LSM7;DDX39B;TUT1;PRPF31;SNRPA1;HNRNPC;SNRPA;RBM22,3.3653214544132173e-06,0,0
7,Ubiquitin-Protein Transferase Activity (GO:0004842),2.987562941991758e-08,1.8532239210087373,32.10937047671805,FBXO25;RNF19B;UBE3B;FBXO21;UBE2Z;FBXO22;UBE2L3;HERC4;RNF114;MAEA;CDC23;TRIM28;RNF19A;FBXO4;FBXO3;TRIM25;TRIM26;MYLIP;RNF44;AREL1;FBXW11;RC3H1;MUL1;RC3H2;FBXW2;RNF40;RNF41;RNF126;KCTD13;TRIM13;ANAPC4;RBCK1;CUL9;CUL3;CUL2;UBR2;DTX2;UBR1;MEFV;UBE2J2;ANAPC11;COP1;RNF216;TMEM129;BRAP;HACE1;SMURF2;UBE2B;FANCL;SMURF1;KLHL21;MEX3C;KLHL20;UBE2W;MDM2;RNF181;MDM4;FBXL3;FBXL5;RNF220;FBXL6;LRSAM1;RNF14;TNFAIP3;TNFAIP1;TRIM8;UBE2Q1;TRIM3;ARIH2;TRIM69;ARIH1;TRIM65;TRIM62;RING1;MSL2;ZFP91;TRAF2;PEX2;DDB2;RNF167;RNF169;NFX1;TRAF6;PELI1;BIRC6;RNF166;TRIM56;RNF31;RNF34;TRIM52;MGRN1;PELI3;PELI2;XIAP;RNF6;CBL;NT5C2;RNF4;MALT1;RNFT1;RMND5B;RNF113A;RBBP6;VHL;TRIM44;MARCHF6;PPIL2;TRIM41;RNF25;MIB2;WWP2;PEX10;UBE2G1;UBE2G2;CHFR;CUL4A;KLHL9;ITCH;NEURL4;TRIM39;RNF149;ZNF738;TRIM35;TRIM38;ASB1;LNX2;TAF1,3.3653214544132173e-06,0,0
8,mRNA Binding (GO:0003729),3.2669459523205505e-08,2.0741514360313316,35.75178564784381,EIF4A1;RPL5;DAZAP1;RBM25;CELF1;MRPS11;CELF2;CELF6;ELAVL1;EDC3;TIAL1;EIF4ENIF1;PTBP1;RBM4;ZFP36;METTL14;PCF11;SNRNP70;ZC3H12A;LUC7L;RPL35;SNIP1;SNRNP35;RPS13;RBM5;ZNF385A;NELFE;DDX17;SRRM2;RBM15;KHNYN;NCBP1;NCBP2;ANGEL2;RPS5;SECISBP2L;METTL3;CIRBP;RC3H1;RPL13A;LARP4B;MRPS7;THOC5;CDC40;RNF40;PTBP2;PKM;ZNF638;RPL24;TUT1;LUC7L3;DXO;NCBP3;NUP98;DDX6;KHDRBS1;DDX5;POLDIP3;CSTF3;SRSF1;PARN;CSTF2T;PURB;RBM15B;SCAF8;ATXN2;UNK;PCBP4;PPP1R8;G3BP1;RPS2;SPEN;RPL41;YTHDF1;CHTOP;CPSF7;TIA1;YTHDF2;YTHDF3;LARP7;SAMD4B;EIF2S2;PUM2;HNRNPM;NUDT21;RBM42;RNPS1;HNRNPC;PABPC1L;TARDBP;GRSF1;LSM14B;EIF3D;RBMX,3.3653214544132173e-06,0,0
9,Small GTPase Binding (GO:0031267),3.295744623473227e-08,2.347339760100081,40.4400835044507,DOCK5;LRRK2;USP33;ARHGAP1;C15ORF62;BRK1;STK19;GCC1;TNFAIP1;TRIOBP;BICD2;AKAP13;RINL;XPO4;AP1G1;DENND10;ANKFY1;ARFIP2;DENND5A;EVI5L;GIT1;TNPO3;EXOC8;ATP6AP1;SPHK2;DAPK3;TSC2;RABGGTA;UNC13D;RNF41;SIKE1;TBC1D20;ALS2;KCTD13;ULK1;ARHGEF2;RAF1;DOCK2;EXOC2;RABGAP1;MAPKAP1;C9ORF72;FGD3;FGD4;GGA1;AP3M1;GGA3;KIF3B;TMEM127;MICALL1;PDE6D;DVL3;CHML;WHAMM;GIT2;HACE1;RCC2;HPS4;BRAF;MYO9B;HPS6;RGP1;FMNL1;SGSM3;SGSM2;RAB3GAP2;TRIP11;PKN1;LZTR1;RAB3GAP1;MEGF9;PICALM,3.3653214544132173e-06,0,0
10,GTPase Binding (GO:0051020),7.476991111558319e-08,2.197639742324387,36.06074152470749,DOCK5;LRRK2;USP33;ARHGAP1;C15ORF62;BRK1;STK19;GCC1;TNFAIP1;TRIOBP;BICD2;AKAP13;RINL;XPO4;AP1G1;DENND10;ANKFY1;ARFIP2;DENND5A;EVI5L;GIT1;TNPO3;EXOC8;ATP6AP1;SPHK2;DAPK3;TSC2;ATG14;RABGGTA;UNC13D;RNF41;SIKE1;TBC1D20;ALS2;RASA1;KCTD13;ULK1;ARHGEF2;RAF1;DOCK2;EXOC2;RABGAP1;MAPKAP1;AMBRA1;C9ORF72;FGD3;FGD4;GGA1;AP3M1;GGA3;KIF3B;TMEM127;MICALL1;PDE6D;DVL3;CHML;WHAMM;GIT2;HACE1;RCC2;HPS4;BRAF;MYO9B;HPS6;AIMP1;RGP1;FMNL1;ATG16L1;SGSM3;SGSM2;GNB1;RAB3GAP2;TRIP11;PKN1;LZTR1;RAB3GAP1;MEGF9;PICALM,6.871354831522095e-06,0,0
