rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Thermogenesis,5.80680532865228e-18,3.332341263803258,132.25229761152508,NDUFA13;NDUFA11;NDUFA10;COX6A1;ACTG1;RPS6KA3;RPS6KA1;MAP3K5;PRKAB2;SMARCC1;SMARCC2;ACSL1;RPS6;ACSL6;TSC2;FRS2;TSC1;SDHB;COX6B1;UQCRC1;UQCRC2;COX19;NDUFB10;COX15;NDUFB11;COX18;COX17;ATP5MC3;COX7A2;UQCRH;COX14;CYC1;NDUFV2;ATP5MG;NDUFV1;ATP5MF;COX10;ATP5ME;COA4;COA1;SMARCA2;NDUFAF8;NDUFAF6;RHEB;UQCRQ;NDUFAF4;GRB2;COX7B;COX4I1;COX7C;CPT2;MLST8;HRAS;COA5;COX8A;ACTL6A;NDUFC2;SIRT6;ARID1A;NDUFS6;NDUFS5;ZNF516;NDUFS3;NDUFS2;NDUFS1;SOS1;NDUFB9;SMARCD1;KDM3A;NDUFB8;PRKAA1;SMARCD2;KDM3B;NDUFB7;NDUFB6;NDUFB5;ADCY4;NDUFB2;UQCR11;UQCR10;COX5B;ADCY7;COX5A;ATP5F1A;SMARCE1;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;BMP8A;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;MTOR;MAPK13;NDUFAB1;ATP5PO,1.8291436785254684e-15,0,0
2,Oxidative phosphorylation,8.777451441975851e-17,4.478064202334631,165.5619171204912,NDUFA13;COX7B;NDUFA11;COX4I1;NDUFA10;TCIRG1;COX6A1;COX7C;ATP6V1E2;COX8A;ATP6V1G1;ATP6V0B;ATP6V0E1;ATP6AP1;NDUFC2;SDHB;COX6B1;PPA2;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB11;NDUFB5;COX17;NDUFB2;ATP5MC3;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP5F1A;ATP6V0A2;CYC1;NDUFV2;ATP5MG;NDUFV1;ATP5MF;ATP6V1C1;COX10;ATP5ME;ATP6V0A1;ATP6V1F;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;UQCRQ;NDUFAB1;ATP5PO,1.3824486021111966e-14,0,0
3,Huntington disease,3.9798752402770845e-13,2.4753608923884514,70.67738477639226,NDUFA13;NDUFA11;NDUFA10;COX6A1;PSMD8;PSMD6;PSMD1;EP300;MAP3K5;ATG14;SDHB;TUBA4A;COX6B1;ERN1;UQCRC1;VDAC3;PPIF;TBPL1;TFAM;ULK1;UQCRC2;PSMD11;NDUFB10;NDUFB11;ITPR1;ATP5MC3;COX7A2;NRF1;KLC1;UQCRH;KLC4;CYC1;NDUFV2;NDUFV1;DNAH17;SP1;UQCRQ;GNAQ;MAP3K10;DNAL4;COX7B;COX4I1;CLTA;AP2A2;COX7C;ACTR1B;CASP8;CASP3;IFT57;COX8A;TBP;APAF1;NDUFC2;TRAF2;WIPI2;PSMA5;PSMA1;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;PIK3C3;PLCB2;SLC25A6;NDUFB9;DNAH1;NDUFB8;NDUFB7;DCTN2;NDUFB6;HDAC1;NDUFB5;DCTN3;NDUFB2;HTT;UQCR11;UQCR10;AMBRA1;COX5B;COX5A;PSMB6;PSMB7;ATP5F1A;PSMB4;PSMB5;PSMB1;POLR2D;POLR2E;POLR2F;POLR2H;POLR2I;POLR2J;POLR2L;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MTOR;REST;PSMC4;NDUFAB1;PSMC2;ATP5PO;BAX;ACTR10,4.1788690022909386e-11,0,0
4,Diabetic cardiomyopathy,1.851580217740839e-11,2.756286712481284,68.11445031789738,COX7B;NDUFA13;NDUFA11;NCF2;COX4I1;NCF4;NDUFA10;ATP2A3;PTEN;PIK3CD;COX6A1;COX7C;PPP1CC;CPT2;AKT1;PDK3;COX8A;PRKCB;PRKCD;NDUFC2;CYBA;SDHB;COX6B1;TGFBR2;PIK3CA;NDUFS6;NDUFS5;UQCRC1;VDAC3;PPIF;NDUFS3;NDUFS2;NDUFS1;UQCRC2;PLCB2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB2;ATP5MC3;UQCR11;COX7A2;PIK3R1;UQCR10;PDHB;COX5B;PRKCZ;COX5A;AGER;UQCRH;ATP5F1A;CYC1;NDUFV2;NDUFV1;CAMK2G;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;GSR;NDUFA2;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;MTOR;PPP1CA;MAPK13;SP1;UQCRQ;NDUFAB1;ATP5PO,1.4581194214709108e-09,0,0
5,Amyotrophic lateral sclerosis,9.8195110482511e-11,2.126220332932696,48.99675890415829,NDUFA13;NDUFA11;NDUFA10;COX6A1;ACTG1;GLE1;PSMD8;PSMD6;TBK1;PSMD1;MAP3K5;NUP214;ATG14;SDHB;TUBA4A;COX6B1;ERN1;UQCRC1;SRSF3;ULK1;NUP98;UQCRC2;ATF6;POM121;PSMD11;NDUFB10;NDUFB11;ATP5MC3;COX7A2;KLC1;UQCRH;KLC4;ATXN2;POM121C;CYC1;NDUFV2;NDUFV1;DNAH17;NUP155;FUS;UQCRQ;DNAL4;MCU;COX7B;COX4I1;NXT2;COX7C;PPP3CA;ACTR1B;PPP3CC;CASP3;ANXA7;SPG11;COX8A;APAF1;NCBP1;NUP133;NDUFC2;TRAF2;WIPI2;TOMM40L;TNFRSF1A;PSMA5;PSMA1;ALS2;NDUFS6;NDUFS5;NUP50;NDUFS3;NDUFS2;NDUFS1;PIK3C3;SMCR8;NUP58;NDUFB9;RAB1A;DNAH1;NDUFB8;NDUFB7;DCTN2;NDUFB6;NDUFB5;DCTN3;NDUFB2;UQCR11;UQCR10;AMBRA1;COX5B;COX5A;HDAC6;PSMB6;PSMB7;NXF1;ATP5F1A;PSMB4;PSMB5;PSMB1;NUP43;RAE1;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;MTOR;MAPK13;PSMC4;VAPB;NDUFAB1;PSMC2;ATP5PO;BAX;TARDBP;ACTR10,6.1862919603981925e-09,0,0
6,Parkinson disease,7.100471847634488e-10,2.3499276581923407,49.50284684304516,COX7B;NDUFA13;NDUFA11;COX4I1;LRRK2;NDUFA10;COX6A1;COX7C;UBE2L3;PSMD8;PSMD6;CASP3;PSMD1;MAP3K5;COX8A;APAF1;DUSP1;NDUFC2;SDHB;TUBA4A;COX6B1;PSMA5;ERN1;PSMA1;ADORA2A;NDUFS6;NDUFS5;UQCRC1;VDAC3;PPIF;NDUFS3;NDUFS2;NDUFS1;UQCRC2;ATF6;SLC25A6;NDUFB9;NDUFB8;PSMD11;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;ITPR1;NDUFB2;ATP5MC3;UQCR11;COX7A2;UQCR10;UBE2J2;COX5B;KLC1;COX5A;UQCRH;PSMB6;PSMB7;KLC4;ATP5F1A;PSMB4;PSMB5;PSMB1;MFN1;CYC1;RPS27A;NDUFV2;NDUFV1;CAMK2G;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UBE2G1;UBE2G2;ATP5F1C;COX6C;ATP5F1D;GNAL;PSMC4;UQCRQ;NDUFAB1;PSMC2;ATP5PO;BAX;MCU,3.727747720008106e-08,0,0
7,Non-alcoholic fatty liver disease,1.2978010763966408e-09,2.834904226208574,58.00949558285,NDUFA13;COX7B;NDUFA11;COX4I1;NDUFA10;PIK3CD;COX6A1;COX7C;IKBKB;CASP8;CASP3;AKT1;MAP3K5;COX8A;PRKAB2;NDUFC2;TRAF2;SDHB;COX6B1;TNFRSF1A;ERN1;PIK3CA;NDUFS6;NDUFS5;UQCRC1;NDUFS3;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;PRKAA1;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB2;COX7A2;UQCR11;PIK3R1;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV2;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;MAPK14;MAPK13;ITCH;UQCRQ;NDUFAB1;BAX;MAP3K11,5.840104843784884e-08,0,0
8,Ribosome,3.2138571408893945e-09,2.7448656606551345,53.67802747131818,RPL4;RPL5;MRPS15;MRPS16;RPL32;MRPS14;MRPS11;RPLP1;RPLP0;MRPL36;RPL8;MRPL35;RPL6;RPS15;MRPL2;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;RPS13;RPS12;RPS8;RPS5;RPS6;MRPS21;RPL13A;RPSA;MRPS7;MRPS5;MRPS9;RPL37A;RPL24;RPL27;RPL29;RPL28;RPL12;MRPL15;MRPL10;MRPL11;MRPL20;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;MRPL27;MRPL28;RPL23A;MRPL24;MRPL21;MRPL22;MRPL30;RPS20;FAU;RPS21,1.265456249225199e-07,0,0
9,Alzheimer disease,4.709301444197091e-09,1.9798097240473063,37.960329682408535,NDUFA13;NDUFA11;NDUFA10;ARAF;COX6A1;PSMD8;PSMD6;AKT1;PSMD1;MAP3K5;CSNK2A1;ATG14;SDHB;TUBA4A;COX6B1;ERN1;ADAM17;UQCRC1;VDAC3;PPIF;ULK1;UQCRC2;RAF1;ATF6;PSMD11;NDUFB10;NDUFB11;ITPR1;ATP5MC3;COX7A2;PIK3R1;PSEN1;KLC1;AGER;UQCRH;APH1A;KLC4;APH1B;DVL1;DVL3;FADD;CYC1;NAE1;NDUFV2;NDUFV1;WNT10B;BRAF;CDK5;UQCRQ;GNAQ;MCU;COX7B;COX4I1;ATP2A3;PIK3CD;COX7C;IKBKB;PPP3CA;PPP3CC;CASP8;CASP3;HRAS;COX8A;PSENEN;MME;APAF1;AXIN1;NDUFC2;TRAF2;WIPI2;TNFRSF1A;PSMA5;PSMA1;PIK3CA;NDUFS6;NDUFS5;NDUFS3;NDUFS2;NDUFS1;PIK3C3;PLCB2;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB2;UQCR11;UQCR10;AMBRA1;COX5B;COX5A;PSMB6;PSMB7;ATP5F1A;PSMB4;PSMB5;PSMB1;MAPK1;NDUFA8;NDUFA7;ATP5PD;NDUFA6;ATP5PB;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;MTOR;PSMC4;NDUFAB1;PSMC2;ATP5PO;CDK5R1,1.6482555054689818e-07,0,0
10,Spliceosome,6.546817711002714e-09,2.7581090407177364,51.97459765383519,ISY1;RBM25;DDX42;USP39;PQBP1;EFTUD2;SNRPD2;SNRNP70;DHX16;SNRPD3;TXNL4A;RBM17;NCBP1;NCBP2;THOC1;PLRG1;WBP11;CRNKL1;CDC40;PRPF4;PRPF6;PRPF18;DDX39B;SYF2;PRPF3;SNRPG;SRSF3;PPIH;SNRPA1;SRSF5;SNRNP200;SNRPC;SLU7;SNRPA;SNRPB;RBM22;SF3B5;DDX5;SF3B2;SRSF1;PUF60;TRA2A;DHX38;SF3A2;HSPA1L;FUS;CDC5L;U2SURP;CHERP;HNRNPM;LSM8;XAB2;LSM7;SNRNP40;LSM6;PHF5A;ACIN1;PRPF31;HNRNPC;RBMX,2.0622475789658551e-07,0,0
