lncRNA,pc,r,direction
ENSG00000281383,MYH11,0.17932369307475549,pos
ENSG00000281383,CNN1,0.17760079319241126,pos
ENSG00000281383,TG,0.15471351483201884,pos
ENSG00000281383,ACTG2,0.15349389745711153,pos
ENSG00000281383,ZER1,0.15031644302795424,pos
ENSG00000281383,NOTCH2NLB,0.14928763688856078,pos
ENSG00000281383,HBE1,0.14180197622865048,pos
ENSG00000281383,DCAF12,0.1368989583432237,pos
ENSG00000281383,APC2,0.1363127029002802,pos
ENSG00000281383,VASN,0.13564825704474612,pos
ENSG00000281383,MAF1,0.13308395562550074,pos
ENSG00000281383,AKT1S1,0.13194966188906324,pos
ENSG00000281383,MARCHF2,0.1303058836190459,pos
ENSG00000281383,RETREG2,0.12806137538115964,pos
ENSG00000281383,RHBDF1,0.12773094603208654,pos
ENSG00000281383,GPR146,0.12750343302484768,pos
ENSG00000281383,TANGO2,0.12516231072129547,pos
ENSG00000281383,EIF5AL1,0.12510583199668387,pos
ENSG00000281383,MARCHF8,0.12507782347735882,pos
ENSG00000281383,PINK1,0.12490826568546941,pos
ENSG00000281383,TNS1,0.12398753466380683,pos
ENSG00000281383,OSBP2,0.123142847604657,pos
ENSG00000281383,TPO,0.12284547951360515,pos
ENSG00000281383,TMEM86B,0.12258337502933549,pos
ENSG00000281383,GATA1,0.12174372745817717,pos
ENSG00000281383,FKBP8,0.12133593867128806,pos
ENSG00000281383,NLRP7,0.12103576497595449,pos
ENSG00000281383,INSYN2B,0.11980478302057972,pos
ENSG00000281383,MAP1B,0.11816246647642019,pos
ENSG00000281383,SORBS2,0.11812122203818631,pos
ENSG00000281383,BCL2L1,0.11779954053404688,pos
ENSG00000281383,LYL1,0.11517776879796057,pos
ENSG00000281383,TRIM58,0.11515614203276336,pos
ENSG00000281383,POLL,0.11472026560268112,pos
ENSG00000281383,RUNDC3A,0.11453216065610197,pos
ENSG00000281383,SHARPIN,0.11357540220605748,pos
ENSG00000281383,CC2D2A,0.1134006298296683,pos
ENSG00000281383,UBXN6,0.11304070052380402,pos
ENSG00000281383,KLC3,0.11258402488497196,pos
ENSG00000281383,DPM2,0.11160646472167614,pos
ENSG00000281383,PDZK1IP1,0.11121841928969918,pos
ENSG00000281383,PLEKHG6,0.11071397719996175,pos
ENSG00000281383,MICAL2,0.11033033019110683,pos
ENSG00000281383,SMIM5,0.10998986729621078,pos
ENSG00000281383,EPB42,0.10994993590393143,pos
ENSG00000281383,DMTN,0.10993168014913748,pos
ENSG00000281383,RGS5,0.1097164431984409,pos
ENSG00000281383,LMOD1,0.10955851384819994,pos
