rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cytoplasmic Translation (GO:0002181),1.1196877822942725e-24,9.5430572723527,526.2899925202448,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL8;RPL9;RPL7;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;RPL21;RPS7;RPL22;RPS3A;FTSJ1;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL14;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS28;RPS27;RPS29;EIF3I;FAU;RPS24,5.1371275451661226e-21,0,0
2,Macromolecule Biosynthetic Process (GO:0009059),1.7134106042312465e-18,4.369643519832348,178.75357717065532,RPL30;RPL32;RPL31;RPL34;RPLP1;MRPL36;MRPL37;RPL8;RPL9;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;EEF2K;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;RPL21;RPS7;SLC11A1;PABPC4;RPL22;RPS3A;GTPBP1;EEF1G;MRPL52;MRPL51;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;RPS4Y1;MRPL55;RPS15A;ST3GAL4;RPL14;RPL13;RPS2;RPL18;RPL17;ST3GAL2;ABCF1;RPL19;RPL41;RPL35A;RPL23A;EEF2;EXT1;RPS28;COPS5;RPS27;RPS29;AGO2;RPS6KB2;FAU;RPS24,3.93056392610648e-15,0,0
3,Peptide Biosynthetic Process (GO:0043043),4.339132626176166e-17,4.5294468618283945,170.65267246714765,RPL30;RPL32;RPL31;RPL34;RPLP1;MRPL36;MRPL37;RPL8;RPL9;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;RPL21;RPS7;PABPC4;RPL22;RPS3A;MRPL52;MRPL51;RPL37A;RPL24;RPL26;RPL29;RPL28;RPL10;RPL12;RPL11;FURIN;RPS4Y1;MRPL55;RPS15A;RPL14;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS28;COPS5;RPS27;RPS29;AGO2;RPS6KB2;FAU;RPS24,6.635980162965416e-14,0,0
4,Gene Expression (GO:0010467),1.2694920154420217e-15,3.0620015436068946,105.027141525718,RPL30;NXT1;RPL32;RPL31;RPL34;RPLP1;EIF4A3;MRPL36;ADARB1;MRPL37;RPL8;RPL9;RPL7;RPS15;CASP9;RBM3;RPS14;RPL7A;RPS17;HHEX;RPS16;CASP8;RPL18A;RPS19;RPL36AL;CASP4;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;AGFG1;RPL21;RPS7;PABPC4;TESC;RPL22;RPS3A;THOC5;THOC7;MRPL52;DDX19B;MRPL51;XRN2;RPL37A;RPL24;SRSF3;RPL26;HNRNPH3;RPL29;RPL28;DHX8;RPL10;RPL12;RPL11;FURIN;RPS4Y1;LMF2;DEDD2;MRPL55;EXOSC4;RPS15A;ATXN1;RPL14;RPL13;NLRP3;NUP88;RPS2;RPL18;RPL17;RPL19;ABCF1;RPL41;GALNT2;GZMB;RPL35A;RPL23A;RPS28;RPS27;COPS5;RPS29;AGO2;RPS6KB2;STUB1;FAU;RPS24,1.4561073417119989e-12,0,0
5,Translation (GO:0006412),6.715816656336364e-15,3.337073981712386,108.90311000104766,RPL30;RPL32;RPL31;RPL34;RPLP1;MRPL36;MRPL37;RPL8;RPL9;RPL7;FARS2;RPS15;RPS14;RPL7A;RPS17;RPS16;EEF2K;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;CHCHD1;RPL21;RPS7;PABPC4;RPL22;MRPS23;RPS3A;GTPBP1;FTSJ1;MRPL44;MRPL52;EEF1G;MRPL51;RPL37A;RPL24;RPL26;AURKAIP1;RPL29;RPL28;UBA52;RPL10;RPL12;MRPS34;RPL11;RPS4Y1;MRPL55;RPS15A;RPL14;RPL13;RPS2;RPL18;RPL17;RPL19;ABCF1;RPL41;RPL35A;RPL23A;EEF2;GARS1;RPS28;RPS27;COPS5;RPS29;AGO2;RPS6KB2;FAU;RPS24,6.162433363854247e-12,0,0
6,Positive Regulation Of Cytokine Production (GO:0001819),2.403908432321968e-14,2.8308168091686374,88.77185430981281,HILPDA;PIK3CD;RORA;PARK7;PQBP1;HYAL2;FLOT1;PDE4B;CYP1B1;CCR7;IL6R;CCR2;HAVCR2;HLA-DPA1;FCER1G;SYK;IL1R1;RIPK2;SLC11A1;NFAM1;PDE4D;IL16;TYK2;EREG;IL17RA;TLR1;FGR;TYROBP;DDIT3;IL1B;RARA;TLR9;TLR8;PRKCQ;PRKD2;ARHGEF2;TLR6;LCP1;LTB;TLR5;TLR4;GAPDH;CARD11;ATF4;TLR2;PTGER4;CSF1R;CEBPB;STOML2;GATA3;LILRA2;PTGS2;AGPAT1;HIF1A;LY9;AIF1;RASGRP1;PLCG2;NLRP3;RIPK1;FADD;ZBTB7B;IL12RB1;TIGIT;IL12RB2;SIGLEC16;CD74;AKIRIN2;RFTN1;STAT3;LAPTM5;OSM;LILRB1;MAPK14;ALOX15B;SULF2;MAPK13;MAPK11;MAVS;CD4;CD40LG;PTPRC;RGCC;CD6;CD28;SAA1;HSPA1B;IL18R1;MYD88;LAMTOR5,1.8381886479155316e-11,0,0
7,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),1.4756603096191234e-13,3.177754744758914,93.88517712768108,TFRC;SLC44A2;OTUD7B;SECTM1;HSPB1;TNFAIP3;RORA;ARRB2;LITAF;TRIM8;TMEM101;CASP8;TNFSF10;CCR7;IKBKG;TRIM21;TRIM62;TLE1;PRKCB;RIPK2;SHISA5;RHOH;MUL1;IRAK4;RHOC;LIME1;TNFRSF1A;TRAF4;IL1B;TLR9;S100A4;TNFRSF25;TLR6;UBE2V1;LTB;ALPK1;GAPDH;OPTN;CARD11;LTF;RNF31;NLRX1;CANT1;USP10;GSTP1;SHARPIN;PLCG2;S100A12;FLNA;RIPK1;FADD;ECT2;BRD4;CD74;MAP3K3;USP20;RIOK3;CFLAR;FKBP1A;PER1;NLRP12;MAVS;CD4;PINK1;TAB3;CCDC22;TRIM38;HLA-DRB1;MYD88;LAMTOR5;TRIM34,9.671899286475055e-11,0,0
8,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),1.0040544372538732e-11,2.8623161071293852,72.4864087784238,ATF2;CRTC2;TFRC;PTEN;CIB1;IL1RAP;PARK7;TRIM8;RPS6KA5;IL18RAP;FLOT1;AKT1;FLOT2;IKBKG;TRIM21;TRIM62;PRKCH;RIPK3;PRKCB;ANXA3;RIPK2;NFAM1;BUD31;IRAK3;TFDP1;DDIT3;IL1B;TLR9;HCLS1;PRKCQ;PRKD2;ADAM8;ARHGEF2;TLR6;UBE2V1;TLR4;S100A9;CARD11;S100A8;TLR2;LTF;CX3CR1;HDAC4;RNF31;NLRC4;IRAK2;HSF1;PLCG2;S100A12;NLRP3;RIPK1;TP53BP1;SMAD3;STAT3;CFLAR;HIPK2;VEGFA;MAVS;CD40LG;COPS5;RGCC;SLCO3A1;JMY;TRIM38;MAP3K13;HSPA1B;IL18R1;MYD88;LAMTOR5;TRIM34,5.758252197650963e-09,0,0
9,Inflammatory Response (GO:0006954),3.1047841820588274e-11,2.8507247478524853,68.97468730789585,SERPINA3;CXCL8;TUSC2;HP;PIK3CD;ADM;CXCL1;F11R;ADGRE5;PROK2;OLR1;CCR7;IKBKG;TNFRSF4;CMKLR1;CCR2;CD96;RIPK2;SLC11A1;NFAM1;FOS;TNFRSF1A;TLR1;TMIGD3;TPST1;NCR3;IL1B;ADAM8;TLR6;TLR5;TLR4;S100A9;NAIP;CD44;S100A8;TLR2;PTGER4;HDAC4;CSF1R;CEBPB;DHX8;C5AR1;FPR1;CXCR4;FPR2;GATA3;NLRC4;AIF1;IL1RL1;PRDX5;FUT7;IRAK2;CCL5;CXCR2;CCL4;CCL3;NLRP3;HNRNPA0;KLRG1;CCR1;CCL24;XCR1;IL10RB;STAT3;MFHAS1;CD40LG;ACKR1,1.5827499808095445e-08,0,0
10,Negative Regulation Of Immune Response (GO:0050777),1.872725325338293e-10,5.590735166010564,125.22383655614054,SPI1;PRKDC;SRC;TNFAIP3;FURIN;DTX4;SAMSN1;PPP6C;ZDHHC18;PCBP2;AKT1;BANF1;FYN;TRIM21;CCR2;HAVCR2;CR1;YES1;SYK;RHBDF2;MUL1;IRAK3;LILRB1;MAPK14;FOXP3;YWHAZ;FGR;HCK;HLA-DRB1,8.592063792652089e-08,0,0
