rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Focal Adhesion (GO:0005925),5.3389229421388335e-20,3.0834473324213407,136.83314916487822,RPL30;RPL31;AVIL;ARPC5L;RPL8;RPL9;RPL7;ACTG1;RPS15;RPS14;RPS17;RPS16;MPRIP;RPS19;PLAU;CFL1;BSG;CAPN5;CHP1;RPL38;RPS11;RPS10;PDIA3;TLE2;MAP2K2;RPS7;ACTN1;RPL22;EZR;FBLN7;PXN;SLC9A1;CNN2;DPP4;EPB41L2;PCBP2;CD99;VASP;HSPA8;YES1;HSPA5;MCAM;HMGA1;MSN;ALOX15B;ARHGAP24;PTPRC;ARPC2;ARPC3;RPS29;FES;GNB2;CASS4;HYOU1;CALR;ARF1;ARPC1B;RPLP1;CLTC;HSPB1;TNFSF13B;RPL7A;LASP1;ADGRE5;ANXA6;RAC2;FLOT1;RPLP2;FLOT2;ITGAV;ITGB7;RHOG;PLAUR;IL16;RPS3A;DYNLL1;YWHAZ;SHROOM4;RHOB;DNM2;HCK;PEAK3;PEAK1;RPL37A;IRF2;LCP1;ARHGEF2;PABPC1;ATP6V0C;CD44;ENG;SRC;RPL12;CXCR4;CDC42;IL1RL1;GNA12;FLNA;PTK2B;FLNB;CD59;RPS2;RPL18;RPL17;MPZL1;PDLIM7;RPL19;MAPK3;GIT2;SVIL;GSN;RAB10;ZYX;CD9;HSPA1B,2.1088745621448393e-17,0,0
2,Cell-Substrate Junction (GO:0030055),3.1290215069920214e-19,2.99395952884325,127.56781449668946,RPL30;RPL31;AVIL;ARPC5L;RPL8;RPL9;RPL7;ACTG1;RPS15;RPS14;RPS17;RPS16;MPRIP;RPS19;PLAU;CFL1;BSG;CAPN5;CHP1;RPL38;RPS11;RPS10;PDIA3;TLE2;MAP2K2;RPS7;ACTN1;RPL22;EZR;FBLN7;PXN;SLC9A1;CNN2;DPP4;EPB41L2;PCBP2;CD99;VASP;HSPA8;YES1;HSPA5;MCAM;HMGA1;MSN;ALOX15B;ARHGAP24;PTPRC;ARPC2;ARPC3;RPS29;FES;GNB2;CASS4;HYOU1;CALR;ARF1;ARPC1B;RPLP1;CLTC;HSPB1;TNFSF13B;RPL7A;LASP1;ADGRE5;ANXA6;RAC2;FLOT1;RPLP2;FLOT2;ITGAV;ITGB7;RHOG;PLAUR;IL16;RPS3A;DYNLL1;YWHAZ;SHROOM4;RHOB;DNM2;HCK;PEAK3;PEAK1;RPL37A;IRF2;LCP1;ARHGEF2;PABPC1;ATP6V0C;CD44;ENG;SRC;RPL12;CXCR4;CDC42;IL1RL1;GNA12;FLNA;PTK2B;FLNB;CD59;RPS2;RPL18;RPL17;MPZL1;PDLIM7;RPL19;MAPK3;GIT2;SVIL;GSN;RAB10;ZYX;CD9;HSPA1B,5.2995388924030977e-17,0,0
3,Cytosolic Large Ribosomal Subunit (GO:0022625),5.36662166319301e-19,13.515671845189425,568.5896928589285,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL7;RPL7A;RPL18A;RPL36AL;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL18;RPL39;RPL17;RPL19;RPL41;RPL21;RPL22;RPL35A;RPL23A;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52,5.2995388924030977e-17,0,0
4,Large Ribosomal Subunit (GO:0015934),5.36662166319301e-19,13.515671845189425,568.5896928589285,RPL30;RPL32;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL8;RPL9;RPL7;RPL7A;RPL18A;RPL36AL;RPL36;RPL14;RPL35;RPLP2;RPL13;RPL38;RPL18;RPL39;RPL17;RPL19;RPL41;RPL21;RPL22;RPL35A;RPL23A;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52,5.2995388924030977e-17,0,0
5,Intracellular Membrane-Bounded Organelle (GO:0043231),1.0332852070656453e-18,1.5092197103864986,62.50250577423789,ITSN2;ATF2;RAMAC;POP7;SPI1;TFRC;ZNF292;TESK1;SLA2;TMEM91;FAM110A;ZC3H12D;PSMD4;GPBP1;AKT1;PRKACA;CHID1;STARD3;SAP30BP;FNBP1;RFX2;DNTTIP1;MRTFA;SND1;CLDN9;DDIT3;PSME3;PADI4;ATF6;OPTN;ATF3;ATF4;FLII;AGAP2;BAZ2A;GATA3;OAZ1;OAZ2;CYB5R2;VTI1A;VTI1B;CTC1;JUN;HACE1;TIPARP;NCAPH2;PBX4;SNF8;H1-0;H1-3;H1-2;EIF1;H1-4;MLLT10;AGO2;PSME3IP1;MRPL36;MED16;ECSIT;LITAF;MED18;PQBP1;MECP2;MED12;MED14;TUBA1A;TSPO;OLR1;IKBKG;HLA-DPA1;DUSP4;DUSP5;DUSP2;CNOT6L;RIPK3;DUSP1;RMI1;ARG1;MYOF;SIRT5;FOS;SIRT7;DYNLL1;MED26;MED22;RAPGEF1;VAMP2;KARS1;CCNDBP1;UNG;BTAF1;HLA-DMB;PSMB5;PSMB3;AP2S1;FLNA;MEF2D;MBD5;MBD6;USP9Y;STAT3;PSMB8;GATAD2A;LRG1;PSMC1;SERBP1;UBAP1;UBAP2;YPEL5;PDCD6;NAB2;ATN1;MAP3K7CL;ZBTB21;UBE2D1;ZBTB20;RORA;MSI2;NUDT16;ZNF445;ZNF443;KPNA1;PPP1R16B;DGAT2;IST1;KMT5C;FOXP4;FOXP3;RBX1;SAP30;MAPKAPK3;MAK;ZNF438;S100A6;S100A4;S100A9;S100A8;KMT2A;ARL3;CREM;CREBL2;CORO1A;TKFC;ATXN1;MED31;STK38;ZNF425;SMYD3;BRPF1;ZBTB16;RFXANK;ARPC4;FOXN3;EEF2;RGCC;ARPC2;UBLCP1;ARPC3;MOB2;ZNF655;NIT1;ZNF653;MYD88;ISY1;NXT1;HSP90AB1;PTEN;ARRB2;TNFSF13B;FUNDC2;NGRN;HHEX;ZNF408;PPP6R2;SPDL1;CTNNBL1;MSL3;RAD23A;RAD23B;ARL4C;NT5C3A;TMBIM6;GAPDH;SLC25A6;PPM1M;KATNB1;PBXIP1;FOXK1;PRCP;MLLT3;FYN;HNRNPA1;UBQLN4;HNRNPA0;CIZ1;CNBP;GZMB;RPL23A;MCOLN1;GZMH;PINK1;EIF3G;STUB1;PTPN6;PABPC1L;SHFL;JPT1;CCNK;CCNI;KDELR1;EIF4A3;NUDT1;CCAR1;UBE2L3;RASSF2;SNRPD2;RASSF5;BSG;FAM53C;CCN3;FBXO7;TRIM21;ATXN7L3;CCDC93;PABIR1;SFMBT2;CIRBP;NSMCE1;TALDO1;CSNK1D;CFDP1;CDC34;CCNY;CSNK2B;CD2BP2;TRIB1;CES1;ILRUN;GGNBP2;DHX8;PEX11B;SUPT4H1;RTF2;PIK3R2;PIK3R1;UBE2J2;ZBTB4;ZBTB3;SNX1;PCBP4;PCBP1;ZNF703;PCBP2;ZBED1;HIVEP3;N4BP1;DECR1;APOBEC3C;STAT5A;STAT5B;XRCC5;IQSEC1;PTK6;NTAN1;ID1;NDUFAF3;GRB2;ARMC12;CALR;CALM2;SLC2A4RG;CCNJL;CSRNP1;PTPRN;CCDC124;OTUD7B;PTMS;BABAM1;MAP1LC3B;MAP1LC3A;DHX16;QSOX1;HTATIP2;ZHX2;PCYT1A;DBNL;SYK;PABPC4;AGTRAP;KIF22;ZFY;TOX4;SDE2;PABPC1;PTMA;CD63;CAPG;NEDD8;RXRB;EXOSC4;RXRA;NFIL3;SERTAD1;HSF1;SCAND1;PAK2;CD74;H2BC8;H2BC5;YIPF3;YIPF4;PPP1CA;PER1;GARS1;NLRP12;CCNG1;TCEA2;TCEA1;HDGF;CRTC2;MIDN;FHOD1;PRDM5;YARS1;SRP14;MPO;ETS2;ACTG1;IGF1R;RGS2;RGS3;BANF1;BORCS5;TMEM250;PLA2G15;BRMS1;WDFY1;SBDS;PPIG;UBE2V1;PLD4;PSEN1;NDRG1;IRAK2;CAMTA2;ECT2;BCL9L;UBE2F;PRNP;UBE2H;PCIF1;HMGA1;KLHL22;NFXL1;MSN;USB1;SUPT5H;ISG20;CLK1;UBE2S;BHLHE40;CYCS;FGF13;UBE2K;UBE2M;RERE;DDX3Y;GSK3B;GSK3A;CHD8;CHD7;CHD6;HMGB2;TNFAIP3;CHD2;H2BC26;GPER1;H2BC21;CNPPD1;MYBL1;MKKS;RBM15;BUD31;IRAK3;IRAK4;ETV3;YWHAZ;SHROOM4;H2BC18;EEF1G;CCNA1;ELF4;GORASP1;IRF2;BLVRB;CREB5;RBM22;MVP;RNF4;MKNK1;TRA2B;PTK2B;CDK11A;NAA10;TAF10;SSRP1;MAPK14;YY1AP1;CHFR;MAPK13;POLE4;RPIA;MAPK11;CCS;S100P;NRDE2;TAF3;FAM50A;RPL30;ZNF174;ADARB1;ENO1;SMC4;RPL9;RPL7;GPR174;ZMIZ2;CYP1B1;TSPYL2;PRKCB;PRKCD;RPL22;SOX13;UNC13D;HCFC1;RNF126;PRKD2;VPS25;UBA52;CTBP2;PRKDC;WDR62;RPS4Y1;SAMSN1;HIF1A;ANAPC11;LDHA;PRDX5;PLCG2;MCMBP;S100A12;S100A11;SERF2;LHPP;BARD1;BTF3;CDK17;NFE2;PLK3;PHC2;F8A1;PHC1;WDR59;JUND;NFATC2;IRF2BP2;TRIP4;MAD2L1BP;PA2G4;PRDX6;FOSL2;FOSL1;TADA2B;H2AC20;SNAI1;PPT2;CDK14;GAPT;CDK16;CDKN1C;GPI;BTG3;SERPINA3;CDKN1A;RARG;GMEB2;BTG1;SERPINA1;PHF1;ARPC1A;CLTB;ASH2L;FMN1;PRSS23;TRIM8;ING4;PEA15;CIC;BATF3;WDR37;TPI1;TESC;TCF12;SERPINB9;GNL1;KAT2B;ITPKC;ZEB1;RARA;HCLS1;SINHCAF;PLIN5;WDR26;ZNF350;RPL10;GPS1;GPS2;HSPA13;NSD3;RNF138;NSD2;RPL13;RPS2;RPL18;RPL17;BRD4;CDKN2D;SF3A1;CDKN2C;GSN;SF3A2;WWP2;TUBB4B;WDR13;HIPK2;RNF146;AGBL5;RYBP;DHRS9;NMNAT1;MORN3;ZYX;LAMTOR4;HSPA1B;MSRB1;ATP8A1;CTNND1;PARK7;ZFP36;MAEA;MPC2;CFL1;CHP1;SNRNP35;MAF1;HMGN1;TLE4;RAB2A;TLE3;TLE2;TLE1;MAP2K2;RPS7;USP4;USP3;DYRK1B;PGD;THOC5;GOLGA8N;GTF2F2;DGKZ;THOC7;TLE5;MOB3A;ILF3;KAT6A;SNRPE;TNIK;SNRPA;CSNK1G2;CSF1R;DNMT1;CUL3;ANKRD11;BAG6;STIP1;ORC1;YBEY;BAG3;NACC1;BAG1;ABL1;SLC15A3;PLTP;AKIRIN2;OSBPL7;OSBPL2;FANCA;CDK8;COPS5;P4HA1;CDK5;MAFG;BCL3;MAFF;TADA3;ALB;PLEKHM1;CNOT8;RNF187;RNF10;CALCOCO2;H1-10;PAGR1;RPL7A;LBH;DUSP10;SIN3B;VPS72;AP1G1;HIF1AN;TNPO3;GPX4;CEMIP2;DNMT3A;EDF1;TFDP1;PKM;TFDP2;TRAF4;CTDSP1;DNAJC5;RPL37A;LCORL;HDAC4;CEBPB;TSSC4;CEBPD;WBP2;CCDC69;NLRC4;LAGE3;DNAJB2;DNAJB1;FZR1;RAB20;VPS51;RBBP8;POLR2F;ASCC2;POLR2J;POLR2L;JAZF1;SMOX;PNRC1;IMPDH1;KLF9;MNDA;TPT1;PANK3;AQP9;RPS15;FRAT1;FRAT2;RPS6KA5;KAT5;PPP2R1A;RPL36AL;FTH1;KAT8;GLUL;AGFG1;SKP1;SPACDR;SP110;RUNX3;JMJD6;INPP4A;POR;XRN2;VDAC2;NEIL1;AURKAIP1;LLGL2;CASZ1;ANP32A;TSHZ3;SP140;STXBP2;GSKIP;TXN;TP53BP1;RALGDS;TRMT1L;CDT1;SETDB1;GADD45B;BCL11A;GADD45A;GADD45G;SRPK1;SMU1;TPX2;RPS27;CYP2S1;ANP32B;TECPR1;RPS24;DAZAP2;UBXN1;HIP1;CLIC3;FAF1;XPO6;PRMT2;STRADA;TOP3A;TFEB;TYK2;AP3B2;UCHL5;MLF2;RHOB;HCK;SCNM1;WAC;HNRNPH3;SGK1;DNASE1L1;SP100;MYCBP;WAS;CXCR4;AIF1;PPP2CA;CUX1;LMNA;TBL1X;SVIL;ATP5PB;NFYC;BMAL1;CIB1;FBL;CHCHD2;PTTG1;BASP1;PDIA3;H2AC8;KDM2B;H2AC7;ARID5A;NOSIP;LGALS9C;MAU2;CMPK1;AKNA;COPB1;STK4;PMF1;MYG1;UBB;NLRP3;PMAIP1;CBX7;HSPA8;SMAD3;MLKL;CBX4;HSPA5;PTCH1;TDRD9;NR4A2;NR4A1;ARHGAP30;NR4A3;TMEM115;JMY;CREBZF;USP36;KDM5D;HSPB1;YBX1;CHTF18;YBX3;HK2;IRF2BPL;RBM3;DBP;PDE4B;CASP2;FLOT2;PDE4A;GUSB;POLE;PDE4D;PPP2R5B;RPS3A;OXSR1;TRAPPC6A;DDX19B;TRAPPC6B;LTF;SASH3;USP10;USP11;TFPT;MAPK7;FAM120B;SAP30L;NRIP1;S1PR1;MAPK6;GBP4;MAPK3;KLRG1;KDM4B;KDM4C;ARID3A;FMNL3;PITHD1;RGS10;SPRY2;SSBP2;SSBP3,8.162953135818598e-17,0,0
6,Nucleus (GO:0005634),1.8826904545107607e-17,1.5107666862052826,58.18150558883291,ATF2;RAMAC;RPL30;POP7;SPI1;ZNF174;ZNF292;TESK1;ADARB1;ENO1;SMC4;RPL9;RPL7;FAM110A;ZC3H12D;PSMD4;ZMIZ2;GPBP1;AKT1;PRKACA;TSPYL2;CHID1;SAP30BP;PRKCB;PRKCD;RPL22;RFX2;DNTTIP1;SOX13;MRTFA;SND1;HCFC1;RNF126;DDIT3;PSME3;PRKD2;PADI4;ATF6;VPS25;UBA52;OPTN;ATF3;ATF4;CTBP2;PRKDC;FLII;AGAP2;BAZ2A;GATA3;WDR62;RPS4Y1;SAMSN1;OAZ1;HIF1A;OAZ2;ANAPC11;CYB5R2;LDHA;PRDX5;MCMBP;S100A12;S100A11;SERF2;LHPP;BARD1;BTF3;CTC1;CDK17;NFE2;PLK3;JUN;PHC2;F8A1;PHC1;HACE1;JUND;TIPARP;NCAPH2;NFATC2;IRF2BP2;TRIP4;MAD2L1BP;PBX4;SNF8;PA2G4;H1-0;PRDX6;H1-3;FOSL2;H1-2;EIF1;FOSL1;TADA2B;H1-4;MLLT10;H2AC20;AGO2;SNAI1;CDK14;PSME3IP1;CDK16;CDKN1C;GPI;BTG3;SERPINA3;CDKN1A;RARG;GMEB2;BTG1;PHF1;ARPC1A;ASH2L;MRPL36;FMN1;MED16;ECSIT;LITAF;PRSS23;MED18;PQBP1;MECP2;MED12;TRIM8;ING4;MED14;TUBA1A;IKBKG;CIC;DUSP4;DUSP5;DUSP2;BATF3;CNOT6L;WDR37;TPI1;RIPK3;DUSP1;RMI1;ARG1;TESC;TCF12;SIRT5;SERPINB9;FOS;SIRT7;DYNLL1;MED26;GNL1;MED22;KAT2B;ITPKC;ZEB1;RARA;HCLS1;SINHCAF;WDR26;ZNF350;RPL10;KARS1;GPS1;GPS2;CCNDBP1;HSPA13;UNG;NSD3;PSMB5;PSMB3;RNF138;NSD2;FLNA;RPL13;RPS2;RPL18;MEF2D;RPL17;BRD4;CDKN2D;MBD5;SF3A1;MBD6;CDKN2C;GSN;SF3A2;USP9Y;STAT3;WWP2;TUBB4B;WDR13;PSMB8;HIPK2;GATAD2A;RNF146;AGBL5;RYBP;NMNAT1;PSMC1;SERBP1;MORN3;ZYX;UBAP2;YPEL5;HSPA1B;MSRB1;PDCD6;NAB2;CTNND1;ATN1;MAP3K7CL;ZBTB21;UBE2D1;ZBTB20;RORA;PARK7;ZFP36;MAEA;MPC2;CFL1;CHP1;NUDT16;ZNF445;SNRNP35;MAF1;ZNF443;HMGN1;KPNA1;TLE4;RAB2A;PPP1R16B;TLE3;TLE2;TLE1;MAP2K2;RPS7;KMT5C;USP4;USP3;DYRK1B;PGD;THOC5;FOXP4;FOXP3;GTF2F2;DGKZ;THOC7;TLE5;RBX1;SAP30;MOB3A;ILF3;MAPKAPK3;KAT6A;MAK;ZNF438;S100A6;SNRPE;S100A4;TNIK;S100A9;SNRPA;CSNK1G2;S100A8;DNMT1;KMT2A;ARL3;CUL3;ANKRD11;CREM;CREBL2;CORO1A;BAG6;STIP1;TKFC;ATXN1;ORC1;YBEY;BAG3;MED31;STK38;NACC1;BAG1;ABL1;ZNF425;SMYD3;PLTP;AKIRIN2;BRPF1;ZBTB16;FANCA;RFXANK;ARPC4;FOXN3;EEF2;CDK8;COPS5;RGCC;ARPC2;UBLCP1;CDK5;ARPC3;MOB2;MAFG;BCL3;MAFF;TADA3;ALB;ZNF655;NIT1;CNOT8;ZNF653;MYD88;RNF187;ISY1;RNF10;NXT1;HSP90AB1;CALCOCO2;PTEN;ARRB2;H1-10;TNFSF13B;PAGR1;FUNDC2;NGRN;RPL7A;HHEX;LBH;DUSP10;SIN3B;ZNF408;VPS72;PPP6R2;SPDL1;HIF1AN;CTNNBL1;GPX4;DNMT3A;MSL3;EDF1;RAD23A;RAD23B;ARL4C;NT5C3A;TFDP1;PKM;TFDP2;TRAF4;CTDSP1;RPL37A;TMBIM6;LCORL;GAPDH;SLC25A6;HDAC4;CEBPB;TSSC4;CEBPD;PPM1M;WBP2;CCDC69;KATNB1;PBXIP1;FOXK1;MLLT3;LAGE3;DNAJB2;DNAJB1;FZR1;RBBP8;POLR2F;FYN;ASCC2;HNRNPA1;UBQLN4;POLR2J;HNRNPA0;POLR2L;JAZF1;CIZ1;CNBP;GZMB;RPL23A;PNRC1;PINK1;IMPDH1;KLF9;EIF3G;STUB1;PTPN6;PABPC1L;SHFL;TPT1;JPT1;CCNK;PANK3;CCNI;EIF4A3;NUDT1;CCAR1;UBE2L3;RPS15;FRAT1;FRAT2;RPS6KA5;RASSF2;SNRPD2;KAT5;PPP2R1A;RPL36AL;FTH1;RASSF5;FAM53C;KAT8;FBXO7;TRIM21;ATXN7L3;GLUL;SKP1;PABIR1;SPACDR;SP110;SFMBT2;CIRBP;NSMCE1;TALDO1;CSNK1D;RUNX3;JMJD6;INPP4A;CFDP1;CDC34;CCNY;CSNK2B;XRN2;CD2BP2;VDAC2;TRIB1;NEIL1;AURKAIP1;ILRUN;CASZ1;GGNBP2;DHX8;ANP32A;TSHZ3;SP140;STXBP2;SUPT4H1;RTF2;GSKIP;PIK3R2;TXN;PIK3R1;UBE2J2;ZBTB4;ZBTB3;PCBP4;PCBP1;ZNF703;PCBP2;ZBED1;HIVEP3;TP53BP1;RALGDS;N4BP1;TRMT1L;DECR1;APOBEC3C;STAT5A;STAT5B;CDT1;SETDB1;GADD45B;XRCC5;BCL11A;GADD45A;PTK6;NTAN1;GADD45G;SRPK1;SMU1;TPX2;RPS27;ID1;NDUFAF3;GRB2;ARMC12;CALR;ANP32B;CALM2;SLC2A4RG;RPS24;CCNJL;CSRNP1;DAZAP2;UBXN1;HIP1;CLIC3;PTPRN;FAF1;CCDC124;OTUD7B;PTMS;BABAM1;XPO6;DHX16;HTATIP2;ZHX2;PCYT1A;SYK;PRMT2;STRADA;PABPC4;TOP3A;TFEB;TYK2;KIF22;ZFY;UCHL5;MLF2;RHOB;TOX4;SCNM1;SDE2;WAC;PABPC1;HNRNPH3;SGK1;PTMA;DNASE1L1;SP100;MYCBP;WAS;CXCR4;CAPG;NEDD8;AIF1;PPP2CA;RXRB;EXOSC4;RXRA;NFIL3;SERTAD1;CUX1;LMNA;HSF1;SCAND1;TBL1X;PAK2;SVIL;CD74;H2BC8;H2BC5;ATP5PB;NFYC;PPP1CA;PER1;GARS1;NLRP12;CCNG1;TCEA2;TCEA1;HDGF;BMAL1;CRTC2;MIDN;FHOD1;PRDM5;CIB1;YARS1;SRP14;MPO;ETS2;ACTG1;FBL;RGS2;CHCHD2;RGS3;PTTG1;BASP1;BANF1;PDIA3;H2AC8;KDM2B;H2AC7;ARID5A;NOSIP;TMEM250;LGALS9C;MAU2;BRMS1;WDFY1;SBDS;CMPK1;PPIG;UBE2V1;PLD4;PSEN1;STK4;NDRG1;MYG1;UBB;IRAK2;NLRP3;PMAIP1;CAMTA2;ECT2;BCL9L;UBE2F;CBX7;HSPA8;UBE2H;SMAD3;MLKL;CBX4;HSPA5;PCIF1;HMGA1;TDRD9;KLHL22;NFXL1;MSN;USB1;SUPT5H;ISG20;CLK1;NR4A2;NR4A1;NR4A3;TMEM115;UBE2S;BHLHE40;JMY;CYCS;FGF13;UBE2K;UBE2M;RERE;DDX3Y;CREBZF;GSK3B;USP36;GSK3A;KDM5D;CHD8;CHD7;CHD6;HMGB2;TNFAIP3;HSPB1;YBX1;CHD2;CHTF18;YBX3;IRF2BPL;RBM3;DBP;H2BC26;GPER1;H2BC21;PDE4B;CASP2;PDE4A;CNPPD1;MYBL1;POLE;MKKS;RBM15;BUD31;PDE4D;PPP2R5B;IRAK3;RPS3A;IRAK4;OXSR1;ETV3;YWHAZ;H2BC18;EEF1G;CCNA1;DDX19B;ELF4;IRF2;LTF;CREB5;RBM22;SASH3;USP10;MVP;USP11;RNF4;TFPT;MAPK7;MKNK1;TRA2B;FAM120B;SAP30L;NRIP1;PTK2B;MAPK6;GBP4;MAPK3;KLRG1;CDK11A;KDM4B;KDM4C;NAA10;TAF10;ARID3A;SSRP1;MAPK14;YY1AP1;CHFR;MAPK13;POLE4;MAPK11;CCS;PITHD1;RGS10;SPRY2;S100P;NRDE2;SSBP2;TAF3;SSBP3;FAM50A,1.2394378825529174e-15,0,0
7,Ficolin-1-Rich Granule (GO:0101002),1.8168902446088238e-16,4.032030668557707,146.13786750195067,CDA;GPI;HSP90AB1;SERPINA1;GMFG;HBB;SLC2A3;PYGL;SRP14;FCAR;HK3;PSMD6;FTH1;COTL1;TBC1D10C;SIRPA;PGM2;ENPP4;OSTF1;GUSB;GYG1;CR1;DBNL;FCER1G;DYNLT1;SLC11A1;ATAD3B;DYNLL1;MMP9;CLEC4D;DOK3;PKM;CSNK2B;ADAM8;ALDOC;PLEKHO2;ATP6V0C;ARL8A;CANT1;COPB1;GSTP1;MVP;FPR1;PRCP;FPR2;ALOX5;NCKAP1L;ATG7;CD55;HSPA8;MGAM;GSN;IDH1;PRG2;NBEAL2;EEF2;MAPK14;DERA;LRG1;IMPDH1;MNDA;LAMTOR1;YPEL5;ACTR10;HSPA1B;SIGLEC5,1.0252452094578363e-14,0,0
8,Tertiary Granule (GO:0070820),3.2384622555949965e-15,4.120912083990007,137.48878297215427,CDA;ITGAM;HP;HBB;CXCL1;SLC2A3;FCAR;PLAU;FTH1;TBC1D10C;SIRPA;OLR1;ENPP4;QSOX1;PGLYRP1;CAMP;CD177;CD53;HGSNAT;CR1;DBNL;FCER1G;SLC11A1;MCEMP1;ATAD3B;DYNLL1;MMP9;CEACAM1;CLEC4D;DOK3;ADAM8;ALDOC;ATP6V0C;ARL8A;LTF;CANT1;COPB1;STXBP2;PTAFR;FPR1;PRCP;FPR2;GPR84;CFP;CNN2;STOM;NCKAP1L;CD59;CD55;MGAM;IDH1;NBEAL2;LRG1;CYSTM1;LAMTOR2;PTPN6;LAMTOR1;YPEL5;SIGLEC5,1.5989907387000295e-13,0,0
9,Bounding Membrane Of Organelle (GO:0098588),1.584966700641156e-14,2.0361199851990603,64.69899101731313,PI4K2B;GALNT14;CSF3R;RAB3A;PGAP2;TFRC;KDELR1;NCF4;ZDHHC5;XYLT1;ZDHHC7;SLA2;ANTXR2;NDST1;C1GALT1C1;BSG;CHP1;AP2M1;VPS39;TRIM23;CD177;RAB2A;ST6GAL1;ATP6V0E1;ATG9B;CSGALNACT2;IRAG1;NOSIP;CSNK1D;ATAD3B;TPST1;DOK3;TYROBP;RAB31;RAB36;SLC9A8;RAB35;ATP6V0D1;ATF6;UBA52;VPS25;OPTN;PI4K2A;VPS28;COPA;RTN1;TSG101;NPRL2;SH2D2A;COPB1;C5AR1;FPR1;LY96;TGFA;APH1A;SNX3;SNX1;APH1B;FUT7;UBB;IRAK2;VTI1A;ST3GAL4;NLRP3;NCKAP1L;RIPK1;RNF175;SLC15A3;ST3GAL1;HLA-DQA1;ST3GAL2;BBS1;TRAPPC3;CD163;HACE1;WDR59;RAB4B;PTCH1;B3GALT4;SNF8;EXT1;EHD1;PTPRC;TMEM115;C6ORF89;ACER3;HLA-DRA;TAB3;CALR;HLA-DRB1;MYD88;CNIH4;COPE;ARF3;B4GALT3;ARF1;SIGLEC9;SERPINA1;FLT3;ARHGAP1;ECE1;AP2A1;SLC2A3;AREG;ADGRE5;AP1G1;GLIPR2;HYAL2;CA4;MRC1;QSOX1;SCARF1;RAB8A;HLA-DPA1;SLC36A1;PSENEN;CR1;CHPF2;RHOG;SLC39A13;WIPI1;VPS37B;IRAK4;RAB33A;TNFRSF1A;TAPBP;RHOB;DNM2;RER1;B3GNT7;GORASP1;TLR9;EXOC3;TLR8;ST6GALNAC3;ST6GALNAC4;ATP6V0C;TLR4;VAMP2;CD44;ST6GALNAC6;HBEGF;TLR2;CD63;MARCHF2;RAB1B;PTAFR;FURIN;SGMS2;GGA2;CDC42;CYTH4;ZDHHC19;CXCR1;CHSY1;LMAN2;ORMDL3;CXCR2;AP2S1;STX5;CD59;YKT6;CD55;ARFGEF1;CD74;SORT1;GALNT2;AP2B1;NMNAT2;MCOLN1;LILRB3;RGP1;RAB10;FCGR2A;UBAP1;CD9;LAMTOR2;SIGLEC5,6.95624274170285e-13,0,0
10,Secretory Granule Lumen (GO:0034774),1.825654702400984e-12,2.6562644036548004,71.79638958118866,CDA;GPI;SERPINA3;SERPINA1;HSP90AB1;GMFG;HP;CTSW;CXCL1;PYGL;EPX;SRP14;MPO;HK3;PSMD6;NAPRT;COTL1;PGM2;QSOX1;OSTF1;PGLYRP1;ACAA1;GUSB;GYG1;CAMP;SERPINB1;DBNL;DYNLT1;ARG1;IST1;ACTN1;HGF;PRKCD;PRSS57;UNC13D;FGR;PKM;CSNK2B;ALDOC;BPI;DOCK2;S100A9;S100A8;DNASE1L1;FTL;LTF;TOR4A;CANT1;GSTP1;MVP;RETN;CFP;CNN2;ALOX5;S100A12;ATG7;S100A11;VTI1B;HSPA8;AOC1;GSN;TRAPPC1;GCA;XRCC5;IDH1;VEGFB;DEFA3;PA2G4;TUBB4B;EEF2;MAPK14;PRDX6;CPPED1;DERA;VEGFA;ERP44;LRG1;IMPDH1;TOLLIP;ALB;GHRL;MNDA;PTPN6;S100P;ACTR10,7.211336074483888e-11,0,0
