rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Cadherin Binding (GO:0045296),5.5221670998058296e-11,2.493649771434001,58.899173847336634,HSP90AB1;RPL34;CTNND1;ARHGAP1;ENO1;PARK7;F11R;H1-10;RPL7A;LASP1;MPRIP;CAPZB;BSG;EFHD2;EMD;CAST;SH3GLB1;SH3GLB2;USP8;DBNL;IST1;CEMIP2;CSNK1D;YWHAZ;SND1;CD2AP;HCFC1;ATXN2L;EEF1G;PKM;RPL24;EXOC3;PLIN3;TAGLN2;EZR;RPL29;MACF1;SRC;TWF2;CAPG;UBFD1;SLC3A2;PSEN1;CBL;NDRG1;CNN2;DNAJB1;LDHA;SNX1;KLC2;EPCAM;BAG3;PCBP1;STK38;RPL14;FLNA;STX5;FLNB;FYN;RPS2;PAK2;YKT6;WASF2;S100A11;MARK2;VASP;HSPA8;PTPN1;HSPA5;IDH1;RPL23A;EEF2;PRDX6;PPP1CA;EHD1;RAB10;CCS;FASN;SERBP1;UBAP2;S100P;FXYD5,5.0803937318213635e-08,0,0
2,Protein Kinase Binding (GO:0019901),3.335420444980211e-09,1.9814282858255206,38.67483908377602,ATF2;CCNK;TFRC;ZFP36;RPS19;SIRPA;PRKACA;FBXO7;TRIM21;CDK5RAP2;EPHA4;RPS7;PRKCB;PRKCD;TUBA4A;MAPKAPK3;KCNQ1;JTB;PRKD2;UBE2V1;EZR;TRIB1;SKAP1;NAIP;ATF4;PFKFB2;CTBP2;AGAP2;TWF2;GSKIP;ADIPOR1;HIF1A;ZBTB4;GRK5;STK38;PLCG2;MAP2K6;SMAD3;SH2D1A;TRIP4;MSN;NBEAL2;EEF2;TPX2;MAVS;PTPRC;RGCC;NR4A3;CASS4;GRB2;MAP3K13;CALM2;MAP3K11;DAZAP2;GSK3B;CDKN1A;GSK3A;FAF1;CLTC;HSPB1;AP2A1;CD3E;CASP9;SPRED2;DUSP10;ITGAV;NEFH;MAP4K2;DUSP1;RHOG;IRAK3;IRAK4;OXSR1;LIME1;YWHAZ;SYN1;DUSP22;CEACAM3;FGR;KAT2B;CEACAM1;LCK;CEACAM4;RARA;HCLS1;PPP1R15A;DCTN1;GSTP1;MVP;WAS;CDC42;MAPK7;RNF138;HSF1;CSK;PAK2;HNRNPA0;CDKN2D;PTPN1;CDKN2C;BAD;STAT3;GARS1;PINK1;CD4;TAOK2;SPRY2;PTPN6;TRIM38;TRIM34,1.3439269136032296e-06,0,0
3,Protein Serine/Threonine Kinase Activity (GO:0004674),4.743183399263422e-09,2.232697532017651,42.793125233327835,GPI;GSK3B;CCNK;GSK3A;TESK1;NRBP2;STK10;RPS6KA5;RPS6KA1;STK16;AKT1;PRKACA;HTATIP2;MAP3K5;MAP4K2;PRKCH;MAP2K2;RIPK3;SYK;PRKCB;RIPK2;PRKCD;DYRK1B;LMTK2;CSNK1D;IRAK3;IRAK4;OXSR1;NRBP1;TGFBR2;MAPKAPK3;MAK;CSNK2B;SIK3;PRKCQ;PRKD2;FAM20A;TNIK;ALPK1;SGK1;CSNK1G2;PRKDC;STK4;NUAK2;GRK2;MAPK7;GRK5;IRAK2;MKNK1;STK38;PTK2B;RIPK1;FYN;MAP4K5;MAPK6;PAK2;MARK2;BRD4;MAP2K6;MAPK3;PLK3;MAP3K3;CDK11A;MLKL;RIOK3;MAPK14;SRPK1;HIPK2;MAPK13;CLK1;CDK8;MAPK11;PINK1;CDK5;STK26;TAOK2;RPS6KB2;MAP3K13;CDK14;MAP3K11;CDK16,1.3439269136032296e-06,0,0
4,Non-Membrane Spanning Protein Tyrosine Kinase Activity (GO:0004715),5.843160493927085e-09,7.948873007146784,150.69468682413984,YES1;SYK;SRC;RIPK2;MATK;PTK6;TYK2;BMX;CLK1;FGR;HCK;ZAP70;FES;LCK;PEAK1;PTK2B;CSK;FYN;JAK3,1.3439269136032296e-06,0,0
5,Kinase Binding (GO:0019900),1.0155934867983661e-08,2.0028011204481793,36.86197037588479,ATF2;CCNK;MIDN;TFRC;PARK7;ZFP36;RPS19;SIT1;CHP1;PRKACA;FBXO7;TRIM21;CDK5RAP2;RPS7;PRKCD;TUBA4A;JTB;UBE2V1;SKAP1;STX1A;ATF4;PFKFB2;CTBP2;AGAP2;GSKIP;ADIPOR1;HIF1A;ZBTB4;PLCG2;MAP2K6;BARD1;SMAD3;GADD45A;SH2D1A;TRIP4;MSN;NBEAL2;EEF2;TPX2;MAVS;PTPRC;RGCC;NR4A3;TOLLIP;SNAI1;GRB2;MAP3K13;CALM2;GSK3B;CDKN1A;BTG1;HSP90AB1;FAF1;CLTC;HSPB1;AP2A1;CD3E;CASP9;SPRED2;NEFH;STRADA;RHOG;RAD23A;IRAK3;IRAK4;OXSR1;LIME1;YWHAZ;SYN1;PARP8;FGR;KAT2B;CEACAM1;LCK;HCLS1;PPP1R15A;SP100;DCTN1;MVP;WAS;CDC42;RNF138;HSF1;FLNA;PAK2;HNRNPA0;CDKN2D;PTPN1;CDKN2C;GSN;BAD;STAT3;GARS1;PER1;CD4;SPRY2;PTPN6;STUB1;TRIM38;TRIM34,1.8686920157089936e-06,0,0
6,Ubiquitin Protein Ligase Binding (GO:0031625),1.6792504891282674e-08,2.356865995465737,42.193400329139486,DAZAP2;GPI;GSK3B;CDKN1A;UBXN1;HSP90AB1;FAF1;UBE2D1;ARRB2;UBE2L3;ACTG1;MAP1LC3B;MAP1LC3A;CASP8;ELOB;IKBKG;PRKACA;FBXO7;WASHC1;GABARAPL1;TPI1;MUL1;YWHAZ;RBX1;TRAF4;NDUFS2;TMBIM6;TRIB1;EIF4E2;UBA52;ATP6V0C;RNF31;TSG101;RALB;CUL3;RPL11;CXCR4;NEDD8;PRR5L;UBE2J2;HIF1A;GABARAP;BAG6;UBB;PCBP2;BAG1;RIPK1;RPL17;HSPA8;JUN;SMAD3;HSPA5;XRCC5;PYHIN1;LAPTM5;PA2G4;UBE2A;PRDX6;PER1;MFHAS1;PINK1;ABI2;JKAMP;STUB1;CALR;UBE2K;HSPA1B,2.5748507499966766e-06,0,0
7,Ubiquitin-Like Protein Ligase Binding (GO:0044389),4.595124955953793e-08,2.2504807511028995,38.023413406989974,DAZAP2;GPI;GSK3B;CDKN1A;UBXN1;HSP90AB1;FAF1;PTPRN;UBE2D1;ARRB2;UBE2L3;ACTG1;MAP1LC3B;MAP1LC3A;CASP8;ELOB;IKBKG;PRKACA;FBXO7;WASHC1;GABARAPL1;TPI1;MUL1;YWHAZ;RBX1;TRAF4;NDUFS2;TMBIM6;TRIB1;EIF4E2;UBA52;ATP6V0C;RNF31;TSG101;RALB;CUL3;RPL11;CXCR4;NEDD8;PRR5L;UBE2J2;HIF1A;GABARAP;BAG6;UBB;PCBP2;BAG1;RIPK1;RPL17;HSPA8;JUN;SMAD3;HSPA5;XRCC5;PYHIN1;LAPTM5;TRIP4;PA2G4;UBE2A;PRDX6;PER1;MFHAS1;PINK1;ABI2;JKAMP;STUB1;CALR;UBE2K;HSPA1B,6.039307084967842e-06,0,0
8,Cytokine Receptor Activity (GO:0004896),6.97238588159634e-07,3.7018744906275467,52.47828429490035,CX3CR1;CSF3R;FLT3;IL1RAP;CSF2RA;IL1RL1;IL18RAP;CXCR1;CXCR3;IL21R;IL12RB1;IL6R;CCR2;CMKLR1;IL13RA1;IL12RB2;CCR1;CD74;IL1R1;IL10RB;IL1R2;IL17RA;CD4;IL2RB;CD44;IL18R1,8.018243763835791e-05,0,0
9,Protein Homodimerization Activity (GO:0042803),7.891297471609674e-07,1.6786464078568124,23.58890181167879,CDA;ZNF174;PANK3;TFRC;PDCD6;CPOX;ENO1;PARK7;F11R;GIMAP7;STK10;AKT1;BANF1;NUDT16;GYG1;TRIM21;IL6R;MAP3K5;SH3GLB1;STARD3;ST6GAL1;ACOT7;SDS;DGAT2;ACTN1;SLC11A1;CEP131;DNTTIP1;SLC51A;FOXP3;NRBP1;TPST1;TYROBP;JAML;DDIT3;ZNF318;S100A6;VPS25;ATF3;MTMR1;CSF1R;TSG101;KMT2A;SMIM1;PEX11B;TXN;STK4;CORO1A;ZBTB4;DPP4;SNX1;IRAK2;RIPK1;PSMF1;ZBTB7B;ECT2;ATG7;S100A11;ST3GAL2;LHPP;BARD1;STAT5B;SMAD3;GADD45A;ZBTB16;IDH1;DEFA3;SNF8;EXT1;NR4A3;STK26;BHLHE40;CRYL1;MAP3K13;MAP3K11;HSP90AB1;HIP1;CALCOCO2;HSPB1;ECE1;TRIM8;HHEX;IMPA2;GLIPR2;IKBKG;HIF1AN;ZHX2;TPI1;FCER1G;PRMT2;RIPK2;TESC;SLC39A13;IRAK3;DCK;CEACAM1;TLR9;MVD;LCP1;CEBPB;CANT1;BCL2A1;KARS1;RPE;ODC1;NLRC4;CCL5;UCP2;FLNA;FYN;GBP4;AOC1;NQO2;GCA;GSS;STAT3;LILRB1;SLC8B1;VEGFA;CD4;ABCB10;STUB1;S100P;TRIM38;TRIM34,8.066659637645445e-05,0,0
10,RNA Binding (GO:0003723),1.6949993730389405e-06,1.4385095992921708,19.11466840077401,RAMAC;RPL30;POP7;TFRC;RPL32;RPL31;RPL34;EIF4A3;NUDT1;ADARB1;ENO1;RPL8;C14ORF93;RPL9;CCAR1;UBE2L3;RPL7;ZC3H12D;RPS15;PNN;RPS14;RPS17;RPS16;PSMD4;SNRPD2;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPL38;RPS11;RPL39;RPS10;AGFG1;RPL21;ACTN1;RPL22;CIRBP;GTPBP1;SND1;JMJD6;DDIT3;UNC50;XRN2;RPL24;RPL26;RPL29;EZR;RPL28;MACF1;AARS1;DHX8;ANP32A;PRKDC;TWF2;BAZ2A;TXN;RPS4Y1;SAMSN1;C7ORF50;PCBP4;PCBP1;PCBP2;SERPINH1;MAP4;N4BP1;TRMT1L;APOBEC3C;BARD1;BTF3;JUN;RPL41;XRCC5;MYO5A;PA2G4;H1-0;H1-3;EIF1;H1-2;PRRC2A;SRPK1;H1-4;RPS28;RPS27;AGO4;FASN;AGO2;GRB2;CALR;ALDH18A1;NOL12;RPS24;ARF1;FASTKD3;CCDC124;CLTC;PCSK9;MRPL37;KRI1;FARS2;MECP2;DHX16;ZC3H10;NSUN5;PABPC4;MRPS23;UCHL5;MRPL44;CSDE1;SDE2;TLR8;FAM32A;PABPC1;HNRNPH3;RPL10;KARS1;RPL12;SRRT;RPL11;RPS15A;RPL14;FLNA;RPL13;FLNB;RPS2;RPL18;RPL17;CCT4;RPL19;SF3A1;SF3A2;STAT3;RFTN1;RSRC2;TUBB4B;CCDC9;PSMC1;SERBP1;ZYX;UBAP2;HDGF;FAU;HSPA1B;MSI2;PARK7;SRP14;YARS1;FBL;ZFP36;NUDT16;SNRNP35;SLC16A3;CHCHD1;C11ORF68;CAST;PDIA3;RPS7;ANXA11;NOSIP;LARP4B;THOC5;RPP25L;ATXN2L;ILF3;RBMXL1;SBDS;SRSF3;S100A4;SRSF5;PPIG;CARS1;SRSF8;SNRPA;RPS19BP1;UBFD1;CORO1A;STIP1;G3BP2;MARK2;HSPA8;CPSF2;HMGA1;TDRD9;BCDIN3D;MSN;EEF2;SUPT5H;ISY1;DDX3Y;USP36;HSP90AB1;PTEN;HMGB2;HSPB1;YBX1;CHD2;YBX3;H1-10;RBM3;NGRN;RPL7A;RBM15;EDF1;RPS3A;YWHAZ;PATL1;DDX19B;PKM;RPL37A;EIF4E2;RBM22;DDX24;USP10;SLC3A2;TRA2B;HNRNPA1;HNRNPA0;ABCF1;PTPN1;CNBP;RPL35A;RPL23A;SSRP1;HSPE1;TPD52L2;EIF3I;EIF3G;SHFL;TPT1;EIF3B;FAM50A;R3HDM2,0.0001559399423195825,0,0
