rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Coronavirus disease,2.0229431105638083e-23,4.439241917502787,231.9721589107467,RPL30;CXCL8;RPL32;RPL31;RPL34;RPLP1;PIK3CD;RPL8;RPL9;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;IKBKG;RPS11;RPL39;RPS10;IL6R;RPS12;RPL21;SYK;RPS7;PRKCB;RPL23;RPL22;RPS3A;FOS;TYK2;IRAK4;TNFRSF1A;IL1B;RPL37A;RPL24;TLR8;RPL26;RPL29;RPL28;UBA52;TLR4;HBEGF;TLR2;IFNAR1;C1QB;C1QA;RPL10;RPL12;RPL11;C5AR1;RPL36A;PIK3R2;PIK3R1;RPS4Y1;RPS15A;PLCG2;RPL14;RPL13;NLRP3;RPS2;RPL18;RPL17;RPL19;MAPK3;JUN;RPL41;STAT3;RPL35A;RPL23A;MAPK14;MAPK13;MAPK11;RPS28;MAVS;RPS27;FCGR2A;RPS29;FAU;RPS24;MYD88;C1QC,6.311582504959082e-21,0,0
2,Salmonella infection,1.9528251308009134e-16,3.4222879684418146,123.79128916295898,ARF1;CXCL8;HSP90AB1;ARPC1B;FHOD1;ARPC1A;ARPC5L;BRK1;PIK3CD;ACTG1;TUBA1A;CASP8;CASP5;CASP4;TNFSF10;AKT1;IKBKG;VPS39;SKP1;KPNA1;MAP2K2;RIPK3;DYNLT1;RIPK2;TUBB;RHOG;RHOH;FOS;IRAK4;DYNLL1;TUBA4A;RHOB;DNM2;TNFRSF1A;IL1B;TLR9;PFN4;PIK3C3;TLR6;TLR5;TLR4;GAPDH;NAIP;ARL8A;TLR2;RAB5C;DCTN1;LY96;TXN;NLRC4;KLC1;MYL12A;CDC42;KLC2;CYTH4;FLNA;NLRP3;NCKAP1L;FLNB;RIPK1;FADD;MAP2K6;MAPK3;JUN;MLKL;ARPC4;TNFRSF10A;TUBB4B;MAPK14;MAPK13;MAPK11;PTPRC;ARPC2;ARPC3;PLEKHM1;CYCS;TAB3;DYNLRB1;ACTR10;MYD88,3.0464072040494246e-14,0,0
3,Shigellosis,3.8011266353094235e-14,3.163912900755006,97.76773652650098,GSK3B;ARF1;GSK3A;CXCL8;CALCOCO2;ARPC1B;ARPC1A;ARPC5L;UBE2D1;PIK3CD;HK2;SEPTIN11;ACTG1;HK3;RPS6KA5;CAPNS1;CASP4;AKT1;IKBKG;SKP1;H3-3B;CAST;GABARAPL1;FNBP1;IL1R1;RIPK2;ACTN1;PRKCD;WIPI1;RBX1;TNFRSF1A;IL1B;PFN4;HCLS1;PRKCQ;PIK3C3;ARHGEF2;UBE2V1;TLR5;UBA52;TLR4;NAIP;CD44;RNF31;SRC;PXN;PIK3R2;PIK3R1;NLRC4;GABARAP;MYL12A;CDC42;SHARPIN;CYTH4;UBB;CCL5;PLCG2;NLRP3;RIPK1;H3C4;WASF2;MAPK3;JUN;ARPC4;MAPK14;SEPTIN8;MAPK13;MAPK11;ARPC2;ARPC3;RPS6KB2;CYCS;TAB3;TECPR1;MYD88,3.9531717007218e-12,0,0
4,Ribosome,6.215499776956424e-14,3.9450592118035335,119.96587825843206,RPL30;RPL32;RPL31;RPL34;RPLP1;MRPL36;RPL8;RPL9;RPL7;RPS15;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPL36;RPL35;RPLP2;RPL38;RPS11;RPL39;RPS10;RPS12;RPL21;RPS7;RPL23;RPL22;RPS3A;RPL37A;RPL24;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS4Y1;RPS15A;RPL14;RPL13;RPS2;RPL18;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS28;RPS27;RPS29;FAU;RPS24,4.485908408081583e-12,0,0
5,Th17 cell differentiation,7.188955782182025e-14,5.005004300570803,151.46967524128527,HSP90AB1;RORA;IL1RAP;GATA3;CD3E;HIF1A;RXRB;PPP3CC;HLA-DMB;RXRA;IL21R;IKBKG;HLA-DOA;IL12RB1;IL6R;JAK3;HLA-DQA1;HLA-DPA1;MAPK3;STAT5A;STAT5B;JUN;SMAD3;IL1R1;STAT3;NFATC2;FOS;TYK2;MAPK14;FOXP3;TGFBR2;MAPK13;ZAP70;MAPK11;CD4;LCK;IL1B;IL2RB;RARA;HLA-DPB1;HLA-DRA;PRKCQ;NFKBIE;HLA-DRB1,4.485908408081583e-12,0,0
6,Pathogenic Escherichia coli infection,3.8595355725363834e-13,3.3818845367700185,96.66460643164574,ARF1;CXCL8;WIPF1;WIPF2;ARPC1B;ARPC1A;ARPC5L;BRK1;ACTG1;CASP9;TUBA1A;CASP8;CASP4;TNFSF10;IKBKG;ARHGEF11;IL1R1;TUBB;FOS;IRAK4;TUBA4A;TNFRSF1A;CLDN9;IL1B;HCLS1;TMBIM6;ARHGEF2;EZR;TLR5;TLR4;GAPDH;NAIP;SRC;CDC42;CYTH4;GNA12;ABL1;NLRP3;NCKAP1L;RIPK1;FYN;FADD;PAK2;WASF2;MAPK3;JUN;MYO10;MYO5A;ARPC4;TNFRSF10A;TUBB4B;MAPK14;MAPK13;MAPK11;FCGR2A;ARPC2;ARPC3;CYCS;TAB3;PTPN6;MYD88;MYO1F;MYO1G,2.0069584977189194e-11,0,0
7,PD-L1 expression and PD-1 checkpoint pathway in cancer,2.333818334590508e-11,4.854491554210543,118.84246950904141,PTEN;PIK3CD;PIK3R2;PIK3R1;CD3E;HIF1A;RASGRP1;PPP3CC;AKT1;IKBKG;MAP2K6;MAPK3;MAP3K3;BATF3;JUN;MAP2K2;STAT3;NFATC2;FOS;MAPK14;MAPK13;EML4;ZAP70;MAPK11;CD4;LCK;CSNK2B;RPS6KB2;TLR9;CD28;PRKCQ;PTPN6;NFKBIE;TLR4;MYD88;TLR2,9.227539083806876e-10,0,0
8,Yersinia infection,2.368467882505387e-11,3.7411974243046995,91.53285726110379,GSK3B;CXCL8;WIPF1;SRC;WIPF2;ARPC1B;PXN;ARPC1A;ARPC5L;WAS;PIK3CD;PIK3R2;PIK3R1;NLRC4;ACTG1;CDC42;RPS6KA1;RAC2;AKT1;NLRP3;PTK2B;IKBKG;WASF2;MAP2K6;MAPK3;GIT2;JUN;MAP2K2;RHOG;NFATC2;ARPC4;FOS;IRAK4;MAPK14;VAV1;MAPK13;ZAP70;MAPK11;CD4;FCGR2A;ARPC2;CD8A;ARPC3;LCK;IL1B;TLR4;MYD88,9.227539083806876e-10,0,0
9,Human cytomegalovirus infection,2.6617901203289068e-11,2.920289855072464,71.10741428272001,ATF2;GSK3B;CDKN1A;CXCL8;CCL4L2;PIK3CD;CASP9;GNGT2;PPP3CC;CASP8;RAC2;AKT1;ITGAV;IKBKG;PRKACA;IL6R;PDIA3;ARHGEF11;MAP2K2;IL1R1;PRKCB;TAPBP;TNFRSF1A;IL1B;ATF4;CREB5;PTGER4;SRC;CCL3L3;PXN;CXCR4;PIK3R2;PIK3R1;PTGS2;GNAI2;GNG10;GNG5;CCL5;CXCR2;CCL4;GNA12;CCL3;E2F2;PTK2B;RIPK1;FADD;MAP2K6;MAPK3;CCR1;IL10RB;STAT3;NFATC2;MAPK14;VEGFA;MAPK13;MAPK11;SP1;GNB2;GNB1;RPS6KB2;GNAS;CYCS;GRB2;CALR;CALM2,9.227539083806876e-10,0,0
10,Osteoclast differentiation,7.033927388419886e-11,3.794626782994045,88.70961167930933,LILRA6;CSF1R;SPI1;NCF2;NCF4;SIRPG;PIK3CD;PIK3R2;PIK3R1;LILRA2;LILRA5;SOCS3;PPP3CC;PLCG2;AKT1;SIRPA;FYN;IKBKG;FCGR1A;MAP2K6;MAPK3;JUN;JUND;SYK;IL1R1;NFATC2;LILRB1;FOS;GAB2;TYK2;LILRB3;MAPK14;FOSL2;TGFBR2;TNFRSF1A;MAPK13;FOSL1;MAPK11;TYROBP;FCGR2A;LCK;IL1B;GRB2;IFNAR1,2.1945853451870042e-09,0,0
