rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Positive Regulation Of Cytokine Production (GO:0001819),1.8338037787020374e-16,2.788884770830024,101.05515352429272,SERPINE1;RORA;SCAMP5;PNP;CYP1B1;TRIM27;IL6R;TICAM2;IL1R1;SLC11A1;CYBA;TICAM1;EREG;DDIT3;PRKCQ;IL6ST;ZFPM1;CARD11;CSF1R;BCL10;GATA3;HIF1A;LY9;PRKCZ;AGER;RASGRP1;INAVA;CLEC7A;G3BP1;HMOX1;NLRP3;SLAMF6;CD14;FADD;ELANE;SLAMF1;EGR1;AKIRIN2;CRTAM;EIF2AK3;ISG15;CYRIB;POU2F2;ALOX15B;MAVS;RGCC;CD28;ZCCHC3;CD200;MYD88;ITK;DDX3X;HILPDA;ORM2;HYAL2;FLOT1;PDE4B;CCR7;FFAR2;CCR2;HLA-DPA1;IL10;FCER1G;BTN3A1;SYK;RIPK2;NFAM1;TIRAP;IL17RA;TLR1;FGR;SLC7A5;TMIGD2;IFNG;IRF3;TRAF3;IL1B;TLR9;TLR8;CHI3L1;XCL1;TLR6;CD46;TLR5;TLR4;TLR2;PTGER4;RAB1A;XIAP;LILRA2;PTGS2;AGPAT1;AGPAT2;RELA;HSPD1;TIGIT;IL12RB2;CD74;RFTN1;STAT3;OSM;LILRB2;MAPK14;SORL1;SULF2;MAPK13;CD2;CD40LG;CD6;LEP;SAA1;F2RL1;HSPA1B;IL18R1;HSPA1A;LAMTOR5,9.082830115911191e-13,0,0
2,Regulation Of Interleukin-8 Production (GO:0032677),1.3863810502306245e-10,4.495538332635107,102.04491755000751,CRP;RAB1A;SERPINE1;OTUD7B;ARRB1;BCL10;LILRA2;RELA;CLEC7A;HYAL2;FFAR2;CD14;FADD;ELANE;IL10;CD74;SYK;ANXA4;STAT3;TIRAP;TLR1;CD2;MAVS;DDIT3;IL1B;LEP;TLR9;CHI3L1;TLR8;F2RL1;BPI;TLR6;TLR5;TLR4;HSPA1B;MYD88;TLR2;HSPA1A;LAMTOR5,3.4333726708961417e-07,0,0
3,Positive Regulation Of Interleukin-1 Beta Production (GO:0032731),2.1497287739591794e-10,5.764448395372913,128.3195568113909,HSPB1;NLRC4;LILRA2;MEFV;ORM2;INAVA;CASP8;CLEC7A;STMP1;CCL3;NLRP2;NLRP3;USP50;CD36;NLRP1;EGR1;RIPK2;PYHIN1;STAT3;AZU1;NLRP12;AIM2;IFNG;TLR8;F2RL1;MNDA;TLR6;TRIM16;TLR4;NAIP;MYD88,3.549202205806605e-07,0,0
4,Positive Regulation Of Interleukin-8 Production (GO:0032757),3.803913230259401e-10,5.335432371610508,115.72457094045033,RAB1A;SERPINE1;BCL10;LILRA2;RELA;CLEC7A;HYAL2;FFAR2;CD14;FADD;ELANE;CD74;SYK;STAT3;TIRAP;TLR1;CD2;MAVS;DDIT3;IL1B;LEP;TLR9;CHI3L1;TLR8;F2RL1;TLR5;TLR4;HSPA1B;MYD88;TLR2;HSPA1A;LAMTOR5,4.7101955573687035e-07,0,0
5,Regulation Of Inflammatory Response (GO:0050727),9.403160508745693e-10,2.4326209557732263,50.56155238185367,RB1;SETD6;SERPINE1;RORA;HYAL2;GPER1;CASP4;NFKBIZ;SIRPA;CCN3;VPS35;FFAR2;TNFAIP8L2;ENPP3;TRIM65;CCR2;IL10;AREL1;IL1R1;IL17RA;TNFRSF1A;ACE2;HCK;CD200R1;AIM2;IFNG;IL1B;TLR9;XCL1;PPARG;TLR4;S100A9;NAIP;VAMP2;PTGES;TLR2;PTGER4;CEBPA;MACIR;ALOX15;MGST2;XIAP;NLRC3;GATA3;NLRC4;MEFV;PTGS2;AGER;RELA;SBNO2;SHARPIN;MAPK7;NLRP6;CAMK2N1;NLRP7;ALOX5;CCL5;NLRP2;CCL3;S100A12;NLRP3;APOE;NLRP1;EXTL3;ELANE;BRD4;SNCA;STAT3;PLA2G2A;OSM;NR1H3;NR1D2;GPR4;MAPK13;NLRP12;BCL6;LPCAT3;SAA1;CD200;MYD88,9.314770799963483e-07,0,0
6,Positive Regulation Of Interleukin-1 Production (GO:0032732),1.8596628533639449e-09,4.834357623646474,97.18446587418659,HSPB1;NLRC4;LILRA2;MEFV;ORM2;INAVA;CASP8;CLEC7A;STMP1;CCL3;NLRP2;NLRP3;USP50;CD36;NLRP1;EGR1;RIPK2;PYHIN1;STAT3;AZU1;NLRP12;AIM2;IFNG;SAA1;TLR8;F2RL1;MNDA;TLR6;TRIM16;TLR4;NAIP;MYD88,1.5351516854519364e-06,0,0
7,Regulation Of Interleukin-1 Beta Production (GO:0032651),2.249362219574743e-09,3.997234012720992,79.59539842434012,CX3CR1;HSPB1;NLRC4;LILRA2;MEFV;ORM2;INAVA;CASP8;CLEC7A;NLRP7;STMP1;ZC3H12A;CCL3;NLRP2;SIRPA;NLRP3;USP50;CCR7;CD36;NLRP1;EGR1;SERPINB1;RIPK2;PYHIN1;STAT3;AZU1;NLRP12;AIM2;IFNG;CPTP;TLR8;F2RL1;MNDA;TLR6;TRIM16;TLR4;NAIP;MYD88,1.5915844390791e-06,0,0
8,Positive Regulation Of DNA-binding Transcription Factor Activity (GO:0051091),3.428205001013228e-09,2.3438366109138244,45.684256206446875,CRTC2;SMARCB1;TFRC;RTKN2;PTEN;IL1RAP;PIDD1;RPS6KA5;IL18RAP;FLOT1;AKT1;TRIM25;CAPN3;FLOT2;TRIM27;CD36;IL10;TICAM2;CAMK1D;CHUK;ANXA3;RIPK2;NFAM1;IRAK3;TRAF1;TICAM1;MID2;TIRAP;AIM2;DDIT3;IL1B;TLR9;HCLS1;TRIM58;PRKCQ;PPARG;ADAM8;TLR6;PLPP3;TLR4;S100A9;ARHGEF5;CARD11;TLR2;LTF;CX3CR1;HDAC4;BEX1;CAMK2A;BCL10;NLRC4;PRKCZ;AGER;RELA;STK3;CLEC7A;S100A12;NLRP3;WNT1;NTSR1;NTRK1;FZD2;SMAD3;CAV1;STAT3;CFLAR;ESR1;HIPK2;VEGFA;MAVS;CD40LG;RGCC;JMY;TRIM37;CD200;HSPA1B;IL18R1;MYD88;HSPA1A;LAMTOR5,2.122487421252315e-06,0,0
9,Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122),5.845031848964951e-09,2.368012953545121,44.892017111173296,TFRC;OTUD7B;HSPB1;SUMO4;RORA;FASLG;ARRB2;LITAF;PIDD1;CASP8;ZC3H12A;TNFSF10;TRIM25;CAPN3;CCR7;WLS;TICAM2;CHUK;RIPK2;SHISA5;IRAK4;TRAF1;TICAM1;ZDHHC17;MID2;TIRAP;TNFRSF1A;PPM1B;TRAF4;TRAF3;IL1B;CARD19;PELI1;TLR9;TRIM58;TNFRSF25;TRIM59;TLR6;ZMYND11;OPTN;CARD11;LTF;NLRX1;CANT1;SLC20A1;PPM1N;LPAR1;NLRC3;BCL10;RELA;INAVA;SHARPIN;CLEC7A;HMOX1;S100A12;FLNA;FADD;BRD4;CD74;MAP3K3;DAB2IP;TNFRSF10B;CFLAR;ESR1;PER1;NLRP12;MAVS;PINK1;TNIP3;REL;F2RL1;TAB3;CC2D1A;HLA-DRB1;MYD88;LAMTOR5,3.2167158608803785e-06,0,0
10,Cellular Response To Cytokine Stimulus (GO:0071345),1.2967528911613013e-08,2.1055631011447735,38.23874696229651,RIPOR2;GSK3B;CSF3R;CXCL8;FLT3;IL5RA;MT1X;PTPRJ;YBX3;IL27RA;RO60;MT2A;TCL1A;ZFP36;HYAL2;GPER1;ZC3H12A;AKT1;SIRPA;CCR7;CTSG;JAK3;IL6R;CCR2;HLA-DPA1;IL13RA1;IL4R;MME;CHUK;DUSP1;IL11RA;IRAK3;IRAK4;OXSR1;EREG;TNFRSF1A;HCK;CDC34;AIM2;IL1B;IL3RA;XCL2;HCLS1;CHI3L1;XCL1;GAS6;IL6ST;TLR4;ZNF675;TNFRSF21;TLR2;IFNAR1;CCL14;CSF1R;CEBPA;NFAT5;FOXC1;ALOX15;TCF7;CAMK2A;STK39;CXCR4;CSF2RB;GATA3;LILRA2;HIF1A;CSF2RA;RELA;ZFP36L1;SBNO2;NLRP7;CCL5;CCL4;STAT4;CCL3;IL21R;ST3GAL6;IL12RB2;EGR1;STAT5B;CCL23;CCL20;PYHIN1;STAT3;DAB2IP;LILRB2;UBE2G2;MAPK13;CDK9;NLRP12;IL2RB;MNDA;IL7R,6.07436659103924e-06,0,0
