rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Bounding Membrane Of Organelle (GO:0098588),4.312563971145734e-10,1.697203266227337,36.59903147615436,TFRC;FRMPD3;XYLT1;SPRING1;SLA2;ABCA13;ZDHHC3;NDST2;SCAMP5;LGALS3;C1GALT1C1;BSG;VPS35;WLS;VPS18;ATP6V0E1;ENTPD7;ACE2;RNF125;ATP6V0D1;PLPP3;ATF6;HPD;UBA52;VPS25;OPTN;PI4K2A;ABCB6;SH2D2A;FPR1;TGFA;SNX3;APH1B;CHST11;CHST12;PDGFD;PDGFC;CHST10;CHST15;ST8SIA6;CHST13;ST3GAL6;CD14;APOB;HLA-DQA1;LYN;HACE1;BBIP1;EXT1;EHD2;ACER3;HLA-DRB1;ITM2B;SIGLEC9;CTSZ;STAB2;PCSK7;WASL;AREG;LFNG;GLIPR2;HYAL2;MRC1;STAB1;CD36;HLA-DPA1;ATP6V0B;CHST7;MME;RHOF;ZDHHC17;F5;RAB33B;RHOB;B3GNT7;B3GNT5;TLR9;FAM20C;TLR8;RHOU;TLR4;VAMP2;HBEGF;RAB7A;TLR2;SERPINB10;CD63;MARCHF2;STX17;PTAFR;ZDHHC21;SGMS2;GGA2;LMAN1;ZDHHC19;CXCR1;CXCR2;CD59;GCNT4;ATP6V0E2;GPR157;CD74;DMTN;SORT1;C1GALT1;WNT7A;NMNAT2;LILRB3;FIG4;FKBP1B;UBAP1;LAMTOR2;GALNT14;CSF3R;PROS1;HFE;NCF4;LARGE2;CD177;TICAM2;CSGALNACT2;IRAG1;TICAM1;TPST1;RAB30;DOK3;RAB36;SLC9A7;SLC9A8;NOTCH2;NOTCH1;HVCN1;ITPR1;ADRB2;FUT4;FUT8;FUT7;MAN2A2;UBB;NLRP3;WNT1;RNF175;RAB6B;TRAPPC3;CD163;CAV1;PTCH1;MACO1;IGF2R;GNAO1;UST;TAB3;TAB1;MYD88;CNIH4;PALS1;ST6GALNAC2;PLEKHF1;FLT3;SLC2A1;ARRB1;SLC2A3;FCGR3B;AP1G1;ADGRE3;DSE;CA4;ITGAX;MAN1A1;SCARF1;BOK;HS3ST3B1;RHBDF1;CR1;VPS13B;WIPI1;IRAK4;POMGNT1;TNFRSF1A;TAPBP;RER1;ST6GALNAC3;B4GALT6;ST6GALNAC4;B4GALT4;RAB1A;VPS4B;CAMK2A;FURIN;ATP2C2;AGPAT3;CACNG8;CYTH4;ERBB2;NCAM1;CAMK2G;NTRK1;GALNT5;SLC35A4;SLC35A3;GALNT3;GALNT2;GALNT1;B3GAT1;MCOLN1;SORL1;RAB10;PIKFYVE;FCGR2A;COL7A1,1.828527123765791e-07,0,0
2,Secretory Granule Membrane (GO:0030667),3.449188286743674e-08,2.13041819385366,36.605999709545465,SNAP25;SIGLEC9;MS4A3;FRMPD3;HFE;RAB3D;LPCAT1;PTPRJ;SLC2A3;SLC2A5;FCAR;LGALS3;RAB44;GLIPR1;MMP24;FCGR3B;PLAU;ADGRE3;CA4;ITGAX;OLR1;SIRPA;CD36;ACP3;CD177;CD53;FCER1G;TICAM2;CR1;MME;SLC11A1;NFAM1;PLAUR;IRAG2;NDUFC2;VPS13B;MCEMP1;ATP11B;CYBA;RHOF;TMC6;ATP11A;CKAP4;CEACAM3;RAP2C;CLEC4D;DOK3;CEACAM6;RAB37;ADAM8;CEACAM8;SLC27A2;VAMP2;RAB7A;TLR2;SERPINB10;CD63;HVCN1;PTAFR;FPR1;MGST1;ITPR1;PSEN1;AGPAT2;ADGRG3;CXCR1;CXCR2;STOM;CD59;CD14;LY6G6F;SNCA;CMTM6;NBEAL2;AZU1;LILRB2;LILRB3;IGF2R;RAB10;FCGR2A;TARM1;CYSTM1;LAMTOR2;LAMTOR1;CYB561,4.976156128507112e-06,0,0
3,Specific Granule (GO:0042581),3.520865185264466e-08,2.6356032837452323,45.23215501222789,SNAP25;MS4A3;CRISP3;CTSZ;CXCL1;PTPRJ;SLC2A3;SLC2A5;ORM2;FCAR;RAB44;MMP24;PLAU;OLR1;CD36;SPTAN1;CAMP;CD177;CD53;ANXA3;PLAUR;ANXA11;CYBA;MCEMP1;ATP11A;TMC6;CKAP4;CHIT1;CEACAM3;CLEC4D;SLPI;RAB37;CHI3L1;ADAM8;BPI;CEACAM8;SLC27A2;LTF;CANT1;HVCN1;STXBP2;AGPAT2;ADGRG3;STOM;CD59;STX3;ELANE;DEFA4;CMTM6;LRG1;TCN1;QPCT;TARM1;LCN2;LAMTOR2;LAMTOR1,4.976156128507112e-06,0,0
4,Secretory Granule Lumen (GO:0034774),5.071261617934154e-08,2.0290330684083657,34.08185333042631,GPI;SERPINA3;DDX3X;HSP90AB1;GMFG;PROS1;CRISP3;SERPINE1;CTSZ;CTSW;CXCL1;PYGL;ORM2;MPO;HK3;PSMD6;PNP;PGM2;CTSG;OSTF1;SPTAN1;GYG1;CAMP;FGB;ACTR2;FGA;SERPINB1;HSP90AA1;DBNL;APAF1;DYNLT1;ACTN1;HGF;RNASET2;FGG;PRSS57;RNASE3;AMPD3;UNC13D;F5;CHIT1;PSMA5;FGR;SLPI;MMRN1;CRISPLD2;CSNK2B;CHI3L1;ALDOC;PRTN3;BPI;GAS6;S100A9;LTF;ITIH3;CANT1;CAB39;ROCK1;PSMD13;MVP;THBS1;KNG1;SDCBP;DSN1;PRDX4;ALOX5;PSMB1;S100A12;ELANE;S100A11;TXNDC5;HSPA8;TRAPPC1;GCA;FUCA1;DEFA4;IDH1;RARRES2;IGF2;AZU1;PPBP;DEFA1;CYRIB;MAPK14;PRDX6;CPPED1;VEGFA;LRG1;TCN1;IMPDH1;QPCT;LCN2;MNDA,5.375537315010203e-06,0,0
5,Endocytic Vesicle (GO:0030139),1.0311896949949326e-07,2.3517658117362696,37.833756096992154,CSF3R;STAB2;DYSF;CLTA;HBB;WASL;ARRB2;HYAL2;STAB1;CTLA4;FLOT2;CD36;ABCD1;SCARF1;WLS;HLA-DPA1;HSP90AA1;STX7;ENTPD7;ANXA11;HBA1;TIRAP;RAB32;ACE2;HEATR5A;HCLS1;RAPGEF2;TNFRSF25;UBA52;STAM2;HBEGF;RAB7A;CAMK2A;LPAR1;LPAR2;PLD4;DPP4;HPX;CACNG8;HSPH1;RAB20;UBB;MYO6;CLTCL1;APOE;SRGAP3;APOB;WNT1;CAMK2G;HLA-DQA1;RAB11FIP5;LYN;CD74;CD163;CAV1;PTCH1;DAB2IP;WNT7A;IGF2R;GNAO1;EHD2;SAA1;RAB17;HLA-DRB1,7.829291245655067e-06,0,0
6,Ficolin-1-Rich Granule (GO:0101002),1.1079185724983586e-07,2.4047283093846286,38.513196905209405,GPI;DDX3X;HSP90AB1;GMFG;CTSZ;HBB;SLC2A3;PYGL;FCAR;LGALS3;HK3;PSMD6;PNP;FTH1;ADGRE3;ITGAX;SIRPA;PGM2;CAPN1;OSTF1;GYG1;ACTR2;HSP90AA1;CR1;DBNL;FCER1G;APAF1;DYNLT1;SLC11A1;COMMD3;AMPD3;PSMA5;CLEC4D;DOK3;CRISPLD2;CSNK2B;ADAM8;ALDOC;SERPINB10;CANT1;CAB39;PSMD13;MVP;FPR1;PRDX4;ALOX5;PSMB1;HSPA8;IDH1;PRG2;NBEAL2;LILRB2;MAPK14;LRG1;IMPDH1;QPCT;MNDA;LAMTOR1;YPEL5;HSPA1B;HSPA1A,7.829291245655067e-06,0,0
7,Cytoplasmic Vesicle Membrane (GO:0030659),2.408768619985122e-07,1.8470943631664056,28.14783402164369,CSF3R;FRMPD3;TFRC;NCF4;SLA2;LGALS3;VPS35;WLS;CD177;VPS18;TICAM2;ATP6V0E1;ENTPD7;TICAM1;ACE2;DOK3;VOPP1;ATP6V0D1;UBA52;VPS25;HVCN1;FPR1;ITPR1;ADRB2;SNX3;APH1B;UBB;CD14;APOB;RAB11FIP2;WNT1;HLA-DQA1;LYN;CD163;CAV1;PTCH1;IGF2R;GNAO1;EHD2;TAB3;TAB1;HLA-DRB1;MYD88;ITM2B;SIGLEC9;PLEKHF1;FLT3;DYSF;STAB2;ARRB1;SLC2A3;WASL;SLC2A4;FCGR3B;AP1G1;ADGRE3;GPER1;MRC1;STAB1;CA4;ITGAX;CD36;SCARF1;HLA-DPA1;ATP6V0B;CR1;MME;WIPI1;RHOF;IRAK4;ZDHHC17;RHOB;TLR9;TLR8;RHOU;TLR4;VAMP2;HBEGF;RAB7A;TLR2;SERPINB10;RAB1A;CD63;VPS4B;PTAFR;CAMK2A;GGA2;CACNG8;CXCR1;CXCR2;ERBB2;ATP6V0E2;CAMK2G;NTRK1;CD74;SORT1;WNT7A;MCOLN1;LILRB3;SORL1;FIG4;RAB10;SGSM1;PIKFYVE;FCGR2A;UBAP1;LAMTOR2,1.2768708416371058e-05,0,0
8,Endocytic Vesicle Membrane (GO:0030666),2.409190267239822e-07,2.4912939196297077,37.96434211089463,CSF3R;TFRC;HFE;STAB2;CD3G;WASL;AREG;CD3D;STAB1;CD36;SCARF1;WLS;HLA-DPA1;ATP6V0B;ATP6V0E1;ANXA3;SLC11A1;ENTPD7;CYBA;EREG;TAPBP;ATP6V0D1;CLEC4E;UBA52;VAMP2;HBEGF;RAB7A;HVCN1;CAMK2A;TGFA;ADRB2;CACNG8;UBB;APOE;APOB;WNT1;ATP6V0E2;FCGR1A;KIAA0319;CAMK2G;HLA-DQA1;LYN;CD74;CD163;FZD2;SYT2;CAV1;PTCH1;WNT7A;IGF2R;GNAO1;PIKFYVE;IL7R;HLA-DRB1,1.2768708416371058e-05,0,0
9,Tertiary Granule (GO:0070820),4.7588880403490184e-07,2.4216494845360823,35.25457083873498,SNAP25;FRMPD3;CRISP3;HBB;CXCL1;SLC2A3;FCAR;LGALS3;PLAU;FTH1;ADGRE3;ITGAX;SIRPA;OLR1;SPTAN1;CAMP;CD177;CD53;CR1;DBNL;FCER1G;SLC11A1;STX7;CYBA;MCEMP1;ATP11A;TMC6;CHIT1;RAP2C;CLEC4D;DOK3;ADAM8;ALDOC;CEACAM8;LTF;SERPINB10;CANT1;STXBP2;PTAFR;FPR1;STOM;CD59;IDH1;NBEAL2;PPBP;LILRB2;LRG1;TCN1;QPCT;TARM1;CYSTM1;LAMTOR2;LAMTOR1;YPEL5,2.2419650323422043e-05,0,0
10,Ficolin-1-Rich Granule Lumen (GO:1904813),6.040173676936408e-07,2.694354913660105,38.58225405606257,GPI;DDX3X;HSP90AB1;CANT1;CAB39;PSMD13;GMFG;MVP;CTSZ;HBB;PYGL;HK3;PSMD6;PNP;PRDX4;FTH1;ALOX5;PSMB1;PGM2;CAPN1;OSTF1;GYG1;HSPA8;ACTR2;HSP90AA1;DBNL;APAF1;DYNLT1;IDH1;PRG2;COMMD3;AMPD3;MAPK14;PSMA5;LRG1;CRISPLD2;IMPDH1;QPCT;CSNK2B;ALDOC;MNDA;YPEL5;HSPA1B;HSPA1A,2.5610336390210372e-05,0,0
