rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Transition Metal Ion Binding (GO:0046914),3.3401826437455386e-07,1.759952640642939,26.244537258551944,ZNF331;ADAMDEC1;MT1M;CBLB;MT1X;PRDM2;IKZF5;MT2A;RASSF1;FTH1;CHORDC1;PIM1;TNFSF10;ZNF205;NUDT16;ENPP3;ZFPL1;GYG1;LARGE2;ENPP5;TYW5;KDM2B;JMJD6;PLA2G15;ACE2;SLFN13;ZNF90;CLIP1;ZNF91;RNF125;KAT6A;MT1F;MT1G;ADAM8;MT1H;S100A9;ZNF675;ISCU;MT1E;KMT2A;MTARC1;UBA5;KMT2B;ALOX15;MEFV;RASGRP1;KNG1;ADH6;S100A12;ZKSCAN5;PCK1;EGR1;APOBEC3F;SMAD3;SIAH1;ALOX15B;BHMT;TDP2;ACER3;LCN2;TAB3;MDM4;ADA;KDM5B;FEN1;KDM5C;DYRK2;PHF1;BMI1;LITAF;PHF8;ADAMTS3;ZMYM2;HEPH;CA2;ARIH1;COA6;CDADC1;MME;BHMT2;TET2;SIRT5;RABGGTB;POMGNT1;SLC25A16;ZEB1;MMP23B;FAM20C;PPARG;ZNF117;ZMYND11;SMPDL3A;KDM7A;LTF;HDAC4;C11ORF54;SEC23A;KDM3A;GALT;ADH1C;PPM1M;ADH1A;PRIM1;ZNF8;NT5E;ALOX5;SAP30L;SNCA;AOC3;NQO2;AOC2;GALNT3;GALNT2;GALNT1;QPCTL;ERAP1;KLF7;QPCT;ATP13A2;CDO1;MSRB1,0.00034069862966204495,0,0
2,Zinc Ion Binding (GO:0008270),2.1425393146639594e-06,1.8216999404052443,23.779594486970424,ZNF331;KDM5B;ADAMDEC1;KDM5C;PHF1;MT1M;CBLB;MT1X;PRDM2;BMI1;LITAF;IKZF5;PHF8;MT2A;RASSF1;ZMYM2;ADAMTS3;CA2;CHORDC1;TNFSF10;ZNF205;ARIH1;ENPP3;ZFPL1;ENPP5;CDADC1;MME;KDM2B;BHMT2;TET2;SIRT5;RABGGTB;PLA2G15;SLC25A16;ACE2;SLFN13;ZNF90;CLIP1;ZNF91;RNF125;ZEB1;MMP23B;KAT6A;MT1F;MT1G;MT1H;PPARG;ZNF117;ADAM8;ZMYND11;S100A9;ZNF675;SMPDL3A;ISCU;KDM7A;MT1E;HDAC4;C11ORF54;SEC23A;GALT;ADH1C;KMT2A;ADH1A;PRIM1;UBA5;KMT2B;MEFV;ZNF8;RASGRP1;KNG1;ADH6;NT5E;SAP30L;S100A12;ZKSCAN5;SNCA;EGR1;NQO2;APOBEC3F;SMAD3;QPCTL;SIAH1;ERAP1;KLF7;BHMT;QPCT;ACER3;TAB3;MDM4;ATP13A2;CDO1;ADA;MSRB1,0.0010926950504786192,0,0
3,Cytokine Receptor Activity (GO:0004896),3.6712286907023354e-06,3.1483271233643197,39.40126407569283,CX3CR1;CSF3R;FLT3;IL5RA;CSF2RB;IL1RAP;CSF2RA;IL18RAP;CXCR1;CXCR3;IL21R;CCR6;CCR4;IL6R;CCR3;CCR2;IL13RA1;IL12RB2;CD74;IL4R;IL11RA;IL1R1;IL10RB;IL1R2;IL17RA;IL3RA;IL2RB;IL6ST;IL7R;IL18R1,0.001248217754838794,0,0
4,Histone Demethylase Activity (GO:0032452),2.3251871427458684e-05,5.159643065146851,55.04887649581668,KDM6B;KDM5B;KDM3A;KDM5C;KDM3B;KDM5D;KDM2B;PHF1;JMJD1C;PHF8;JMJD6;UTY;JARID2;KDM7A;KDM6A,0.005929227214001964,0,0
5,Lysophospholipid Acyltransferase Activity (GO:0071617),3.066275831874781e-05,33.65775711795468,349.7869525584144,LPGAT1;LPCAT3;MBOAT7;LPCAT2;LPCAT1;MBOAT2;ABHD5,0.006255202697024553,0,0
6,Protein Serine/Threonine Kinase Activity (GO:0004674),4.437634549667775e-05,1.6799180971167655,16.83748980594364,ACVRL1;GPI;GSK3B;SMG1;DYRK3;DYRK2;TESK1;ILK;RPS6KA5;AKT3;PBK;PIM1;AKT1;PDK3;NEK2;MAP3K9;PRKACB;HTATIP2;MAP4K1;CAMK1D;SYK;CHUK;RIPK2;LMTK2;VRK1;IRAK3;CSNK1E;IRAK4;OXSR1;PASK;CIT;TGFBR2;ERN1;MAK;CSNK2B;ULK3;FAM20C;PRKCQ;TSSK3;FAM20A;TNIK;SGK1;PRKAA1;ROCK1;PRKDC;CAMK2A;STK39;ACVR1B;PRKCZ;CAMKK1;CAMKK2;STK3;PAK1;GRK3;NUAK2;MAPK7;MKNK1;MAP3K20;PAK6;MAPK6;CAMK2G;MAP4K3;BRD4;MAP4K4;MAP2K6;PLK4;PLK3;MAP3K3;MAP3K1;CSNK1A1;LIMK2;EIF2AK3;BRAF;MAPK14;ACVR2B;CLK3;HIPK2;MAPK13;CDK9;PIKFYVE;PINK1;SBK1;CDK5;CAMK4;STK17B;TAOK1;CDK16;BMPR1A,0.007543978734435218,0,0
7,Toll-like Receptor Binding (GO:0035325),7.798914130694632e-05,12.824179017727404,121.30315212476874,TLR1;DAB2IP;TLR10;TLR6;S100A9;MYD88;TIRAP;TLR2,0.011229419071474886,0,0
8,Kinase Binding (GO:0019900),9.314434307766902e-05,1.543760225655429,14.328194704286767,RB1;ERRFI1;MIDN;TFRC;PPP1CB;TCL1B;ZFP36;TCL1A;SIT1;FBXO5;FBXO7;TNS2;CDK5RAP2;NSF;PDGFRB;TICAM2;VRK1;ANK2;TICAM1;LAX1;CDC25B;TOM1L2;STX1B;UTRN;SKAP1;STX1A;PFKFB2;ADIPOR1;HIF1A;MACROH2A1;ZBTB4;TBC1D14;PLCG1;RAB11FIP2;MAP2K6;SMAD3;CD160;GADD45A;LRBA;CAV1;SH2D1A;NBEAL1;NBEAL2;CDC6;ESR1;MOB1B;MAVS;RGCC;NR4A3;DLG3;SNAI1;GRB2;CD24;INKA2;BCL2L1;RAD9A;INKA1;ACVRL1;GSK3B;CDKN1A;USP37;HSP90AB1;HSPB1;ILK;PTPRJ;CD3E;BICD1;MYOM2;GYS1;BLNK;PARP6;STRADA;IRAK3;IRAK4;OXSR1;SYN1;DNM1;CIT;CNKSR2;FGR;LCK;CKS2;HCLS1;TRIM58;MAPT;CACUL1;PPP1R15A;CEBPA;CAB39;DCTN2;MVP;WAS;RELA;RNF138;CAMK2N1;SV2A;FLNA;RICTOR;SASH1;HNRNPA0;CDKN2B;MAP3K1;CEP152;STAT3;DAB2IP;PER1;APC;CENPJ;CEP43;BCAR1;CDK5R1,0.011229419071474886,0,0
9,Protein Kinase Activator Activity (GO:0030295),9.908310945419018e-05,2.495133684985527,23.004013684184418,CDKN1A;DDX3X;CAB39;STK3;TCL1B;TCL1A;MLST8;MAP3K20;AKT1;RICTOR;CD36;PARP6;STRADA;STRADB;SH2D1A;DAB2IP;IGF2;MOB3A;MOB1B;MOB3C;GPRC5A;CD40LG;RGCC;TAOK1;FAM20A;GAS6;IL6ST;CD24;LTF;CDK5R1,0.011229419071474886,0,0
10,Lysophosphatidic Acid Acyltransferase Activity (GO:0042171),0.00014323299466509129,5.880744618964514,52.050693622087636,LPGAT1;GPAT4;MBOAT7;LPCAT3;LPCAT2;LPCAT1;MBOAT2;ABHD5;AGPAT1;AGPAT2;AGPAT3,0.014499296901842545,0,0
11,2-Acylglycerol-3-Phosphate O-acyltransferase Activity (GO:0047144),0.00015636496658849803,28.84112692419402,252.74395961263826,LPGAT1;LPCAT3;MBOAT7;LPCAT2;LPCAT1;MBOAT2,0.014499296901842545,0,0
