rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,NF-kappa B signaling pathway,1.7339943244305684e-12,4.3224812834224595,117.05535859390177,CXCL8;CCL4L2;CXCL1;CXCL2;ICAM1;TNFSF13B;PIDD1;PLAU;BLNK;TRIM25;LBP;EDARADD;TICAM2;CHUK;SYK;IL1R1;IRAK4;TRAF1;TICAM1;TIRAP;TNFRSF1A;ZAP70;LCK;TRAF3;IL1B;CSNK2B;PRKCQ;TLR4;CARD11;XIAP;BCL10;PTGS2;RELA;CCL4;CD14;PLCG1;LYN;GADD45B;TNFSF14;GADD45A;CFLAR;GADD45G;CD40LG;BCL2;TAB3;TAB1;LAT;MYD88;BCL2L1,5.531441894933513e-10,0,0
2,MAPK signaling pathway,1.2601293115177304e-11,2.4403163234855265,61.24515973751653,IL1RAP;IGF1R;RPS6KA5;FGF9;AKT3;AKT1;PRKACB;PDGFRB;IL1R1;HGF;CACNA2D2;FLT3LG;PGF;EREG;CDC25B;CACNB1;CACNB4;DDIT3;CSF1R;TGFA;CACNA1A;RASGRP2;CACNA1E;RASGRP1;RASGRP4;STK3;RRAS;PDGFD;PDGFC;MAP3K20;CD14;MAP2K6;NGFR;HSPA8;JUN;JUND;GADD45B;GADD45A;IGF2;BRAF;NFATC1;GNG12;GADD45G;NR4A1;GRB2;TAB1;FGFR4;MYD88;FLT1;FLT3;RASGRF2;HSPB1;ARRB1;FASLG;ARRB2;AREG;PPP3CC;DUSP10;DUSP4;MAP4K1;DUSP5;DUSP2;CHUK;DUSP1;RRAS2;FOS;IRAK4;DUSP8;TGFBR2;TNFRSF1A;PPM1B;MRAS;IL1B;RASA1;RASA2;RAPGEF2;MAPT;SOS2;RELA;CACNG6;PAK1;CACNG8;MAPK7;MKNK1;ERBB2;FLNA;MAP4K3;MAP4K4;NTRK1;MAP3K3;NTRK2;MAP3K1;MAPK14;VEGFA;MAPK13;TAOK1;HSPA1B;HSPA1A,2.00990625187078e-09,0,0
3,Th17 cell differentiation,2.6321022824577538e-11,3.9450809582425905,96.10474886890759,HSP90AB1;RORA;CD3G;IL1RAP;GATA3;CD3E;HIF1A;CD3D;RELA;IL27RA;PPP3CC;TBX21;IL21R;PLCG1;HLA-DOA;HLA-DOB;IL6R;JAK3;HLA-DQA1;HLA-DPA1;STAT5B;JUN;HSP90AA1;IL4R;SMAD3;CHUK;IL1R1;IFNGR1;STAT3;NFATC2;NFATC1;FOS;MAPK14;TGFBR2;MAPK13;ZAP70;IFNG;LCK;IL1B;IL2RB;HLA-DPB1;PRKCQ;CD247;IL6ST;NFKBIE;HLA-DRB1;LAT;HLA-DQB1,2.798802093680078e-09,0,0
4,Th1 and Th2 cell differentiation,2.2958460630034156e-10,4.068341649545054,90.29582378987652,NOTCH2;NOTCH1;MAML2;CD3G;GATA3;CD3E;CD3D;DLL1;RELA;PPP3CC;TBX21;STAT4;PLCG1;HLA-DOA;HLA-DOB;JAK3;HLA-DQA1;HLA-DPA1;IL12RB2;STAT5B;JUN;IL4R;CHUK;IFNGR1;NFATC2;NFATC1;FOS;MAPK14;RUNX3;MAPK13;ZAP70;MAF;IFNG;LCK;IL2RB;HLA-DPB1;PRKCQ;CD247;NFKBIE;HLA-DRB1;LAT;HLA-DQB1,1.6073227915688628e-08,0,0
5,PD-L1 expression and PD-1 checkpoint pathway in cancer,2.65219176652444e-10,4.136241930751174,91.20605606457738,PTEN;CD3G;PIK3R1;CD3E;CD3D;HIF1A;RASGRP1;RELA;PPP3CC;AKT3;AKT1;PLCG1;MAP2K6;MAP3K3;BATF3;JUN;TICAM2;CHUK;IFNGR1;STAT3;NFATC2;NFATC1;FOS;TICAM1;MAPK14;TIRAP;MAPK13;ZAP70;IFNG;LCK;CSNK2B;TLR9;CD28;PRKCQ;CD247;PDCD1;NFKBIE;TLR4;LAT;MYD88;TLR2,1.6073227915688628e-08,0,0
6,Lipid and atherosclerosis,3.0231776643928456e-10,2.605692692014565,57.115591561194236,GSK3B;CXCL8;HSP90AB1;NCF4;CXCL1;FASLG;CALML4;CXCL2;ICAM1;CASP7;PPP3CC;CASP8;AKT3;TNFSF10;AKT1;OLR1;CD36;LBP;HSP90AA1;TICAM2;APAF1;CHUK;CYBA;FOS;IRAK4;TICAM1;TIRAP;TNFRSF1A;ERN1;IRF3;TRAF3;DDIT3;IL1B;PPARG;TLR6;ATF6;TLR4;TLR2;CAMK2A;ITPR1;PIK3R1;AGER;RELA;HSPD1;CCL5;CCL3;NLRP3;CD14;PLCG1;APOB;CAMK2G;MAP2K6;LYN;HSPA8;JUN;POU2F1;HSPA5;STAT3;EIF2AK3;NFATC2;TNFRSF10B;NFATC1;POU2F2;MAPK14;MAPK13;CYP2C9;CYP2C8;CD40LG;BCL2;BAX;TAB1;HSPA1B;MYD88;HSPA1A;BCL2L1,1.6073227915688628e-08,0,0
7,Hematopoietic cell lineage,9.796711540377105e-10,3.7186739786930625,77.13944474027029,CSF1R;GYPA;CSF3R;TFRC;FLT3;IL5RA;CD3G;CD3E;CSF2RA;CD3D;CD59;CD14;CD36;HLA-DOA;FCGR1A;HLA-DOB;IL6R;HLA-DQA1;HLA-DPA1;IL4R;CR1;MME;IL11RA;IL1R1;IL1R2;ITGA1;FLT3LG;CD2;FCER2;CD8B;CD8A;CD5;CR1L;IL1B;IL3RA;CD7;HLA-DPB1;CD24;IL7R;MS4A1;CD22;HLA-DRB1;HLA-DQB1,4.4645014019718515e-08,0,0
8,T cell receptor signaling pathway,1.724657342361877e-09,3.5516593245227606,71.66622518570362,GSK3B;ITK;CBLB;CD3G;BCL10;PIK3R1;CD3E;RASGRP1;CD3D;RELA;PAK1;PPP3CC;AKT3;AKT1;CTLA4;PAK6;PLCG1;ICOS;IL10;JUN;CHUK;NFATC2;NFATC1;FOS;MAPK14;MAPK13;ZAP70;DLG1;CD40LG;TEC;CD8B;IFNG;CD8A;LCK;CD28;PRKCQ;GRB2;LCP2;CD247;PDCD1;NFKBIE;SOS2;CARD11;LAT,6.877071152667984e-08,0,0
9,Tuberculosis,1.7574851384159358e-08,2.549243618421382,45.52132542902137,CALML4;MRC2;CASP8;FCGR3B;PPP3CC;AKT3;MRC1;ITGAX;AKT1;LBP;HLA-DOA;HLA-DOB;CAMP;HLA-DPA1;IL10;ATP6V0B;ARHGEF12;CR1;FCER1G;APAF1;SYK;IFNGR1;RIPK2;IRAK4;TIRAP;TNFRSF1A;TLR1;IFNG;IL1B;RFX5;TLR9;TLR6;ATP6V0D1;CLEC4E;TLR4;HLA-DQB1;RAB7A;TLR2;CAMK2A;BCL10;RELA;HSPD1;CLEC7A;CD14;FADD;FCGR1A;CAMK2G;HLA-DQA1;PLK3;CD74;CREBBP;NFYA;IL10RB;MAPK14;MAPK13;FCGR2A;CR1L;BCL2;HLA-DPB1;BAX;HLA-DRB1;MYD88,6.229308435052039e-07,0,0
10,Osteoclast differentiation,2.6413391457399785e-08,2.942753248300016,51.349262943795644,LILRA6;CSF1R;NCF4;SIRPG;FHL2;PIK3R1;LILRA2;RELA;LILRA5;FCGR3B;PPP3CC;AKT3;BLNK;AKT1;SIRPA;FCGR1A;JUNB;MAP2K6;JUN;JUND;CHUK;SYK;IL1R1;IFNGR1;NFATC2;CYBA;NFATC1;FOS;LILRB2;LILRB3;MAPK14;FOSL2;TGFBR2;TNFRSF1A;MAPK13;FOSL1;FCGR2A;TEC;IFNG;LCK;IL1B;CAMK4;FOSB;GRB2;LCP2;PPARG;TAB1;IFNAR1,8.425871874910532e-07,0,0
11,Inflammatory bowel disease,2.522692176288792e-07,3.889985380116959,59.09964927701136,RORA;GATA3;RELA;IL18RAP;TBX21;IL21R;STAT4;HLA-DOA;HLA-DOB;HLA-DQA1;HLA-DPA1;IL12RB2;IL10;JUN;IL4R;SMAD3;IFNGR1;STAT3;NFATC1;MAF;IFNG;IL1B;HLA-DPB1;TLR5;TLR4;HLA-DRB1;IL18R1;HLA-DQB1;TLR2,7.3158073112374965e-06,0,0
12,Malaria,5.171737522944456e-07,4.453677709152162,64.46648131145376,IL10;GYPA;CXCL8;CR1;GYPC;KLRB1;GYPB;HGF;SDC2;HBB;HBA2;HBA1;THBS1;ICAM1;KLRK1;CD40LG;IFNG;CR1L;IL1B;TLR9;CD36;TLR4;MYD88;TLR2,1.374820224849401e-05,0,0
13,Transcriptional misregulation in cancer,5.900028714877474e-07,2.2567751471290682,32.36923834771979,CDKN1A;CXCL8;FLT1;FLT3;JMJD1C;BMI1;MPO;AFF1;IGF1R;LYL1;HHEX;PLAU;NFKBIZ;MEN1;KDM6A;IL1R2;PAX5;TRAF1;RUNX2;SUPT3H;ETV6;TGFBR2;CCNA1;MAF;ZEB1;DDIT3;PPARG;ERG;NUPR1;CSF1R;CEBPA;KMT2A;HPGD;CEBPE;MLLT1;MLLT3;RELA;FUT8;H3C13;CD14;DEFA1B;FCGR1A;ELANE;NTRK1;NGFR;ZBTB17;BCL11B;GADD45B;GADD45A;DEFA4;GZMB;DEFA1;PBX1;GADD45G;CDK9;NR4A3;BCL6;IL2RB;REL;BAX;BCL2L1,1.3996169564821827e-05,0,0
14,Viral protein interaction with cytokine and cytokine receptor,6.142519558229015e-07,2.9628148022053886,42.37672722242025,CCL14;CX3CR1;CSF1R;CXCL8;CCL4L2;IL24;CXCR5;CXCR4;CXCL1;CXCL2;IL18RAP;CXCR1;CCL5;CXCR3;CCL4;CXCR2;TNFSF10;CCL3;CCR7;CCR6;IL6R;CCR4;CCR3;CCR2;IL10;CCL23;TNFSF14;CCL20;IL10RB;TNFRSF10C;TNFRSF10B;PPBP;TNFRSF1A;IL2RB;XCL2;XCL1;IL6ST;IL18R1,1.3996169564821827e-05,0,0
15,Pathways in cancer,9.645548396067907e-07,1.6618546661546059,23.019344678054203,RB1;CSF3R;IL5RA;CALML4;IGF1R;FRAT1;RASSF1;EDNRB;RPS6KA5;FGF9;CDH1;AKT3;PIM1;AKT1;PRKACB;IL6R;IL13RA1;SKP1;PDGFRB;IL4R;HGF;FLT3LG;PGF;IL6ST;IFNAR1;NOTCH2;CSF1R;NOTCH1;CUL2;TCF7;LPAR1;MGST1;LPAR2;MGST2;TGFA;CSF2RB;PIK3R1;RASGRP2;HIF1A;CSF2RA;RASGRP1;KNG1;RASGRP4;GNG10;HMOX1;PMAIP1;PLCG1;FADD;WNT1;RALGDS;WNT10B;ZBTB17;STAT5B;CREBBP;JUN;WNT10A;FZD2;SMAD3;GADD45B;GADD45A;PTCH1;PTCH2;IGF2;BRAF;GNG12;ESR1;GADD45G;GNAQ;BCL2;GRB2;FGFR4;IL7R;BCL2L1;GSK3B;CDKN1A;HSP90AB1;CXCL8;FLT3;PTEN;SLC2A1;FASLG;GLI1;BBC3;CASP7;GNGT2;CASP8;JAK3;APC2;NCOA1;HSP90AA1;ARHGEF12;APAF1;CHUK;IFNGR1;PLEKHG5;FOS;TRAF1;TGFBR2;CCNA1;TRAF4;IFNG;TRAF3;IL3RA;CKS2;PPARG;SOS2;PTGER4;CEBPA;RALB;ROCK1;CAMK2A;CXCR4;XIAP;PTGS2;DLL1;RELA;GNA13;GNG5;GNG7;ERBB2;STAT4;CAMK2G;IL12RB2;NTRK1;CDKN2B;LAMB3;STAT3;WNT7A;VEGFA;RAD51;APC;GSTA2;IL2RB;GSTA1;BAX,2.033955533747152e-05,0,0
16,Yersinia infection,1.0201657849515496e-06,2.5268371546149324,34.85909670917783,GSK3B;CXCL8;ROCK1;ARPC1B;PXN;WAS;PIK3R1;WASL;NLRC4;MEFV;RELA;AKT3;AKT1;NLRP3;PLCG1;MAP2K6;IL10;ACTR2;GIT2;JUN;ARHGEF12;CHUK;NFATC2;ARPC4;NFATC1;FOS;IRAK4;TICAM1;MAPK14;MAPK13;ZAP70;FCGR2A;CD8B;IRF3;CD8A;ARPC3;LCK;GNAQ;IL1B;ELMO2;LCP2;TAB1;TLR4;LAT;MYD88;BCAR1;SKAP2,2.033955533747152e-05,0,0
17,Chagas disease,1.0940734889965125e-06,2.8698787012606273,39.39081479799037,CXCL8;SERPINE1;CD3G;FASLG;PIK3R1;CD3E;CD3D;KNG1;RELA;CASP8;CCL5;AKT3;CCL3;AKT1;FADD;IL10;JUN;CHUK;IFNGR1;FOS;IRAK4;CFLAR;TICAM1;MAPK14;TGFBR2;TNFRSF1A;MAPK13;GNAO1;IFNG;PPP2R2B;GNAQ;IL1B;TLR9;TLR6;CD247;TLR4;MYD88;TLR2,2.0529967234699265e-05,0,0
18,Apoptosis,1.2795826025088015e-06,2.470912810374921,33.527758166395884,HRK;CTSZ;PRF1;ITPR1;XIAP;CSF2RB;CTSW;FASLG;PIK3R1;RELA;BBC3;LMNB1;SPTA1;PIDD1;CASP7;CASP8;TUBA1A;AKT3;TNFSF10;AKT1;PMAIP1;CAPN1;FADD;SPTAN1;MCL1;BOK;NTRK1;NGFR;JUN;GADD45B;APAF1;CHUK;GADD45A;EIF2AK3;DAB2IP;TNFRSF10B;GZMB;FOS;TRAF1;CFLAR;GADD45G;TNFRSF1A;ERN1;DDIT3;IL3RA;BCL2;BAX;BCL2L1,2.2677047233350426e-05,0,0
19,Chemokine signaling pathway,2.9944079475389465e-06,2.1484285936079135,27.325356309294964,GSK3B;ITK;CXCL8;CCL4L2;ARRB1;CXCL1;ARRB2;CXCL2;GNGT2;AKT3;AKT1;CCR7;CCR6;PRKACB;CCR4;JAK3;CCR3;CCR2;CHUK;FGR;HCK;XCL2;XCL1;SOS2;CCL14;CX3CR1;ROCK1;PXN;CXCR5;WAS;CXCR4;PIK3R1;RASGRP2;PRKCZ;PIK3R6;RELA;GNG10;GRK3;PAK1;CXCR1;GNG5;CCL5;CXCR3;GNG7;CCL4;CXCR2;CCL3;PLCG1;LYN;STAT5B;CCL23;CCL20;STAT3;BRAF;PPBP;GNG12;GNAQ;GRB2;BCAR1,5.0274533434996e-05,0,0
20,Leishmaniasis,5.028629983010384e-06,3.0811547484955786,37.59120632961162,NCF4;PTGS2;RELA;FCGR3B;HLA-DOA;FCGR1A;HLA-DOB;HLA-DQA1;HLA-DPA1;IL10;JUN;MARCKSL1;CR1;IFNGR1;CYBA;FOS;IRAK4;MAPK14;MAPK13;FCGR2A;IFNG;CR1L;IL1B;HLA-DPB1;TAB1;TLR4;HLA-DRB1;MYD88;HLA-DQB1;TLR2,8.020664822901563e-05,0,0
21,Hepatitis B,6.394274109802071e-06,2.2229292270492977,26.58647282805148,RB1;CDKN1A;CXCL8;DDX3X;FASLG;CASP8;AKT3;AKT1;JAK3;TICAM2;APAF1;CHUK;FOS;IRAK4;TICAM1;TIRAP;TGFBR2;CCNA1;IRF3;TRAF3;SOS2;TLR4;IFNAR1;CREB5;TLR2;PCNA;PIK3R1;RELA;STAT4;FADD;MAP2K6;STAT5B;CREBBP;EGR2;JUN;EGR3;SMAD3;MAP3K1;SLC10A1;STAT3;NFATC2;BRAF;NFATC1;MAPK14;MAPK13;MAVS;BCL2;BAX;GRB2;TAB1;MYD88,9.713206862032668e-05,0,0
22,Cytokine-cytokine receptor interaction,7.178829979333683e-06,1.835994905321109,21.746210584563848,ACVRL1;CSF3R;CXCL8;CCL4L2;IL24;IL5RA;CXCL1;FASLG;IL1RAP;CXCL2;IL27RA;TNFSF13B;IL18RAP;TNFSF10;CCR7;CCR6;CCR4;IL6R;CCR3;CCR2;IL13RA1;IL10;IL4R;IL1R1;IFNGR1;IL11RA;IL1R2;TNFRSF18;IL17RA;TGFBR2;TNFRSF1A;IFNG;IL1B;IL3RA;XCL2;XCL1;TNFRSF25;IL6ST;TNFRSF21;IFNAR1;CCL14;CX3CR1;CSF1R;CXCR5;CXCR4;CSF2RB;ACVR1B;CSF2RA;CXCR1;CXCR3;CCL5;CXCR2;CCL4;CCL3;IL21R;IL12RB2;IL32;NGFR;GDF11;CCL23;TNFSF14;TNFSF15;CCL20;GDF15;IL10RB;TNFRSF9;LIF;OSM;TNFRSF10C;TNFRSF10B;INHBB;PPBP;INHBA;ACVR2B;CD40LG;LEP;IL2RB;TNFSF9;IL7R;IL18R1;BMPR1A,0.00010409303470033841,0,0
