rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Intracellular Protein Transport (GO:0006886),3.1547437417390625e-23,4.476427702773611,231.92618072984877,ARF3;ARF4;ARF1;PPP1R10;CLTC;AP2A1;PHB2;RAB43;AKT2;LAMP2;FAM53C;KPNA6;AKT1;TMED2;CHP1;VPS35;TNPO3;TMED4;TMED9;ATP6AP1;STRADA;APLP2;TSC2;VPS37B;ARFGAP3;COPZ1;OXA1L;HGS;CDC37;NUP50;RAB35;ERP29;PREB;NUP98;ARHGEF2;VPS28;ARF5;KPNB1;RAB7A;NAPA;COPB2;RAB1A;COPA;RAB5B;RAB5C;TMED10;TSG101;SAR1A;STX16;UNC93B1;RAB1B;PTTG1IP;VPS26B;STK4;GABARAP;STX10;GGA1;SNX1;GGA3;SNX27;TPR;STX5;STX4;RAB6A;CTSA;AKIRIN2;RANBP3;TGFB1;SEC16A;SURF4;STAT3;AP3D1;LAPTM5;ARCN1;EHD1;RAB14;SNX17;APEX1;UBAP1,1.1615063063727277e-19,0,0
2,Vesicle-Mediated Transport (GO:0016192),6.978034687596146e-23,3.9250189635184842,200.24147501952402,ITSN2;ARF3;ARF4;ARF1;GDI1;DENND1A;GDI2;ARHGAP1;INPPL1;WASHC2C;AP2A1;AP2A2;RAB43;ACTR1A;ZFYVE27;CHMP1B;CHMP1A;TOM1;CPNE1;TMED2;AP3S2;VPS39;AP2M1;RAB2A;RALBP1;EXOC7;SYTL1;AP1B1;TSC2;CSNK1D;EPS15L1;ARFGAP3;MAPK8IP3;EPN1;DNM2;BIN3;HGS;DNAJC5;RAB35;EXOC3;VAMP1;KXD1;RIN3;CHMP4A;SQSTM1;ARF5;CSNK1G2;VAMP3;RAB7A;NAPA;RAB1A;RAB5B;PXK;RAB5C;TMED10;TSG101;AP5Z1;STX16;VPS4A;AGAP2;DENND3;CORO1C;STX10;CDC42;SNX27;VPS51;FHIP1B;AP2S1;STX5;STX4;EPS15;CYTH1;S100A10;VPS16;AP1M1;ARFGEF1;RAB4B;M6PR;AP3D1;MYO5A;AP2B1;RAB11A;EHD1;NECAP2;RAB14;SNX17;SGSM3;CHMP2A;CDK16;PICALM,1.1615063063727277e-19,0,0
3,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),9.215865959053645e-23,4.144844005860553,210.30329433815206,GSK3A;UBXN1;PPP1R11;UBE2D2;ZFAND2B;UBE2D3;RNF19B;ARRB2;UBE2L3;HERPUD1;PSMD8;HERC3;NUB1;PSMD6;MAEA;PSMD4;PSMD2;CHMP1B;CHMP1A;ARIH1;SKP1;UBL7;AREL1;FBXW5;ARRDC1;AXIN1;RC3H1;PPP2R5C;VPS37B;TRPC4AP;RAD23B;SIRT2;RNF40;RNF167;PSMA1;UBE2R2;CHMP4A;RBCK1;SQSTM1;VPS28;RNF166;VCP;WDR26;TSG101;PSMD13;VPS4A;UBR4;NEDD8;RNF4;PSMA7;BAG6;PSMB7;PSMB4;RMND5A;RNF216;OS9;PCBP2;PSMB1;ZSWIM8;DCAF11;RFFL;MARCHF6;KLHDC3;NDFIP1;UBE2I;UBE2B;CSNK1A1;USP9X;WWP2;UBE2A;CHFR;ITCH;PSMC5;NPLOC4;UBXN11;PSMC4;TOLLIP;GID8;CHMP2A;CTNNB1;UBAP1;TRIP12;UBA1;NFE2L2,1.1615063063727277e-19,0,0
4,RNA Processing (GO:0006396),3.796582445476841e-18,5.306252112200068,212.84666836715115,CELF1;AKAP8L;HNRNPU;ADAR;CCAR2;PPP1R9B;RBM4;ALKBH5;PPP2R1A;KHSRP;FASTK;DHX16;PRKACA;RBM5;RBM6;DDX17;SCAF11;SFPQ;PRPF6;DDX39B;HNRNPUL1;PRPF3;SRSF4;SRSF5;HNRNPH3;YJU2B;SNRPB;SF3B4;SF3B2;DHX8;DDX23;SRSF1;DEDD2;PPP2CA;ATXN1;PABPN1;U2AF2;SRPK2;RBM39;SF3A1;USB1;HNRNPL;SETX;HNRNPK;HNRNPF;HNRNPA2B1;HNRNPD;RNPS1;CDK12;HNRNPC;TARDBP,3.588719556586984e-15,0,0
5,Protein Localization (GO:0008104),8.414788202253342e-16,3.442268777207023,119.48586802096364,ARF3;ARF4;ARF1;CLTC;DDX42;AP2A1;WDR45;LYST;RAB43;NIPBL;TMED2;VPS35;TMED4;TMED9;IST1;USP4;ATG9A;TSC2;WIPI2;ARFGAP3;ATG13;COPZ1;RRAGA;BIN3;HGS;RAB35;ERP29;ATG4B;ULK1;ARHGEF2;MAPRE1;SQSTM1;ARF5;VCL;NAPA;COPB2;RAB1A;COPA;RAB5B;RAB5C;TMED10;SAR1A;STX16;UNC93B1;RAB1B;VPS26B;TM9SF4;STX10;TM9SF3;GGA1;SNX1;GGA3;SNX27;FHIP1B;MFN2;STX5;STX4;RAB6A;CTSA;USP9X;AP3D1;LAPTM5;NBEAL2;ARCN1;EHD1;NIN;RAB14;SNX17;APEX1;CTNNB1,6.363262838543978e-13,0,0
6,Macroautophagy (GO:0016236),1.180675067535416e-15,6.908017335931594,237.44713860212784,ILRUN;VCP;MTMR3;TSG101;CALCOCO2;MTMR14;VPS4A;TCIRG1;GABARAP;CLN3;MAP1LC3B;CHMP1B;LAMP2;CHMP1A;TOM1;UBQLN1;VHL;SPG11;VPS39;VPS16;GABARAPL2;TGFB1;VPS37B;WIPI2;ATG16L2;HGS;NBR1;CHMP2A;PLEKHM1;ATG4B;CHMP4A;ULK1;SQSTM1;VPS28;TECPR1,6.836234287712935e-13,0,0
7,Endosomal Transport (GO:0016197),1.2656344886006493e-15,4.838655199897445,165.9813707293878,ITSN2;AP5Z1;DCTN1;STX16;DENND1A;CLTC;VPS4A;AGAP2;ARHGAP1;WASHC2C;VPS26B;RCSD1;CORO1C;STX10;RAB43;GGA1;SNX1;SNX27;VPS51;CHMP1B;CHMP1A;TBC1D10C;TOM1;STX5;DENND5A;VPS35;RAB6A;TBC1D17;EPS15;YKT6;VPS39;RAB11FIP4;TBC1D10B;VPS16;GBF1;EPS15L1;RAB11B;EHD1;RAB14;HGS;SNX17;RAB35;CHMP2A;SQSTM1;PICALM;RAB7A;VAMP3,6.836234287712935e-13,0,0
8,Protein Transport (GO:0015031),4.268607198917187e-15,3.5418551081201683,117.19109123461764,ARF3;ARF4;ARF1;CLTC;ARHGAP1;AP2A1;RAB43;CHMP1B;CHMP1A;LAMP2;TOM1;TMED2;VPS35;RAB8B;TMED4;TMED9;ARRDC1;PRKCB;TANGO2;ARFGAP3;COPZ1;SCAMP2;DNM2;RUFY1;RAB35;ERP29;MYH9;PREB;ARHGEF2;ARF5;RAB7A;NAPA;COPB2;RAB1A;COPA;RAB5B;RAB5C;TMED10;SAR1A;STX16;UNC93B1;RAB1B;VPS26B;STX10;GGA1;SNX1;GGA3;SNX27;STX5;STX4;RAB6A;CTSA;GSDMD;SURF4;AP3D1;LAPTM5;ARCN1;RAB11B;EHD1;RAB14;SNX17;CHMP2A;UNC119;COPG1,1.8917919682266322e-12,0,0
9,mRNA Processing (GO:0006397),4.503075301253555e-15,4.289876160284626,141.71183699301926,CELF1;HNRNPU;CASC3;DDX41;EFTUD2;PNN;RBM4;SART1;ALKBH5;SNRNP70;PAPOLA;DHX16;PRKACA;RBM5;RBM6;IK;SCAF11;SFPQ;PRPF6;DDX39B;SYF2;PRPF3;SRSF4;HNRNPH3;SRSF5;SRSF6;SNRPB;RBM22;SF3B4;SF3B2;DDX5;DHX8;YTHDC1;DDX23;SRSF1;SNU13;ZMAT2;U2AF2;RALY;RBM10;SF3A1;CPSF7;HNRNPM;XAB2;HNRNPK;SNW1;HNRNPF;HNRNPA2B1;RBM42;RNPS1;HNRNPC,1.8917919682266322e-12,0,0
10,"mRNA Splicing, Via Spliceosome (GO:0000398)",1.0645053085399696e-14,4.255304421658837,136.9088074871131,HNRNPU;CASC3;DDX41;EFTUD2;PNN;RBM4;SART1;SNRNP70;DHX16;RBM5;RBM6;DDX17;IK;SCAF11;SFPQ;PRPF6;DDX39B;SYF2;PRPF3;SRSF4;HNRNPH3;SRSF5;SRSF6;SNRPB;RBM22;SF3B4;SF3B2;DDX5;DHX8;DHX9;YTHDC1;DDX23;SRSF1;SNU13;ZMAT2;PUF60;U2AF2;RALY;RBM10;SRPK2;SF3A1;HNRNPM;XAB2;HNRNPK;SNW1;HNRNPF;HNRNPA2B1;RBM42;RNPS1;HNRNPC,3.772764928616909e-12,0,0
