rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Intracellular Membrane-Bounded Organelle (GO:0043231),9.20933981842591e-50,2.363899191820989,266.90558009134844,ITSN2;TES;MAML1;HNRNPU;DCAF8;RBPJ;PHB2;DCAF7;PSMD8;ALKBH5;ZFYVE27;PSMD4;AKT2;PSMD2;GPBP1;AKT1;DIP2B;PRKACA;CDK5RAP3;DDX17;STARD3;SAP30BP;DAXX;FNBP1;PRKCB;MAP1S;PRKCD;DNTTIP1;MRTFA;UNC13D;SCAMP2;EML3;RUFY1;NISCH;DDX39B;EWSR1;PSME3;PSME4;PRKD2;CGGBP1;RABL6;ATF4;SRCAP;CTBP1;FLII;MEPCE;AGAP2;BAZ2A;SNU13;IQGAP1;AKAP17A;MEFV;OAZ1;PRDX5;PPP4C;RNF216;RAD21;PLCG2;ZBTB7A;SERF2;LYN;NAA50;BTF3;CREBBP;PRDX6;EIF1;SETX;CS;HNRNPL;TADA2B;HNRNPM;HNRNPK;NPLOC4;EIF6;AGO1;HNRNPF;AGO2;HNRNPD;OGDH;HBP1;MMS19;HNRNPC;CDK12;EZH1;PSME3IP1;CDK16;PHF3;SETD2;TCF25;DENND1A;PHF23;CLTB;MED16;SMG7;LITAF;MED15;MED12;NIPBL;CSRP1;TMSB4X;RACK1;ANXA7;NELFB;AP3S2;CIC;JAK1;NELFE;UPF1;BRD2;SIRT7;DYNLL2;SIRT2;MED28;SERPINB6;AFTPH;NCOR1;PSMA1;RARA;VAMP3;SF3B4;SF3B2;WDR26;AP5Z1;KARS1;DLST;GPS2;PSMA7;ECPAS;PSMB7;GGA1;PSMB4;SNX27;NSD1;PSMB1;UBN1;AP2S1;ANO10;STAT6;BRD4;CDKN2D;SF3A1;EGLN2;MBD6;USP9X;MDH2;CSNK1A1;SEPTIN2;NR1H2;MBD2;STAT3;WWP2;TUBB4B;HIPK1;WDR13;SEPTIN7;GATAD2A;XAB2;PSMC5;PSMC4;SNX17;APEX1;SERBP1;GID8;ZYX;UBAP1;PKN1;YPEL5;ZNF335;DGKD;UBE2D2;UBE2D3;CASC3;PARK7;YY1;EDC4;RAB43;PPP1CC;MAEA;LAMP2;CFL1;ZNF207;KPNA6;PAPOLA;CHP1;MAF1;TLE4;RAB2A;IK;USP7;RPS9;MAP2K2;KHNYN;IST1;USP4;USP3;GTF3A;DYRK1A;VRK3;GTF2F1;ILF2;DGKZ;RNF40;FOXP1;PIAS1;MAPKAPK3;MAPKAPK2;ZNF316;SRSF4;ANAPC5;SQSTM1;KPNB1;CSNK1G2;SNRPB;ZNF672;KHDRBS1;RAB5B;MAX;ANKRD11;KMT2B;MACROH2A1;BAG6;SBNO2;ATXN1;STK38;TPR;UBR5;PSAP;SAFB2;ZNF787;IP6K1;SLC15A3;MAP2K7;AP1M1;AKIRIN2;AKIRIN1;CHTOP;TOR1A;TNK2;OSBPL2;ARPC4;NFKB1;DRAP1;CDK9;MOB1A;ARPC2;PLEKHM1;MDM4;ZNF655;CNOT8;NFE2L1;NFE2L2;DIDO1;CALCOCO1;CELF1;CALCOCO2;CPQ;AKAP8L;ARRB2;SART1;SIN3B;PPP6R1;SNRNP70;PPP6R2;SUMO3;PPP6R3;SUMO2;UBTF;IDH3B;ME2;TNPO3;EIF5A;ARNT;ZFP91;EDF1;RAD23B;DDOST;PTBP3;PTP4A2;TRAF7;SARS1;NPEPL1;SYF2;DNAJC5;TMBIM1;ZNF516;TMBIM6;SLC25A5;SLC25A11;SLC25A6;HDAC5;MTPN;SMARCD2;HDAC3;HDAC1;WBP2;CCDC69;SRSF1;RNF38;VPS4A;CXXC1;NLRC5;LENG8;PPM1G;FZR1;DNAJB6;VPS51;POLR2A;U2AF2;POLR2C;POLR2E;SAP18;H2AZ1;H2AZ2;PTPN18;CNBP;RAB14;PTPN6;SPG21;EIF4A1;CCNI;KDELR1;PITPNA;IKZF1;IFI30;CCAR2;UBE2L3;TIAL1;PPP2R1A;RPL36AL;RASSF5;CPNE1;FAM53C;DPF2;ARL6IP4;KAT7;CCNL2;SKP1;SMARCC1;SP110;SLC35C2;CIRBP;AP1B1;CSNK1D;ACTN4;RUNX1;INPP4A;RRAGA;MARF1;CSNK2B;BTK;CD2BP2;PREB;HECA;PFN1;AURKAIP1;ILRUN;GGNBP2;DHX8;ANP32A;DHX9;SUPT4H1;RTF2;PTTG1IP;SNX1;ZNHIT1;PCBP1;PCBP2;NEU1;INPP5K;N4BP1;RBM10;ATP6V0A1;STAT5A;CTSA;SRPK2;STAT5B;INTS1;XRCC5;IQSEC1;INTS3;ATOSB;SNW1;GOLGB1;CALM3;RNPS1;CALM1;RCOR1;TECPR1;INTS11;TOP2B;DAZAP2;UBXN1;PPP1R11;PPP1R10;CTSZ;AATF;BABAM1;MAP1LC3B;UIMC1;MLX;DHX16;TMED2;RAC1;ARIH1;CLIC1;NCOA1;GRIPAP1;SREBF1;DBNL;PRMT2;STRADA;NCOA3;TOP3A;TFE3;TYK2;MLF2;TOX4;GAK;SLTM;PITPNM1;WAC;FAM193B;HNRNPH2;HNRNPH3;ALDOA;CSTB;SP100;STX16;WAS;NEDD8;PTPA;RXRB;PPP2CA;RXRA;ATP5F1B;CUX1;HSF1;CTNNA1;GPBP1L1;SCAND1;EPS15;PAK2;RANBP3;YIPF3;ATP5PB;NFYC;GBF1;RPA2;RAB11A;PPP1CA;ITCH;STK17A;HNRNPA2B1;NBR1;TACC3;CTNNB1;TRIP12;TARDBP;OTUD5;CRTC2;MIDN;FHOD1;INPPL1;HDLBP;WASHC2C;PRDM2;UBE2Z;SRP14;ACTG1;EFTUD2;CCND3;CHCHD2;KHSRP;TRAPPC14;G6PD;ZGPAT;APLP2;ATG9A;ARID5A;TSC2;MAU2;BRMS1;PRPF6;HNRNPUL1;HNRNPUL2;PRPF3;CHMP4A;WDFY2;PPIB;ISCU;DDX6;VCP;DDX5;TMED10;PSMD13;YTHDC1;COPB1;PSEN1;STK4;ZMAT2;PACSIN2;CAMTA2;CYC1;UBE2F;CPSF7;CBX6;UBE2I;TGFB1;UBE2B;MLKL;HSPA4;PHF12;NONO;PCIF1;MSN;USB1;TBCB;CLK3;DIAPH1;ARHGAP30;EIF2S3;UBA1;MAN2B1;UBE2M;PICALM;YWHAE;KDM5A;GSK3A;KDM5C;LDB1;PRKCSH;DDX42;CHD4;ADAR;DDX41;RBM4;UBE2Q1;GUSB;RBM5;RBM6;KDM6B;USP48;AXIN1;PPP2R5C;ARAP1;SAFB;ARID1A;YWHAZ;ETV6;SFPQ;IRF3;EEF1D;ELF4;THRAP3;IRF2;MYH9;IRF5;IRF9;RBM22;OTUB1;SASH3;PDXK;ATF6B;POLDIP2;POLDIP3;MVP;BRAT1;DDX23;MAT2B;RNF4;PSMB10;ADD1;CLN3;UGP2;RMND5A;PABPN1;MCRIP1;MKNK2;FAM120A;PTK2B;MAPK1;RALY;VHL;GBP2;MTA2;MAPK3;ATF7IP;WTAP;TAF10;LIMK2;SGTA;ATP2B4;ARID3A;ARID3B;YY1AP1;USF2;USF1;CHFR;NAP1L4;KANSL1;CDK2AP2;BAX;RBM42;ACIN1;ERCC5;LPIN2;FAM50A,3.3706183735438833e-47,0,0
2,Nucleus (GO:0005634),2.6946616993141664e-41,2.2426183584986807,209.493557381361,TES;MAML1;HNRNPU;DCAF8;RBPJ;PHB2;DCAF7;PSMD8;ALKBH5;PSMD4;AKT2;PSMD2;GPBP1;AKT1;DIP2B;PRKACA;CDK5RAP3;DDX17;SAP30BP;DAXX;PRKCB;MAP1S;PRKCD;DNTTIP1;MRTFA;EML3;DDX39B;EWSR1;PSME3;PSME4;PRKD2;NUP98;CGGBP1;RABL6;ATF4;SRCAP;CTBP1;FLII;MEPCE;AGAP2;BAZ2A;SNU13;IQGAP1;AKAP17A;MEFV;OAZ1;PRDX5;PPP4C;RNF216;RAD21;ZBTB7A;SERF2;LYN;NAA50;BTF3;CREBBP;PRDX6;EIF1;SETX;CS;HNRNPL;TADA2B;HNRNPM;HNRNPK;NPLOC4;EIF6;AGO1;HNRNPF;AGO2;HNRNPD;OGDH;HBP1;MMS19;HNRNPC;CDK12;EZH1;PSME3IP1;CDK16;PHF3;SETD2;TCF25;PHF23;MED16;SMG7;LITAF;MED15;MED12;NIPBL;CSRP1;TMSB4X;RACK1;ANXA7;NELFB;CIC;JAK1;NELFE;UPF1;BRD2;SIRT7;DYNLL2;SIRT2;MED28;SERPINB6;NCOR1;PSMA1;RARA;SF3B4;SF3B2;WDR26;AP5Z1;KARS1;DLST;GPS2;PSMA7;ECPAS;PSMB7;PSMB4;NSD1;PSMB1;UBN1;STAT6;BRD4;CDKN2D;SF3A1;EGLN2;MBD6;USP9X;MDH2;CSNK1A1;SEPTIN2;NR1H2;MBD2;STAT3;WWP2;TUBB4B;HIPK1;WDR13;SEPTIN7;GATAD2A;XAB2;PSMC5;PSMC4;APEX1;SERBP1;GID8;ZYX;PKN1;YPEL5;ZNF335;DGKD;UBE2D2;UBE2D3;CASC3;PARK7;YY1;EDC4;PPP1CC;MAEA;CFL1;ZNF207;KPNA6;PAPOLA;CHP1;MAF1;TLE4;RAB2A;IK;USP7;RPS9;MAP2K2;KHNYN;USP4;USP3;GTF3A;DYRK1A;VRK3;GTF2F1;ILF2;DGKZ;RNF40;FOXP1;PIAS1;MAPKAPK3;MAPKAPK2;ZNF316;SRSF4;ANAPC5;KPNB1;CSNK1G2;SNRPB;ZNF672;KHDRBS1;MAX;ANKRD11;KMT2B;MACROH2A1;BAG6;SBNO2;ATXN1;STK38;TPR;UBR5;SAFB2;ZNF787;IP6K1;MAP2K7;AKIRIN2;AKIRIN1;CHTOP;TNK2;ARPC4;NFKB1;DRAP1;CDK9;MOB1A;ARPC2;MDM4;ZNF655;CNOT8;NFE2L1;NFE2L2;DIDO1;CALCOCO1;CELF1;CALCOCO2;AKAP8L;ARRB2;SART1;SIN3B;PPP6R1;SNRNP70;PPP6R2;SUMO3;PPP6R3;SUMO2;UBTF;IDH3B;EIF5A;ARNT;ZFP91;EDF1;RAD23B;PTBP3;PTP4A2;SARS1;NPEPL1;SYF2;ZNF516;TMBIM6;SLC25A5;SLC25A11;SLC25A6;HDAC5;MTPN;SMARCD2;HDAC3;HDAC1;WBP2;CCDC69;SRSF1;RNF38;VPS4A;CXXC1;NLRC5;LENG8;PPM1G;FZR1;DNAJB6;POLR2A;U2AF2;POLR2C;POLR2E;SAP18;H2AZ1;H2AZ2;PTPN18;CNBP;PTPN6;EIF4A1;CCNI;PITPNA;IKZF1;CCAR2;UBE2L3;TIAL1;PPP2R1A;RPL36AL;RASSF5;CPNE1;FAM53C;DPF2;ARL6IP4;KAT7;CCNL2;SKP1;SMARCC1;SP110;CIRBP;CSNK1D;ACTN4;RUNX1;INPP4A;RRAGA;CSNK2B;BTK;CD2BP2;PREB;HECA;PFN1;AURKAIP1;ILRUN;GGNBP2;DHX8;ANP32A;DHX9;SUPT4H1;RTF2;PTTG1IP;ZNHIT1;PCBP1;PCBP2;SYMPK;INPP5K;N4BP1;RBM10;STAT5A;SRPK2;STAT5B;INTS1;XRCC5;INTS3;ATOSB;SNW1;CALM3;RNPS1;CALM1;RCOR1;INTS11;TOP2B;DAZAP2;UBXN1;PPP1R11;PPP1R10;AATF;BABAM1;UIMC1;MLX;DHX16;RAC1;ARIH1;CLIC1;NCOA1;SREBF1;PRMT2;STRADA;NCOA3;TOP3A;TFE3;TYK2;MLF2;TOX4;SLTM;WAC;FAM193B;HNRNPH2;HNRNPH3;ALDOA;CSTB;SP100;WAS;NEDD8;PTPA;RXRB;PPP2CA;RXRA;ATP5F1B;CUX1;HSF1;GPBP1L1;SCAND1;PAK2;RANBP3;ATP5PB;NFYC;RPA2;PPP1CA;STK17A;HNRNPA2B1;CTNNB1;TRIP12;TARDBP;OTUD5;CRTC2;MIDN;NARF;FHOD1;INPPL1;HDLBP;PRDM2;UBE2Z;SRP14;ACTG1;EFTUD2;CCND3;CHCHD2;KHSRP;ZGPAT;APLP2;ARID5A;TSC2;MAU2;BRMS1;PRPF6;HNRNPUL1;HNRNPUL2;PRPF3;CHMP4A;PPIB;ISCU;DDX6;VCP;DDX5;PSMD13;YTHDC1;PSEN1;STK4;ZMAT2;CAMTA2;CYC1;UBE2F;CPSF7;CBX6;UBE2I;TGFB1;UBE2B;MLKL;HSPA4;PHF12;NONO;PCIF1;MSN;USB1;TBCB;CLK3;DIAPH1;EIF2S3;UBA1;UBE2M;PICALM;YWHAE;KDM5A;GSK3A;KDM5C;LDB1;DDX42;CHD4;ADAR;DDX41;RBM4;UBE2Q1;RBM5;RBM6;KDM6B;USP48;AXIN1;PPP2R5C;SAFB;ARID1A;YWHAZ;ETV6;SFPQ;IRF3;EEF1D;ELF4;THRAP3;IRF2;MYH9;IRF5;IRF9;RBM22;OTUB1;SASH3;PDXK;ATF6B;POLDIP2;POLDIP3;MVP;BRAT1;DDX23;MAT2B;RNF4;PSMB10;ADD1;CLN3;UGP2;RMND5A;PABPN1;MCRIP1;MKNK2;FAM120A;PTK2B;MAPK1;RALY;VHL;GBP2;MTA2;MAPK3;ATF7IP;WTAP;TAF10;LIMK2;SGTA;ARID3A;ARID3B;YY1AP1;USF2;USF1;CHFR;NAP1L4;KANSL1;CDK2AP2;BAX;RBM42;ACIN1;ERCC5;LPIN2;FAM50A,4.9312309097449243e-39,0,0
3,Bounding Membrane Of Organelle (GO:0098588),2.6900487598294644e-22,2.8595450003377443,142.02591578609866,KDELR1;ZDHHC5;ZDHHC7;ZDHHC3;GALNT10;RAB43;LAMP1;TOM1;CHP1;VPS35;B2M;AP2M1;VPS39;RAB2A;GABARAPL2;ENTPD4;APLP2;ATG9A;AP1B1;HLA-B;CSNK1D;HLA-A;HLA-F;MAPK8IP3;HLA-E;TPST2;STIM1;RAB35;ULK1;ATP6V0D1;VPS28;NAA60;COPB2;RAB5B;COPA;TMED10;TSG101;COPB1;IQGAP1;GLG1;CORO1C;APH1A;SNX1;NCSTN;RAP1A;CHST11;CHST15;NCKAP1L;RAB6A;SLC15A3;ST3GAL1;VPS16;AP1M1;ATP6V0A1;LYN;RAB4B;GPR108;SURF4;EHD1;DIAPH1;GOLGB1;C6ORF89;PLEKHM2;TAB2;UBA1;PI4KB;COPE;ARF3;ARF1;B4GALT1;CTSZ;ARHGAP1;ATP2A3;AP2A1;TCIRG1;AP2A2;ADGRE5;CHMP1B;ITGAX;TMED2;RAC1;SREBF1;ATP6V0B;TMED9;ATP6AP1;CHPF2;ATP6AP2;RHOG;VPS37B;ARFGAP3;COPZ1;TMEM175;RHOA;TAPBP;SERPINB6;DNM2;RER1;TMBIM1;EXOC3;SEC22B;ATP6V0C;CD44;RAB7A;RAB1A;MARCHF2;STX16;UNC93B1;RAB1B;VPS4A;GNAI3;FURIN;AGPAT3;CDC42;GGA1;CLN3;GGA3;LMAN2;AP2S1;STX5;MGAT1;RFFL;GBP2;YKT6;CAMK2G;CYTH1;ARFGEF1;SEPTIN2;GBF1;AP3D1;AP2B1;ARCN1;STING1;VAPA;SNX17;MGAT4B;UBAP1;COPG1,3.281859486991947e-20,0,0
4,Ficolin-1-Rich Granule (GO:0101002),4.896957090558625e-21,5.873928400071681,274.6982144459241,CTSZ;ITGB2;TCIRG1;APEH;SRP14;AP2A2;PSMD6;LAMP1;PSMD2;LAMP2;COTL1;TBC1D10C;ITGAX;TIMP2;CAPN1;RAC1;GUSB;PGM1;KCMF1;DBNL;PGAM1;ATP6AP2;ILF2;RHOA;SERPINB6;ACLY;BIN2;CSNK2B;ADAM8;ALDOA;ATP6V0C;ARL8A;KPNB1;VCL;PAFAH1B2;CSTB;VCP;PSMD13;COPB1;MVP;UBR4;GNS;PSMB7;PSMB1;MAPK1;NCKAP1L;CCT8;ATP6V0A1;GSDMD;PDAP1;NBEAL2;LILRB2;DIAPH1;PFKL;YPEL5,4.480715737861142e-19,0,0
5,Secretory Granule Membrane (GO:0030667),1.1118318763580704e-17,4.109560723514212,160.42877503382044,B4GALT1;SLC44A2;ITGB2;TCIRG1;AP2A2;STK10;LAMP1;ADGRE5;LAMP2;CPNE1;TBC1D10C;TOM1;ITGAX;ANXA7;TMED2;RAC1;CD53;HGSNAT;MANBA;DGAT1;APLP2;ATP6AP2;HLA-B;RHOG;CYBA;KCNAB2;RHOA;DDOST;SERPINB6;DNAJC5;TMBIM1;EXOC3;VAMP1;ADAM8;ATP6V0C;CD44;ARL8A;RAB7A;RAB5B;RAB5C;TMED10;BRI3;COPB1;UBR4;IQGAP1;PSEN1;CYB5R1;NCSTN;RAP1A;PSAP;NCKAP1L;RAB6A;ATP6V0A1;AP1M1;RAB4B;SURF4;NBEAL2;LILRB2;DIAPH1;TSPAN14;STING1;RAB14;VAPA;DEGS1,8.138609334941076e-16,0,0
6,Endosome Membrane (GO:0010008),2.5542043353480767e-17,3.5725039139304298,136.4918198300939,CLTC;ARHGAP1;CLTA;WASHC2C;AP2A1;TCIRG1;AP2A2;LAPTM4A;ZFYVE27;LAMP1;CHMP1B;LAMP2;TOM1;VPS35;RAC1;B2M;VPS39;AP2M1;RAB8B;STARD3;ATP6V0B;ATP6AP1;APLP2;ATG9A;ATP6AP2;HLA-B;HLA-A;VPS37B;HLA-F;TMEM175;HLA-E;SCAMP2;RUFY1;RNF167;RAB35;TMBIM1;ATP6V0D1;ATP6V0C;VPS28;RAB7A;VAMP3;PXK;RAB5B;RAB5C;TSG101;VPS4A;CORO1C;APH1A;GGA1;CLN3;NCSTN;SNX1;GGA3;RAP1A;AP2S1;PACSIN2;SLC15A3;RFFL;RAB11FIP4;ATP6V0A1;VPS16;AP3D1;AP2B1;SNX20;RAB11A;RAB11B;EHD1;RAB14;SNX17;UBAP1;PLEKHM2;TAB2;UBA1;LAMTOR5,1.5580646445623268e-15,0,0
7,Lysosomal Membrane (GO:0005765),5.20515588775036e-16,3.444287322078782,121.21036692129387,B4GALT1;SLC44A2;CLTC;CLTA;GBA1;AP2A1;TCIRG1;AP2A2;LITAF;LAPTM4A;LAMP1;CHMP1B;CHMP1A;LAMP2;CPNE1;PGAP6;TOM1;VPS35;ATP6V1E1;SPG11;VPS39;AP2M1;RAB2A;STARD3;HGSNAT;ATP6V0B;MANBA;SZT2;ATP6AP2;AP1B1;HLA-F;TMEM175;DDOST;RNF167;RRAGA;DNAJC5;TMBIM1;KXD1;VAMP1;CHMP4A;ATP6V0D1;ATP6V0C;ARL8A;RAB7A;RAB5C;BRI3;GNAI3;PSEN1;CLN3;NCSTN;PSAP;AP2S1;SLC15A3;ATP6V0A1;VPS16;AP1M1;CTSA;LYN;SURF4;AP3D1;LAPTM5;AP2B1;RAB14;VAPA;GNB2;GNB1;CHMP2A;PLEKHM2;UBA1;TECPR1;LAMTOR5,2.721552935595188e-14,0,0
8,Cell-Substrate Junction (GO:0030055),1.258494086639868e-15,3.2439912944738833,111.29764497368184,YWHAE;ARF1;TES;YWHAB;CLTC;ITGB2;GDI2;ACTG1;PPP1CC;CSRP1;ADGRE5;YWHAQ;CFL1;RAC2;CHP1;RAC1;CAPN1;B2M;YWHAG;JAK1;RPS9;MAP2K2;PDCD6IP;ACTN1;ANXA5;RHOG;IL16;ACTN4;YWHAZ;RHOA;DNM2;IRF2;MYH9;ITGA5;LCP1;ARHGEF2;PFN1;TLN1;MAPRE1;PPIB;ATP6V0C;CD44;VCL;STX16;PXN;IQGAP1;LPP;ADD1;CORO1C;SLC9A1;CDC42;NCSTN;PCBP2;CTNNA1;PACSIN2;MAPK1;PTK2B;RSU1;CLASP1;PDLIM7;MAP4K4;MAPK3;VASP;MSN;HNRNPK;ARPC2;PARVG;PTPRA;GNB2;ZYX;CTNNB1;P4HB;VIM;FERMT3;LIMS1,5.388388414391189e-14,0,0
9,Focal Adhesion (GO:0005925),1.3250135445224236e-15,3.2710966538258908,112.05911510032134,YWHAE;ARF1;TES;YWHAB;CLTC;ITGB2;GDI2;ACTG1;PPP1CC;CSRP1;ADGRE5;YWHAQ;CFL1;RAC2;CHP1;RAC1;CAPN1;B2M;YWHAG;JAK1;RPS9;MAP2K2;PDCD6IP;ACTN1;ANXA5;RHOG;IL16;ACTN4;YWHAZ;RHOA;DNM2;IRF2;MYH9;ITGA5;LCP1;ARHGEF2;PFN1;TLN1;MAPRE1;PPIB;ATP6V0C;CD44;VCL;STX16;PXN;IQGAP1;LPP;ADD1;CORO1C;SLC9A1;CDC42;NCSTN;PCBP2;CTNNA1;PACSIN2;MAPK1;PTK2B;RSU1;CLASP1;PDLIM7;MAP4K4;MAPK3;VASP;MSN;HNRNPK;ARPC2;PARVG;PTPRA;GNB2;ZYX;CTNNB1;P4HB;VIM;LIMS1,5.388388414391189e-14,0,0
10,Azurophil Granule (GO:0042582),1.0190142224061532e-14,5.075894432752513,163.53189588010343,PYGB;VCP;RAB5C;B4GALT1;BRI3;HEXB;GDI2;PSEN1;GNS;NCSTN;CYB5R3;LAMP1;LAMP2;PSAP;CPNE1;TOM1;MAPK1;CCT8;GUSB;CTSA;ARSA;MANBA;TRAPPC1;IST1;PRKCD;SURF4;ANXA11;TUBB4B;PRDX6;UNC13D;DDOST;ARHGAP45;ACLY;VAPA;NPC2;TOLLIP;DNAJC5;VAMP1;MAN2B1;ATP6V0C;ARL8A;FTL,3.729592054006521e-13,0,0
