rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),6.629545747756952e-35,2.8746193216688476,226.22949917498187,EIF4A1;TES;HNRNPU;CCAR2;UBE2L3;CRKL;LSM10;TIAL1;PNN;ALKBH5;PSMD4;RAVER1;RPL36AL;PSMD2;ARL6IP4;DDX17;SCAF11;ACTN1;CIRBP;RC3H1;ACTN4;HLA-A;DDX39B;EWSR1;NUP98;PFN1;EIF1B;DHX8;ANP32A;DHX9;MEPCE;BAZ2A;SNU13;RTF1;AKAP17A;PCBP1;PCBP2;N4BP1;RBM10;BTF3;SRPK2;PRPF38B;XRCC5;MRPL28;MYO5A;EIF1;PRRC2A;PUM2;SETX;CS;HNRNPL;HNRNPM;SNW1;HNRNPK;EIF6;AGO1;HNRNPF;GOLGB1;AGO2;HNRNPD;RNPS1;HNRNPC;ARF1;PPP1R10;CLTC;GDI2;AATF;SMG7;CSRP1;PCF11;FASTK;TMSB4X;RACK1;DHX16;ANXA7;NELFE;UPF1;HADHB;PSMA1;SLTM;CSDE1;ARHGEF1;HNRNPH2;HNRNPH3;ALDOA;MAPRE1;SF3B4;CSTB;SF3B2;STAU1;KARS1;ATP5F1A;CTNNA1;SF3A1;MDH2;STAT3;RSRC2;TUBB4B;ARCN1;RSL1D1;ZNFX1;APEX1;SERBP1;HNRNPA2B1;ZYX;FAU;TARDBP;HDLBP;CASC3;PARK7;APEH;SRP14;BZW1;YY1;EFTUD2;PPP1CC;KHSRP;ZNF207;FBRSL1;SLC16A3;CAST;RPS9;KHNYN;ANXA11;LARP4B;GTF2F1;ILF2;TUFM;PRPF6;HNRNPUL1;HNRNPUL2;PRPF3;SRSF4;SRSF5;SRSF6;CARS1;PPIB;KPNB1;SNRPB;DAP3;KHDRBS1;DDX6;VCP;DDX5;PEF1;YTHDC1;TPR;SAFB2;MARK2;CHTOP;CPSF7;UBE2I;NONO;MSN;ANKHD1;CLK3;DIAPH1;EIF2S3;CNOT1;CAPRIN1;SRPRA;UBA1;LSM14A;NOP10;EIF4G2;YWHAE;DIDO1;CELF1;AKAP8L;DDX42;ADAR;DDX41;SART1;RBM4;SNRNP70;SUMO2;MYO18A;UBTF;LRRFIP1;YWHAG;RBM5;RBM33;RBM6;EIF5A;EDF1;SAFB;YWHAZ;PTBP3;SFPQ;SARS1;SYF2;THRAP3;MYH9;SLC25A5;SLC25A11;RBM22;POLDIP3;SRSF1;DDX23;ADD1;REPIN1;PABPN1;POLR2A;PUF60;U2AF2;FAM120A;EIF4H;SAP18;RALY;PTPN1;RBM39;CNBP;IMMT;PDAP1;TPD52L2;NAP1L4;TNIP1;EIF3L;EIF3I;EIF3H;RBM42;ACIN1;P4HB;VIM;EIF3D;EIF3B;FAM50A;TNRC6B,4.6672002064208946e-32,0,0
2,Cadherin Binding (GO:0045296),4.173854367227024e-18,3.8914330019928887,155.7261663640633,YWHAE;TES;YWHAB;ARHGAP1;HDLBP;PARK7;F11R;BZW1;CRKL;CAPZB;RACK1;LRRFIP1;CLIC1;SH3GL1;CAST;UNC45A;LYPLA2;DBNL;IST1;TMOD3;CSNK1D;EPS15L1;GAPVD1;YWHAZ;EEF1D;EXOC3;MYH9;CHMP4A;PFN1;TLN1;ALDOA;MAPRE1;VCL;DDX6;RAB1A;ASAP1;IQGAP1;PSEN1;ADD1;SNX1;PUF60;PCBP1;STK38;CTNNA1;PACSIN2;EIF4H;STX5;CCT8;EPS15;PAK2;YKT6;WASF2;MARK2;VASP;PTPN1;SEPTIN2;PRDX6;SEPTIN7;PPP1CA;RAB11B;EHD1;RSL1D1;HNRNPK;EIF2S3;VAPA;ABI1;SERBP1;CTNNB1;EIF4G2;PICALM,1.4691967372639126e-15,0,0
3,Protein Kinase Binding (GO:0019901),1.3035430405646023e-13,2.7254598160735704,80.86035970516821,DAZAP2;GSK3A;MAML1;PRKCSH;CLTC;ITGB2;AP2A1;WDR45;LYST;AP2A2;IKBKB;PPP1CC;CCND3;QARS1;RACK1;RAC1;PRKACA;SPG11;CDK5RAP3;YWHAG;IFNAR2;MAP2K3;DAXX;FBXW5;PRKCB;PGAM1;PRKCD;AP1B1;RHOG;AXIN1;ATG13;MAPK8IP3;YWHAZ;TUBA4A;DUSP22;FGR;MAPKAPK3;MAPKAPK2;RARA;JTB;PRKD2;IRF5;MAPRE1;CACUL1;SQSTM1;ATF4;KHDRBS1;HDAC5;DCTN2;DCTN1;MVP;AGAP2;WAS;IQGAP1;MACROH2A1;PRAM1;CDC42;STK38;TPR;HSF1;PLCG2;CSK;MAP2K7;RFFL;PAK2;CDKN2D;NEK9;PTPN1;STAT3;MSN;NBEAL2;USF1;CYLD;MAVS;STING1;TNIP1;TAOK2;NBR1;PTPN6;CALM3;PKN1;TRIM38;CALM1;LIMS1,2.7216580613863025e-11,0,0
4,Kinase Binding (GO:0019900),1.9102443145081148e-13,2.823006459096362,82.67562596266734,MIDN;DGKD;MAML1;CLTC;ITGB2;AP2A1;PARK7;WDR45;LYST;AP2A2;IKBKB;PPP1CC;CCND3;QARS1;WWC3;CHP1;RAC1;PRKACA;SPG11;CDK5RAP3;IFNAR2;MAP2K3;PARP6;DAXX;FBXW5;STRADA;PGAM1;PRKCD;AP1B1;RHOG;AXIN1;ATG13;YWHAZ;TUBA4A;PARP8;FGR;CDC37;JTB;IRF5;MAPRE1;CACUL1;SQSTM1;ATF4;SP100;DCTN2;DCTN1;MVP;AGAP2;WAS;IQGAP1;MACROH2A1;PRAM1;CDC42;POLR2A;HSF1;PLCG2;UBQLN1;MAP2K7;RFFL;PAK2;CDKN2D;NEK9;PTPN1;STAT3;MSN;NBEAL2;USF1;CYLD;PFKL;MAVS;STING1;TOLLIP;CTNNB1;PTPN6;CALM3;TRIM38;CALM1;LIMS1,2.7216580613863025e-11,0,0
5,Ubiquitin-Like Protein Ligase Binding (GO:0044389),1.9329957822345896e-13,3.447783407424663,100.93225669048826,YWHAE;DAZAP2;UBXN1;UBE2D2;UBE2D3;AUP1;CASC3;ARRB2;UBE2L3;ACTG1;MAP1LC3B;CASP10;SUMO3;SUMO2;ELOB;ARIH1;PRKACA;CDK5RAP3;JAK1;GABARAPL2;DAXX;ARRDC1;AXIN1;YWHAZ;RNF40;RRAGA;HGS;UQCRC1;NDUFS2;TMBIM6;SLC25A5;ATP6V0C;SQSTM1;VCL;OTUB1;RNF31;VCP;TSG101;NEDD8;GABARAP;BAG6;POLR2A;PCBP2;MFN2;TNFRSF14;RFFL;CHKB;UBE2B;XRCC5;TNK2;LAPTM5;RPA2;UBE2A;PRDX6;ITCH;NPLOC4;CTNNB1;NFE2L2,2.7216580613863025e-11,0,0
6,Ubiquitin Protein Ligase Binding (GO:0031625),1.7731727393220072e-12,3.4095132788945586,92.255464948964,YWHAE;DAZAP2;UBXN1;UBE2D2;UBE2D3;AUP1;CASC3;ARRB2;UBE2L3;ACTG1;MAP1LC3B;CASP10;SUMO2;ELOB;ARIH1;PRKACA;JAK1;GABARAPL2;DAXX;ARRDC1;AXIN1;YWHAZ;RNF40;RRAGA;UQCRC1;NDUFS2;TMBIM6;SLC25A5;ATP6V0C;SQSTM1;VCL;OTUB1;RNF31;VCP;TSG101;NEDD8;GABARAP;BAG6;POLR2A;PCBP2;MFN2;TNFRSF14;RFFL;CHKB;UBE2B;XRCC5;TNK2;LAPTM5;RPA2;UBE2A;PRDX6;NPLOC4;CTNNB1;NFE2L2,2.0805226808044883e-10,0,0
7,mRNA Binding (GO:0003729),9.401460468298207e-11,3.0908643892339542,71.36055096597626,EIF4A1;CELF1;HDLBP;HNRNPU;PARK7;TIAL1;RBM4;PCF11;SNRNP70;KHSRP;RBM5;NELFE;DDX17;KHNYN;CIRBP;RC3H1;LARP4B;RNF40;PTBP3;NUP98;DDX6;KHDRBS1;DDX5;DHX9;YTHDC1;POLDIP3;SRSF1;PCBP1;PCBP2;TPR;N4BP1;CCT5;CHTOP;CPSF7;CNBP;PUM2;HNRNPL;HNRNPM;RSL1D1;HNRNPK;EIF6;CAPRIN1;AGO2;HNRNPA2B1;SERBP1;RBM42;RNPS1;HNRNPC;TARDBP;LSM14A;EIF3D;EIF4G2,9.455183099545624e-09,0,0
8,GTPase Regulator Activity (GO:0030695),2.3645505943849325e-10,2.5767547048917385,57.11444559046497,ARHGAP9;ARF4;GDI1;DENND1A;DOCK8;ARHGAP1;ARHGAP4;PREX1;AKAP13;TBC1D10C;DENND5A;TBC1D22A;TBC1D10B;UNC45A;RALBP1;TSC2;ARHGEF18;ARAP1;GAPVD1;GMIP;ARFGAP3;VAV1;ARFGAP2;ARHGAP45;RNF167;TBC1D1;EEF1D;ELMO1;TBC1D25;PREB;RIN3;ARHGEF1;ARHGEF2;DOCK2;ARHGEF6;CDC42SE1;TBC1D9B;AGAP2;WAS;GPS2;DENND3;ASAP1;IQGAP1;ARHGAP15;RASGRP2;RIC8A;FGD3;RAP1A;NCKAP1L;TBC1D17;CYTH1;RAP1GAP2;ARFGEF1;RANBP3;DENND4B;TNK2;GBF1;MYO9B;ARHGAP26;ARHGAP25;SH3BP5L;ARHGAP30;SGSM3;NUCB1;RGL2;SIPA1;LAMTOR5,2.0808045230587407e-08,0,0
9,Protein Serine/Threonine Kinase Activity (GO:0004674),6.888695199811161e-10,2.7362210604929054,57.72323532266933,GSK3A;MAST3;ARAF;IKBKB;STK10;AKT2;FASTK;AKT1;PRKACA;BRD2;MAP2K2;PRKCB;PRKCD;MINK1;DYRK1A;CSNK1D;VRK3;NRBP1;MAPKAPK3;CSNK2B;MAPKAPK2;SIK3;PRKD2;ULK1;SQSTM1;CSNK1G2;STK4;PAK1;GRK2;GRK6;STK38;MKNK2;MAPK1;PTK2B;PAK2;MARK3;CAMK2G;MARK2;BRD4;MAP4K4;MAPK3;SRPK2;NEK9;MLKL;CSNK1A1;LIMK2;HIPK1;CLK3;CDK9;BCKDK;TAOK3;STK17A;TAOK2;RPS6KB2;CDK12;PKN1;CDK16,5.388490467407842e-08,0,0
10,Nuclear Receptor Binding (GO:0016922),8.639580544359326e-10,4.567989656521665,95.33164595960983,DDX5;WBP2;BAZ2A;PARK7;MED16;PHB2;MED12;RXRA;NSD1;ZBTB7A;NCOA1;STAT5B;DAXX;PRMT2;PRKCB;NCOA3;TAF10;ARID5A;ARID1A;FOXP1;SNW1;NCOR1;CNOT1;THRAP3;CTNNB1;MMS19;TACC1;TRIP12;PKN1,6.082264703228966e-08,0,0
