rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Endocytosis,1.4303459927121882e-26,5.679596481671502,337.9887884717239,ARF3;ARF4;ARF1;WIPF1;SH3KBP1;WIPF2;CLTC;CLTB;CLTA;WASHC2C;AP2A1;ARRB2;AP2A2;ZFYVE27;CAPZB;CHMP1B;PSD4;CHMP1A;VPS35;AP2M1;SH3GL1;PDCD6IP;IST1;HLA-B;HLA-A;EPS15L1;ARAP1;VPS37B;HLA-F;ARFGAP3;RHOA;ARFGAP1;EPN1;HLA-E;ARFGAP2;DNM2;RUFY1;ACAP1;HGS;RAB35;CHMP4B;CHMP4A;VPS28;ARF5;RAB7A;RAB5B;RAB5C;TSG101;VPS4A;AGAP2;ASAP1;VPS26B;IL2RG;CDC42;SNX1;GRK2;GRK6;AP2S1;EPS15;RAB11FIP4;CYTH1;ARFGEF1;IQSEC1;GBF1;ARPC4;AP2B1;RAB11A;RAB11B;EHD1;ITCH;ARPC2;CHMP2A;SPG21,4.162306838792468e-24,0,0
2,Shigellosis,9.988308326366669e-17,4.246286931908533,156.44395936440432,ARF1;GSK3A;CALCOCO2;UBE2D2;UBE2D3;CRKL;ACTG1;IKBKB;CAPNS1;AKT2;AKT1;RAC1;CAPN1;SKP1;H3-3B;CAST;GABARAPL2;FNBP1;ACTN1;PRKCD;ACTN4;WIPI2;RHOA;RRAGA;IRF3;ELMO1;ELMO2;RBCK1;ARHGEF2;ITGA5;PFN1;TLN1;PLCB2;SQSTM1;CD44;VCL;RNF31;PXN;GABARAP;MYL12B;CDC42;PLCG2;MAPK1;WASF2;CYTH1;MAPK3;SEPTIN2;ARPC4;SEPTIN7;NFKB1;DIAPH1;STING1;ARPC2;TNIP1;RPS6KB2;BAX;TAB2;TECPR1,1.4532988614863503e-14,0,0
3,Salmonella infection,7.565867784499005e-16,4.082197535474235,142.1327880647525,CYFIP2;ARF1;FHOD1;BRK1;ACTG1;TXN2;IKBKB;ACTR1A;AKT2;AKT1;RAC1;VPS39;SKP1;MAP2K3;MAP2K2;EXOC7;RHOG;DYNLL2;RHOA;TUBA4A;DNM2;ELMO1;ELMO2;PFN1;ARL8A;RAB7A;RAB5B;RAB5C;DCTN2;DCTN1;KLC1;MYL12B;STX10;CDC42;PAK1;MAPK1;NCKAP1L;MAP2K7;CYTH1;S100A10;VPS16;MAPK3;GSDMD;MLKL;M6PR;ARPC4;TUBB4B;NFKB1;ARPC2;ABI1;PLEKHM1;CTNNB1;PLEKHM2;BAX;TAB2;PKN1;DYNLRB1,7.338891750964035e-14,0,0
4,Huntington disease,2.1567689763583604e-13,3.3514677961150867,97.74554135346627,NDUFA13;NDUFA11;COX4I1;CLTC;NDUFA10;CLTB;CLTA;AP2A1;AP2A2;PSMD8;PSMD6;ACTR1A;PSMD4;PSMD2;AP2M1;COX8A;WIPI2;ATG13;SDHB;TUBA4A;COX6B1;PSMA1;UQCRC1;NDUFS2;ULK1;UQCRC2;SLC25A5;PLCB2;SLC25A6;DCTN2;NDUFB11;PSMD13;DCTN1;HDAC1;ATP5MC2;ATP5MC3;COX5B;KLC1;PSMA7;PSMB7;ATP5F1A;PSMB4;ATP5F1B;POLR2A;POLR2C;PSMB1;AP2S1;POLR2E;CYC1;MAP2K7;CREBBP;ATP5PB;ADRM1;AP2B1;TUBB4B;PSMC5;PSMC4;SP1;BAX;RCOR1,1.3853023769511e-11,0,0
5,Lysosome,2.380244633936598e-13,5.326342710997443,154.817623429873,HEXB;CLTC;CTSZ;CLTB;CLTA;TCIRG1;GNS;LITAF;CLN3;GGA1;LAPTM4A;GGA3;LAMP1;LAMP2;NEU1;PSAP;IDS;AP3S2;GUSB;AP1M1;ATP6V0A1;CTSA;ARSA;HGSNAT;ATP6V0B;MANBA;ATP6AP1;ENTPD4;AP1B1;M6PR;AP3D1;LAPTM5;NPC2;MAN2B1;ATP6V0D1;ATP6V0C,1.3853023769511e-11,0,0
6,Pathways of neurodegeneration,3.802939729778857e-13,2.7580896282490817,78.87538335570075,NDUFA13;NDUFA11;COX4I1;NDUFA10;ARAF;ATP2A3;PARK7;UBE2L3;PSMD8;PSMD6;ACTR1A;PSMD4;PSMD2;RAC1;CAPN1;SPG11;MAP2K3;COX8A;GABARAPL2;DAXX;MAP2K2;PRKCB;AXIN1;WIPI2;ATG13;SDHB;TUBA4A;COX6B1;PSMA1;CSNK2B;UQCRC1;NDUFS2;ULK1;UQCRC2;SLC25A5;PLCB2;SQSTM1;ATF4;SLC25A6;RAB1A;VCP;DCTN2;NDUFB11;PSMD13;DCTN1;ATP5MC2;ATP5MC3;PSEN1;KLC1;COX5B;GABARAP;PSMA7;PSMB7;PPP3R1;PSMB4;ATP5F1A;ATXN1;ATP5F1B;PSMB1;MFN2;DVL3;MAPK1;CYC1;MAP2K7;CAMK2G;MAPK3;CSNK1A1;ATP5PB;ADRM1;TUBB4B;NFKB1;PSMC5;PSMC4;CTNNB1;BAX;CALM3;UBA1;CALM1;TARDBP,1.8444257689427458e-11,0,0
7,Parkinson disease,6.821703840284686e-13,3.6151045443558134,101.27172008500298,NDUFA13;NDUFA11;COX4I1;NDUFA10;PARK7;UBE2L3;TXN2;PSMD8;PSMD6;PSMD4;PSMD2;PRKACA;COX8A;DAXX;SDHB;TUBA4A;COX6B1;PSMA1;UQCRC1;NDUFS2;UQCRC2;SLC25A5;ATF4;SLC25A6;NDUFB11;PSMD13;GNAI3;ATP5MC2;ATP5MC3;COX5B;KLC1;PSMA7;GNAI2;PSMB7;ATP5F1A;PSMB4;ATP5F1B;PSMB1;MFN2;CYC1;CAMK2G;ATP5PB;ADRM1;TUBB4B;PSMC5;PSMC4;GNAS;BAX;CALM3;UBA1;CALM1;NFE2L2,2.835879739318348e-11,0,0
8,Viral carcinogenesis,2.7870326635172213e-12,3.888680677229244,103.46240782971239,YWHAE;HDAC5;SP100;HDAC3;ATF6B;YWHAB;HDAC1;PXN;UBR4;CHD4;RBPJ;HDAC7;CDC42;CCND3;YWHAQ;MAPK1;RAC1;PRKACA;YWHAG;JAK1;MAPK3;LYN;STAT5A;STAT5B;CREBBP;USP7;ACTN1;STAT3;HLA-B;ACTN4;HLA-A;HLA-F;YWHAZ;RHOA;NFKB1;HLA-E;RBL2;HNRNPK;SNW1;IRF3;MAPKAPK2;BAX;ATP6V0D1;IRF9;ATF4,1.0137831313543893e-10,0,0
9,Amyotrophic lateral sclerosis,1.6858238423185932e-11,2.8738638147909072,71.28958783115785,NDUFA13;NDUFA11;COX4I1;NDUFA10;ACTG1;PSMD8;PSMD6;ACTR1A;PSMD4;PSMD2;ANXA7;RAC1;SPG11;COX8A;MAP2K3;GABARAPL2;DAXX;ANXA11;WIPI2;ATG13;SDHB;TUBA4A;COX6B1;PSMA1;NUP50;UQCRC1;NDUFS2;ULK1;NUP98;UQCRC2;PFN1;SQSTM1;ATF4;RAB1A;VCP;DCTN2;NDUFB11;PSMD13;DCTN1;ATP5MC2;ATP5MC3;COX5B;KLC1;GABARAP;PSMA7;PSMB7;PPP3R1;ATP5F1A;PSMB4;ATP5F1B;PSMB1;TPR;UBQLN1;CYC1;ATP5PB;ADRM1;TUBB4B;SETX;PSMC5;PSMC4;HNRNPA2B1;BAX;TARDBP,5.450830423496785e-10,0,0
10,Chemokine signaling pathway,2.334121538213595e-11,3.816189069423929,93.42336296400477,GSK3A;SHC1;PXN;GNAI3;WAS;ARRB2;RASGRP2;CRKL;PIK3R5;GNAI2;IKBKB;CDC42;PREX1;PAK1;GRK2;RAP1A;GNG2;GNG5;AKT2;GRK6;PLCG2;RAC2;AKT1;MAPK1;PTK2B;RAC1;PRKACA;MAPK3;LYN;STAT5B;PRKCB;PRKCD;STAT3;NFKB1;RHOA;VAV1;FGR;GNB2;GNB1;ELMO1;DOCK2;PLCB2,6.792293676201562e-10,0,0
