rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),9.2006709999457e-27,5.288094494280061,317.02402052993,GSK3A;UBXN1;PPP1R11;UBE2D2;ZFAND2B;UBE2D3;KEAP1;UBE3B;ARRB2;UBE2L3;PSMD8;PSMD9;PSMD7;RNF114;KAT5;PSMD2;PSMD3;UFD1;SKP1;UBL7;FBXW5;ARRDC1;AXIN1;VPS37C;UBE4B;ARMC8;TRPC4AP;RAD23B;SIRT2;RNF40;RNF167;PSMA1;UBE2R2;KCTD13;PLAA;CHMP4A;RBCK1;VPS28;RNF166;VCP;PSMD11;PSMD13;VPS4A;NEDD8;RNF7;RNF4;PSMA7;PSMB6;PSMB7;PSMB4;OS9;HECTD3;PCBP2;PSMB1;ZSWIM8;DCAF11;RFFL;UBE2I;CSNK1A1;USP9X;UBE2G1;WWP2;UBE2A;CHFR;CNOT4;ITCH;NPLOC4;PSMC4;TOLLIP;GID8;UBAP1;TRIP12;UBA1;STUB1;RNF185;UBE2K,2.905571901782852e-23,0,0
2,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),1.5912845515303712e-20,4.8205304771307445,219.75429547521858,GSK3A;UBXN1;ZFAND2B;UBE2D3;ARRB2;PSMD8;PSMD7;KAT5;CDC26;PSMD2;PSMD3;UFD1;SKP1;FBXW5;AXIN1;UBE4B;ARMC8;TRPC4AP;RAD23B;SIRT2;PSMA1;KCTD13;PLAA;ANAPC5;RBCK1;VCP;PSMD11;ANAPC16;DMAC2;PSMD13;DERL2;UBR2;RNF4;PSMA7;USP19;ECPAS;PSMB6;PSMB7;PSMB4;OS9;HECTD3;PCBP2;PSMB1;ZSWIM8;UBQLN1;DCAF11;RFFL;CSNK1A1;RHBDD2;SGTA;UBE2G1;WWP2;UBE2A;TMUB2;ITCH;NPLOC4;PSMC4;GID8;TRIP12;STUB1;RNF185;UBE2K,2.512638306866456e-17,0,0
3,Proteasomal Protein Catabolic Process (GO:0010498),2.6821941396492932e-18,5.519249560289232,223.30826599735605,VCP;GSK3A;UBXN1;PSMD11;PSMD13;ZFAND2B;UBE2D3;ARRB2;RNF4;PSMA7;PSMD8;PSMB6;PSMB7;PSMB4;PSMD7;KAT5;HECTD3;PSMD2;PSMD3;PCBP2;PSMB1;ZSWIM8;DCAF11;RFFL;SKP1;FBXW5;CSNK1A1;DNAJB12;AXIN1;UBE2G1;WWP2;UBE4B;ARMC8;UBE2A;RAD23B;SIRT2;RNF41;ITCH;PSMA1;PSMC4;GID8;KCTD13;PLAA;TRIP12;STUB1;RBCK1;RNF185;UBE2K,2.8234563643374896e-15,0,0
4,Macroautophagy (GO:0016236),2.0425402059774876e-15,7.910002786291446,267.55253915181066,BECN1;VCP;CALCOCO2;MTMR14;VPS4A;TCIRG1;ZFYVE1;GABARAP;CLN3;ZFYVE26;VTI1A;UBQLN1;VHL;ATG7;SNAP29;VPS39;VPS16;VPS33B;VPS37C;SNF8;WIPI2;HGS;NBR1;PLEKHM1;PLAA;ATG4B;CHMP4A;VIPAS39;VPS28;TECPR1,1.6125854926192265e-12,0,0
5,Intracellular Protein Transport (GO:0006886),5.734803892999702e-15,3.9450083084340357,129.36559155456987,ARF4;ARF1;AP2A1;PHB2;EIF4ENIF1;AKT2;KPNA6;CHP1;TIMM17B;VPS35;TMED1;TMED4;KPNA1;SEC13;TMED9;ATP6AP1;DESI1;STRADA;VPS33B;VPS37C;ARFGAP3;COPZ1;OXA1L;HGS;CDC37;PREB;ARHGEF2;VPS28;COPA;RAB5B;RAB5C;SAR1A;STX16;RAB1B;VPS26C;KATNB1;VPS26B;GABARAP;GGA3;STX6;TBC1D13;STX5;STX4;RAB6A;RANBP3;SURF4;STAT3;AP3D1;LAPTM5;SNF8;ARCN1;SNX15;UBAP1;VIPAS39,3.622102138818612e-12,0,0
6,"mRNA Splicing, Via Spliceosome (GO:0000398)",1.0886345843363013e-14,4.885066274659979,157.06107043096745,SF3B4;ISY1;SF3B5;SF3B2;TSSC4;DHX8;RBM8A;DDX23;HNRNPU;CASC3;USP39;ESS2;PQBP1;RBM4;SART1;RNF113A;ZMAT2;RBMX2;MAGOH;DHX16;RALY;SNRPD3;TXNL4A;RBM10;RBM5;RBM17;IK;PRPF38A;GPKOW;BUD31;SMU1;HNRNPK;SNW1;DDX39B;HNRNPF;HNRNPA2B1;STRAP;PIN1;BUD13;HNRNPC;SRSF9;RBM22,5.729846695556733e-12,0,0
7,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",2.831549165957556e-14,5.245849316271851,163.64619638716198,ISY1;SF3B4;SF3B5;SF3B2;DHX8;RBM8A;DDX23;HNRNPU;CASC3;USP39;ESS2;RBM4;SART1;RNF113A;ZMAT2;RBMX2;MAGOH;DHX16;RALY;SNRPD3;TXNL4A;RBM10;RBM5;IK;PRPF38A;GPKOW;BUD31;SMU1;HNRNPK;SNW1;DDX39B;HNRNPF;HNRNPA2B1;PIN1;BUD13;HNRNPC;SRSF9;RBM22,1.2774331808705662e-11,0,0
8,mRNA Processing (GO:0006397),8.747408482296393e-14,4.652648773107826,139.89320906785218,SF3B4;ISY1;SF3B5;SF3B2;DHX8;RBM8A;DDX23;HNRNPU;CASC3;USP39;ESS2;RBM4;SART1;ALKBH5;RNF113A;ZMAT2;RBMX2;MAGOH;DHX16;RALY;SNRPD3;PRKACA;TXNL4A;RBM10;RBM5;IK;CPSF7;PRPF38A;GPKOW;BUD31;SMU1;HNRNPK;SNW1;DDX39B;HNRNPF;HNRNPA2B1;PIN1;BUD13;HNRNPC;SRSF9;RBM22,3.453039498386501e-11,0,0
9,Modification-Dependent Protein Catabolic Process (GO:0019941),1.1850319556175443e-12,4.671322815127458,128.28037007970372,PSMD11;PPP1R11;PSMD13;UBE2D2;UBE2D3;KEAP1;NEDD8;UBE3B;RNF7;UBE2L3;PSMD9;RNF114;OS9;PSMD3;UFD1;RFFL;UBL7;UBE2I;ARRDC1;UBE4B;UBE2G1;UBE2A;TRPC4AP;RNF40;CHFR;CNOT4;RNF167;ITCH;NPLOC4;UBE2R2;TOLLIP;UBA1;STUB1;TRIP12;RNF185;UBE2K;RNF166,4.158145462044672e-10,0,0
10,Protein Ubiquitination (GO:0016567),7.376210840572567e-11,2.9224733207784057,68.18181678999123,LRSAM1;FBH1;UBE2D2;UBE2D3;KEAP1;ARRB2;UBE3B;DDA1;UBE2L3;BABAM2;RNF114;UBE2Q1;SKP1;ATG3;RNF44;USP7;FBXW5;ARRDC1;UBE4B;TRPC4AP;RNF41;RNF167;TRAF7;UBE2R2;TRAF6;KCTD13;RBCK1;RNF166;TRIM11;RNF31;VCP;ANAPC16;NEDD8;RNF7;RNF4;DCAF15;RNF113A;OS9;ZSWIM8;VHL;BRAP;TRIM41;USP9X;WWP2;UBE2G1;UBE2A;CHFR;CNOT4;ITCH;TRIM39;STUB1;TRIP12;UBA1;TRIM38;RNF185;UBE2K,2.3294073834528167e-08,0,0
