rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Intracellular Membrane-Bounded Organelle (GO:0043231),1.394039290850889e-09,2.4165686196666645,49.276396537720494,CALCOCO1;GSK3A;PPP1R11;CALCOCO2;DENND1A;UBE2D2;INPPL1;CASC3;SMG7;USP39;SPPL3;PSMD9;RBM4;KAT5;AKT2;SUMO2;TLK2;DHX16;SKP1;KPNA1;NELFE;PIAS4;STARD3;SAP30BP;IK;MAP2K2;KHNYN;IST1;USP4;RFC2;TFE3;ARNT;VRK3;PRKAB1;YWHAZ;TOX4;METTL22;TRAF7;DDX39B;EWSR1;PSPC1;EEF1D;THRAP3;TMBIM1;ATF7;RBM22;ZNF672;RBM8A;POLDIP2;MAX;FLII;PRCC;VPS4A;GPS2;KATNB1;HTRA2;PSMA7;ADD1;PPP2CA;RXRB;DGUOK;FXR2;ATP5F1B;CUX1;VTI1A;INPP5K;SAP18;RALY;IP6K2;SMAD2;RANBP3;UBE2I;GPKOW;NR1H2;TAF10;PCIF1;SNF8;USF2;SMU1;HNRNPK;SNW1;GID8;PLEKHM1;ACIN1;BUD13;HNRNPC;NIT1;CCDC174;ZNF410;SPG21;PSME3IP1,2.2699588722627613e-07,0,0
2,Nucleus (GO:0005634),2.7852256101383575e-09,2.428653879451317,47.841899663681026,CALCOCO1;GSK3A;PPP1R11;CALCOCO2;UBE2D2;INPPL1;CASC3;SMG7;USP39;PSMD9;RBM4;KAT5;AKT2;SUMO2;TLK2;DHX16;SKP1;KPNA1;NELFE;PIAS4;SAP30BP;IK;MAP2K2;KHNYN;USP4;RFC2;TFE3;ARNT;VRK3;PRKAB1;YWHAZ;TOX4;METTL22;DDX39B;EWSR1;PSPC1;EEF1D;THRAP3;ATF7;RBM22;ZNF672;RBM8A;POLDIP2;MAX;FLII;PRCC;VPS4A;GPS2;KATNB1;HTRA2;PSMA7;ADD1;PPP2CA;RXRB;DGUOK;FXR2;ATP5F1B;CUX1;INPP5K;SAP18;RALY;IP6K2;SMAD2;RANBP3;UBE2I;GPKOW;NR1H2;TAF10;PCIF1;SNF8;USF2;SMU1;HNRNPK;SNW1;GID8;ACIN1;BUD13;HNRNPC;NIT1;CCDC174;ZNF410;PSME3IP1,2.2699588722627613e-07,0,0
3,U2-type Spliceosomal Complex (GO:0005684),3.3412235252763856e-06,10.019308943089431,126.3352047446156,SMU1;IK;SNW1;RBM8A;DHX16;BUD13;CASC3;RBM22,0.00018153981154001695,0,0
4,Bounding Membrane Of Organelle (GO:0098588),2.551576349263618e-05,2.946907645242694,31.167126249750147,SLC35A2;ARF1;COPA;PGAP2;GPR108;VPS4A;ZDHHC5;AP2A1;SNF8;AP2B1;SPPL3;DNM2;APH1A;CYTH2;GGA3;TBC1D20;LMAN2;TMBIM1;VTI1A;EXOC3;PI4KB;AP2M1,0.0010397673623249244,0,0
5,Clathrin-Coated Vesicle (GO:0030136),0.0001309957437581262,8.474226804123711,75.76251738674904,DENND1A;VTI1A;AP2A1;AP2B1;AP2M1;SPG21,0.004270461246514914,0,0
6,Endosome Membrane (GO:0010008),0.00029268924351324185,3.5574590014021825,28.944906267554533,APH1A;STARD3;RAB5C;GGA3;TMBIM1;VPS4A;VTI1A;AP2A1;SNF8;AP2B1;AP2M1;RAB11B,0.00795139111544307,0,0
7,cullin-RING Ubiquitin Ligase Complex (GO:0031461),0.00037378058930209566,4.928212851405623,38.892675156538175,TMEM183A;ANAPC16;CDC26;TRPC4AP;SKP1;FBXO42;WDTC1;DDA1,0.008703748008034513,0,0
8,Protein Phosphatase Type 2A Complex (GO:0000159),0.0005011239651713426,23.178836392034363,176.1280286078286,PPP2CA;PPP2R2D;PPP2R2A,0.010210400790366106,0,0
10,Endolysosome Membrane (GO:0036020),0.0008481701801219675,18.82994923857868,133.17348392535672,AP2A1;AP2B1;AP2M1,0.01382517393598807,0,0
9,Clathrin Adaptor Complex (GO:0030131),0.0008481701801219675,18.82994923857868,133.17348392535672,AP2A1;AP2B1;AP2M1,0.01382517393598807,0,0
11,Golgi Membrane (GO:0000139),0.0012765943479363115,2.981543194052807,19.867690214766032,SLC35A2;CYTH2;ARF1;COPA;PGAP2;TBC1D20;LMAN2;VTI1A;ZDHHC5;PI4KB;GBA2;DNM2,0.018916807155783526,0,0
