rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),2.8471488097099097e-05,2.448417802932853,25.62662786774928,ARF1;RBM8A;CASC3;SMG7;ADD1;RBM4;FXR2;SUMO2;EIF4H;DHX16;SAP18;RALY;NELFE;UBE2I;GPKOW;KHNYN;SECISBP2;PDAP1;YWHAZ;HADHB;HNRNPK;SNW1;DDX39B;EWSR1;PSPC1;THRAP3;ACIN1;BUD13;HNRNPC;CARS1;RBM22,0.00691857160759508,0,0
2,Clathrin Adaptor Activity (GO:0035615),0.000330570754905644,27.395939086294415,219.56995457412373,AP2A1;AP2B1;AP2M1,0.04016434672103574,0,0
3,3-hydroxyacyl-CoA Dehydrogenase Activity (GO:0003857),0.0009754681839454337,66.65656565656566,462.10284137848555,HADHB;HADHA,0.05886961674285212,0,0
4,Cadherin Binding (GO:0045296),0.0014464763219300487,3.3198773633111904,21.70743247032409,HNRNPK;CAPZB;IST1;EEF1D;EIF4H;EXOC3;YWHAZ;ADD1;RAB11B;SH3GL1,0.05886961674285212,0,0
5,acetyl-CoA C-acyltransferase Activity (GO:0003988),0.0014535707837741265,49.98989898989899,326.6206097208578,HADHB;HADHA,0.05886961674285212,0,0
6,Phosphatidylinositol Trisphosphate Phosphatase Activity (GO:0034594),0.0014535707837741265,49.98989898989899,326.6206097208578,INPPL1;INPP5K,0.05886961674285212,0,0
7,"Phosphatidylinositol-3,5-Bisphosphate Binding (GO:0080025)",0.0017076659731305678,14.343002175489485,91.40261395182883,MAPKAP1;WIPI2;WDR45,0.05915431769560503,0,0
8,GTPase Binding (GO:0051020),0.0019724031324471966,3.7601766513056836,23.420270107307864,GGA3;TBC1D20;MAPKAP1;GNB1;BRK1;DVL3;ARHGEF2;RNF41,0.05915431769560503,0,0
9,Phosphatidylinositol Bisphosphate Binding (GO:1902936),0.0024266394005639114,5.743589743589744,34.583577920617785,EXOC7;FLII;MAPKAP1;WIPI2;WDR45,0.05915431769560503,0,0
10,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.0025893853108719085,3.2849663425579654,19.566359221949167,PIAS4;SMAD2;HGS;UBE2D2;SUMO2;LAPTM5;UBE2A;CASC3;YWHAZ,0.05915431769560503,0,0
11,Phosphoserine Residue Binding (GO:0050815),0.0026777674677022855,33.323232323232325,197.36590289038227,PCIF1;YWHAZ,0.05915431769560503,0,0
12,Protein Heterodimerization Activity (GO:0046982),0.003068833853408728,3.8879639853902996,22.497538914518934,PPP2CA;FXR2;ARNT;KATNB1;USF2;ADD1;PAFAH1B1,0.06127328820032322,0,0
13,pre-mRNA Binding (GO:0036002),0.0032779948419926,11.152284263959391,63.79690278522437,RBM4;HNRNPC;RBM22,0.06127328820032322,0,0
14,Small GTPase Binding (GO:0031267),0.003957733062368773,3.7040155440414506,20.490924669981364,GGA3;TBC1D20;MAPKAP1;DVL3;BRK1;ARHGEF2;RNF41,0.06804289259010916,0,0
15,Inositol Trisphosphate Phosphatase Activity (GO:0046030),0.004247232134539841,24.98989898989899,136.4820277236255,INPPL1;INPP5K,0.06804289259010916,0,0
16,Ubiquitin-Like Protein Conjugating Enzyme Activity (GO:0061650),0.005094587706793724,9.407360406091371,49.666879272481374,UBE2I;UBE2D2;UBE2A,0.06804289259010916,0,0
17,Phosphatidylinositol Phosphate 5-Phosphatase Activity (GO:0034595),0.0051570205394645754,22.21212121212121,117.00004466783103,INPPL1;INPP5K,0.06804289259010916,0,0
18,enoyl-CoA Hydratase Activity (GO:0004300),0.0051570205394645754,22.21212121212121,117.00004466783103,HADHB;HADHA,0.06804289259010916,0,0
19,GTPase Activity (GO:0003924),0.0053202261695970135,3.168450064850843,16.590763267542993,ARF4;ARF1;RAB5C;NKIRAS2;GNB1;RAB11B;GNAI2;DNM2,0.06804289259010916,0,0
20,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),0.005936758569465643,3.107188295165394,15.929286625198069,ARF4;ARF1;RAB5C;NKIRAS2;GNB1;RAB11B;GNAI2;DNM2,0.07019614547441606,0,0
21,Ubiquitin Protein Ligase Binding (GO:0031625),0.006066333559517438,3.0952154626109,15.80107766922982,PIAS4;SMAD2;UBE2D2;SUMO2;LAPTM5;UBE2A;CASC3;YWHAZ,0.07019614547441606,0,0
22,Tau Protein Binding (GO:0048156),0.00690907387399907,8.360406091370558,41.59234877252794,PPP2CA;SMAD2;GSK3A,0.07138496496706757,0,0
23,Ubiquitination-Like Modification-Dependent Protein Binding (GO:0140035),0.007218101036314867,18.171717171717173,89.6077061786221,ANKRD13D;LAPTM5,0.07138496496706757,0,0
24,Nuclear Vitamin D Receptor Binding (GO:0042809),0.007218101036314867,18.171717171717173,89.6077061786221,SNW1;THRAP3,0.07138496496706757,0,0
25,Phosphatidylinositol-3-Phosphate Binding (GO:0032266),0.0074150224240263525,8.134037590890383,39.89133172446582,DENND1A;WIPI2;WDR45,0.07138496496706757,0,0
26,mRNA Binding (GO:0003729),0.0076378974861883,2.9692822384428226,14.474160923997603,RBM4;HNRNPK;FXR2;RBM8A;KHNYN;SECISBP2;HNRNPC;NELFE,0.07138496496706757,0,0
27,Signal Sequence Binding (GO:0005048),0.007942343574308956,7.919583222014427,38.29551599382337,BRAP;AP2M1;KPNA1,0.0714810921687806,0,0
28,Ubiquitin Binding (GO:0043130),0.008496428888417833,5.296455424274973,25.254078548459987,GGA3;HGS;DHX16;UBE2A,0.07373686499591191,0,0
29,snRNA Binding (GO:0017069),0.009061882822613368,7.522842639593908,35.3850321555175,DDX39B;HNRNPC;RBM22,0.0759323284791396,0,0
