rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Endocytosis,4.3027406256097925e-14,5.992229992229992,184.4224977085334,ARF4;ARF1;RAB5C;SH3KBP1;VPS4A;CLTB;AP2A1;VPS26B;ARRB2;CDC42;CYTH2;ZFYVE27;CAPZB;GRK6;RAB8A;AP2M1;SH3GL1;SMAD2;PDCD6IP;IST1;HLA-B;SNF8;AP2B1;HLA-E;RAB11B;RNF41;DNM2;HGS;CHMP4B;STAMBP;VPS28;SPG21,1.0455659720231796e-11,0,0
2,Huntington disease,3.851904025098231e-09,4.10175588342885,79.47028257319889,PSMD11;DCTN2;PSMD13;DCTN3;CLTB;AP2A1;NRF1;KLC1;PSMA7;PSMD8;CASP9;PSMD9;ACTR1A;PSMD7;ATP5F1B;PSMB1;POLR2E;POLR2G;MAP2K7;POLR2J;AP2M1;ADRM1;AP2B1;WIPI2;ATG13;PSMA1;NDUFS2;UQCRC2,4.6800633904943504e-07,0,0
3,Salmonella infection,8.084463437868542e-08,4.112187157937701,67.15504540128164,ARF1;MAP2K2;RAB5C;DCTN2;EXOC7;DCTN3;BRK1;KLC1;DNM2;CDC42;CYTH2;ACTR1A;AKT2;PLEKHM1;NCKAP1L;IKBKG;DYNLRB1;MAP2K7;VPS39;ARL8A;SKP1;VPS16;KPNA1,6.467707609680037e-06,0,0
4,Pathways of neurodegeneration,1.385894941051608e-07,3.046857286811941,48.115207197587196,VCP;PSMD11;DCTN2;PSMD13;DCTN3;ARAF;HTRA2;KLC1;ZFYVE1;PSMA7;PSMD8;CASP9;PSMD9;PPP3R1;ACTR1A;PSMD7;ATP5F1B;PSMB1;DVL3;MAP2K7;RAB8A;DAXX;MAP2K2;ADRM1;WIPI2;ATG13;PSMA1;VAPB;CSNK2B;NDUFS2;CALM3;UQCRC2;CALM1,6.467707609680037e-06,0,0
5,Proteasome,1.584403038995537e-07,11.034013605442176,172.76934862998937,PSMD8;PSMD9;PSMD11;PSMD7;PSMA1;PSMD13;POMP;PSMB1;ADRM1;PSMA7,6.467707609680037e-06,0,0
6,Amyotrophic lateral sclerosis,1.5969648418963054e-07,3.3834745762711864,52.95134598073356,VCP;PSMD11;DCTN2;PSMD13;DCTN3;KLC1;PSMA7;GLE1;PSMD8;CASP9;PSMD9;PPP3R1;ACTR1A;PSMD7;ATP5F1B;PSMB1;ANXA7;RAE1;RAB8A;DAXX;SEC13;ADRM1;WIPI2;ATG13;PSMA1;VAPB;NDUFS2;UQCRC2,6.467707609680037e-06,0,0
7,Spliceosome,1.1564128738878964e-06,4.777599605279388,65.31068333160464,SF3B4;SF3B2;PRPF38A;RBM8A;BUD31;DDX23;USP39;HNRNPK;SNW1;DDX39B;DHX16;ACIN1;HNRNPC;TXNL4A;SRSF9;RBM22,4.014404690782269e-05,0,0
8,Human immunodeficiency virus 1 infection,1.7108863210462294e-06,3.951536630293107,52.47047521486398,MAP2K2;HLA-B;HLA-E;GNAI2;CASP9;PPP3R1;AKT2;GNB2;GNB1;RPS6KB2;PLCG2;RAC2;PTK2B;CALM3;IKBKG;CALM1;MAP2K7;SKP1;AP1M1,5.1968172001779215e-05,0,0
9,Alzheimer disease,2.3074082203046196e-06,3.0635740733906585,39.76330935324552,PSMD11;PSMD13;ARAF;KLC1;PSMA7;PSMD8;APH1A;CASP9;PSMD9;PPP3R1;PSMD7;ATP5F1B;AKT2;PSMB1;DVL3;MAP2K7;MAP2K2;ADRM1;WIPI2;ATG13;PSMA1;CSNK2B;NDUFS2;CALM3;UQCRC2;CALM1,6.230002194822473e-05,0,0
10,mRNA surveillance pathway,6.040484352797338e-06,5.551086542127335,66.70755329434925,GLE1;PPP2CA;DDX39B;RBM8A;FIP1L1;PABPN1;PPP2R2D;SAP18;ACIN1;PPP2R2A;CASC3;SMG7,0.0001427976486113308,0,0
