rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Gene Expression (GO:0010467),1.0068866788368557e-23,5.440405827402731,288.0836013267086,MRPS15;RPL3;RPLP1;FMR1;HNRNPU;ADAR;MRPL37;CASC3;MRPL34;SMG7;RPL10A;RPL6;RPS15;RPS14;SYNCRIP;RBM4;RPL7A;ALKBH5;RPS17;RPL37;RPS10;RBM5;DDX17;UPF1;RPS9;RPL21;RPS7;RPL22;MRPS18B;RPL13A;DDX39B;HNRNPUL1;HNRNPH1;RPL24;SRSF3;HNRNPH3;RPL29;RPL10;YTHDC1;RPL11;MRPL12;LMF2;RPS15A;PABPN1;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL19;MBTPS1;RBM39;RPL41;CHTOP;HNRNPL;RPS25;RPS28;HNRNPK;RPS27;RPS29;HNRNPF;RPL27A;HNRNPA2B1;HNRNPD;RPS20,3.192837658591669e-20,0,0
2,Cytoplasmic Translation (GO:0002181),1.6035221493163358e-20,10.895559322033899,496.6141385649566,EIF4A2;RPL3;RPL10;RPLP1;RPL11;RPL10A;RPL6;RPS15;RPL7A;RPS14;RPS17;RPS15A;RPS3;RPL13;RPL37;RPL15;RPL18;RPS27A;RPS10;RPL19;RPS9;RPL41;RPL21;RPS7;RPL22;RPL13A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL24;RPS20;RPL29,2.5423843677410505e-17,0,0
3,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),3.982694361915157e-19,4.2279522802778615,179.12632312599214,RNF11;ZFAND2B;UBE2D3;KEAP1;CCAR1;UBE2L3;MAEA;PSMD4;PSMD3;CHMP1A;FBXO7;SKP1;PPP2R5C;TRPC4AP;RAD23B;SIRT2;RNF167;PSMA4;WDR81;PSMA1;UBE2R2;PSMA2;TBL1XR1;VPS28;BIRC2;WDR26;VPS4A;CUL1;UBR3;NEDD8;AGAP3;RNF5;PCNP;BAG6;PSMB7;PSMB4;HECTD1;HECTD3;PCBP2;PSMB1;ZSWIM8;RBBP6;PSMF1;RNF130;MARCHF6;KLHDC2;KLHDC3;UBE2H;NDFIP1;CSNK1A1;WWP1;UBE2G2;CUL4A;NSFL1C;ITCH;PSMC5;NPLOC4;PSMC6;TOLLIP;GID8;TTC3;CHMP2A;UBAP1;TRIP12;RNF185;UBE2K,4.209707940544321e-16,0,0
4,Translation (GO:0006412),1.0127008106246717e-18,5.32513383253006,220.64112043918468,MRPS15;RPL3;RPLP1;MRPL38;MRPL37;MRPL34;RPL10A;RPL6;RPS15;RPS14;RPL7A;RPS17;QARS1;MTG1;RPL37;RPS10;MRPS26;RPS9;MRPS27;RPL21;MRPS24;RPS7;MRPS25;RPL22;MRPS18B;MRPL49;RPL13A;TUFM;EEF1G;EEF1D;RPL24;AURKAIP1;RPL29;RPL10;RPL11;MRPL12;RPS15A;RPS3;RPL13;RPL15;RPL18;RPS27A;RPL19;PTCD3;RPL41;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20,8.028185676227085e-16,0,0
5,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),1.8129199418134556e-18,4.449351081794614,181.76307906686424,RNF10;ZFAND2B;UBE2D3;AUP1;MAEA;PSMD4;PSMD3;FBXO7;SKP1;PPP2R5C;TRPC4AP;RAD23B;SIRT2;PSMA4;PSMA1;PSMA2;TBL1XR1;ANAPC5;MAN1B1;BIRC2;WDR26;ANAPC16;CUL1;UBR3;UBR2;AGAP3;RNF5;USP19;ECPAS;PCNP;BAG6;PSMB7;PSMB4;FZR1;HECTD1;HECTD3;PCBP2;PSMB1;ZSWIM8;UBQLN1;ASCC2;MARCHF6;KLHDC2;KLHDC3;CSNK1A1;WWP1;ERLIN2;UBE2G2;FBXO31;CUL4A;NSFL1C;ITCH;PSMC5;NPLOC4;PSMC6;GID8;TRIP12;FBXL5;RNF185;UBE2K,1.1497538270980936e-15,0,0
6,mRNA Processing (GO:0006397),9.144152909153789e-17,5.209586466165414,192.39436221820654,SF3B2;YTHDC1;CELF1;SRSF1;HNRNPU;C9ORF78;CASC3;SYNCRIP;RBM4;ALKBH5;U2AF2;TRA2B;PAPOLA;RALY;SNRPD3;PRKACA;SF3B1;SRSF10;CMTR1;RBM10;RBM5;HNRNPA0;SF3A1;IK;CPSF7;HNRNPA3;SCAF11;PRPF40A;LSM4;SRRM1;HNRNPM;SFPQ;HNRNPK;SON;DDX39B;HNRNPH1;HNRNPF;HNRNPA2B1;SRSF2;SRSF3;HNRNPH3;SRSF5;SNRNP200;SRSF6;SRSF7;RBMX,4.8326848124877773e-14,0,0
7,RNA Processing (GO:0006396),1.6758391864221383e-16,5.652668153740563,205.33343885438504,SF3B2;CELF1;AKAP8L;SRSF1;HNRNPU;ADAR;PPP2CA;RBM4;SYNCRIP;ALKBH5;PABPN1;U2AF2;KHSRP;FASTK;SNRPD3;PRKACA;SF3B1;RBM5;HNRNPA0;DDX17;RBM39;MBNL1;SF3A1;SCAF11;LSM4;SRRM1;HNRNPL;SFPQ;HNRNPK;SON;DDX39B;HNRNPUL1;HNRNPH1;HNRNPF;HNRNPA2B1;SRSF2;HNRNPD;PPIG;SRSF5;HNRNPH3;TARDBP;SRSF7,6.642607575180751e-14,0,0
8,Macromolecule Biosynthetic Process (GO:0009059),1.6758391864221383e-16,5.652668153740563,205.33343885438504,MRPS15;RPL3;RPL10;RPLP1;RPL11;MRPL37;RPL10A;MRPL12;MRPL34;RPL6;RPS15;RPS14;RPL7A;RPS17;RPS15A;POLD2;RPS3;RPL13;RPL37;RPL15;RPL18;RPS27A;RPS10;RPL19;RPS9;RPL41;RPL21;RPS7;RPL22;MRPS18B;RPL13A;TUFM;EEF1G;RPS25;RPS28;RPS27;RPS29;EEF1D;RPL27A;RPL24;RPS20;RPL29,6.642607575180751e-14,0,0
9,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",2.2531112233438807e-16,8.825012450199203,317.95681006126955,KHDRBS1;RBM25;RBM47;CELF1;YTHDC1;FMR1;HNRNPU;PTBP1;RBM4;PUF60;U2AF2;TRA2B;SAP18;SRSF10;RBM5;HNRNPA0;DDX17;RBM39;RBFOX2;QKI;SRRM1;HNRNPL;HNRNPK;SON;THRAP3;SRSF3;RBM23;SRSF6;SRSF7;RBMX,7.938461876914939e-14,0,0
10,Peptide Biosynthetic Process (GO:0043043),8.989076136431408e-16,5.9918674698795185,207.59035409848238,MRPS15;RPL3;RPL10;RPLP1;RPL11;MRPL37;RPL10A;MRPL12;MRPL34;RPL6;RPS15;RPS14;RPL7A;RPS17;RPS15A;RPS3;RPL13;RPL37;RPL15;RPL18;RPS27A;RPS10;RPL19;RPS9;RPL41;RPL21;RPS7;RPL22;MRPS18B;RPL13A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL24;RPS20;RPL29,2.8504360428624e-13,0,0
