rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Intracellular Membrane-Bounded Organelle (GO:0043231),4.090291157838953e-40,2.4120477928974444,218.76016217226726,RPL3;HNRNPU;DCAF8;EHMT1;RPL6;DCAF6;ELK4;ALKBH5;PPP4R2;PSMD4;TFG;AKT2;ZMIZ2;GPBP1;PSMD3;AKT1;PRKACA;DDX17;MBNL1;RBFOX2;TSPYL1;RPL22;DICER1;FNDC3A;SCAMP2;DDX39B;EWSR1;PSME4;CDIP1;CGGBP1;LRPAP1;SET;PDXDC1;SRCAP;SHMT2;CTBP1;BAZ2A;COPS7A;C9ORF78;AGAP3;ZNF24;OAZ1;PRDX3;PRDX5;PPP4C;RAD21;SERF2;NAA50;BTF3;CREBBP;JUP;CS;HNRNPL;MOV10;HNRNPM;HNRNPK;NPLOC4;HNRNPF;HNRNPD;OGDH;CDK10;CDK13;FERMT2;PHF3;SETD5;SETD2;TCF25;ARPC1A;SETD7;ADK;MED16;SMG7;CLINT1;MED13;ANXA7;TNKS1BP1;AP3S2;SS18;UPF1;BRD2;DUSP3;NSUN2;BAZ1B;DYNLL2;SIRT2;LRRC41;WDR33;PSMA4;NCOR1;PSMA1;PSMA2;MOCS1;VAMP2;SF3B2;WDR26;RPL10;GPS1;HTT;DLST;ECPAS;PSMB7;GGA1;PSMB4;BCLAF1;PSMB1;AP2S1;RPS3;RPL13;RPL15;RPS27A;RPL18;SRSF10;SF3B1;BRD4;MBD3;SF3A1;EGLN2;PCGF5;CSNK1A1;SEPTIN2;NR1H2;PSMC5;PSMC6;SNX17;NFIB;APEX1;SNX14;NFIC;SERBP1;GID8;UBAP1;YPEL5;MSRB1;CCNT2;FMR1;UBE2D3;CTNND1;UBP1;CASC3;PARK7;RPL10A;IPO5;YY1;EDC4;PPP1CC;STK11;MAEA;SLC39A9;MPC2;ZNF207;KPNA6;PAPOLA;PMPCA;RAB2A;IK;USP7;RPS9;KHNYN;RPS7;IST1;GTF3A;FOXP4;TLE5;SRSF2;ZNF316;ANAPC5;ADNP;SNRNP200;SRSF7;ANKRD17;NOTCH2;KHDRBS1;RAB5B;KMT2C;KMT2B;CUL1;BAG6;ZNF664;AP1M1;EIF2B5;CHTOP;API5;LSM4;QKI;NSFL1C;MDM4;ZNF655;MYD88;NFE2L1;DIDO1;RNF10;NUMA1;CELF1;CALCOCO2;AKAP8L;PTEN;PTBP1;RPL7A;SUMO1;AP1G1;PPP6R2;SUMO3;PPP6R3;UBTF;IDH3B;HMG20B;TNPO2;ELAC2;ARNT;RPL13A;EDF1;RAD23B;MSL1;PPM1A;TRAF7;CTDSP1;ZNF638;BIRC6;TMBIM6;SLC25A11;CRK;BIRC2;MTPN;PRKAA1;HDAC1;SRSF1;VPS4A;CXXC1;CXXC5;GANAB;FZR1;VPS51;U2AF2;POLR2E;SAP18;RBBP6;ASCC2;HNRNPA0;POLR2L;SMARCE1;H2AZ2;PTPN18;HNRNPA3;CNBP;CUL4A;RAB14;DNAJA3;EIF3E;TNRC6A;TPT1;KDELR1;NUDT5;CCAR1;UBE2L3;TIAL1;RPS15;GOLGA2;CPNE1;ARL6IP4;UBAP2L;SNRPD3;FBXO7;SKP1;SLC35C2;SLC11A2;SRRM1;UHMK1;RRAGA;CCNY;XRN1;SUB1;CSNK2B;VDAC3;AURKAIP1;TELO2;LLGL2;ILRUN;IGSF8;GGNBP2;ANP32A;DCUN1D4;NMD3;DHX30;SNX1;ZNHIT1;PCBP2;ZBED1;RAB11FIP3;SNX5;RBM10;ATP6V0A1;STAT5B;INTS1;IQSEC1;SMARCA1;SMARCA2;RPS25;RPS27;FUBP3;GRB2;CALM1;ITM2B;INTS11;TOP2B;DAZAP2;TECR;INTS10;CTSZ;PTPRK;WASL;N4BP2L2;SYNCRIP;HINT1;ZMYM2;RAC1;NCOA2;GRIPAP1;DBNL;GAA;TYK2;MLF2;GAK;SLTM;CTTN;NFX1;HNRNPH1;WAC;HNRNPH2;HNRNPH3;STX16;NEDD8;RELA;PCNP;RXRB;PPP2CA;CUX1;HSF1;GPBP1L1;PAK2;YIPF3;YIPF4;GBF1;ERBIN;YIF1A;RAB11A;PPP1CA;ITCH;TTC3;HNRNPA2B1;NBR1;TCEA1;HDGF;TRIP12;TARDBP;SPPL2A;INPPL1;NUCKS1;NR3C1;KHSRP;EP300;BANF1;CMTR1;ATG9A;TSC2;LMO7;SUPT7L;HNRNPUL1;HNRNPUL2;TBL1XR1;SBDS;CMPK1;MATR3;PPIG;ISCU;ATP6V1A;DDX6;TMED10;YTHDC1;UBA5;PDS5A;DPP7;ZC3H14;ISOC2;KLHDC2;UBE2H;CPSF7;SMAD4;NONO;MACO1;SUPT5H;DIAPH1;SEPSECS;EIF2S3;NASP;BRWD1;UBE2K;PICALM;RERE;CREBZF;PRKCSH;DDX42;ADAR;HMGB1;CHD2;CABIN1;SENP6;RBM4;UBE2Q1;GUSB;RBM5;SUN1;ABHD14B;PPP2R5A;PPP2R5C;SAFB;ARID1A;EEF1G;SFPQ;LMBRD1;IRF3;ALS2;EEF1D;THRAP3;GORASP1;USP40;TMEM9;RBM47;USP15;ATF6B;POLDIP2;WIZ;ADD1;DNPEP;CAND1;PABPN1;TRA2B;POLD2;FAM120A;BNIP2;MAPK1;RALY;MAPK6;USP24;SPEN;ARFGEF2;TAF15;TAF10;MAPK14;YY1AP1;USF2;U2SURP;NAP1L4;CCS;KANSL3;TAF7;ACIN1;CHPT1;ERCC5;RBMX,1.3293446262976597e-37,0,0
2,Nucleus (GO:0005634),1.0478669514503723e-31,2.237036556315661,159.57538156354897,RPL3;HNRNPU;DCAF8;EHMT1;RPL6;DCAF6;ELK4;ALKBH5;PPP4R2;PSMD4;AKT2;ZMIZ2;GPBP1;PSMD3;AKT1;PRKACA;DDX17;MBNL1;RBFOX2;TSPYL1;RPL22;DICER1;DDX39B;EWSR1;PSME4;CDIP1;CGGBP1;SET;SRCAP;SHMT2;CTBP1;BAZ2A;COPS7A;C9ORF78;AGAP3;ZNF24;OAZ1;PRDX5;PPP4C;RAD21;SERF2;NAA50;BTF3;CREBBP;JUP;CS;HNRNPL;MOV10;HNRNPM;HNRNPK;NPLOC4;HNRNPF;HNRNPD;OGDH;CDK10;CDK13;FERMT2;PHF3;SETD5;SETD2;TCF25;ARPC1A;SETD7;ADK;MED16;SMG7;MED13;ANXA7;TNKS1BP1;SS18;UPF1;BRD2;DUSP3;NSUN2;BAZ1B;DYNLL2;SIRT2;LRRC41;WDR33;PSMA4;NCOR1;PSMA1;PSMA2;MOCS1;SF3B2;WDR26;RPL10;GPS1;HTT;DLST;ECPAS;PSMB7;PSMB4;BCLAF1;PSMB1;RPS3;RPL13;RPL15;RPS27A;RPL18;SRSF10;SF3B1;BRD4;MBD3;SF3A1;EGLN2;PCGF5;CSNK1A1;SEPTIN2;NR1H2;PSMC5;PSMC6;NFIB;APEX1;NFIC;SERBP1;GID8;YPEL5;MSRB1;CCNT2;FMR1;UBE2D3;CTNND1;UBP1;CASC3;PARK7;RPL10A;IPO5;YY1;EDC4;PPP1CC;STK11;MAEA;SLC39A9;MPC2;ZNF207;KPNA6;PAPOLA;PMPCA;RAB2A;IK;USP7;RPS9;KHNYN;RPS7;GTF3A;FOXP4;TLE5;SRSF2;ZNF316;ANAPC5;ADNP;SNRNP200;SRSF7;ANKRD17;NOTCH2;KHDRBS1;KMT2C;KMT2B;CUL1;BAG6;ZNF664;EIF2B5;CHTOP;API5;LSM4;QKI;NSFL1C;MDM4;ZNF655;MYD88;NFE2L1;DIDO1;RNF10;NUMA1;CELF1;CALCOCO2;AKAP8L;PTEN;PTBP1;RPL7A;SUMO1;PPP6R2;SUMO3;PPP6R3;UBTF;IDH3B;HMG20B;TNPO2;ELAC2;ARNT;RPL13A;EDF1;RAD23B;MSL1;PPM1A;CTDSP1;ZNF638;BIRC6;TMBIM6;SLC25A11;CRK;BIRC2;MTPN;PRKAA1;HDAC1;SRSF1;VPS4A;CXXC1;CXXC5;FZR1;U2AF2;POLR2E;SAP18;RBBP6;ASCC2;HNRNPA0;POLR2L;SMARCE1;H2AZ2;PTPN18;HNRNPA3;CNBP;CUL4A;EIF3E;TPT1;NUDT5;CCAR1;UBE2L3;TIAL1;RPS15;CPNE1;ARL6IP4;UBAP2L;SNRPD3;FBXO7;SKP1;SLC11A2;SRRM1;UHMK1;RRAGA;CCNY;XRN1;SUB1;CSNK2B;VDAC3;AURKAIP1;TELO2;ILRUN;GGNBP2;ANP32A;DCUN1D4;NMD3;DHX30;ZNHIT1;PCBP2;ZBED1;SYMPK;RBM10;STAT5B;INTS1;SMARCA1;SMARCA2;RPS25;RPS27;FUBP3;GRB2;CALM1;INTS11;TOP2B;DAZAP2;TECR;INTS10;WASL;N4BP2L2;SYNCRIP;HINT1;ZMYM2;RAC1;NCOA2;TYK2;MLF2;SLTM;NFX1;HNRNPH1;WAC;HNRNPH2;HNRNPH3;NEDD8;RELA;PCNP;RXRB;PPP2CA;CUX1;HSF1;GPBP1L1;PAK2;ERBIN;PPP1CA;TTC3;HNRNPA2B1;TCEA1;HDGF;TRIP12;TARDBP;INPPL1;NUCKS1;NR3C1;KHSRP;EP300;BANF1;CMTR1;TSC2;LMO7;SUPT7L;HNRNPUL1;HNRNPUL2;TBL1XR1;SBDS;CMPK1;MATR3;PPIG;ISCU;DDX6;YTHDC1;PDS5A;ZC3H14;ISOC2;KLHDC2;UBE2H;CPSF7;SMAD4;NONO;MACO1;SUPT5H;DIAPH1;SEPSECS;EIF2S3;NASP;BRWD1;UBE2K;PICALM;RERE;CREBZF;DDX42;ADAR;HMGB1;CHD2;CABIN1;SENP6;RBM4;UBE2Q1;RBM5;ABHD14B;PPP2R5A;PPP2R5C;SAFB;ARID1A;EEF1G;SFPQ;IRF3;ALS2;EEF1D;THRAP3;USP40;RBM47;USP15;ATF6B;POLDIP2;WIZ;ADD1;DNPEP;CAND1;PABPN1;TRA2B;POLD2;FAM120A;MAPK1;RALY;MAPK6;USP24;SPEN;TAF15;TAF10;MAPK14;YY1AP1;USF2;U2SURP;NAP1L4;CCS;TAF7;ACIN1;ERCC5;RBMX,1.702783796106855e-29,0,0
3,Mitochondrial Membrane (GO:0031966),4.375736727244145e-16,3.215436558178794,113.71483538383183,SLC25A3;MRPS15;NDUFA13;NDUFA11;COX4I1;NDUFA10;MRPL38;MRPL37;MRPL34;COX6A1;COX7C;TOMM20;MTG1;SLC39A9;MPC2;PMPCB;PMPCA;TOMM70;MRPS26;MRPS27;MRPS24;MRPS25;MRPL49;MRPS18B;NDUFC2;SDHC;SDHD;CLPX;COASY;SLC9B2;TUFM;QTRT1;SLC25A16;OXA1L;COX7A2L;HAX1;VDAC3;NDUFS3;TMBIM6;AURKAIP1;SLC25A11;NDUFB9;NDUFB8;NDUFB7;NDUFB10;SHMT2;NDUFB11;TIMM13;ATP5MC2;UQCR11;SPG7;MRPL12;COX5B;RCC1L;RHOT2;RPS3;MFN2;RPS27A;NDUFV2;ATP5MG;NDUFV1;PTCD3;COA3;FIS1;NDUFA5;RMDN3;IMMT;COQ9;COX6C;CRLS1;ATP5F1E;SLC25A38;COQ4;MAVS;OGDH;TOMM7;SFXN1,4.7403814545144903e-14,0,0
4,Mitochondrial Inner Membrane (GO:0005743),9.319505140564841e-15,3.6297963558413717,117.26662165279582,MRPS15;NDUFA13;SLC25A3;NDUFA11;COX4I1;NDUFA10;MRPL38;MRPL37;MRPL34;COX6A1;COX7C;MTG1;MPC2;PMPCB;PMPCA;MRPS26;MRPS27;MRPS24;MRPS25;MRPS18B;MRPL49;NDUFC2;SDHC;SDHD;CLPX;SLC9B2;SLC25A16;COX7A2L;NDUFS3;AURKAIP1;SLC25A11;NDUFB9;NDUFB8;NDUFB7;NDUFB10;SHMT2;NDUFB11;TIMM13;ATP5MC2;UQCR11;SPG7;MRPL12;COX5B;RCC1L;RPS3;NDUFV2;ATP5MG;NDUFV1;PTCD3;COA3;NDUFA5;IMMT;COQ9;COX6C;CRLS1;ATP5F1E;COQ4;SLC25A38;SFXN1,7.572097926708934e-13,0,0
5,Organelle Inner Membrane (GO:0019866),7.215190323402137e-14,3.3950159775463833,102.73319275298319,SLC25A3;MRPS15;NDUFA13;NDUFA11;COX4I1;NDUFA10;MRPL38;MRPL37;MRPL34;COX6A1;COX7C;MTG1;MPC2;PMPCB;PMPCA;MRPS26;MRPS27;MRPS24;MRPS25;MRPL49;MRPS18B;NDUFC2;SDHC;SDHD;CLPX;SLC9B2;SLC25A16;COX7A2L;NDUFS3;MATR3;AURKAIP1;SLC25A11;NDUFB9;NDUFB8;NDUFB7;NDUFB10;SHMT2;NDUFB11;TIMM13;ATP5MC2;UQCR11;SPG7;MRPL12;COX5B;RCC1L;RPS3;NDUFV2;ATP5MG;NDUFV1;PTCD3;COA3;NDUFA5;IMMT;COQ9;COX6C;CRLS1;ATP5F1E;SLC25A38;COQ4;SFXN1,4.689873710211389e-12,0,0
6,Ribosome (GO:0005840),1.3296174474396758e-12,9.808637709772952,268.2282804490642,BTF3;RPS9;RPL41;RPS7;RPL11;RPL13A;RPL10A;RPL6;RPL7A;RPS25;RPS17;RPS28;LARP1;RPS27;RPS29;RPS3;RPL24;RPL15;RPL18;RPS10;RPL19,7.20209450696491e-11,0,0
7,Cytosolic Large Ribosomal Subunit (GO:0022625),4.828515951100135e-11,9.864983788791108,234.33180743449296,RPL41;RPL3;RPL21;RPLP1;RPL22;RPL11;RPL13A;RPL10A;RPL6;RPL7A;RPL27A;RPL24;RPL13;RPL37;RPL15;RPL29;RPL18;RPL19,1.96158460513443e-09,0,0
8,Large Ribosomal Subunit (GO:0015934),4.828515951100135e-11,9.864983788791108,234.33180743449296,RPL41;RPL3;RPL21;RPLP1;RPL22;RPL11;RPL13A;RPL10A;RPL6;RPL7A;RPL27A;RPL24;RPL13;RPL37;RPL15;RPL29;RPL18;RPL19,1.96158460513443e-09,0,0
11,Respiratory Chain Complex I (GO:0045271),8.483244978090187e-09,9.627668845315904,178.93188913046694,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFA5;NDUFB11;NDUFA10;NDUFC2;NDUFS8;NDUFS3;NDUFV2;NDUFV1,2.5064132889811917e-07,0,0
9,Cytosolic Small Ribosomal Subunit (GO:0022627),8.483244978090187e-09,9.627668845315904,178.93188913046694,RPS9;RPS7;RPS15;RPS14;RPS25;RPS17;RPS28;RPS15A;RPS27;RPS29;RPS3;RPS20;RPS27A;RPS10,2.5064132889811917e-07,0,0
