rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),3.4249698663650444e-62,4.449279711884754,629.7029229712896,EIF4A2;RPL3;HNRNPU;NUDT5;RPL6;CCAR1;UBE2L3;TIAL1;RPS15;RPS14;ALKBH5;RPS17;PSMD4;ARL6IP4;UBAP2L;SNRPD3;RPL37;RPS10;DDX17;MBNL1;RBFOX2;RPL21;SCAF11;SECISBP2;RPL22;DICER1;FNDC3A;SRRM1;DDX39B;XRN1;EWSR1;SUB1;RPL24;RPL29;ANP32A;BAZ2A;NMD3;MRPL12;DHX30;LARP1;PCBP2;RBM10;BTF3;PRPF38B;RPL41;RDX;PRRC2C;LARP4;PUM1;PRRC2A;PUM2;CS;HNRNPL;MOV10;HNRNPM;RPS25;RPS28;HNRNPK;RPS27;FUBP3;RPL27A;HNRNPF;HNRNPD;GRB2;RPS20;CDK13;SUGP2;ARF1;MRPS15;ADK;MRPL37;SMG7;SYNCRIP;FASTK;ANXA7;LRRC47;UPF1;MRPS26;MRPS27;CLUH;MRPS24;NSUN2;ZFR;PRPF40A;SRP9;WDR33;PSMA1;SLTM;NFX1;HNRNPH1;CDC42EP4;ARHGEF1;HNRNPH2;HNRNPH3;SF3B2;STAU1;RPL10;SRRT;RPL11;AKAP1;BCLAF1;RPS15A;RPS3;RPL13;RPL15;RPS27A;RPL18;SRSF10;SF3B1;RPL19;YTHDF1;SF3A1;YTHDF3;SAMD4B;RSRC2;APEX1;SERBP1;HNRNPA2B1;HDGF;TARDBP;FMR1;SPPL2B;NUCKS1;CASC3;PARK7;RPL10A;IPO5;YY1;PPP1CC;KHSRP;ZNF207;FBRSL1;RPS9;KHNYN;RPS7;POLRMT;TUFM;ATXN2L;HNRNPUL1;HNRNPUL2;SRSF2;SBDS;SRSF3;MATR3;SRSF5;PPIG;SREK1;SRSF6;SNRNP200;SRSF7;ANKRD17;KHDRBS1;DDX6;PEF1;YTHDC1;KMT2C;RCC1L;ZC3H14;CHTOP;CPSF7;API5;NONO;HELZ;TBCA;SUPT5H;LSM4;QKI;ANKHD1;DIAPH1;SEPSECS;SON;EIF2S3;MKRN1;GRSF1;LSM14A;DIDO1;RBM25;CELF1;AKAP8L;PTEN;DDX42;ADAR;HMGB1;CHD2;PTBP1;RPL7A;RBM4;SUMO1;ZC3H7B;UBTF;RBM5;RBM33;ELAC2;RPL13A;EDF1;SAFB;SFPQ;THRAP3;ZNF638;EIF4E2;SLC25A11;LUC7L2;TRIM56;RBM47;SRSF1;HSD17B10;ADD1;REPIN1;GANAB;PABPN1;PUF60;U2AF2;TRA2B;FAM120A;EIF4H;SAP18;RALY;RBBP6;HNRNPA0;PTCD3;SPEN;RBM39;HNRNPA3;TAF15;CNBP;IMMT;PDAP1;U2SURP;NAP1L4;ACIN1;EIF3E;RBMX;TNRC6A;TPT1;R3HDM2,2.0310071307544715e-59,0,0
2,mRNA Binding (GO:0003729),3.004665581201783e-21,5.201176535878795,245.7770236967778,RBM25;CELF1;FMR1;HNRNPU;PARK7;TIAL1;RPS14;SYNCRIP;PTBP1;RBM4;KHSRP;RBM5;DDX17;RBFOX2;CLUH;KHNYN;RPS7;SECISBP2;RPL13A;ATXN2L;CARHSP1;ZNF638;RPL24;SRSF7;LUC7L2;DDX6;KHDRBS1;RBM47;SHMT2;YTHDC1;SRSF1;MRPL12;LARP1;TRA2B;PCBP2;RPS3;SF3B1;SPEN;RPL41;YTHDF1;CHTOP;CPSF7;YTHDF3;CNBP;SAMD4B;LARP4;PUM1;SUPT5H;QKI;PUM2;HNRNPL;HNRNPM;HNRNPK;FUBP3;HNRNPA2B1;SERBP1;TARDBP;GRSF1;LSM14A;RBMX,8.908833448263287e-19,0,0
3,Cadherin Binding (GO:0045296),7.287980499192633e-12,3.4446474901297237,88.3372774630342,CTNND1;ARHGAP1;PARK7;CLINT1;RPL6;GOLGA2;RPL7A;CAPZB;TNKS1BP1;LYPLA2;DBNL;IST1;SCRIB;CKAP5;ATXN2L;EEF1G;SHTN1;CTTN;EEF1D;NUMB;RPL24;RPL29;DDX6;PDXDC1;ADD1;SNX1;LARP1;PUF60;EIF4H;SNX9;RPL15;PDLIM5;PAK2;SNX5;JUP;SEPTIN2;RDX;PPP1CA;RAB11B;TJP1;CCS;HNRNPK;EIF2S3;VAPB;CAPZA1;SERBP1;ESYT2;EIF3E;PICALM,1.4405908120070772e-09,0,0
4,mRNA 3'-UTR Binding (GO:0003730),4.5128343065754326e-08,5.104698603117992,86.3396232498073,DDX17;RBM47;RPL41;RPS7;CELF1;FMR1;SECISBP2;HNRNPU;LARP4;PUM1;PUM2;TIAL1;RBM4;CARHSP1;LARP1;KHSRP;HNRNPA2B1;SERBP1;TARDBP;HNRNPA0,6.690276859498079e-06,0,0
5,Oxidoreduction-Driven Active Transmembrane Transporter Activity (GO:0015453),5.895550138574492e-08,7.143881633577414,118.92050339156128,NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFA5;COX4I1;NDUFA10;NDUFC2;COX5B;COX7C;COX7A2L;NDUFS8;NDUFS3;NDUFV2;NDUFV1,6.9921224643493466e-06,0,0
6,NADH Dehydrogenase (Ubiquinone) Activity (GO:0008137),4.5247167903143125e-07,9.259042033235582,135.26109204795705,NDUFB9;NDUFB8;NDUFB7;NDUFS8;NDUFB10;NDUFA5;NDUFA10;NDUFS3;NDUFC2;NDUFV2;NDUFV1,4.4719284277606456e-05,0,0
7,NADH Dehydrogenase (Quinone) Activity (GO:0050136),6.377184864122776e-07,8.856007480130902,126.33421363958504,NDUFB9;NDUFB8;NDUFB7;NDUFS8;NDUFB10;NDUFA5;NDUFA10;NDUFS3;NDUFC2;NDUFV2;NDUFV1,5.402386606321151e-05,0,0
8,Ubiquitin Ligase Inhibitor Activity (GO:1990948),7.040523432994183e-06,46.073858114674444,546.6123297787135,RPS15;RPS7;RPL11;RPS20;RPL37,0.0005218787994706938,0,0
9,Ubiquitin-Protein Transferase Inhibitor Activity (GO:0055105),1.7971741116504e-05,30.714285714285715,335.606091987439,RPS15;RPS7;RPL11;RPS20;RPL37,0.001184138053565208,0,0
10,Ubiquitin-Like Protein Conjugating Enzyme Binding (GO:0044390),4.138037886894744e-05,6.652448780487805,67.14119461941098,ZMYM2;TOLLIP;DCUN1D4;RPS3;AUP1;PARK7;RNF5;RNF185;MARCHF6,0.0022983805491021574,0,0
