rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Huntington disease,2.733382348613132e-14,3.9010215372772903,121.83144414052342,NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;AP2A2;COX7C;ACTR1A;ACTR1B;PSMD4;PSMD3;EP300;AP2M1;NDUFC2;SDHC;SDHD;WIPI2;ATG13;COX7A2L;PSMA4;NDUFS8;PSMA1;PSMA2;VDAC3;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;DCTN1;HDAC1;ATP5MC2;HTT;UQCR11;COX5B;PSMB7;PSMB4;PSMB1;AP2S1;POLR2E;NDUFV2;NDUFV1;POLR2L;CREBBP;NDUFA5;AP2B1;COX6C;ATP5F1E;PSMC5;PSMC6;SP1,3.433885553021214e-12,0,0
2,Ribosome,3.0998999675897896e-14,5.571667926015967,173.30573607015765,MRPS15;RPL3;RPL10;RPLP1;RPL11;RPL10A;MRPL12;MRPL34;RPL6;RPS15;RPS14;RPL7A;RPS17;RPS15A;RPS3;RPL13;RPL37;RPL15;RPL18;RPS27A;RPS10;RPL19;RPS9;RPL41;RPL21;RPS7;RPL22;RPL13A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL24;RPS20;RPL29,3.433885553021214e-12,0,0
3,Parkinson disease,3.7190096242107015e-14,4.303354540196645,133.07148732010512,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA10;ATP5MC2;UQCR11;PARK7;COX5B;COX6A1;COX7C;UBE2L3;GNAI2;TXN2;PSMB7;PSMB4;PSMD4;PSMD3;PSMB1;MFN2;PRKACA;RPS27A;NDUFV2;NDUFV1;NDUFA5;NDUFC2;SDHC;UBE2G2;SDHD;COX6C;ATP5F1E;COX7A2L;PSMC5;PSMA4;PSMC6;NDUFS8;PSMA1;PSMA2;VDAC3;GNAS;NDUFS3;CALM1,3.433885553021214e-12,0,0
4,Pathways of neurodegeneration,2.0544832865758665e-13,3.093520782396088,90.37282253370869,NDUFA13;NDUFA11;COX4I1;NDUFA10;ARAF;PARK7;COX6A1;COX7C;UBE2L3;ACTR1A;ACTR1B;PSMD4;PSMD3;RAC1;CAPN1;NDUFC2;SDHC;WIPI2;SDHD;ATG13;ATXN2L;COX7A2L;PSMA4;NDUFS8;PSMA1;ALS2;PSMA2;CSNK2B;VDAC3;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;DCTN1;ATP5MC2;HTT;UQCR11;COX5B;HSD17B10;GABARAP;RELA;LRP6;PSMB7;PSMB4;PSMB1;MFN2;DVL3;MAPK1;RPS27A;NDUFV2;NDUFV1;FZD5;NDUFA5;CSNK1A1;UBE2G2;COX6C;MAPK14;ATP5F1E;PSMC5;CCS;PSMC6;VAPB;CALM1;TARDBP,1.2553454746180518e-11,0,0
5,Coronavirus disease,2.2659665606824042e-13,4.310813191741547,125.51193327205642,RPL3;RPL10;RPLP1;RPL11;ADAR;RPL10A;RPL6;RELA;RPS15;RPS14;RPL7A;RPS17;RPS15A;RPS3;RPL13;MAPK1;RPL37;RPL15;RPL18;RPS27A;RPS10;RPL19;RPL41;RPS9;RPL21;RPS7;RPL22;RPL13A;TYK2;MAPK14;RPS25;RPS28;MAVS;RPS27;IRF3;RPS29;RPL27A;RPL24;RPS20;MASP2;TAB2;RPL29;MYD88,1.2553454746180518e-11,0,0
6,Amyotrophic lateral sclerosis,7.365234177144484e-13,3.3920584706010692,94.76337903677556,NDUFA13;NDUFA11;COX4I1;NDUFA10;COX6A1;COX7C;ACTR1A;ACTR1B;PSMD4;PSMD3;ANXA7;RAC1;NDUFC2;SDHC;SDHD;WIPI2;ATG13;ATXN2L;COX7A2L;PSMA4;NDUFS8;PSMA1;ALS2;PSMA2;NDUFS3;SRSF3;MATR3;SRSF7;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;DCTN1;ATP5MC2;UQCR11;COX5B;GABARAP;PSMB7;PSMB4;PSMB1;UBQLN1;NDUFV2;NDUFV1;HNRNPA3;NDUFA5;COX6C;MAPK14;ATP5F1E;PSMC5;CCS;PSMC6;VAPB;HNRNPA2B1;TARDBP,3.400283111781703e-11,0,0
7,Non-alcoholic fatty liver disease,2.73364073843896e-12,5.092055485498109,135.57794686449253,NDUFB9;NDUFA13;NDUFB8;PRKAA1;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA10;UQCR11;COX6A1;ADIPOR1;COX5B;COX7C;RELA;CDC42;AKT2;AKT1;RAC1;NDUFV2;NDUFV1;NDUFA5;NDUFC2;SDHC;SDHD;COX6C;MAPK14;COX7A2L;ITCH;NDUFS8;NDUFS3;MAP3K11,1.0817406922108455e-10,0,0
8,Oxidative phosphorylation,5.658745848777131e-12,5.472188914245929,141.7177571033315,ATP6V1A;NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA10;ATP5MC2;UQCR11;COX6A1;COX5B;COX7C;NDUFV2;ATP5MG;NDUFV1;ATP6V0A1;ATP6AP1;NDUFA5;NDUFC2;SDHC;SDHD;COX6C;ATP5F1E;COX7A2L;NDUFS8;NDUFS3;ATP6V0D1,1.9593407501390816e-10,0,0
9,Alzheimer disease,4.561858923209607e-11,3.1152158409734847,74.17548796730996,NDUFA13;NDUFA11;COX4I1;NDUFA10;ARAF;COX6A1;COX7C;PSMD4;AKT2;PSMD3;AKT1;CAPN1;NDUFC2;SDHC;SDHD;WIPI2;ATG13;COX7A2L;PSMA4;NDUFS8;PSMA1;PSMA2;CSNK2B;VDAC3;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB11;ATP5MC2;UQCR11;COX5B;HSD17B10;RELA;LRP6;APH1A;PSMB7;PSMB4;PSMB1;DVL3;MAPK1;NDUFV2;NDUFV1;FZD5;NDUFA5;CSNK1A1;COX6C;ATP5F1E;PSMC5;PSMC6;CALM1,1.404038801921179e-09,0,0
10,Diabetic cardiomyopathy,7.568930356324673e-11,4.0606002424009695,94.62978839880374,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA10;ATP5MC2;PTEN;UQCR11;COX5B;COX6A1;COX7C;RELA;PPP1CC;AKT2;MPC2;AKT1;RAC1;NDUFV2;NDUFV1;NDUFA5;NDUFC2;SDHC;SDHD;COX6C;MAPK14;ATP5F1E;PPP1CA;COX7A2L;NDUFS8;SP1;VDAC3;NDUFS3,2.0965937087019347e-09,0,0
11,Prion disease,2.2043463182851578e-10,3.4338343108504397,76.35274783500935,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;ATF6B;NDUFB11;COX4I1;NDUFA10;ATP5MC2;UQCR11;COX5B;COX6A1;COX7C;PSMB7;PSMB4;PSMD4;PSMD3;PSMB1;MAPK1;RAC1;PRKACA;NDUFV2;NDUFV1;NDUFA5;NDUFC2;SDHC;SDHD;COX6C;MAPK14;ATP5F1E;COX7A2L;PSMC5;PSMA4;PSMC6;NDUFS8;PSMA1;PSMA2;CSNK2B;VDAC3;NDUFS3,5.5509448196817164e-09,0,0
12,Thermogenesis,2.530893062025729e-10,3.6917567175920176,81.5777770832363,NDUFB9;NDUFA13;NDUFB8;PRKAA1;NDUFB7;NDUFA11;NDUFB10;NDUFB11;COX4I1;NDUFA10;ATP5MC2;UQCR11;COX5B;COX6A1;COX7C;PRKACA;NDUFV2;ATP5MG;NDUFV1;COA4;SMARCE1;COA3;NDUFA5;TSC2;NDUFC2;SDHC;SDHD;COX6C;ARID1A;MAPK14;SMARCA2;ATP5F1E;COX7A2L;NDUFS8;GNAS;NDUFS3;GRB2;MGLL,5.8421448181760575e-09,0,0
