rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Processing (GO:0006396),2.7856862632996744e-18,9.641102010424422,389.7129862041506,SF3B2;CELF1;AKAP8L;SRSF1;HNRNPU;ADAR;PPP2CA;RBM4;ALKBH5;PABPN1;U2AF2;KHSRP;FASTK;PRKACA;RBM5;DDX17;RBM39;SF3A1;SCAF11;HNRNPL;SFPQ;HNRNPK;DDX39B;HNRNPUL1;HNRNPF;HNRNPA2B1;HNRNPD;SRSF5;HNRNPH3;TARDBP,6.1062242891528865e-15,0,0
2,Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process (GO:0043161),1.0765088692393043e-14,5.88558352402746,189.29489190099676,WDR26;ANAPC16;ZFAND2B;UBE2D3;UBR2;AUP1;USP19;ECPAS;BAG6;PSMB7;PSMB4;FZR1;MAEA;PSMD4;PCBP2;PSMB1;ZSWIM8;UBQLN1;MARCHF6;SKP1;KLHDC3;CSNK1A1;PPP2R5C;TRPC4AP;RAD23B;SIRT2;ITCH;PSMC5;NPLOC4;PSMA1;GID8;TRIP12;ANAPC5;MAN1B1,1.1798537206862775e-11,0,0
3,Ubiquitin-Dependent Protein Catabolic Process (GO:0006511),2.2698349843964365e-14,5.380470491383127,169.03546600443195,WDR26;ZFAND2B;UBE2D3;VPS4A;NEDD8;UBE2L3;BAG6;PSMB7;PSMB4;MAEA;PSMD4;PCBP2;CHMP1A;PSMB1;ZSWIM8;MARCHF6;SKP1;KLHDC3;NDFIP1;CSNK1A1;PPP2R5C;TRPC4AP;RAD23B;SIRT2;RNF167;ITCH;PSMC5;NPLOC4;PSMA1;UBE2R2;TOLLIP;GID8;CHMP2A;UBAP1;TRIP12;VPS28,1.6584927619323295e-11,0,0
4,mRNA Processing (GO:0006397),1.1000958536552258e-13,7.033509794964125,209.86733451470582,SF3B2;YTHDC1;CELF1;SRSF1;HNRNPU;CASC3;RBM4;ALKBH5;U2AF2;PAPOLA;RALY;PRKACA;RBM10;RBM5;SF3A1;IK;CPSF7;SCAF11;HNRNPM;SFPQ;HNRNPK;DDX39B;HNRNPF;HNRNPA2B1;HNRNPH3;SRSF5;SRSF6,6.028525278030637e-11,0,0
5,Vesicle-Mediated Transport (GO:0016192),1.5180273787734122e-11,4.4280936454849495,110.30834844095789,ARF1;RAB5B;TMED10;STX16;VPS4A;ARHGAP1;INPPL1;AP2A2;CDC42;ACTR1A;VPS51;CHMP1A;AP2S1;TOM1;CPNE1;AP3S2;VPS39;AP2M1;CYTH1;AP1M1;RAB2A;EXOC7;TSC2;AP2B1;RAB11A;EPN1;DNM2;RAB14;SNX17;SGSM3;CHMP2A;ARF5;RAB7A;PICALM,6.655032028542639e-09,0,0
6,"mRNA Splicing, Via Spliceosome (GO:0000398)",2.4684464147858322e-11,6.205235574166188,151.56192982097846,DDX17;SF3B2;SF3A1;IK;SCAF11;YTHDC1;SRSF1;HNRNPU;CASC3;HNRNPM;RBM4;SFPQ;HNRNPK;DDX39B;PUF60;U2AF2;HNRNPF;HNRNPA2B1;RALY;HNRNPH3;SRSF5;SRSF6;RBM10;RBM5,9.01805756868424e-09,0,0
7,Proteasomal Protein Catabolic Process (GO:0010498),5.979356385367755e-11,5.917553056135172,139.29992732491573,KLHDC3;WDR26;CSNK1A1;ZFAND2B;UBE2D3;PPP2R5C;RAD23B;SIRT2;BAG6;PSMB7;PSMB4;ITCH;PSMC5;MAEA;PSMD4;PSMA1;PSME4;PCBP2;PSMB1;GID8;ZSWIM8;TRIP12;MARCHF6;SKP1,1.8723927423894458e-08,0,0
8,"Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)",1.3170350033190614e-10,9.778446492382923,222.4642333249163,DDX17;KHDRBS1;RBM39;CELF1;YTHDC1;HNRNPU;HNRNPL;RBM4;HNRNPK;PUF60;THRAP3;U2AF2;SAP18;RBM23;SRSF6;RBM5,3.6086759090942285e-08,0,0
9,mRNA Metabolic Process (GO:0016071),2.945945449681758e-10,10.19425087108014,223.7171284586143,SF3B2;SF3A1;RNH1;CELF1;SCAF11;AKAP8L;SRSF1;ALKBH5;SFPQ;U2AF2;HSF1;PCBP2;HNRNPA2B1;SRSF5;PRKACA,7.175013806336016e-08,0,0
10,RNA Metabolic Process (GO:0016070),1.6832143314087784e-09,8.021618839274225,162.05724054239656,DDX17;RBM39;HNRNPU;ADAR;HNRNPL;RBM4;HNRNPK;DDX39B;HNRNPUL1;PABPN1;HNRNPF;PCBP2;PAPOLA;HNRNPD;HNRNPH3;RBM5,3.4872154818435393e-07,0,0
11,"RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)",1.749971272822944e-09,5.992283950617284,120.82641494187479,IK;SF3B2;SF3A1;YTHDC1;SRSF1;HNRNPU;CASC3;HNRNPM;RBM4;HNRNPK;DDX39B;U2AF2;HNRNPF;HNRNPA2B1;RALY;SRSF5;HNRNPH3;SRSF6;RBM10;RBM5,3.4872154818435393e-07,0,0
12,Endosomal Transport (GO:0016197),1.0509898175054647e-08,5.643086619955328,103.66885277611695,DCTN1;STX16;VPS4A;GBF1;ARHGAP1;VPS26B;RAB11B;GGA1;SNX1;VPS51;RAB14;SNX17;CHMP1A;TOM1;CHMP2A;TBC1D17;VPS39;PICALM;RAB7A,1.9198080666433152e-06,0,0
13,"Regulation Of Alternative mRNA Splicing, Via Spliceosome (GO:0000381)",1.1982354308581759e-08,12.35697032436163,225.3890472206819,DDX17;HNRNPL;RBM4;KHDRBS1;PUF60;THRAP3;YTHDC1;HNRNPU;SAP18;SRSF6;RBM5,2.0204092803393243e-06,0,0
14,Regulation Of RNA Splicing (GO:0043484),3.3575200486621234e-08,7.543076752930768,129.81241436154468,RBM39;YTHDC1;CELF1;TAF10;SRSF1;HNRNPL;HNRNPK;U2AF2;HNRNPF;FASTK;HNRNPH2;TMBIM6;HNRNPH3;RBM23,5.001687769649677e-06,0,0
15,Intracellular Protein Transport (GO:0006886),3.4226877985741405e-08,4.015625,69.02961611015284,ARF1;RAB5B;TMED10;SAR1A;STX16;RAB1B;VPS26B;GABARAP;GGA1;SNX1;AKT2;KPNA6;AKT1;TMED4;ATP6AP1;TSC2;COPZ1;OXA1L;RAB14;SNX17;APEX1;UBAP1;VPS28;ARF5;RAB7A,5.001687769649677e-06,0,0
16,Protein Localization (GO:0008104),3.8960138722711795e-08,3.8596491228070176,65.84841921855175,ARF1;RAB5B;TMED10;SAR1A;STX16;RAB1B;DDX42;VPS26B;WDR45;TM9SF4;GGA1;SNX1;MFN2;TMED4;IST1;ATG9A;TSC2;WIPI2;ATG13;COPZ1;RRAGA;RAB14;SNX17;APEX1;ATG4B;ARF5,5.3375390050115155e-06,0,0
17,Spliceosomal Complex Assembly (GO:0000245),6.729454228728225e-08,10.171639670360898,167.97635654996915,SF3B2;SF3A1;DDX39B;PUF60;CELF1;SCAF11;YTHDC1;SRSF1;SRSF5;SRSF6;RBM5,8.677037452571923e-06,0,0
18,Autophagosome Assembly (GO:0000045),1.1191816701870133e-07,9.605072463768115,153.73396699763887,RAB1B;ATG9A;TOM1;UBQLN1;ATG4B;MFN2;WIPI2;WDR45;ATG13;GABARAP;RAB7A,1.3629145672499628e-05,0,0
19,Protein Localization To Phagophore Assembly Site (GO:0034497),1.3443196001985925e-07,40.03000340947835,633.3630257490536,ATG9A;ATG4B;MFN2;WIPI2;WDR45;ATG13,1.5509202966501655e-05,0,0
