rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Intracellular Membrane-Bounded Organelle (GO:0043231),1.130365065639761e-30,3.166449262878098,218.34254736984434,KDELR1;HNRNPU;DCAF8;UBE2L3;TIAL1;ALKBH5;PSMD4;AKT2;GPBP1;CPNE1;AKT1;ARL6IP4;PRKACA;SKP1;DDX17;SLC35C2;SCAMP2;RRAGA;DDX39B;EWSR1;PSME4;CSNK2B;AURKAIP1;CGGBP1;ILRUN;GGNBP2;SRCAP;ANP32A;CTBP1;BAZ2A;OAZ1;PRDX5;SNX1;PPP4C;ZNHIT1;RAD21;PCBP2;SERF2;RBM10;ATP6V0A1;NAA50;BTF3;STAT5B;CREBBP;INTS1;IQSEC1;HNRNPL;CS;HNRNPM;HNRNPK;NPLOC4;HNRNPF;HNRNPD;OGDH;CALM1;PHF3;INTS11;TOP2B;DAZAP2;SETD2;TCF25;CTSZ;MED16;SMG7;ANXA7;AP3S2;RAC1;UPF1;BRD2;GRIPAP1;DBNL;TYK2;DYNLL2;SIRT2;MLF2;GAK;NCOR1;PSMA1;SLTM;WAC;HNRNPH2;HNRNPH3;SF3B2;WDR26;STX16;DLST;NEDD8;ECPAS;PPP2CA;RXRB;PSMB7;GGA1;PSMB4;CUX1;PSMB1;HSF1;AP2S1;GPBP1L1;PAK2;BRD4;SF3A1;EGLN2;CSNK1A1;SEPTIN2;YIPF3;NR1H2;GBF1;RAB11A;PPP1CA;PSMC5;ITCH;SNX17;APEX1;SERBP1;GID8;HNRNPA2B1;NBR1;UBAP1;TRIP12;TARDBP;YPEL5;UBE2D3;INPPL1;CASC3;PARK7;YY1;EDC4;PPP1CC;MAEA;KHSRP;ZNF207;KPNA6;PAPOLA;RAB2A;USP7;RPS9;IK;KHNYN;IST1;ATG9A;GTF3A;TSC2;HNRNPUL1;HNRNPUL2;ZNF316;ANAPC5;ISCU;KHDRBS1;DDX6;RAB5B;TMED10;YTHDC1;KMT2B;BAG6;AP1M1;CHTOP;CPSF7;NONO;DIAPH1;EIF2S3;MDM4;ZNF655;NFE2L1;PICALM;DIDO1;CALCOCO2;CELF1;PRKCSH;AKAP8L;DDX42;ADAR;RBM4;UBE2Q1;PPP6R2;SUMO3;PPP6R3;UBTF;IDH3B;GUSB;RBM5;ARNT;EDF1;PPP2R5C;SAFB;ARID1A;RAD23B;TRAF7;SFPQ;IRF3;EEF1D;THRAP3;TMBIM6;SLC25A11;MTPN;ATF6B;POLDIP2;HDAC1;SRSF1;VPS4A;CXXC1;ADD1;FZR1;PABPN1;VPS51;U2AF2;FAM120A;POLR2E;SAP18;MAPK1;RALY;PTPN18;H2AZ2;CNBP;TAF10;YY1AP1;USF2;NAP1L4;RAB14;ACIN1;ERCC5,2.7580907601610167e-28,0,0
2,Nucleus (GO:0005634),7.1634613080724355e-25,2.8746626790586207,159.81869428699196,UBE2D3;INPPL1;HNRNPU;DCAF8;CASC3;PARK7;UBE2L3;YY1;EDC4;TIAL1;PPP1CC;ALKBH5;MAEA;PSMD4;AKT2;KHSRP;GPBP1;ZNF207;KPNA6;PAPOLA;CPNE1;AKT1;ARL6IP4;PRKACA;SKP1;RAB2A;DDX17;USP7;RPS9;IK;KHNYN;GTF3A;TSC2;RRAGA;DDX39B;HNRNPUL1;EWSR1;HNRNPUL2;PSME4;CSNK2B;ZNF316;ANAPC5;AURKAIP1;CGGBP1;ISCU;ILRUN;KHDRBS1;DDX6;GGNBP2;SRCAP;ANP32A;CTBP1;YTHDC1;KMT2B;BAZ2A;OAZ1;BAG6;PRDX5;PPP4C;ZNHIT1;RAD21;PCBP2;SYMPK;SERF2;RBM10;NAA50;BTF3;STAT5B;CREBBP;CHTOP;CPSF7;INTS1;NONO;HNRNPL;CS;HNRNPM;DIAPH1;HNRNPK;NPLOC4;EIF2S3;HNRNPF;HNRNPD;OGDH;MDM4;ZNF655;CALM1;NFE2L1;PICALM;PHF3;INTS11;DIDO1;TOP2B;DAZAP2;SETD2;TCF25;CALCOCO2;CELF1;AKAP8L;DDX42;ADAR;MED16;SMG7;RBM4;UBE2Q1;PPP6R2;SUMO3;PPP6R3;UBTF;IDH3B;ANXA7;RAC1;RBM5;UPF1;BRD2;ARNT;EDF1;TYK2;PPP2R5C;SAFB;ARID1A;DYNLL2;RAD23B;SIRT2;MLF2;SFPQ;NCOR1;PSMA1;SLTM;IRF3;EEF1D;THRAP3;WAC;TMBIM6;HNRNPH2;HNRNPH3;SLC25A11;MTPN;SF3B2;WDR26;ATF6B;POLDIP2;HDAC1;SRSF1;VPS4A;CXXC1;DLST;NEDD8;ADD1;ECPAS;PPP2CA;RXRB;PSMB7;PSMB4;FZR1;PABPN1;CUX1;U2AF2;FAM120A;PSMB1;HSF1;POLR2E;SAP18;MAPK1;RALY;GPBP1L1;PAK2;BRD4;PTPN18;H2AZ2;SF3A1;EGLN2;CSNK1A1;SEPTIN2;NR1H2;CNBP;TAF10;YY1AP1;USF2;PPP1CA;NAP1L4;PSMC5;APEX1;SERBP1;GID8;HNRNPA2B1;ACIN1;TRIP12;ERCC5;TARDBP;YPEL5,8.739422795848371e-23,0,0
3,Bounding Membrane Of Organelle (GO:0098588),1.996049014906735e-09,2.9521823277024373,59.13840010149984,NAA60;ARF1;RAB5B;TMED10;STX16;KDELR1;RAB1B;VPS4A;CTSZ;ARHGAP1;ZDHHC5;AP2A2;GLG1;AGPAT3;APH1A;CDC42;GGA1;SNX1;AP2S1;TOM1;MGAT1;RAC1;AP2M1;VPS39;CYTH1;AP1M1;ATP6V0A1;RAB2A;ATP6AP1;SEPTIN2;GBF1;ATG9A;AP2B1;COPZ1;DNM2;DIAPH1;STIM1;RER1;SNX17;C6ORF89;UBAP1;TAB2;PI4KB;ATP6V0D1;VPS28;RAB7A,1.623453198790811e-07,0,0
4,Endosome Membrane (GO:0010008),1.7351771905919434e-08,3.908065777991755,69.83545970781739,RAB5B;VPS4A;ARHGAP1;AP2A2;APH1A;GGA1;SNX1;AP2S1;TOM1;RAC1;VPS39;AP2M1;ATP6V0A1;ATP6AP1;ATG9A;AP2B1;RAB11A;SCAMP2;RAB11B;RNF167;RAB14;SNX17;UBAP1;TAB2;ATP6V0D1;VPS28;RAB7A,1.0584580862610855e-06,0,0
5,Cytoplasmic Vesicle Membrane (GO:0030659),2.9550387622436764e-07,3.4487872573996974,51.85108131487897,RAB5B;TMED10;VPS4A;ARHGAP1;AP2A2;APH1A;GGA1;SNX1;AP2S1;TOM1;RAC1;VPS39;AP2M1;AP1M1;ATP6V0A1;ATP6AP1;AP2B1;RAB11A;DNM2;DIAPH1;SNX17;UBAP1;TAB2;ATP6V0D1;VPS28;RAB7A,1.442058915974914e-05,0,0
6,Clathrin Coat Of Coated Pit (GO:0030132),2.9637288986364878e-06,33.27891156462585,423.60933922829406,AP2S1;AP2B1;AP2A2;AP2M1;PICALM,0.00012052497521121716,0,0
7,Ficolin-1-Rich Granule (GO:0101002),9.655950804186284e-06,4.201039110982826,48.51333149721153,DBNL;CTSZ;PDAP1;AP2A2;DIAPH1;PSMB7;PFKL;CSNK2B;PSMB1;MAPK1;CAPN1;RAC1;GUSB;YPEL5;ATP6V0A1,0.0003365788566030647,0,0
8,AP-2 Adaptor Complex (GO:0030122),1.3152559616433014e-05,46.48693586698337,522.4617525265596,AP2S1;AP2B1;AP2A2;AP2M1,0.0003565805051566284,0,0
9,Clathrin Coat Of Endocytic Vesicle (GO:0030128),1.3152559616433014e-05,46.48693586698337,522.4617525265596,AP2S1;AP2B1;AP2A2;AP2M1,0.0003565805051566284,0,0
10,Cytoplasmic Stress Granule (GO:0010494),3.284673912869072e-05,6.299225028702641,65.03104538703448,TIAL1;DAZAP2;RBM4;DDX6;HNRNPK;STAU1;CELF1;LSM14A;PUM2,0.0007059098797127895,0,0
