rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,RNA Binding (GO:0003723),1.1198142927467346e-25,4.1098605078516535,236.11750491612253,HNRNPU;CASC3;PARK7;UBE2L3;YY1;TIAL1;PPP1CC;ALKBH5;PSMD4;KHSRP;ZNF207;FBRSL1;ARL6IP4;DDX17;RPS9;KHNYN;SCAF11;TUFM;DDX39B;HNRNPUL1;EWSR1;HNRNPUL2;SRSF5;SRSF6;KHDRBS1;DDX6;ANP32A;YTHDC1;PEF1;BAZ2A;PCBP2;RBM10;BTF3;PRPF38B;CHTOP;CPSF7;NONO;ANKHD1;PRRC2A;PUM2;HNRNPL;CS;HNRNPM;DIAPH1;HNRNPK;EIF2S3;HNRNPF;HNRNPD;LSM14A;DIDO1;ARF1;CELF1;AKAP8L;DDX42;ADAR;SMG7;RBM4;FASTK;UBTF;ANXA7;RBM5;RBM33;UPF1;EDF1;SAFB;SFPQ;PSMA1;SLTM;THRAP3;ARHGEF1;HNRNPH2;HNRNPH3;SLC25A11;SF3B2;STAU1;SRSF1;ADD1;REPIN1;PABPN1;PUF60;U2AF2;FAM120A;EIF4H;SAP18;RALY;RBM39;SF3A1;CNBP;IMMT;PDAP1;RSRC2;NAP1L4;APEX1;SERBP1;HNRNPA2B1;ACIN1;TARDBP,4.1209165973079833e-23,0,0
2,mRNA Binding (GO:0003729),1.9638779079083337e-09,4.6979571984435795,94.18626574167538,DDX6;KHDRBS1;YTHDC1;CELF1;SRSF1;HNRNPU;PARK7;TIAL1;RBM4;KHSRP;PCBP2;RBM5;DDX17;CHTOP;CPSF7;KHNYN;CNBP;PUM2;HNRNPL;HNRNPM;HNRNPK;HNRNPA2B1;SERBP1;TARDBP;LSM14A,3.613535350551334e-07,0,0
3,GTPase Activity (GO:0003924),4.325238339644586e-06,3.677069566262165,45.41564547291481,RAB2A;ARF1;RAB5B;SAR1A;SEPTIN2;RAB1B;RAB11A;GNAI2;RAB11B;DNM2;CDC42;RRAGA;RHOT2;GNG5;RAB14;GNAS;MFN2;RAC1;RAB7A,0.0005215848490596635,0,0
4,Ribonucleoside Triphosphate Phosphatase Activity (GO:0017111),5.669400533257211e-06,3.602888936863384,43.524437410117606,RAB2A;ARF1;RAB5B;SAR1A;SEPTIN2;RAB1B;RAB11A;GNAI2;RAB11B;DNM2;CDC42;RRAGA;RHOT2;GNG5;RAB14;GNAS;MFN2;RAC1;RAB7A,0.0005215848490596635,0,0
5,Clathrin Adaptor Activity (GO:0035615),7.232657656004058e-06,25.88095238095238,306.350348815257,AP2S1;AP2B1;AP2A2;AP2M1;AP1M1,0.0005323236034818986,0,0
6,Cadherin Binding (GO:0045296),1.781894450105387e-05,3.1836161691234155,34.81363352034817,LYPLA2;DDX6;DBNL;SEPTIN2;IST1;ARHGAP1;PARK7;ADD1;PPP1CA;RAB11B;SNX1;HNRNPK;EIF2S3;CAPZB;PUF60;EEF1D;SERBP1;EIF4H;PAK2;PICALM,0.0010928952627313041,0,0
7,mRNA 3'-UTR Binding (GO:0003730),2.834124134625175e-05,5.658876469734359,59.25518497702965,TIAL1;DDX17;RBM4;CELF1;KHSRP;HNRNPA2B1;SERBP1;HNRNPU;TARDBP;PUM2,0.001489939545060092,0,0
8,Ubiquitin Binding (GO:0043130),4.9616071713155454e-05,5.943120260021669,58.90342826431414,ILRUN;NPLOC4;TOLLIP;NBR1;TOM1;UBAP1;RAD23B;SIRT2;VPS28,0.0022823392988051507,0,0
9,Lysine-Acetylated Histone Binding (GO:0070577),0.00010380686004172957,12.93452380952381,118.64810881744444,BRD2;PSME4;BAZ2A;ZZEF1;BRD4,0.0038200924495356476,0,0
10,Acetylation-Dependent Protein Binding (GO:0140033),0.00010380686004172957,12.93452380952381,118.64810881744444,BRD2;PSME4;BAZ2A;ZZEF1;BRD4,0.0038200924495356476,0,0
11,Polyubiquitin Modification-Dependent Protein Binding (GO:0031593),0.0001235059795927048,7.1095797794882465,63.98067954833221,BAG6;PSMD4;ZFAND2B;TOM1;UBQLN1;TAB2;RAD23B,0.004131836408192305,0,0
12,Ubiquitin-Like Protein Ligase Binding (GO:0044389),0.00016273299229697523,2.956954656862745,25.794697616014595,DAZAP2;UBE2D3;NEDD8;AUP1;CASC3;GABARAP;UBE2L3;BAG6;RRAGA;ITCH;NPLOC4;SUMO3;PCBP2;MFN2;ELOB;TMBIM6;PRKACA,0.004990478430440574,0,0
13,Histone Acetyltransferase Activity (GO:0004402),0.0002322236997998294,10.580627705627705,88.53667626494494,NAA50;NAA60;CREBBP;SRCAP;TAF10,0.006573717040487479,0,0
14,Protein Phosphatase Regulator Activity (GO:0019888),0.00030217883533741524,6.053827751196172,49.063195829670654,PPP6R2;ENSA;PPP6R3;PPP4R3A;PPP2R5C;CALM1;ARPP19,0.007769944526453384,0,0
15,Ubiquitin Ligase-Substrate Adaptor Activity (GO:1990756),0.0003167096953717412,7.362266046979022,59.32164266500928,KLHDC3;FZR1;PEF1;ZSWIM8;TRPC4AP;SKP1,0.007769944526453384,0,0
16,Guanyl Ribonucleotide Binding (GO:0032561),0.0003599498519840018,3.1111646696965525,24.670122852516837,RAB2A;ARF1;RAB5B;RAB1B;RAB11A;RAB11B;DNM2;CDC42;RRAGA;RHOT2;RAB14;RAC1;ARF5;RAB7A,0.007953056535399905,0,0
17,GTP Binding (GO:0005525),0.0003842593799565323,3.2538602561454244,25.58898428393851,RAB2A;ARF1;RAB1B;RAB11A;RAB11B;DNM2;CDC42;RRAGA;RHOT2;RAB14;RAC1;ARF5;RAB7A,0.007953056535399905,0,0
18,pre-mRNA Binding (GO:0036002),0.00038900820010108234,9.30952380952381,73.0975443484549,HNRNPL;RBM4;U2AF2;HNRNPU;SRSF6,0.007953056535399905,0,0
19,Telomeric DNA Binding (GO:0042162),0.0006148635509895135,8.310799319727892,61.450965879566795,UPF1;APEX1;HNRNPA2B1;HNRNPD;SMG7,0.011908936145481103,0,0
20,Clathrin Heavy Chain Binding (GO:0032050),0.0007275697995835768,23.186018957345972,167.53755013590353,TOM1;GPR107;PICALM,0.012838169909491735,0,0
21,Ubiquitin Protein Ligase Binding (GO:0031625),0.0007326129567916479,2.7609089176829267,19.930706119514586,DAZAP2;UBE2D3;NEDD8;AUP1;CASC3;GABARAP;UBE2L3;BAG6;RRAGA;NPLOC4;PCBP2;MFN2;ELOB;TMBIM6;PRKACA,0.012838169909491735,0,0
22,Nuclear Receptor Binding (GO:0016922),0.0007843981414508516,3.9736257256894048,28.413783608901586,STAT5B;NCOR1;THRAP3;TAF10;BAZ2A;TRIP12;PARK7;MED16;ARID1A,0.013120841638814246,0,0
23,Protein Phosphatase 2A Binding (GO:0051721),0.001292121298217967,9.77922240280035,65.04620437647745,ENSA;SMG7;ARPP19;STRN4,0.02060527712083619,0,0
24,Tau Protein Binding (GO:0048156),0.0013438224209240993,6.842086834733894,45.241500908832876,PPP2CA;DCTN1;TAOK2;MARK3;PICALM,0.02060527712083619,0,0
25,Nuclear Thyroid Hormone Receptor Binding (GO:0046966),0.002395030632602839,8.07683569141795,48.73852822961223,NCOR1;THRAP3;TRIP12;MED16,0.03525485091191379,0,0
26,Myosin V Binding (GO:0031489),0.002913058507443277,12.643688065489012,73.82082665464296,RAB14;RAB11A;RAB11B,0.041200055162425316,0,0
27,Purine Ribonucleoside Triphosphate Binding (GO:0035639),0.0031335258757054655,2.07050032488629,11.937669282656369,RAB2A;ARF1;NDUFA13;RAB1B;VPS4A;HNRNPU;RAB11A;RAB11B;DNM2;CDC42;RHOT2;PFKL;RRAGA;RAB14;AKT2;PAPOLA;AKT1;RAC1;ARF5;RAB7A,0.041200055162425316,0,0
28,miRNA Binding (GO:0035198),0.003134786805836709,7.4299287410926365,42.834981428701894,RBM4;HNRNPA2B1;RBM10;PUM2,0.041200055162425316,0,0
29,Protein Phosphatase Activator Activity (GO:0072542),0.0035843616056344127,11.589454976303317,65.26224790384164,PPP4R3A;PPP2R5C;CALM1,0.045484312788740135,0,0
30,RNA Polymerase II Complex Binding (GO:0000993),0.004016686640293774,6.878859857482185,37.952719287107065,WAC;HNRNPU;ERCC5;BRD4,0.049271356120936964,0,0
