rank,term,p,z,combined_score,overlap_genes,adj_p,old_p,old_adj_p
1,Endocytosis,9.284630289357825e-13,6.092884130982368,168.804852680643,ARF1;RAB5B;VPS4A;VPS26B;AP2A2;CDC42;SNX1;CAPZB;PSD4;CHMP1A;AP2S1;AP2M1;CYTH1;PDCD6IP;IQSEC1;IST1;GBF1;AP2B1;RAB11A;EPN1;RAB11B;ARFGAP2;DNM2;ITCH;CHMP2A;VPS28;ARF5;RAB7A,2.228311269445878e-10,0,0
2,mRNA surveillance pathway,2.5276419164658207e-11,10.027777777777779,244.68930173660547,UPF1;CPSF7;SSU72;CASC3;PPP2R5C;SMG7;PPP1CA;PPP2CA;PPP1CC;DDX39B;PABPN1;WDR82;PAPOLA;SYMPK;SAP18;ACIN1;TARDBP,3.0331702997589847e-09,0,0
3,Huntington disease,1.0351712194809538e-08,4.2913701067615655,78.90161957626779,NDUFA13;NDUFA11;NDUFB11;DCTN1;HDAC1;COX4I1;NDUFA10;ATP5MC2;COX5B;AP2A2;PSMB7;ACTR1A;PSMB4;PSMD4;PSMB1;AP2S1;POLR2E;AP2M1;CREBBP;AP2B1;WIPI2;ATG13;PSMC5;PSMA1;SP1,8.28136975584763e-07,0,0
4,Parkinson disease,9.243165934339103e-08,4.410793381969776,71.44072185592356,NDUFA13;NDUFA11;NDUFB11;COX4I1;NDUFA10;ATP5MC2;PARK7;COX5B;UBE2L3;GNAI2;TXN2;PSMB7;PSMB4;PSMC5;PSMD4;PSMA1;PSMB1;GNAS;MFN2;PRKACA;CALM1,5.545899560603462e-06,0,0
5,Pathways of neurodegeneration,1.2331739267345714e-07,3.264969421134974,51.940780326646006,NDUFA13;NDUFA11;NDUFB11;DCTN1;COX4I1;NDUFA10;ARAF;ATP5MC2;PARK7;COX5B;GABARAP;UBE2L3;PSMB7;PSMB4;ACTR1A;PSMD4;PSMB1;MFN2;DVL3;MAPK1;RAC1;CAPN1;CSNK1A1;WIPI2;ATG13;PSMC5;PSMA1;CSNK2B;TARDBP;CALM1,5.919234848325943e-06,0,0
6,Renal cell carcinoma,2.1130810314777266e-07,8.940821256038648,137.4199628255934,CDC42;CREBBP;EGLN2;AKT2;ARAF;AKT1;ARNT;MAPK1;ELOB;RAC1;PAK2,8.452324125910907e-06,0,0
7,Alzheimer disease,3.893939381944027e-07,3.4940043604651163,51.56687239791264,NDUFA13;NDUFA11;NDUFB11;COX4I1;NDUFA10;ARAF;ATP5MC2;COX5B;APH1A;PSMB7;PSMB4;PSMD4;AKT2;PSMB1;AKT1;DVL3;MAPK1;CAPN1;CSNK1A1;WIPI2;ATG13;PSMC5;PSMA1;CSNK2B;CALM1,1.3350649309522378e-05,0,0
8,Mitophagy,1.6348887417103614e-06,8.108433734939759,108.03625055381704,RHOT2;CALCOCO2;SP1;ATG9A;CSNK2B;NBR1;MFN2;TBC1D17;GABARAP;RAB7A,4.614398560605222e-05,0,0
9,Salmonella infection,1.7303994602269582e-06,3.936121225101735,52.221143280032074,ARF1;RAB5B;EXOC7;DCTN1;BRK1;DYNLL2;TXN2;DNM2;CDC42;ACTR1A;AKT2;AKT1;MAPK1;TAB2;RAC1;VPS39;CYTH1;SKP1;RAB7A,4.614398560605222e-05,0,0
10,Amyotrophic lateral sclerosis,3.707931095112892e-06,3.2271341241009033,40.35542999032262,NDUFA13;NDUFA11;NDUFB11;DCTN1;COX4I1;NDUFA10;ATP5MC2;WIPI2;COX5B;ATG13;GABARAP;PSMB7;ACTR1A;PSMB4;PSMC5;PSMD4;PSMA1;PSMB1;HNRNPA2B1;UBQLN1;ANXA7;RAC1;TARDBP,8.753944709494988e-05,0,0
11,Spliceosome,4.012224658518536e-06,4.868792042364391,60.50041177337808,PRPF38B;SF3B2;SF3A1;SRSF1;DDX42;HNRNPU;HNRNPM;HNRNPK;DDX39B;PUF60;U2AF2;ACIN1;SRSF5;SRSF6,8.753944709494988e-05,0,0
12,Proteasome,5.006072093614807e-06,9.863435567335605,120.38183999605626,PSMB7;PSMB4;PSMC5;PSMD4;PSMA1;PSMB1;PSME4;PSME1,0.00010012144187229613,0,0
13,Shigellosis,5.82429807580627e-06,3.752812621233674,45.234422105655966,ARF1;SEPTIN2;CALCOCO2;UBE2D3;WIPI2;GABARAP;CDC42;DIAPH1;RRAGA;IRF3;AKT2;AKT1;MAPK1;TAB2;RAC1;CAPN1;CYTH1;SKP1,0.00010752550293796189,0,0
14,Autophagy,7.381693002958658e-06,4.949557626057,58.486485015223444,ATG9A;TSC2;WIPI2;ATG13;GABARAP;PPP2CA;RRAGA;AKT2;AKT1;ATG4B;MAPK1;PRKACA;RAB7A,0.0001265433086221484,0,0
15,Endocrine and other factor-regulated calcium reabsorption,1.4933420836978801e-05,8.326139088729017,92.51929860647522,AP2S1;GNAS;AP2B1;PRKACA;AP2A2;AP2M1;RAB11A;DNM2,0.00023893473339166082,0,0
16,Protein processing in endoplasmic reticulum,1.816020830797515e-05,4.212996110155439,45.99023554710494,BCAP31;SAR1A;ATF6B;PRKCSH;UBE2D3;MOGS;RAD23B;NPLOC4;DNAJA2;UBQLN1;CAPN1;MAN1B1;MARCHF6;SKP1,0.0002724031246196272,0,0
