"","acinar","activated-stellate","alpha","beta","delta","ductal","endothelial","epsilon","gamma","macrophage","mast","quiescent-stellate","schwann","t-cell"
"A1BG",0,1,2,13,2,0,1,1,3,0,0,2,0,0
"A1CF",33,1,102,166,68,7,8,9,17,0,0,0,0,0
"A2M",0,71,0,0,0,0,32,0,0,5,0,33,3,0
"A2ML1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A4GALT",1,16,3,1,2,16,27,3,0,2,0,24,0,0
"A4GNT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AA06",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAAS",34,15,65,188,51,25,14,1,11,2,0,18,1,0
"AACS",19,3,47,245,41,18,6,2,5,2,0,4,1,0
"AACSP1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADAC",135,1,1,1,0,1,0,0,0,0,0,0,0,0
"AADACL2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AADACP1",1,0,0,0,0,0,0,2,0,0,0,1,0,0
"AADAT",3,5,13,34,2,3,0,0,2,1,0,0,0,0
"AAED1",10,6,50,163,30,4,21,3,10,3,1,5,2,0
"AAGAB",28,15,63,193,46,36,16,3,15,1,1,9,1,0
"AAK1",49,19,110,263,72,52,13,5,30,4,0,11,0,0
"AAMDC",19,15,22,56,18,16,20,3,14,5,1,14,3,0
"AAMP",41,21,137,218,55,36,27,5,24,3,0,21,0,1
"AANAT",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AAR2",21,8,40,94,10,17,14,2,14,1,0,18,1,0
"AARD",0,0,2,7,5,0,0,0,1,0,0,0,0,0
"AARS",56,72,156,740,116,66,47,7,43,5,2,43,3,0
"AARS2",5,2,7,28,3,3,1,0,0,0,0,1,0,0
"AARSD1",3,1,3,11,5,2,0,0,0,0,0,1,0,0
"AASDH",2,4,17,90,15,6,2,3,5,0,0,0,0,1
"AASDHPPT",16,6,48,157,45,13,19,1,20,4,0,7,0,0
"AASS",0,1,1,16,9,0,2,0,1,0,0,1,0,0
"AATBC",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AATF",48,15,63,214,43,46,25,0,9,3,1,17,0,0
"AATK",1,0,30,40,12,3,6,0,5,1,0,0,0,0
"ABAT",13,5,19,273,47,3,3,7,12,3,0,0,1,0
"ABCA1",0,30,5,8,2,2,2,0,0,15,0,6,3,0
"ABCA10",1,0,4,11,4,1,0,0,0,0,0,0,0,0
"ABCA11P",2,0,2,2,2,1,1,0,0,0,0,0,0,0
"ABCA12",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ABCA13",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"ABCA17P",1,0,0,15,2,0,0,0,1,0,0,0,0,0
"ABCA2",2,6,48,241,48,10,5,0,24,1,0,1,0,1
"ABCA3",4,1,29,183,19,6,9,0,12,1,0,0,0,0
"ABCA4",0,3,2,0,1,0,1,0,0,0,0,8,0,0
"ABCA5",8,0,49,281,95,9,3,3,18,3,0,3,0,0
"ABCA6",0,2,0,5,1,0,0,0,1,0,0,0,0,0
"ABCA7",3,0,24,66,11,5,2,0,6,0,0,2,0,0
"ABCA8",0,19,0,0,0,0,0,0,0,0,0,4,0,0
"ABCA9",0,1,0,1,0,0,0,0,0,0,0,0,0,0
"ABCB1",6,0,24,101,36,61,4,1,29,0,0,1,0,0
"ABCB10",3,12,32,31,15,24,3,2,7,1,0,10,0,0
"ABCB11",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB4",0,0,0,10,3,0,0,1,1,0,0,0,0,0
"ABCB5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCB6",0,3,2,15,2,1,1,0,0,0,0,0,0,0
"ABCB7",7,4,12,53,5,11,5,1,1,0,0,6,0,0
"ABCB8",9,6,18,35,24,14,3,2,3,0,1,3,0,0
"ABCB9",0,3,13,23,3,4,1,2,4,0,1,1,0,0
"ABCC1",16,14,12,16,19,14,9,0,5,5,3,10,0,0
"ABCC10",2,0,26,33,8,14,2,0,1,2,1,1,0,0
"ABCC11",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ABCC12",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ABCC13",0,0,6,12,0,0,1,0,0,0,0,0,0,0
"ABCC2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ABCC3",43,7,1,1,1,126,1,0,0,6,0,2,0,0
"ABCC4",2,3,2,11,4,6,3,0,3,0,9,0,0,0
"ABCC5",4,9,33,87,41,3,9,0,7,4,1,3,1,0
"ABCC6",1,0,1,0,0,0,0,0,0,0,0,0,0,0
"ABCC6P1",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ABCC6P2",1,0,1,28,3,0,0,0,1,0,0,0,0,0
"ABCC8",7,10,114,3471,328,19,33,3,67,2,0,4,0,0
"ABCC9",0,2,0,0,5,0,0,0,0,0,0,0,0,0
"ABCD1",6,5,10,13,9,5,5,0,0,2,0,1,0,0
