geneid,chrm_probe,s1,s2,log2FC,mean_expr
DOC2B,17,6011,31420,2.3858121819903104,18715.5
RPH3AL,17,62180,202633,1.704330541024131,132406.5
ZNF718+ZNF595,4,53227,156490,1.5558224240148668,104858.5
DIP2C,10,320130,735608,1.200276743347377,527869.0
DOCK8,9,214865,465259,1.1145999475590678,340062.0
WASH1,9,14511,29739,1.0351582864112583,22125.0
WASH7P,1,14362,29370,1.032035269842666,21866.0
CHL1,3,238650,451097,0.9185385080894015,344873.5
CSMD1,8,2792875,4852328,0.796925850805895,3822601.5
ZMYND11,10,180424,300577,0.7363401641632841,240500.5
IQSEC3,12,176049,287625,0.7082088671284872,231837.0
PDCD6+AHRR,5,271736,438405,0.6900565252455912,355070.5
COLEC12,18,319355,500729,0.648867337670687,410042.0
FAM20C,7,192969,300711,0.640005863279324,246840.0
VPS53,17,411908,618096,0.5855076140901616,515002.0
KANK1,9,504703,746103,0.5639392221776767,625403.0
ERC1,12,1100404,1605099,0.5446285820161023,1352751.5
ADARB2,10,1228073,1779718,0.5352519761792145,1503895.5
SNTG2,2,946554,1371384,0.5348754055090801,1158969.0
CNTN4,3,2142247,3099645,0.5329779544870874,2620946.0
MIR4315-2+PLEKHM1P+MIR4315-1+PLEKHM1,17,43513266,62833302,0.5300740819050276,53173284.0
EXOC2,6,485138,693109,0.5146861719178517,589123.5
NPRL3,16,135804,188672,0.4743513842364351,162238.0
GMDS,6,1624041,2245846,0.4676707032925016,1934943.5
PLEKHG4B,5,140373,190087,0.43739171430830126,165230.0
USP14,18,158483,213739,0.4315197257319241,186111.0
PRKAR1B,7,588834,767313,0.3819536509078141,678073.5
MYT1L,2,1792885,2335045,0.38116721316970015,2063965.0
CACNA1C,12,2162416,2807115,0.3764439234809487,2484765.5
SDK1,7,3341080,4308631,0.36691492392225555,3824855.5
KDM5A,12,389223,498620,0.35734297377973334,443921.5
RBFOX1,16,6069132,7763340,0.35518722202009556,6916236.0
PTPRD,9,8314246,10612723,0.3521374913313622,9463484.5
CNTN6,3,1134629,1445278,0.3491261058278461,1289953.5
NXN,17,702585,883010,0.3297565810321039,792797.5
THOC1,18,214520,268059,0.3214370722773303,241289.5
MAD1L1,7,1855428,2272583,0.2925808249716759,2064005.5
SH3YL1,2,218136,264068,0.2756804503030388,241102.0
ZNF876P,4,206389,249773,0.2752502376658512,228081.0
RAB11FIP3,16,475668,572481,0.26727232669949075,524074.5
DUSP22,6,292101,351355,0.2664612990151376,321728.0
ABR,17,906759,1090616,0.26635189292823824,998687.5
FAM110C,2,38814,46588,0.2633750767907532,42701.0
MOB2,11,1490685,1785501,0.26035335143574656,1638093.0
AXIN1,16,337440,402676,0.2549877955074109,370058.0
WNK1,12,862089,1020618,0.24353400854077023,941353.5
B4GALNT3,12,569543,671058,0.23663231347323688,620300.5
ZNF721+ABCA11P,4,419224,493442,0.23515868869020906,456333.0
FBXO25,8,356808,419875,0.2348113208169913,388341.5
SDHA,5,218356,256814,0.23404068837827197,237585.0
LUC7L,16,238970,279449,0.22575462246283706,259209.5
WASH5P,19,60951,70966,0.21947475998900146,65958.5
KCNQ1,11,2466221,2870340,0.21891946945650176,2668280.5
RPL23AP53,8,158345,182318,0.20338449300193417,170331.5
DMRT1,9,841690,969090,0.20334145354483724,905390.0
NINJ2,12,673462,772755,0.198414264491376,723108.5
MACROD2,20,13976146,16033841,0.19815347527458727,15004993.5
LOC285768,6,961241,1101567,0.19658696431178413,1031404.0
CAMTA1,1,6845384,7829766,0.193837691894732,7337575.0
DLGAP2,8,1449569,1656642,0.19263773790156336,1553105.5
LMF1,16,903635,1031318,0.1906769929541312,967476.5
C7orf50,7,1036623,1177893,0.18431701465716444,1107258.0
RHBDF1,16,108058,122629,0.1824927245851775,115343.5
CSNK2A1,20,463338,524482,0.1788278901928102,493910.0
MIER2,19,305575,344791,0.17419506256909045,325183.0
SLC6A13,12,329789,372039,0.1739100879239004,350914.0
GRM7,3,6902802,7783218,0.17318463985815669,7343010.0
YES1,18,721592,812327,0.17087702983133468,766959.5
GLIS3,9,3824128,4300035,0.16921754732227612,4062081.5
SMG6,17,1963133,2207069,0.16897373529351967,2085101.0
PRDM16,1,2985742,3355185,0.1683027569136506,3170463.5
C8orf42,8,441646,495331,0.16550211495392375,468488.5
ROCK1P1,18,109065,122222,0.16431436885018869,115643.5
PTPRM,18,7567314,8406859,0.15178554743900108,7987086.5
ITFG3,16,284801,316119,0.15051303572701613,300460.0
ERICH1,8,614200,681226,0.14942475523944054,647713.0
DLGAP1,18,3498837,3880135,0.14923135244170638,3689486.0
ZNF141,4,331596,367691,0.1490668330274083,349643.5
SLC9A3,5,473334,524549,0.1482186929574496,498941.5
LOC339822,2,779837,864112,0.14804552966861095,821974.5
CCDC77,12,498516,551806,0.1465210552382885,525161.0
SHC2,19,416583,460996,0.14614993219346673,438789.5
SIRT3,11,215030,236362,0.13645955400570386,225696.0
GAK,4,843065,926174,0.13563923731737404,884619.5
FARS2,6,5261584,5771816,0.13352809629183326,5516700.0
ZNF732,4,264464,289944,0.13270245483239052,277204.0
RFX3,9,3224647,3525983,0.1288842424050607,3375315.0
AP2A2,11,925841,1012240,0.12871490002815378,969040.5
PLCB1,20,8113296,8865547,0.1279215087028902,8489421.5
PCGF3,4,699573,764427,0.1279039515102518,732000.0
PTDSS2,11,450280,491387,0.12603702343477252,470833.5
TPO,2,1417233,1546499,0.12592885162277767,1481866.0
RAP1GAP2,17,2699732,2941035,0.12350771005179695,2820383.5
CLUL1,18,596998,650293,0.12336359776187678,623645.5
LARP4B,10,855484,931702,0.12312757981698752,893593.0
STK32B,4,5053527,5502725,0.1228555708970056,5278126.0
SMARCA2,9,2015342,2193623,0.12229086235229403,2104482.5
CTNND2,5,10971952,11904110,0.11763953673308336,11438031.0
FAM21B+FAM21A,10,47894023,51893269,0.11570179443654993,49893646.0
ZNF596,8,182200,197339,0.11515253669436021,189769.5
SGCZ,8,13947373,15095792,0.11415302713481879,14521582.5
POLN+HAUS3,4,2073645,2243860,0.11381368116860102,2158752.5
PIGG,4,492989,533320,0.11344575385496469,513154.5
SLC6A12,12,299250,323371,0.11183869654562884,311310.5
DEAF1,11,644225,695740,0.11098345427880574,669982.5
C20orf96,20,251524,271390,0.10967107624384198,261457.0
ITPR1,3,4535032,4889524,0.10858127045462496,4712278.0
HEATR2,7,766338,826116,0.10836339164129427,796227.0
L3MBTL4,18,5954705,6414910,0.10739896953248973,6184807.5
SORCS2,4,7194374,7744564,0.10631484683652559,7469469.0
GNG7,19,2511218,2702746,0.10603862015183907,2606982.0
ARHGEF10,8,1772149,1906807,0.1056588603278108,1839478.0
PDE6B,4,619363,664681,0.10187675530925944,642022.0
C18orf2,18,1268312,1359630,0.10030433704990926,1313971.0
VPS16+PTPRA,20,2821373,3019315,0.09782383487503665,2920344.0
ZDHHC11,5,795720,851101,0.09706936762618312,823410.5
MPG,16,127018,135843,0.09690652844447456,131430.5
SUN1,7,855194,914557,0.09682124840029616,884875.5
PXDN,2,1635659,1748291,0.09607327358990858,1691975.0
POLR3K,16,96979,103632,0.09572431672058457,100305.5
WDR37,10,1102776,1178237,0.0954899047175779,1140506.5
PSMD13,11,236808,252984,0.09532793502036441,244896.0
PRKCZ,1,1981909,2116834,0.09501737045443193,2049371.5
KDM4C,9,6720863,7175648,0.09446261148290347,6948255.5
ANO2,12,5671817,6055398,0.09441078511925838,5863607.5
CEP72,5,612405,653666,0.0940674477905894,633035.5
CACNA2D4,12,1901123,2027870,0.09311324613663885,1964496.5
TSPAN9,12,3186521,3395730,0.09173955601889006,3291125.5
ZFYVE28,4,2271324,2420370,0.09169405046882773,2345847.0
CCDC127,5,204875,218297,0.09154792158498637,211586.0
IFT140,16,1560428,1662109,0.0910731484980225,1611268.5
FKBP1A-SDCBP2+SDCBP2+FKBP1A,20,1290555,1373816,0.09019709758912597,1332185.5
ENOSF1,18,670324,712662,0.08835928389355274,691493.0
RAB40C,16,639357,679273,0.08736965911653272,659315.0
PHRF1,11,576483,612222,0.08677667784903775,594352.5
GNB1,1,1716729,1822495,0.0862524919046912,1769612.0
STIM1,11,3876933,4114440,0.08578025998710004,3995686.5
ADAP1,7,937537,994289,0.08478953085370122,965913.0
SBNO2,19,1107633,1174282,0.08429889259785384,1140957.5
TSSC1,2,3192741,3381653,0.08293307945725559,3287197.0
WHSC1,4,1873123,1983934,0.08291835070488318,1928528.5
RBCK1,20,388709,411610,0.08258731460671953,400159.5
KCNIP4,4,20730239,21950374,0.0825087679168135,21340306.5
SLC12A7,5,1050489,1112172,0.08231879013079535,1081330.5
ADCY2,5,7396343,7830194,0.08223591097920391,7613268.5
ANO9,11,417930,442011,0.08082076285240802,429970.5
SLC22A23,6,3269207,3456793,0.0804934619238935,3363000.0
CACNA1H,16,1203241,1271772,0.07991435427734572,1237506.5
SEMA5A,5,9035138,9546233,0.07938490434681,9290685.5
SMCHD1,18,2655886,2805015,0.07881523442927119,2730450.5
PALM,19,708953,748330,0.07798451853348354,728641.5
RERE,1,8412464,8877699,0.07765735974897936,8645081.5
HTT,4,3076408,3245687,0.07727700549283867,3161047.5
LOC653501+ZNF658B,9,39443814,41609544,0.07711541689467083,40526679.0
CHID1,11,867859,915058,0.07640243548155112,891458.5
