ensg	biotype	symbol	chrom
ENSG00000290825	lncRNA	DDX11L16	chr1
ENSG00000223972	transcribed_unprocessed_pseudogene	DDX11L1	chr1
ENSG00000310526	lncRNA	WASH7P	chr1
ENSG00000227232	transcribed_unprocessed_pseudogene	WASH7P	chr1
ENSG00000278267	miRNA	MIR6859-1	chr1
ENSG00000243485	lncRNA	MIR1302-2HG	chr1
ENSG00000284332	miRNA	MIR1302-2	chr1
ENSG00000237613	lncRNA	FAM138A	chr1
ENSG00000308361	lncRNA	ENSG00000308361	chr1
ENSG00000290826	lncRNA	ENSG00000290826	chr1
ENSG00000268020	transcribed_unprocessed_pseudogene	OR4G4P	chr1
ENSG00000240361	transcribed_unprocessed_pseudogene	OR4G11P	chr1
ENSG00000186092	protein_coding	OR4F5	chr1
ENSG00000241860	lncRNA	ENSG00000241860	chr1
ENSG00000239945	lncRNA	ENSG00000239945	chr1
ENSG00000308314	lncRNA	ENSG00000308314	chr1
ENSG00000233750	processed_pseudogene	CICP27	chr1
ENSG00000308579	lncRNA	ENSG00000308579	chr1
ENSG00000268903	transcribed_processed_pseudogene	ENSG00000268903	chr1
ENSG00000269981	transcribed_processed_pseudogene	ENSG00000269981	chr1
ENSG00000239906	lncRNA	ENSG00000239906	chr1
ENSG00000310528	lncRNA	ENSG00000310528	chr1
ENSG00000222623	snRNA	RNU6-1100P	chr1
ENSG00000241599	lncRNA	ENSG00000241599	chr1
ENSG00000308415	lncRNA	DDX11L2	chr1
ENSG00000310527	lncRNA	WASH9P	chr1
ENSG00000279928	transcribed_unprocessed_pseudogene	DDX11L17	chr1
ENSG00000279457	transcribed_unprocessed_pseudogene	WASH9P	chr1
ENSG00000273874	miRNA	MIR6859-2	chr1
ENSG00000308625	lncRNA	ENSG00000308625	chr1
ENSG00000308544	lncRNA	ENSG00000308544	chr1
ENSG00000292994	lncRNA	ENSG00000292994	chr1
ENSG00000228463	transcribed_processed_pseudogene	ENSG00000228463	chr1
ENSG00000306775	lncRNA	ENSG00000306775	chr1
ENSG00000286448	lncRNA	ENSG00000286448	chr1
ENSG00000236679	transcribed_processed_pseudogene	RPL23AP24	chr1
ENSG00000236601	lncRNA	ENSG00000236601	chr1
ENSG00000290385	lncRNA	ENSG00000290385	chr1
ENSG00000269732	processed_pseudogene	WBP1LP7	chr1
ENSG00000284733	protein_coding	OR4F29	chr1
ENSG00000237094	transcribed_unprocessed_pseudogene	ENSG00000237094	chr1
ENSG00000233653	transcribed_processed_pseudogene	CICP7	chr1
ENSG00000250575	unprocessed_pseudogene	ENSG00000250575	chr1
ENSG00000278757	snRNA	U6	chr1
ENSG00000293331	lncRNA	ENSG00000293331	chr1
ENSG00000225880	lncRNA	LINC00115	chr1
ENSG00000235146	lncRNA	ENSG00000235146	chr1
ENSG00000225972	unprocessed_pseudogene	MTND1P23	chr1
